Time	FF	Vm	Ie	
0.376	0.2768561	0.01845707	2E-09	
0.378	0.278399	0.01855993	2E-09	
0.38	0.2798391	0.01865594	2E-09	
0.382	0.2811831	0.01874554	2E-09	
0.384	0.2824376	0.01882917	2E-09	
0.386	0.2836084	0.01890723	2E-09	
0.388	0.2847012	0.01898008	2E-09	
0.39	0.2857211	0.01904807	2E-09	
0.392	0.286673	0.01911153	2E-09	
0.394	0.2875615	0.01917076	2E-09	
0.396	0.2883907	0.01922605	2E-09	
0.398	0.2891647	0.01927764	2E-09	
0.4	0.289887	0.0193258	0	
0.402	0.2705612	0.01803741	0	
0.404	0.2525238	0.01683492	0	
0.406	0.2356889	0.01571259	0	
0.408	0.2199763	0.01466509	0	
0.41	0.2053112	0.01368741	0	
0.412	0.1916238	0.01277492	0	
0.414	0.1788489	0.01192326	0	
0.416	0.1669256	0.01112838	0	
0.418	0.1557973	0.01038648	0	
0.42	0.1454108	0.009694051	0	
0.422	0.1357167	0.009047781	0	
0.424	0.1266689	0.008444596	0	
0.426	0.1182243	0.007881623	0	
0.428	0.1103427	0.007356181	0	
0.43	0.1029865	0.006865769	0	
0.432	0.09612077	0.006408051	0	
0.434	0.08971271	0.005980847	0	
0.436	0.08373186	0.005582124	0	
0.438	0.07814974	0.005209982	0	
0.44	0.07293975	0.00486265	0	
0.442	0.0680771	0.004538474	0	
0.444	0.06353863	0.004235909	0	
0.446	0.05930272	0.003953515	0	
0.448	0.05534921	0.003689947	0	
0.45	0.05165926	0.003443951	0	
0.452	0.04821531	0.003214354	0	
0.454	0.04500096	0.003000064	0	
0.456	0.04200089	0.002800059	0	
0.458	0.03920083	0.002613389	0	
0.46	0.03658744	0.002439163	0	
0.462	0.03414828	0.002276552	0	
0.464	0.03187172	0.002124782	0	
0.466	0.02974694	0.00198313	0	
0.468	0.02776381	0.001850921	0	
0.47	0.02591289	0.001727526	0	
0.472	0.02418537	0.001612358	0	
0.474	0.02257301	0.001504867	0	
0.476	0.02106814	0.001404543	0	
0.478	0.0196636	0.001310906	0	
0.48	0.01835269	0.001223513	0	
0.482	0.01712918	0.001141945	0	
0.484	0.01598723	0.001065815	0	
0.486	0.01492142	0.0009947611	0	
0.488	0.01392666	0.0009284437	0	
0.49	0.01299821	0.0008665474	0	
0.492	0.01213166	0.0008087776	0	
0.494	0.01132289	0.0007548591	0	
0.496	0.01056803	0.0007045351	0	
0.498	0.009863492	0.0006575661	0	
0.5	0.009205925	0.0006137284	4E-09	
0.502	0.0485922	0.00323948	4E-09	
0.504	0.08535273	0.005690182	4E-09	
0.506	0.1196626	0.007977503	4E-09	
0.508	0.1516851	0.01011234	4E-09	
0.5100001	0.1815727	0.01210485	4E-09	
0.512	0.2094679	0.01396453	4E-09	
0.514	0.2355034	0.01570022	4E-09	
0.516	0.2598031	0.01732021	4E-09	
0.518	0.2824829	0.0188322	4E-09	
0.52	0.3036507	0.02024338	4E-09	
0.522	0.3234074	0.02156049	4E-09	
0.524	0.3418469	0.02278979	4E-09	
0.526	0.3590571	0.02393714	4E-09	
0.528	0.3751199	0.02500799	4E-09	
0.53	0.3901119	0.02600746	4E-09	
0.532	0.4041045	0.0269403	4E-09	
0.534	0.4171642	0.02781094	4E-09	
0.536	0.4293532	0.02862355	4E-09	
0.538	0.4407296	0.02938198	4E-09	
0.54	0.4513477	0.03008985	4E-09	
0.5420001	0.4612578	0.03075052	4E-09	
0.544	0.4705073	0.03136715	4E-09	
0.546	0.4791402	0.03194268	4E-09	
0.548	0.4871975	0.03247983	4E-09	
0.55	0.4947176	0.03298118	4E-09	
0.552	0.5017365	0.0334491	4E-09	
0.554	0.5082874	0.03388583	4E-09	
0.5560001	0.5144016	0.03429344	4E-09	
0.558	0.5201081	0.03467387	4E-09	
0.56	0.5254343	0.03502895	4E-09	
