Time	Arm_X	Arm_Y	Arm_Z	
0.051	0.1245757	-0.08529922	-1.573375E-05	
0.0515	0.1245588	-0.08550244	-1.587421E-05	
0.052	0.1245413	-0.08570763	-1.60142E-05	
0.0525	0.1245234	-0.08591477	-1.61537E-05	
0.053	0.1245049	-0.08612386	-1.629271E-05	
0.0535	0.1244859	-0.08633491	-1.643123E-05	
0.054	0.1244663	-0.0865479	-1.656925E-05	
0.0545	0.1244462	-0.08676285	-1.670676E-05	
0.055	0.1244255	-0.08697974	-1.684376E-05	
0.0555	0.1244043	-0.08719858	-1.698025E-05	
0.056	0.1243824	-0.08741935	-1.71162E-05	
0.0565	0.12436	-0.08764207	-1.725163E-05	
0.057	0.124337	-0.08786672	-1.738652E-05	
0.0575	0.1243133	-0.08809332	-1.752087E-05	
0.058	0.1242891	-0.08832184	-1.765467E-05	
0.0585	0.1242642	-0.0885523	-1.778792E-05	
0.059	0.1242386	-0.08878469	-1.79206E-05	
0.0595	0.1242124	-0.08901899	-1.805271E-05	
0.06	0.1241856	-0.08925524	-1.818426E-05	
0.0605	0.124158	-0.08949339	-1.831522E-05	
0.061	0.1241298	-0.08973347	-1.844559E-05	
0.0615	0.1241008	-0.08997545	-1.857537E-05	
0.062	0.1240712	-0.09021936	-1.870456E-05	
0.0625	0.1240408	-0.09046517	-1.883313E-05	
0.063	0.1240097	-0.0907129	-1.89611E-05	
0.0635	0.1239778	-0.09096252	-1.908844E-05	
0.064	0.1239452	-0.09121405	-1.921516E-05	
0.0645	0.1239118	-0.09146747	-1.934125E-05	
0.06500001	0.1238776	-0.09172279	-1.946669E-05	
0.06550001	0.1238426	-0.09198	-1.959149E-05	
0.066	0.1238068	-0.0922391	-1.971564E-05	
0.0665	0.1237703	-0.0925001	-1.983913E-05	
0.067	0.1237328	-0.09276297	-1.996195E-05	
0.0675	0.1236945	-0.09302771	-2.00841E-05	
0.068	0.1236554	-0.09329434	-2.020557E-05	
0.0685	0.1236154	-0.09356283	-2.032636E-05	
0.06900001	0.1235745	-0.09383319	-2.044645E-05	
0.06950001	0.1235328	-0.09410542	-2.056584E-05	
0.07	0.1234901	-0.0943795	-2.068452E-05	
0.0705	0.1234465	-0.09465544	-2.080249E-05	
0.071	0.123402	-0.09493323	-2.091974E-05	
0.0715	0.1233565	-0.09521286	-2.103625E-05	
0.072	0.1233101	-0.09549434	-2.115204E-05	
0.07250001	0.1232627	-0.09577765	-2.126708E-05	
0.07300001	0.1232143	-0.0960628	-2.138137E-05	
0.0735	0.1231649	-0.09634978	-2.14949E-05	
0.074	0.1231145	-0.09663858	-2.160766E-05	
0.0745	0.1230631	-0.09692921	-2.171966E-05	
0.075	0.1230106	-0.09722165	-2.183088E-05	
0.0755	0.1229571	-0.0975159	-2.194131E-05	
0.07600001	0.1229026	-0.09781195	-2.205094E-05	
0.07650001	0.1228469	-0.0981098	-2.215978E-05	
0.07700001	0.1227902	-0.09840944	-2.22678E-05	
0.0775	0.1227324	-0.09871089	-2.237501E-05	
0.078	0.1226735	-0.0990141	-2.24814E-05	
0.0785	0.1226134	-0.0993191	-2.258695E-05	
0.079	0.1225522	-0.09962587	-2.269167E-05	
0.0795	0.1224898	-0.09993441	-2.279554E-05	
0.08000001	0.1224262	-0.1002447	-2.289856E-05	
0.08050001	0.1223615	-0.1005568	-2.300071E-05	
0.081	0.1222956	-0.1008705	-2.310199E-05	
0.0815	0.1222284	-0.1011861	-2.32024E-05	
0.082	0.12216	-0.1015034	-2.330193E-05	
0.0825	0.1220904	-0.1018224	-2.340055E-05	
0.083	0.1220195	-0.1021431	-2.349829E-05	
0.08350001	0.1219474	-0.1024656	-2.359511E-05	
0.08400001	0.121874	-0.1027897	-2.369101E-05	
0.08450001	0.1217992	-0.1031156	-2.378599E-05	
0.085	0.1217232	-0.1034431	-2.388004E-05	
0.0855	0.1216458	-0.1037724	-2.397315E-05	
0.086	0.1215671	-0.1041033	-2.406532E-05	
0.0865	0.121487	-0.1044359	-2.415652E-05	
0.087	0.1214055	-0.1047702	-2.424676E-05	
0.08750001	0.1213227	-0.1051061	-2.433603E-05	
0.08800001	0.1212384	-0.1054437	-2.442433E-05	
0.0885	0.1211528	-0.1057829	-2.451163E-05	
0.089	0.1210657	-0.1061238	-2.459794E-05	
0.0895	0.1209772	-0.1064663	-2.468324E-05	
0.09	0.1208872	-0.1068104	-2.476753E-05	
0.0905	0.1207957	-0.1071561	-2.48508E-05	
0.09100001	0.1207027	-0.1075034	-2.493304E-05	
0.09150001	0.1206083	-0.1078523	-2.501424E-05	
0.09200001	0.1205123	-0.1082028	-2.50944E-05	
0.0925	0.1204147	-0.1085549	-2.51735E-05	
0.093	0.1203157	-0.1089085	-2.525155E-05	
0.0935	0.120215	-0.1092637	-2.532852E-05	
0.094	0.1201128	-0.1096205	-2.540441E-05	
0.09450001	0.120009	-0.1099788	-2.547922E-05	
0.09500001	0.1199036	-0.1103386	-2.555293E-05	
0.09550001	0.1197965	-0.1106999	-2.562554E-05	
0.096	0.1196878	-0.1110628	-2.569703E-05	
0.0965	0.1195774	-0.1114271	-2.576741E-05	
0.097	0.1194654	-0.111793	-2.583665E-05	
0.0975	0.1193517	-0.1121603	-2.590477E-05	
0.098	0.1192363	-0.1125291	-2.597173E-05	
0.09850001	0.1191191	-0.1128993	-2.603754E-05	
0.09900001	0.1190003	-0.113271	-2.610219E-05	
0.09950001	0.1188797	-0.1136441	-2.616567E-05	
0.1	0.1187573	-0.1140187	-2.622796E-05	
0.1005	0.1186331	-0.1143947	-2.628907E-05	
0.101	0.1185072	-0.114772	-2.634898E-05	
0.1015	0.1183794	-0.1151508	-2.640768E-05	
0.102	0.1182498	-0.1155309	-2.646518E-05	
0.1025	0.1181184	-0.1159125	-2.652145E-05	
0.103	0.1179851	-0.1162953	-2.657648E-05	
0.1035	0.11785	-0.1166796	-2.663028E-05	
0.104	0.1177129	-0.1170651	-2.668283E-05	
0.1045	0.117574	-0.117452	-2.673413E-05	
0.105	0.1174331	-0.1178402	-2.678416E-05	
0.1055	0.1172904	-0.1182296	-2.683291E-05	
0.106	0.1171456	-0.1186204	-2.688038E-05	
0.1065	0.1169989	-0.1190124	-2.692656E-05	
0.107	0.1168503	-0.1194057	-2.697145E-05	
0.1075	0.1166996	-0.1198002	-2.701502E-05	
0.108	0.116547	-0.120196	-2.705728E-05	
0.1085	0.1163923	-0.1205929	-2.709821E-05	
0.109	0.1162355	-0.1209911	-2.713781E-05	
0.1095	0.1160768	-0.1213905	-2.717606E-05	
0.11	0.1159159	-0.121791	-2.721297E-05	
0.1105	0.115753	-0.1221927	-2.724851E-05	
0.111	0.115588	-0.1225955	-2.728269E-05	
0.1115	0.1154209	-0.1229995	-2.731549E-05	
0.112	0.1152516	-0.1234046	-2.73469E-05	
