Time	MV	Muscle2	Len	
0.0218	-0.07001022	1.195943	-0.04832015	
0.022	-0.07009316	1.195943	-0.04831935	
0.0222	-0.07017604	1.195943	-0.04831858	
0.0224	-0.07025882	1.195943	-0.04831785	
0.0226	-0.07034151	1.195943	-0.04831714	
0.0228	-0.07042411	1.243423	-0.04831646	
0.023	-0.0705066	1.243423	-0.04831581	
0.0232	-0.07058898	1.243423	-0.04831519	
0.0234	-0.07067122	1.243423	-0.04831459	
0.0236	-0.07075335	1.243423	-0.04831401	
0.0238	-0.07083534	1.287325	-0.04831346	
0.024	-0.07091717	1.287325	-0.04831294	
0.0242	-0.07099887	1.287325	-0.04831244	
0.0244	-0.07108042	1.287325	-0.04831195	
0.0246	-0.07116181	1.287325	-0.04831149	
0.0248	-0.07124303	1.327824	-0.04831104	
0.025	-0.07132409	1.327824	-0.04831062	
0.0252	-0.07140499	1.327824	-0.04831021	
0.0254	-0.07148571	1.327824	-0.04830982	
0.0256	-0.07156625	1.327824	-0.04830945	
0.0258	-0.07164661	1.365209	-0.04830909	
0.026	-0.07172679	1.365209	-0.04830875	
0.0262	-0.0718068	1.365209	-0.04830842	
0.0264	-0.07188661	1.365209	-0.04830811	
0.0266	-0.07196623	1.365209	-0.04830781	
0.0268	-0.07204567	1.399632	-0.04830752	
0.027	-0.07212491	1.399632	-0.04830725	
0.0272	-0.07220396	1.399632	-0.04830699	
0.0274	-0.07228282	1.399632	-0.04830674	
0.0276	-0.07236148	1.399632	-0.04830649	
0.0278	-0.07243994	1.431385	-0.04830626	
0.028	-0.07251821	1.431385	-0.04830604	
0.0282	-0.07259627	1.431385	-0.04830584	
0.0284	-0.07267413	1.431385	-0.04830563	
0.0286	-0.07275178	1.431385	-0.04830544	
0.0288	-0.07282924	1.460537	-0.04830525	
0.029	-0.07290649	1.460537	-0.04830508	
0.0292	-0.07298354	1.460537	-0.04830491	
0.0294	-0.07306039	1.460537	-0.04830475	
0.0296	-0.07313704	1.460537	-0.0483046	
0.0298	-0.07321348	1.487324	-0.04830445	
0.03	-0.07328971	1.487324	-0.04830431	
0.0302	-0.07336574	1.487324	-0.04830418	
0.0304	-0.07344156	1.487324	-0.04830405	
0.0306	-0.07351717	1.487324	-0.04830393	
0.0308	-0.07359258	1.511968	-0.04830381	
0.031	-0.07366779	1.511968	-0.0483037	
0.0312	-0.07374278	1.511968	-0.0483036	
0.0314	-0.07381757	1.511968	-0.0483035	
0.0316	-0.07389216	1.511968	-0.0483034	
0.0318	-0.07396654	1.534501	-0.04830331	
0.032	-0.07404071	1.534501	-0.04830322	
0.0322	-0.07411469	1.534501	-0.04830314	
0.0324	-0.07418845	1.534501	-0.04830306	
0.0326	-0.07426201	1.534501	-0.04830298	
0.0328	-0.07433537	1.555183	-0.04830291	
0.033	-0.07440852	1.555183	-0.04830284	
0.0332	-0.07448146	1.555183	-0.04830278	
0.0334	-0.0745542	1.555183	-0.04830271	
0.0336	-0.07462674	1.555183	-0.04830265	
0.0338	-0.07469908	1.574024	-0.0483026	
0.034	-0.07477121	1.574024	-0.04830254	
0.0342	-0.07484314	1.574024	-0.04830249	
0.0344	-0.07491487	1.574024	-0.04830245	
0.0346	-0.0749864	1.574024	-0.0483024	
0.0348	-0.07505772	1.591234	-0.04830235	
0.035	-0.07512885	1.591234	-0.04830232	
0.0352	-0.07519977	1.591234	-0.04830228	
0.0354	-0.07527049	1.591234	-0.04830224	
0.0356	-0.07534102	1.591234	-0.0483022	
0.0358	-0.07541135	1.606865	-0.04830217	
0.036	-0.07548147	1.606865	-0.04830214	
0.0362	-0.07555141	1.606865	-0.04830211	
0.0364	-0.07562114	1.606865	-0.04830208	
0.0366	-0.07569067	1.606865	-0.04830205	
0.0368	-0.07576001	1.62108	-0.04830203	
0.037	-0.07582915	1.62108	-0.04830201	
0.0372	-0.07589809	1.62108	-0.04830198	
0.0374	-0.07596684	1.62108	-0.04830196	
0.0376	-0.07603539	1.62108	-0.04830195	
0.0378	-0.07610375	1.633974	-0.04830192	
0.038	-0.0761719	1.633974	-0.04830191	
0.0382	-0.07623988	1.633974	-0.04830189	
0.0384	-0.07630765	1.633974	-0.04830188	
0.0386	-0.07637525	1.633974	-0.04830186	
0.0388	-0.07644264	1.645548	-0.04830185	
0.039	-0.07650983	1.645548	-0.04830184	
0.0392	-0.07657684	1.645548	-0.04830183	
0.0394	-0.07664366	1.645548	-0.04830182	
0.0396	-0.07671029	1.645548	-0.0483018	
0.0398	-0.07677673	1.656001	-0.04830179	
0.04	-0.07684297	1.656001	-0.04830179	
0.0402	-0.07690904	1.656001	-0.04830178	
0.0404	-0.07697491	1.656001	-0.04830177	
0.0406	-0.07545715	1.656001	-0.04830176	
0.0408	-0.07407823	1.665322	-0.04830175	
0.041	-0.07282424	1.665322	-0.04830175	
0.0412	-0.07168292	1.665322	-0.04830175	
0.0414	-0.07064342	1.665322	-0.04830174	
0.0416	-0.06969615	1.665322	-0.04830174	
0.0418	-0.0688326	1.678775	-0.04830173	
0.042	-0.06804515	1.678775	-0.04830173	
0.0422	-0.06732703	1.678775	-0.04830173	
0.0424	-0.06667215	1.678775	-0.04830173	
0.0426	-0.06607509	1.678775	-0.04830173	
0.0428	-0.06553091	1.725202	-0.04830173	
0.043	-0.06503522	1.725202	-0.04830174	
0.0432	-0.064584	1.725202	-0.04830174	
0.0434	-0.06417366	1.725202	-0.04830175	
0.0436	-0.06380091	1.725202	-0.04830175	
0.0438	-0.06346279	1.812013	-0.04830175	
0.044	-0.06315657	1.812013	-0.04830177	
0.0442	-0.0628798	1.812013	-0.04830179	
0.0444	-0.06263022	1.812013	-0.04830181	
0.0446	-0.06240577	1.812013	-0.04830182	
0.0448	-0.06220457	1.936956	-0.04830184	
0.045	-0.06202489	1.936956	-0.04830187	
0.0452	-0.06186514	1.936956	-0.04830191	
