Time	3	AVm	ArmVisible	Rotation	
0	-0.05	0	1	0	
0.0002	-0.05	0	1	0	
0.0004	-0.05	0	1	0	
0.0006	-0.05	0	1	0	
0.0008	-0.05	0	1	0	
0.0009999999	-0.05	0	1	0	
0.0012	-0.05	0	1	0	
0.0014	-0.05	0	1	0	
0.0016	-0.05	0	1	0	
0.0018	-0.05	0.04	1	0	
0.002	-0.05	0.04	1	0	
0.0022	-0.05	0.04	1	0	
0.0024	-0.05	0.04	1	0	
0.0026	-0.05	0.04	1	0	
0.0028	-0.05	0.04	1	-2.326334E-09	
0.003	-0.05	0.04	1	-2.326334E-09	
0.0032	-0.05	0.04	1	-2.326334E-09	
0.0034	-0.05	0.04	1	-2.326334E-09	
0.0036	-0.05	0.04	1	-2.326334E-09	
0.0038	-0.05	0.07839999	1	-4.625233E-09	
0.004	-0.05	0.07839999	1	-4.625233E-09	
0.0042	-0.05	0.07839999	1	-4.625233E-09	
0.0044	-0.05	0.07839999	1	-4.625233E-09	
0.0046	-0.05	0.07839999	1	-4.625233E-09	
0.0048	-0.05	0.07839999	1	-6.896872E-09	
0.005	-0.05	0.07839999	1	-6.896872E-09	
0.0052	-0.05	0.07839999	1	-6.896872E-09	
0.0054	-0.05	0.07839999	1	-6.896872E-09	
0.0056	-0.05	0.07839999	1	-6.896872E-09	
0.0058	-0.05	0.115264	1	-9.141575E-09	
0.006	-0.05	0.115264	1	-9.141575E-09	
0.0062	-0.05	0.115264	1	-9.141575E-09	
0.0064	-0.05	0.115264	1	-9.141575E-09	
0.0066	-0.05	0.115264	1	-9.141575E-09	
0.0068	-0.0499201	0.115264	1	-1.135966E-08	
0.007	-0.04984552	0.115264	1	-1.135966E-08	
0.0072	-0.04977591	0.115264	1	-1.135966E-08	
0.0074	-0.04971094	0.115264	1	-1.135966E-08	
0.0076	-0.04965028	0.115264	1	-1.135966E-08	
0.0078	-0.04959365	0.1506534	1	-1.355144E-08	
0.007999999	-0.04954078	0.1506534	1	-1.355144E-08	
0.0082	-0.04949141	0.1506534	1	-1.355144E-08	
0.0084	-0.04944532	0.1506534	1	-1.355144E-08	
0.008599999	-0.04940228	0.1506534	1	-1.355144E-08	
0.0088	-0.04936209	0.1506534	1	-1.571724E-08	
0.009	-0.04932455	0.1506534	1	-1.571724E-08	
0.0092	-0.04928951	0.1506534	1	-1.571724E-08	
0.0094	-0.04925678	0.1506534	1	-1.571724E-08	
0.0096	-0.04922622	0.1506534	1	-1.571724E-08	
0.0098	-0.04919768	0.1846273	1	-1.785735E-08	
0.01	-0.04917104	0.1846273	1	-1.785735E-08	
0.0102	-0.04914616	0.1846273	1	-1.785735E-08	
0.0104	-0.04912293	0.1846273	1	-1.785735E-08	
0.0106	-0.04910125	0.1846273	1	-1.785735E-08	
0.0108	-0.04908101	0.1846273	1	6.964173E-06	
0.011	-0.04906211	0.1846273	1	6.964173E-06	
0.0112	-0.04904446	0.1846273	1	6.964173E-06	
0.0114	-0.049028	0.1846273	1	6.964173E-06	
0.0116	-0.04901264	0.1846273	1	6.964173E-06	
0.0118	-0.0489983	0.2172422	1	1.890644E-05	
0.012	-0.04898493	0.2172422	1	1.890644E-05	
0.0122	-0.04897245	0.2172422	1	1.890644E-05	
0.0124	-0.04896081	0.2172422	1	1.890644E-05	
0.0126	-0.04894996	0.2172422	1	1.890644E-05	
0.0128	-0.04893984	0.2172422	1	3.436997E-05	
0.013	-0.0489304	0.2172422	1	3.436997E-05	
0.0132	-0.04892161	0.2172422	1	3.436997E-05	
0.0134	-0.04891342	0.2172422	1	3.436997E-05	
0.0136	-0.04890579	0.2172422	1	3.436997E-05	
0.0138	-0.04889869	0.2485525	1	5.233303E-05	
0.014	-0.04889207	0.2485525	1	5.233303E-05	
0.0142	-0.04888592	0.2485525	1	5.233303E-05	
0.0144	-0.04888019	0.2485525	1	5.233303E-05	
0.0146	-0.04887486	0.2485525	1	5.233303E-05	
0.0148	-0.04886991	0.2485525	1	7.206834E-05	
0.015	-0.04886531	0.2485525	1	7.206834E-05	
0.0152	-0.04886104	0.2485525	1	7.206834E-05	
0.0154	-0.04885707	0.2485525	1	7.206834E-05	
0.0156	-0.04885339	0.2485525	1	7.206834E-05	
0.0158	-0.04884999	0.2786104	1	9.305733E-05	
0.016	-0.04884683	0.2786104	1	9.305733E-05	
0.0162	-0.04884391	0.2786104	1	9.305733E-05	
0.0164	-0.0488412	0.2786104	1	9.305733E-05	
0.0166	-0.0488387	0.2786104	1	9.305733E-05	
0.0168	-0.0488364	0.2786104	1	0.0001149297	
0.017	-0.04883427	0.2786104	1	0.0001149297	
0.0172	-0.04883231	0.2786104	1	0.0001149297	
0.0174	-0.04883051	0.2786104	1	0.0001149297	
0.0176	-0.04871653	0.2786104	1	0.0001149297	
0.0178	-0.04861028	0.307466	1	0.0001374207	
0.018	-0.04851123	0.307466	1	0.0001374207	
0.0182	-0.04841887	0.307466	1	0.0001374207	
0.0184	-0.04833274	0.307466	1	0.0001374207	
0.0186	-0.04825242	0.307466	1	0.0001374207	
0.0188	-0.04817751	0.307466	1	0.000160341	
0.019	-0.04810764	0.307466	1	0.000160341	
0.0192	-0.04804246	0.307466	1	0.000160341	
0.0194	-0.04798167	0.307466	1	0.000160341	
0.0196	-0.04792496	0.307466	1	0.000160341	
0.0198	-0.04787206	0.3351673	1	0.0001835552	
0.02	-0.04782271	0.3351673	1	0.0001835552	
0.0202	-0.04777668	0.3351673	1	0.0001835552	
0.0204	-0.04773375	0.3351673	1	0.0001835552	
0.0206	-0.04769371	0.3351673	1	0.0001835552	
0.0208	-0.04765636	0.3351673	1	0.0002092126	
0.021	-0.04762153	0.3351673	1	0.0002092126	
0.0212	-0.04758905	0.3351673	1	0.0002092126	
0.0214	-0.04755876	0.3351673	1	0.0002092126	
0.0216	-0.04753052	0.3351673	1	0.0002092126	
0.0218	-0.0475042	0.3617606	1	0.0002441517	
0.022	-0.04747967	0.3617606	1	0.0002441517	
0.0222	-0.04745681	0.3617606	1	0.0002441517	
0.0224	-0.04743551	0.3617606	1	0.0002441517	
0.0226	-0.04741567	0.3617606	1	0.0002441517	
0.0228	-0.0473972	0.3617606	1	0.0002856402	
0.023	-0.04738	0.3617606	1	0.0002856402	
0.0232	-0.04736399	0.3617606	1	0.0002856402	
0.0234	-0.04734909	0.3617606	1	0.0002856402	
0.0236	-0.04733523	0.3617606	1	0.0002856402	
0.0238	-0.04732235	0.3872902	1	0.000331754	
0.024	-0.04731037	0.3872902	1	0.000331754	
0.0242	-0.04729925	0.3872902	1	0.000331754	
0.0244	-0.04728892	0.3872902	1	0.000331754	
0.0246	-0.04727933	0.3872902	1	0.000331754	
0.0248	-0.04727044	0.3872902	1	0.0003811315	
0.025	-0.04726219	0.3872902	1	0.0003811315	
0.0252	-0.04725455	0.3872902	1	0.0003811315	
0.0254	-0.04724749	0.3872902	1	0.0003811315	
0.0256	-0.04724095	0.3872902	1	0.0003811315	
0.0258	-0.04723491	0.4117986	1	0.0004328061	
0.026	-0.04722933	0.4117986	1	0.0004328061	
0.0262	-0.04722419	0.4117986	1	0.0004328061	
0.0264	-0.04721945	0.4117986	1	0.0004328061	
0.0266	-0.04721509	0.4117986	1	0.0004328061	
0.0268	-0.04721109	0.4117986	1	0.0004860896	
0.027	-0.04720742	0.4117986	1	0.0004860896	
0.0272	-0.04720406	0.4117986	1	0.0004860896	
0.0274	-0.04720099	0.4117986	1	0.0004860896	
0.0276	-0.0471982	0.4117986	1	0.0004860896	
0.0278	-0.04719565	0.4353266	1	0.0005404911	
0.028	-0.04719334	0.4353266	1	0.0005404911	
0.0282	-0.04719126	0.4353266	1	0.0005404911	
0.0284	-0.04718938	0.4353266	1	0.0005404911	
0.0286	-0.0471877	0.4353266	1	0.0005404911	
0.0288	-0.0471862	0.4353266	1	0.0005956603	
0.029	-0.04718487	0.4353266	1	0.0005956603	
0.0292	-0.0471837	0.4353266	1	0.0005956603	
