Time	3	AVm	Rotation	
0	-0.05	0	0	
0.0002	-0.05	0	0	
0.0004	-0.05	0	0	
0.0006	-0.05	0	0	
0.0008	-0.05	0	0	
0.0009999999	-0.05	0	0	
0.0012	-0.05	0	0	
0.0014	-0.05	0	0	
0.0016	-0.05	0	0	
0.0018	-0.05	0.04	-9.07992E-16	
0.002	-0.05	0.04	-9.07992E-16	
0.0022	-0.05	0.04	-9.07992E-16	
0.0024	-0.05	0.04	-9.07992E-16	
0.0026	-0.05	0.04	-9.07992E-16	
0.0028	-0.05	0.04	-9.07992E-16	
0.003	-0.05	0.04	-9.07992E-16	
0.0032	-0.05	0.04	-9.07992E-16	
0.0034	-0.05	0.04	-9.07992E-16	
0.0036	-0.05	0.04	-9.07992E-16	
0.0038	-0.05	0.07839999	-0.0003205248	
0.004	-0.05	0.07839999	-0.0003205248	
0.0042	-0.05	0.07839999	-0.0003205248	
0.0044	-0.05	0.07839999	-0.0003205248	
0.0046	-0.05	0.07839999	-0.0003205248	
0.0048	-0.05	0.07839999	-0.0007809147	
0.005	-0.05	0.07839999	-0.0007809147	
0.0052	-0.05	0.07839999	-0.0007809147	
0.0054	-0.05	0.07839999	-0.0007809147	
0.0056	-0.05	0.07839999	-0.0007809147	
0.0058	-0.05	0.115264	-0.001382336	
0.006	-0.05	0.115264	-0.001382336	
0.0062	-0.05	0.115264	-0.001382336	
0.0064	-0.05	0.115264	-0.001382336	
0.0066	-0.05	0.115264	-0.001382336	
0.0068	-0.0499201	0.115264	-0.002125719	
0.007	-0.04984552	0.115264	-0.002125719	
0.0072	-0.04977591	0.115264	-0.002125719	
0.0074	-0.04971094	0.115264	-0.002125719	
0.0076	-0.04965028	0.115264	-0.002125719	
0.0078	-0.04959365	0.1506534	-0.003011812	
0.007999999	-0.04954078	0.1506534	-0.003011812	
0.0082	-0.04949141	0.1506534	-0.003011812	
0.0084	-0.04944532	0.1506534	-0.003011812	
0.008599999	-0.04940228	0.1506534	-0.003011812	
0.0088	-0.04936209	0.1506534	-0.00404121	
0.009	-0.04932455	0.1506534	-0.00404121	
0.0092	-0.04928951	0.1506534	-0.00404121	
0.0094	-0.04925678	0.1506534	-0.00404121	
0.0096	-0.04922622	0.1506534	-0.00404121	
0.0098	-0.04919768	0.1846273	-0.005214389	
0.01	-0.04917104	0.1846273	-0.005214389	
0.0102	-0.04914616	0.1846273	-0.005214389	
