Time	Hinge	Srt	Mrt	Mlt	Slt	Srl	Mrl	Mll	Sll	Left	Right	
0.063	-0.3748051	79.17804	0	0	82.30911	1.445426	2	2	3.231304	0	0	
0.064	-0.3816169	79.34008	0	0	81.62097	1.436327	2	2	3.223695	0	0	
0.06500001	-0.388392	79.48666	0	0	80.94031	1.427323	2	2	3.216095	0	0	
0.066	-0.3951303	79.61897	0	0	80.26637	1.418414	2	2	3.208507	0	0	
0.067	-0.4018316	79.73786	0	0	79.59842	1.4096	2	2	3.20093	0	0	
0.068	-0.408496	79.8434	0	0	78.93649	1.400883	2	2	3.193365	0	0	
0.06900001	-0.4151234	79.93699	0	0	78.27945	1.392262	2	2	3.185812	0	0	
0.07	-0.4217142	80.01944	0	0	77.62659	1.383738	2	2	3.178273	0	0	
0.071	-0.4282684	80.09124	0	0	76.97752	1.37531	2	2	3.170746	0	0	
0.072	-0.4347863	80.15276	0	0	76.33183	1.36698	2	2	3.163233	0	0	
0.07300001	-0.4412684	80.20464	0	0	75.68895	1.358746	2	2	3.155734	0	0	
0.074	-0.4477147	80.24743	0	0	75.04846	1.350609	2	2	3.148248	0	0	
0.075	-0.4541258	80.28106	0	0	74.41027	1.342568	2	2	3.140776	0	0	
0.07600001	-0.460502	80.30686	0	0	73.77312	1.334624	2	2	3.133318	0	0	
0.07700001	-0.466844	80.32472	0	0	73.13696	1.326776	2	2	3.125873	0	0	
0.078	-0.473152	80.33549	0	0	72.50095	1.319024	2	2	3.118442	0	0	
0.079	-0.4794268	80.3394	0	0	71.86469	1.311368	2	2	3.111025	0	0	
0.08000001	-0.4856689	80.33626	0	0	71.22826	1.303807	2	2	3.10362	0	0	
0.081	-0.4918789	80.32632	0	0	70.59129	1.29634	2	2	3.096229	0	0	
0.082	-0.4980574	80.30991	0	0	69.95325	1.288969	2	2	3.08885	0	0	
0.083	-0.5042052	80.28759	0	0	69.31345	1.281691	2	2	3.081484	0	0	
0.08400001	-0.5103227	80.25916	0	0	68.67184	1.274507	2	2	3.074129	0	0	
0.085	-0.5164108	80.22489	0	0	68.02805	1.267417	2	2	3.066786	0	0	
0.086	-0.5224702	80.18527	0	0	67.38122	1.260419	2	2	3.059454	0	0	
0.087	-0.5285016	80.14063	0	0	66.73081	1.253513	2	2	3.052133	0	0	
0.08800001	-0.5345058	80.09031	0	0	66.07729	1.246699	2	2	3.044821	0	0	
0.089	-0.5404838	80.03431	0	0	65.4202	1.239977	2	2	3.037519	0	0	
0.09	-0.5464361	79.97308	0	0	64.7589	1.233345	2	2	3.030225	0	0	
0.09100001	-0.5523637	79.90665	0	0	64.09308	1.226804	2	2	3.022939	0	0	
0.09200001	-0.5582674	79.8345	0	0	63.42284	1.220353	2	2	3.01566	0	0	
0.093	-0.5641479	79.75726	0	0	62.74722	1.213992	2	2	3.008388	0	0	
0.094	-0.5700063	79.67447	0	0	62.06633	1.20772	2	2	3.001122	0	0	
0.09500001	-0.5758433	79.58642	0	0	61.37957	1.201536	2	2	2.993861	0	0	
0.096	-0.5816599	79.49212	0	0	60.68749	1.195441	2	2	2.986604	0	0	
0.097	-0.5874569	79.39225	0	0	59.98893	1.189434	2	2	2.979351	0	0	
0.098	-0.593235	79.2865	0	0	59.28395	1.183514	2	2	2.9721	0	0	
0.09900001	-0.5989954	79.17444	0	0	58.5724	1.177682	2	2	2.964851	0	0	
0.1	-0.6047389	79.05618	0	0	57.85388	1.171937	2	2	2.957603	0	0	
0.101	-0.6104664	78.93169	0	0	57.12773	1.166278	2	2	2.950355	0	0	
0.102	-0.6161789	78.80036	0	0	56.39423	1.160706	2	2	2.943106	0	0	
0.103	-0.6218772	78.66184	0	0	55.65336	1.155221	2	2	2.935855	0	0	
0.104	-0.6275622	78.51595	0	0	54.90469	1.149821	2	2	2.928601	0	0	
0.105	-0.633235	78.36295	0	0	54.1474	1.144508	2	2	2.921343	0	0	
0.106	-0.6388963	78.20222	0	0	53.38156	1.13928	2	2	2.914081	0	0	
0.107	-0.6445473	78.03333	0	0	52.60713	1.134139	2	2	2.906812	0	0	
0.108	-0.6501889	77.85619	0	0	51.82358	1.129083	2	2	2.899537	0	0	
0.109	-0.6558217	77.67019	0	0	51.03111	1.124113	2	2	2.892254	0	0	
0.11	-0.661447	77.47485	0	0	50.22969	1.119229	2	2	2.884962	0	0	
0.111	-0.6670657	77.26978	0	0	49.41907	1.114431	2	2	2.87766	0	0	
0.112	-0.6726786	77.05516	0	0	48.59824	1.109719	2	2	2.870346	0	0	
0.113	-0.6782866	76.83009	0	0	47.76772	1.105094	2	2	2.863021	0	0	
0.114	-0.6838908	76.59412	0	0	46.92735	1.100556	2	2	2.855682	0	0	
0.115	-0.689492	76.34704	0	0	46.07662	1.096105	2	2	2.848329	0	0	
0.116	-0.6950913	76.0883	0	0	45.21555	1.091741	2	2	2.840961	0	0	
0.117	-0.7006894	75.81715	0	0	44.34435	1.087465	2	2	2.833575	0	0	
0.118	-0.7062874	75.53315	0	0	43.46293	1.083278	2	2	2.826173	0	0	
0.119	-0.711886	75.23637	0	0	42.57021	1.079179	2	2	2.818751	0	0	
0.12	-0.7174863	74.92577	0	0	41.66668	1.075171	2	2	2.811309	0	0	
0.121	-0.7230893	74.60104	0	0	40.75213	1.071252	2	2	2.803847	0	0	
0.122	-0.7286955	74.26111	0	0	39.82738	1.067424	2	2	2.796362	0	0	
0.123	-0.7343061	73.906	0	0	38.8912	1.063689	2	2	2.788855	0	0	
0.124	-0.7399218	73.53501	0	0	37.94402	1.060045	2	2	2.781323	0	0	
0.125	-0.7455434	73.14718	0	0	36.98637	1.056495	2	2	2.773766	0	0	
0.126	-0.7511719	72.74213	0	0	36.01796	1.05304	2	2	2.766183	0	0	
0.127	-0.756808	72.31943	0	0	35.03853	1.04968	2	2	2.758573	0	0	
0.128	-0.7624524	71.87855	0	0	34.04791	1.046417	2	2	2.750934	0	0	
0.129	-0.7681059	71.41878	0	0	33.04661	1.043252	2	2	2.743266	0	0	
0.13	-0.7737695	70.93929	0	0	32.03501	1.040185	2	2	2.735568	0	0	
0.131	-0.7794436	70.43951	0	0	31.01345	1.037219	2	2	2.727839	0	0	
0.132	-0.785129	69.91904	0	0	29.98165	1.034355	2	2	2.720077	0	0	
0.133	-0.7908263	69.37741	0	0	28.93974	1.031593	2	2	2.712283	0	0	
0.134	-0.7965363	68.81382	0	0	27.88824	1.028936	2	2	2.704455	0	0	
0.135	-0.8022593	68.22792	0	0	26.82723	1.026385	2	2	2.696594	0	0	
0.136	-0.8079961	67.61921	0	0	25.757	1.023941	2	2	2.688697	0	0	
0.137	-0.813747	66.98706	0	0	24.67835	1.021606	2	2	2.680764	0	0	
0.138	-0.8195128	66.33085	0	0	23.59208	1.019382	2	2	2.672796	0	0	
0.139	-0.8252935	65.65043	0	0	22.49806	1.01727	2	2	2.66479	0	0	
0.14	-0.8310897	64.94553	0	0	21.39605	1.015271	2	2	2.656748	0	0	
0.141	-0.8369017	64.21537	0	0	20.28829	1.013389	2	2	2.648668	0	0	
0.142	-0.8427298	63.46003	0	0	19.1742	1.011623	2	2	2.64055	0	0	
0.143	-0.8485741	62.67923	0	0	18.05481	1.009977	2	2	2.632394	0	0	
0.144	-0.8544348	61.8726	0	0	16.93106	1.00845	2	2	2.6242	0	0	
0.145	-0.8603119	61.04031	0	0	15.80337	1.007047	2	2	2.615968	0	0	
0.146	-0.8662056	60.18207	0	0	14.67329	1.005766	2	2	2.607699	0	0	
0.147	-0.8721156	59.29806	0	0	13.54174	1.004612	2	2	2.599391	0	0	
0.148	-0.8780417	58.38848	0	0	12.40836	1.003585	2	2	2.591047	0	0	
0.149	-0.8839839	57.45353	0	0	11.27537	1.002686	2	2	2.582665	0	0	
0.15	-0.8899416	56.49355	0	0	10.14318	1.001918	2	2	2.574248	0	0	
0.151	-0.8959149	55.50897	0	0	9.012597	1.001281	2	2	2.565795	0	0	
0.152	-0.9019029	54.50024	0	0	7.885705	1.000777	2	2	2.557307	0	0	
0.153	-0.9079052	53.46803	0	0	6.763628	1.000407	2	2	2.548785	0	0	
0.154	-0.9139211	52.4131	0	0	5.646998	1.000172	2	2	2.540231	0	0	
0.155	-0.9199499	51.33633	0	0	4.537402	1.000073	2	2	2.531645	0	0	
0.156	-0.9259908	50.23867	0	0	3.435951	1.000112	2	2	2.52303	0	0	
0.157	-0.9320428	49.12123	0	0	2.344208	1.000288	2	2	2.514386	0	0	
0.158	-0.9381049	47.9852	0	0	1.26308	1.000602	2	2	2.505715	0	0	
0.159	-0.944176	46.83193	0	0	0.1943186	1.001054	2	2	2.49702	0	0	
0.16	-0.9502549	45.66274	0	0	0.8611178	1.001646	2	2	2.488302	0	0	
0.161	-0.9563402	44.47934	0	0	1.900294	1.002377	2	2	2.479563	0	0	
0.162	-0.9624305	43.28321	0	0	2.923998	1.003245	2	2	2.470805	0	0	
0.163	-0.9685244	42.07616	0	0	3.929692	1.004253	2	2	2.462032	0	0	
0.164	-0.9746203	40.86002	0	0	4.915833	1.005397	2	2	2.453245	0	0	
0.165	-0.9807166	39.63665	0	0	5.881361	1.006678	2	2	2.444448	0	0	
0.166	-0.9868113	38.40806	0	0	6.825171	1.008095	2	2	2.435643	0	0	
0.167	-0.9929029	37.17623	0	0	7.746013	1.009646	2	2	2.426833	0	0	
0.168	-0.9989894	35.94314	0	0	8.642942	1.011329	2	2	2.418022	0	0	
0.169	-1.005069	34.71112	0	0	9.514232	1.013143	2	2	2.409211	0	0	
0.17	-1.011139	33.48222	0	0	10.35872	1.015086	2	2	2.400406	0	0	
0.171	-1.017198	32.25864	0	0	11.17545	1.017156	2	2	2.391608	0	0	
0.172	-1.023244	31.04242	0	0	11.96377	1.019348	2	2	2.382822	0	0	
0.173	-1.029274	29.83574	0	0	12.72269	1.021662	2	2	2.37405	0	0	
0.174	-1.035287	28.64081	0	0	13.45099	1.024094	2	2	2.365297	0	0	
0.175	-1.041279	27.45959	0	0	14.14845	1.026641	2	2	2.356567	0	0	
0.176	-1.04725	26.29397	0	0	14.81479	1.0293	2	2	2.347862	0	0	
0.177	-1.053196	25.14587	0	0	15.44938	1.032066	2	2	2.339186	0	0	
0.178	-1.059115	24.01736	0	0	16.05125	1.034936	2	2	2.330543	0	0	
0.179	-1.065006	22.90987	0	0	16.62115	1.037907	2	2	2.321936	0	0	
0.18	-1.070865	21.82553	0	0	17.15724	1.040973	2	2	2.31337	0	0	
0.181	-1.076691	20.76546	0	0	17.66106	1.044131	2	2	2.304847	0	0	
0.182	-1.082481	19.73133	0	0	18.13171	1.047377	2	2	2.296372	0	0	
0.183	-1.088234	18.72425	0	0	18.56984	1.050706	2	2	2.287948	0	0	
0.184	-1.093947	17.74564	0	0	18.975	1.054113	2	2	2.279577	0	0	
0.185	-1.099617	16.79651	0	0	19.34774	1.057593	2	2	2.271264	0	0	
0.186	-1.105244	15.87753	0	0	19.68893	1.061143	2	2	2.263012	0	0	
0.187	-1.110826	14.9896	0	0	19.99876	1.064758	2	2	2.254824	0	0	
0.188	-1.116359	14.13333	0	0	20.27785	1.068432	2	2	2.246702	0	0	
0.189	-1.121843	13.30923	0	0	20.52685	1.072161	2	2	2.23865	0	0	
0.19	-1.127275	12.51783	0	0	20.74609	1.075941	2	2	2.23067	0	0	
0.191	-1.132655	11.75907	0	0	20.93692	1.079766	2	2	2.222765	0	0	
0.192	-1.137981	11.03331	0	0	21.0998	1.083632	2	2	2.214938	0	0	
0.193	-1.14325	10.34036	0	0	21.23589	1.087535	2	2	2.207191	0	0	
0.194	-1.148462	9.68014	0	0	21.34607	1.091469	2	2	2.199527	0	0	
0.195	-1.153616	9.052263	0	0	21.43154	1.095431	2	2	2.191946	0	0	
0.196	-1.15871	8.456665	0	0	21.49285	1.099417	2	2	2.184452	0	0	
0.197	-1.163743	7.892814	0	0	21.53123	1.103422	2	2	2.177045	0	0	
0.198	-1.168715	7.36	0	0	21.54807	1.107442	2	2	2.169728	0	0	
0.199	-1.173623	6.857911	0	0	21.54388	1.111472	2	2	2.162502	0	0	
0.2	-1.178469	6.385549	0	0	21.52044	1.115511	2	2	2.155369	0	0	
0.201	-1.18325	5.942461	0	0	21.47826	1.119553	2	2	2.148328	0	0	
0.202	-1.187967	5.52783	0	0	21.41844	1.123595	2	2	2.141382	0	0	
0.203	-1.192618	5.140783	0	0	21.34218	1.127634	2	2	2.134531	0	0	
0.204	-1.197204	4.780345	0	0	21.25075	1.131666	2	2	2.127776	0	0	
0.205	-1.201724	4.445695	0	0	21.14495	1.135689	2	2	2.121118	0	0	
0.206	-1.206177	4.1359	0	0	21.02591	1.1397	2	2	2.114557	0	0	
0.207	-1.210565	3.850072	0	0	20.89445	1.143695	2	2	2.108093	0	0	
0.208	-1.214886	3.587059	0	0	20.75197	1.147673	2	2	2.101727	0	0	
0.209	-1.21914	3.346247	0	0	20.59874	1.15163	2	2	2.095458	0	0	
0.21	-1.223328	3.126415	0	0	20.43616	1.155565	2	2	2.089286	0	0	
0.211	-1.22745	2.926642	0	0	20.26495	1.159474	2	2	2.083212	0	0	
0.212	-1.231506	2.745888	0	0	20.08616	1.163357	2	2	2.077236	0	0	
0.213	-1.235497	2.583357	0	0	19.9003	1.167212	2	2	2.071356	0	0	
0.214	-1.239422	2.438029	0	0	19.70834	1.171036	2	2	2.065572	0	0	
0.215	-1.243281	2.308967	0	0	19.51108	1.174828	2	2	2.059884	0	0	
0.216	-1.247077	2.195303	0	0	19.30914	1.178586	2	2	2.054291	0	0	
0.217	-1.250808	2.096024	0	0	19.10333	1.18231	2	2	2.048793	0	0	
0.218	-1.254476	2.01039	0	0	18.89419	1.185998	2	2	2.043389	0	0	
0.219	-1.258081	1.937683	0	0	18.68217	1.189648	2	2	2.038077	0	0	
0.22	-1.261623	1.876913	0	0	18.4681	1.19326	2	2	2.032858	0	0	
0.221	-1.265104	1.827445	0	0	18.25228	1.196834	2	2	2.02773	0	0	
