Time	Position	Velocity	FF	
0	0	0	0	
0.001	8.186351E-13	8.186351E-10	0	
0.002	2.494774E-12	1.676139E-09	0	
0.003	5.03042E-12	2.535646E-09	0	
0.004	8.425428E-12	3.395008E-09	0	
0.005	1.267979E-11	4.254363E-09	0	
0.006	1.779327E-11	5.113481E-09	0	
0.007	2.376586E-11	5.972588E-09	0	
0.008	3.059756E-11	6.831694E-09	0	
0.009000001	3.828836E-11	7.690801E-09	0	
0.01	4.683803E-11	8.54967E-09	0	
0.011	5.624656E-11	9.408529E-09	0	
0.012	6.651395E-11	1.026739E-08	0	
0.013	7.764019E-11	1.112625E-08	0	
0.014	8.962506E-11	1.198487E-08	0	
0.015	1.024685E-10	1.284348E-08	0	
0.016	1.161706E-10	1.370209E-08	0	
0.017	1.307313E-10	1.45607E-08	0	
0.018	1.461506E-10	1.541931E-08	0	
0.019	1.624283E-10	1.627768E-08	0	
0.02	1.795644E-10	1.713605E-08	0	
0.021	1.975588E-10	1.799441E-08	0	
0.022	2.164116E-10	1.885277E-08	0	
0.023	2.361227E-10	1.971113E-08	0	
0.024	2.566922E-10	2.056949E-08	0	
0.025	2.7812E-10	2.142786E-08	0	
0.026	3.00406E-10	2.228598E-08	0	
0.027	3.235501E-10	2.31441E-08	0	
0.028	3.475523E-10	2.400221E-08	0	
0.029	3.724127E-10	2.486032E-08	0	
0.03	3.981311E-10	2.571844E-08	0	
0.031	4.247076E-10	2.657655E-08	0	
0.032	4.521423E-10	2.743466E-08	0	
0.033	4.804351E-10	2.829278E-08	0	
0.034	5.09586E-10	2.915089E-08	0	
0.035	5.39595E-10	3.000901E-08	0	
0.036	5.704618E-10	3.086688E-08	0	
0.037	6.021866E-10	3.172475E-08	0	
0.038	6.347692E-10	3.258262E-08	0	
0.039	6.682097E-10	3.344048E-08	0	
0.04	7.02508E-10	3.429835E-08	0	
0.041	7.376642E-10	3.515622E-08	0	
0.042	7.736783E-10	3.601408E-08	0	
0.043	8.105502E-10	3.687195E-08	0	
0.044	8.482801E-10	3.772982E-08	0	
0.045	8.868677E-10	3.858768E-08	0	
0.046	9.263133E-10	3.944555E-08	0	
0.047	9.666167E-10	4.030342E-08	0	
0.048	1.007778E-09	4.116128E-08	0	
0.049	1.049797E-09	4.201915E-08	0	
0.05	1.092674E-09	4.287702E-08	0	
0.051	1.136409E-09	4.373488E-08	0	
0.052	1.181002E-09	4.459275E-08	0	
0.053	1.226452E-09	4.545062E-08	0	
0.054	1.272761E-09	4.630848E-08	0	
0.055	1.319927E-09	4.716635E-08	0	
0.056	1.367952E-09	4.802422E-08	0	
0.057	1.416834E-09	4.888184E-08	0	
0.058	1.466573E-09	4.973946E-08	0	
0.059	1.51717E-09	5.059708E-08	0	
0.06	1.568625E-09	5.14547E-08	0	
0.061	1.620937E-09	5.231232E-08	0	
0.062	1.674107E-09	5.316993E-08	0	
0.063	1.728135E-09	5.402755E-08	0	
0.064	1.78302E-09	5.488517E-08	0	
0.06500001	1.838762E-09	5.574279E-08	0	
0.066	1.895363E-09	5.660041E-08	0	
0.067	1.952821E-09	5.745802E-08	0	
0.068	2.011137E-09	5.831564E-08	0	
0.06900001	2.07031E-09	5.917326E-08	0	
0.07	2.130341E-09	6.003088E-08	0	
0.071	2.191229E-09	6.08885E-08	0	
0.072	2.252975E-09	6.174611E-08	0	
0.07300001	2.315579E-09	6.260373E-08	0	
