Time	A1	A2	A3	A4	A5	A6	
0.168	0.0256399	0.00210465	1.164053E-06	1.17156E-06	0.002118222	0.02580522	
0.17	0.0257258	0.002111701	1.167952E-06	1.175485E-06	0.002125319	0.02589168	
0.172	0.02580919	0.002118546	1.171738E-06	1.179295E-06	0.002132208	0.0259756	
0.174	0.02589011	0.002125189	1.175412E-06	1.182993E-06	0.002138893	0.02605704	
0.176	0.02596861	0.002131632	1.178976E-06	1.186579E-06	0.002145377	0.02613604	
0.178	0.02604471	0.002137879	1.182431E-06	1.190057E-06	0.002151665	0.02621263	
0.18	0.02611848	0.002143933	1.18578E-06	1.193427E-06	0.002157758	0.02628687	
0.182	0.02618994	0.002149799	1.189024E-06	1.196692E-06	0.002163662	0.02635879	
0.184	0.02625914	0.00215548	1.192166E-06	1.199854E-06	0.002169379	0.02642844	
0.186	0.02632613	0.002160979	1.195207E-06	1.202915E-06	0.002174913	0.02649585	
0.188	0.02639094	0.002166299	1.198149E-06	1.205877E-06	0.002180268	0.02656109	
0.19	0.02645363	0.002171445	1.200995E-06	1.208741E-06	0.002185446	0.02662418	
0.192	0.02651424	0.00217642	1.203747E-06	1.21151E-06	0.002190453	0.02668517	
0.194	0.0265728	0.002181227	1.206406E-06	1.214186E-06	0.002195291	0.02674411	
0.196	0.02662936	0.00218587	1.208974E-06	1.216771E-06	0.002199964	0.02680103	
0.198	0.02668398	0.002190352	1.211453E-06	1.219266E-06	0.002204475	0.026856	
0.2	0.02673667	0.002194678	1.213845E-06	1.221674E-06	0.002208829	0.02690903	
0.202	0.02678749	0.00219885	1.216153E-06	1.223996E-06	0.002213027	0.02696018	
0.204	0.02683649	0.002202871	1.218377E-06	1.226234E-06	0.002217075	0.02700949	
0.206	0.02688369	0.002206746	1.22052E-06	1.228391E-06	0.002220974	0.02705699	
0.208	0.02692914	0.002210476	1.222584E-06	1.230468E-06	0.002224729	0.02710273	
0.21	0.02697288	0.002214067	1.22457E-06	1.232466E-06	0.002228342	0.02714675	
0.212	0.02701494	0.002217519	1.226479E-06	1.234388E-06	0.002231816	0.02718908	
0.214	0.02705536	0.002220837	1.228314E-06	1.236235E-06	0.002235156	0.02722976	
0.216	0.02709418	0.002224024	1.230077E-06	1.238009E-06	0.002238363	0.02726882	
0.218	0.02713144	0.002227081	1.231768E-06	1.239711E-06	0.00224144	0.02730631	
0.22	0.02716716	0.002230014	1.23339E-06	1.241343E-06	0.002244391	0.02734226	
0.222	0.02720138	0.002232823	1.234943E-06	1.242906E-06	0.002247219	0.02737671	
0.224	0.02723414	0.002235511	1.23643E-06	1.244403E-06	0.002249925	0.02740967	
0.226	0.02726547	0.002238083	1.237853E-06	1.245835E-06	0.002252513	0.0274412	
0.228	0.02729539	0.002240539	1.239211E-06	1.247202E-06	0.002254985	0.02747131	
0.23	0.02732394	0.002242883	1.240508E-06	1.248506E-06	0.002257344	0.02750005	
0.232	0.02735116	0.002245117	1.241743E-06	1.24975E-06	0.002259591	0.02752744	
0.234	0.02737706	0.002247243	1.242919E-06	1.250933E-06	0.002261731	0.0275535	
0.236	0.02740168	0.002249264	1.244036E-06	1.252058E-06	0.002263765	0.02757828	
0.238	0.02742504	0.002251182	1.245097E-06	1.253125E-06	0.002265695	0.02760179	
0.24	0.02744718	0.002252999	1.246102E-06	1.254137E-06	0.002267523	0.02762406	
0.242	0.02746811	0.002254717	1.247053E-06	1.255093E-06	0.002269252	0.02764512	
0.244	0.02748787	0.002256338	1.24795E-06	1.255995E-06	0.002270884	0.027665	
0.246	0.02750647	0.002257865	1.248794E-06	1.256846E-06	0.002272421	0.02768373	
0.248	0.02752395	0.0022593	1.249588E-06	1.257644E-06	0.002273865	0.02770131	
0.25	0.02754032	0.002260644	1.250331E-06	1.258392E-06	0.002275218	0.02771779	
0.252	0.02755562	0.002261899	1.251026E-06	1.259091E-06	0.002276481	0.02773318	
0.254	0.02756985	0.002263068	1.251672E-06	1.259741E-06	0.002277657	0.02774751	
0.256	0.02758306	0.002264152	1.252271E-06	1.260345E-06	0.002278747	0.02776079	
0.258	0.02759524	0.002265153	1.252825E-06	1.260901E-06	0.002279754	0.02777306	
0.26	0.02760644	0.002266072	1.253333E-06	1.261413E-06	0.002280679	0.02778433	
0.262	0.02761667	0.002266911	1.253798E-06	1.26188E-06	0.002281524	0.02779461	
0.264	0.02762594	0.002267672	1.254219E-06	1.262304E-06	0.00228229	0.02780395	
0.266	0.02763428	0.002268357	1.254597E-06	1.262685E-06	0.002282979	0.02781234	
0.268	0.02764172	0.002268967	1.254935E-06	1.263024E-06	0.002283593	0.02781982	
0.27	0.02764826	0.002269504	1.255232E-06	1.263323E-06	0.002284133	0.0278264	
0.272	0.02765392	0.002269969	1.255489E-06	1.263582E-06	0.002284601	0.0278321	
0.274	0.02765873	0.002270364	1.255708E-06	1.263801E-06	0.002284998	0.02783694	
0.276	0.0276627	0.00227069	1.255888E-06	1.263983E-06	0.002285326	0.02784093	
0.278	0.02766586	0.002270949	1.256031E-06	1.264127E-06	0.002285586	0.0278441	
0.28	0.0276682	0.002271142	1.256137E-06	1.264234E-06	0.00228578	0.02784646	
0.282	0.02766977	0.00227127	1.256209E-06	1.264305E-06	0.002285909	0.02784804	
0.284	0.02767056	0.002271336	1.256245E-06	1.264342E-06	0.002285975	0.02784883	
0.286	0.0276706	0.002271339	1.256246E-06	1.264343E-06	0.002285978	0.02784888	
0.288	0.02766991	0.002271282	1.256215E-06	1.264312E-06	0.002285921	0.02784817	
0.29	0.02766849	0.002271166	1.256151E-06	1.264247E-06	0.002285804	0.02784675	
0.292	0.02766637	0.002270992	1.256055E-06	1.26415E-06	0.002285628	0.02784461	
0.294	0.02766356	0.002270761	1.255927E-06	1.264021E-06	0.002285396	0.02784178	
0.296	0.02766007	0.002270475	1.255768E-06	1.263861E-06	0.002285107	0.02783826	
0.298	0.02765591	0.002270133	1.25558E-06	1.263671E-06	0.002284763	0.02783408	
0.3	0.02765111	0.002269739	1.255362E-06	1.263452E-06	0.002284367	0.02782924	
0.302	0.02764567	0.002269292	1.255115E-06	1.263203E-06	0.002283917	0.02782377	
0.304	0.02763961	0.002268795	1.25484E-06	1.262926E-06	0.002283416	0.02781767	
0.306	0.02763294	0.002268247	1.254537E-06	1.262622E-06	0.002282865	0.02781095	
0.308	0.02762568	0.002267651	1.254207E-06	1.26229E-06	0.002282266	0.02780364	
0.31	0.02761783	0.002267008	1.253851E-06	1.261931E-06	0.002281617	0.02779575	
0.312	0.02760942	0.002266317	1.253469E-06	1.261547E-06	0.002280922	0.02778728	
0.314	0.02760045	0.002265581	1.253062E-06	1.261137E-06	0.002280181	0.02777825	
0.316	0.02759094	0.0022648	1.25263E-06	1.260702E-06	0.002279395	0.02776867	
0.318	0.02758089	0.002263975	1.252174E-06	1.260243E-06	0.002278565	0.02775856	
0.32	0.02757032	0.002263107	1.251694E-06	1.25976E-06	0.002277692	0.02774792	
0.322	0.02755924	0.002262198	1.251191E-06	1.259254E-06	0.002276777	0.02773677	
0.324	0.02754766	0.002261248	1.250665E-06	1.258724E-06	0.00227582	0.02772512	
0.326	0.0275356	0.002260257	1.250118E-06	1.258173E-06	0.002274824	0.02771298	
0.328	0.02752306	0.002259228	1.249549E-06	1.2576E-06	0.002273788	0.02770035	
0.33	0.02751005	0.00225816	1.248958E-06	1.257006E-06	0.002272713	0.02768726	
0.332	0.02749659	0.002257055	1.248347E-06	1.256391E-06	0.002271601	0.02767371	
0.334	0.02748268	0.002255913	1.247715E-06	1.255755E-06	0.002270451	0.02765971	
0.336	0.02746833	0.002254736	1.247064E-06	1.2551E-06	0.002269266	0.02764527	
0.338	0.02745357	0.002253524	1.246394E-06	1.254425E-06	0.002268046	0.02763041	
0.34	0.02743838	0.002252277	1.245704E-06	1.25373E-06	0.002266791	0.02761512	
0.342	0.02742278	0.002250996	1.244996E-06	1.253018E-06	0.002265502	0.02759942	
0.344	0.02740679	0.002249684	1.24427E-06	1.252287E-06	0.002264181	0.02758332	
0.346	0.0273904	0.002248338	1.243526E-06	1.251538E-06	0.002262827	0.02756684	
0.348	0.02737364	0.002246962	1.242765E-06	1.250772E-06	0.002261442	0.02754996	
0.35	0.0273565	0.002245555	1.241987E-06	1.249989E-06	0.002260027	0.02753271	
0.352	0.027339	0.002244119	1.241192E-06	1.249189E-06	0.00225858	0.02751509	
0.354	0.02732114	0.002242653	1.240382E-06	1.248373E-06	0.002257105	0.02749712	
0.356	0.02730294	0.002241159	1.239555E-06	1.247542E-06	0.002255601	0.0274788	
0.358	0.02728439	0.002239637	1.238713E-06	1.246694E-06	0.002254069	0.02746014	
0.36	0.02726552	0.002238087	1.237856E-06	1.245832E-06	0.002252509	0.02744113	
0.362	0.02724632	0.002236511	1.236985E-06	1.244954E-06	0.002250923	0.02742181	
0.364	0.0272268	0.002234909	1.236098E-06	1.244062E-06	0.00224931	0.02740217	
0.366	0.02720697	0.002233281	1.235198E-06	1.243156E-06	0.002247672	0.02738221	
0.368	0.02718684	0.002231629	1.234285E-06	1.242236E-06	0.002246009	0.02736195	
0.37	0.02716642	0.002229952	1.233357E-06	1.241303E-06	0.002244322	0.02734139	
0.372	0.0271457	0.002228252	1.232417E-06	1.240357E-06	0.002242611	0.02732054	
0.374	0.02712471	0.002226528	1.231463E-06	1.239397E-06	0.002240876	0.02729941	
0.376	0.02710343	0.002224782	1.230498E-06	1.238425E-06	0.002239119	0.027278	
0.378	0.02708189	0.002223014	1.22952E-06	1.237441E-06	0.002237339	0.02725632	
0.38	0.02706009	0.002221224	1.22853E-06	1.236445E-06	0.002235537	0.02723438	
0.382	0.02703802	0.002219414	1.227528E-06	1.235437E-06	0.002233715	0.02721217	
0.384	0.02701571	0.002217582	1.226515E-06	1.234417E-06	0.002231871	0.02718972	
0.386	0.02699316	0.002215731	1.225491E-06	1.233387E-06	0.002230008	0.02716702	
0.388	0.02697036	0.00221386	1.224456E-06	1.232345E-06	0.002228125	0.02714408	
0.39	0.02694733	0.00221197	1.223411E-06	1.231293E-06	0.002226222	0.0271209	
0.392	0.02692408	0.002210061	1.222355E-06	1.23023E-06	0.002224301	0.0270975	
0.394	0.0269006	0.002208133	1.221289E-06	1.229158E-06	0.002222362	0.02707387	
0.396	0.02687691	0.002206188	1.220214E-06	1.228075E-06	0.002220404	0.02705002	
0.398	0.026853	0.002204226	1.219128E-06	1.226983E-06	0.002218429	0.02702596	
0.4	0.02682889	0.002202247	1.218034E-06	1.225881E-06	0.002216437	0.0270017	
0.402	0.02680458	0.002200252	1.21693E-06	1.22477E-06	0.002214428	0.02697723	
0.404	0.02678007	0.00219824	1.215817E-06	1.22365E-06	0.002212404	0.02695256	
0.406	0.02675537	0.002196212	1.214696E-06	1.222522E-06	0.002210363	0.0269277	
0.408	0.02673048	0.002194169	1.213566E-06	1.221384E-06	0.002208307	0.02690266	
0.41	0.02670541	0.002192111	1.212428E-06	1.220239E-06	0.002206236	0.02687742	
0.412	0.02668017	0.002190039	1.211282E-06	1.219085E-06	0.00220415	0.02685201	
0.414	0.02665475	0.002187952	1.210127E-06	1.217924E-06	0.00220205	0.02682643	
0.416	0.02662916	0.002185852	1.208966E-06	1.216754E-06	0.002199936	0.02680067	
0.418	0.02660341	0.002183738	1.207796E-06	1.215577E-06	0.002197808	0.02677475	
0.42	0.0265775	0.002181611	1.20662E-06	1.214393E-06	0.002195667	0.02674867	
0.422	0.02655143	0.002179471	1.205436E-06	1.213202E-06	0.002193514	0.02672244	
0.424	0.0265252	0.002177319	1.204246E-06	1.212004E-06	0.002191348	0.02669604	
0.426	0.02649883	0.002175154	1.203049E-06	1.210799E-06	0.002189169	0.0266695	
0.428	0.02647232	0.002172978	1.201845E-06	1.209588E-06	0.002186979	0.02664282	
0.43	0.02644566	0.00217079	1.200635E-06	1.20837E-06	0.002184777	0.02661599	
0.432	0.02641887	0.002168591	1.199418E-06	1.207145E-06	0.002182563	0.02658903	
0.434	0.02639195	0.002166381	1.198196E-06	1.205915E-06	0.002180339	0.02656193	
0.436	0.02636489	0.00216416	1.196968E-06	1.204679E-06	0.002178104	0.0265347	
0.438	0.02633771	0.002161929	1.195734E-06	1.203437E-06	0.002175858	0.02650735	
0.44	0.02631041	0.002159687	1.194494E-06	1.202189E-06	0.002173603	0.02647987	
0.442	0.02628298	0.002157436	1.193249E-06	1.200936E-06	0.002171337	0.02645227	
0.444	0.02625545	0.002155176	1.191999E-06	1.199678E-06	0.002169062	0.02642455	
0.446	0.02622779	0.002152906	1.190744E-06	1.198415E-06	0.002166777	0.02639672	
0.448	0.02620003	0.002150627	1.189483E-06	1.197146E-06	0.002164484	0.02636878	
0.45	0.02617216	0.00214834	1.188218E-06	1.195873E-06	0.002162181	0.02634073	
0.452	0.02614419	0.002146044	1.186948E-06	1.194594E-06	0.00215987	0.02631257	
0.454	0.02611612	0.002143739	1.185674E-06	1.193312E-06	0.002157551	0.02628432	
0.456	0.02608794	0.002141427	1.184395E-06	1.192024E-06	0.002155224	0.02625597	
0.458	0.02605968	0.002139106	1.183111E-06	1.190733E-06	0.002152888	0.02622752	
0.46	0.02603132	0.002136779	1.181824E-06	1.189437E-06	0.002150545	0.02619898	
0.462	0.02600287	0.002134444	1.180533E-06	1.188137E-06	0.002148195	0.02617035	
0.464	0.02597434	0.002132101	1.179237E-06	1.186833E-06	0.002145838	0.02614163	
0.466	0.02594572	0.002129752	1.177938E-06	1.185526E-06	0.002143474	0.02611282	
0.468	0.02591702	0.002127396	1.176635E-06	1.184214E-06	0.002141103	0.02608394	
0.47	0.02588824	0.002125034	1.175328E-06	1.182899E-06	0.002138725	0.02605498	
0.472	0.02585939	0.002122665	1.174018E-06	1.181581E-06	0.002136341	0.02602593	
0.474	0.02583046	0.00212029	1.172705E-06	1.180259E-06	0.002133951	0.02599682	
0.476	0.02580146	0.00211791	1.171388E-06	1.178934E-06	0.002131555	0.02596763	
0.478	0.02577238	0.002115523	1.170068E-06	1.177605E-06	0.002129153	0.02593837	
0.48	0.02574324	0.002113131	1.168745E-06	1.176273E-06	0.002126746	0.02590904	
0.482	0.02571404	0.002110734	1.167419E-06	1.174939E-06	0.002124333	0.02587965	
0.484	0.02568477	0.002108332	1.166091E-06	1.173602E-06	0.002121916	0.02585019	
0.486	0.02565544	0.002105924	1.164759E-06	1.172262E-06	0.002119492	0.02582067	
0.488	0.02562605	0.002103512	1.163425E-06	1.170919E-06	0.002117064	0.0257911	
0.49	0.02559661	0.002101095	1.162088E-06	1.169573E-06	0.002114632	0.02576146	
0.492	0.02556711	0.002098673	1.160749E-06	1.168225E-06	0.002112195	0.02573177	
0.494	0.02553755	0.002096247	1.159407E-06	1.166875E-06	0.002109754	0.02570203	
0.496	0.02550795	0.002093818	1.158063E-06	1.165523E-06	0.002107308	0.02567223	
