Time	MeshX	MeshY	
0.167	-0.09402364	-0.284904	
0.168	-0.0945866	-0.2847179	
0.169	-0.09514906	-0.2845308	
0.17	-0.095711	-0.2843426	
0.171	-0.09627243	-0.2841533	
0.172	-0.09683334	-0.2839631	
0.173	-0.09739373	-0.2837717	
0.174	-0.0979536	-0.2835793	
0.175	-0.09851294	-0.2833858	
0.176	-0.09907176	-0.2831913	
0.177	-0.09963005	-0.2829957	
0.178	-0.1001878	-0.2827991	
0.179	-0.100745	-0.2826014	
0.18	-0.1013017	-0.2824027	
0.181	-0.1018579	-0.282203	
0.182	-0.1024135	-0.2820022	
0.183	-0.1029686	-0.2818004	
0.184	-0.1035231	-0.2815975	
0.185	-0.1040771	-0.2813936	
0.186	-0.1046305	-0.2811887	
0.187	-0.1051834	-0.2809827	
0.188	-0.1057358	-0.2807757	
0.189	-0.1062876	-0.2805677	
0.19	-0.1068388	-0.2803586	
0.191	-0.1073895	-0.2801486	
0.192	-0.1079396	-0.2799375	
0.193	-0.1084892	-0.2797253	
0.194	-0.1090382	-0.2795122	
0.195	-0.1095866	-0.279298	
0.196	-0.1101345	-0.2790828	
0.197	-0.1106818	-0.2788666	
0.198	-0.1112286	-0.2786494	
0.199	-0.1117748	-0.2784312	
0.2	-0.1123204	-0.2782119	
0.201	-0.1128654	-0.2779917	
0.202	-0.1134099	-0.2777704	
0.203	-0.1139538	-0.2775482	
0.204	-0.1144971	-0.2773249	
0.205	-0.1150398	-0.2771006	
0.206	-0.115582	-0.2768753	
0.207	-0.1161236	-0.276649	
0.208	-0.1166646	-0.2764218	
0.209	-0.117205	-0.2761935	
0.21	-0.1177448	-0.2759642	
0.211	-0.118284	-0.2757339	
0.212	-0.1188227	-0.2755027	
0.213	-0.1193607	-0.2752704	
0.214	-0.1198982	-0.2750372	
0.215	-0.120435	-0.274803	
0.216	-0.1209713	-0.2745678	
0.217	-0.121507	-0.2743316	
0.218	-0.122042	-0.2740944	
0.219	-0.1225765	-0.2738563	
0.22	-0.1231104	-0.2736171	
0.221	-0.1236437	-0.273377	
0.222	-0.1241763	-0.2731359	
0.223	-0.1247084	-0.2728938	
0.224	-0.1252398	-0.2726508	
0.225	-0.1257707	-0.2724068	
0.226	-0.1263009	-0.2721618	
0.227	-0.1268305	-0.2719159	
0.228	-0.1273595	-0.271669	
0.229	-0.1278879	-0.2714211	
0.23	-0.1284156	-0.2711723	
0.231	-0.1289428	-0.2709225	
0.232	-0.1294693	-0.2706717	
0.233	-0.1299953	-0.27042	
0.234	-0.1305205	-0.2701673	
0.235	-0.1310452	-0.2699136	
0.236	-0.1315693	-0.2696591	
0.237	-0.1320927	-0.2694035	
0.238	-0.1326154	-0.269147	
0.239	-0.1331376	-0.2688896	
0.24	-0.1336591	-0.2686312	
0.241	-0.13418	-0.2683719	
0.242	-0.1347003	-0.2681116	
0.243	-0.1352199	-0.2678504	
0.244	-0.1357389	-0.2675882	
0.245	-0.1362572	-0.2673251	
0.246	-0.1367749	-0.2670611	
0.247	-0.137292	-0.2667961	
0.248	-0.1378084	-0.2665302	
0.249	-0.1383242	-0.2662633	
0.25	-0.1388393	-0.2659956	
0.251	-0.1393538	-0.2657269	
0.252	-0.1398677	-0.2654572	
0.253	-0.1403809	-0.2651867	
0.254	-0.1408934	-0.2649152	
0.255	-0.1414053	-0.2646428	
0.256	-0.1419166	-0.2643695	
0.257	-0.1424271	-0.2640953	
0.258	-0.1429371	-0.2638201	
0.259	-0.1434464	-0.263544	
0.26	-0.143955	-0.263267	
0.261	-0.144463	-0.2629891	
0.262	-0.1449703	-0.2627103	
0.263	-0.1454769	-0.2624305	
0.264	-0.1459829	-0.2621499	
0.265	-0.1464882	-0.2618684	
0.266	-0.1469929	-0.2615859	
0.267	-0.1474969	-0.2613026	
0.268	-0.1480002	-0.2610183	
0.269	-0.1485028	-0.2607332	
0.27	-0.1490048	-0.2604471	
0.271	-0.1495061	-0.2601601	
0.272	-0.1500068	-0.2598723	
0.273	-0.1505067	-0.2595836	
0.274	-0.151006	-0.2592939	
0.275	-0.1515047	-0.2590034	
0.276	-0.1520026	-0.258712	
0.277	-0.1524999	-0.2584196	
0.278	-0.1529964	-0.2581264	
0.279	-0.1534923	-0.2578323	
0.28	-0.1539876	-0.2575374	
0.281	-0.1544821	-0.2572415	
0.282	-0.1549759	-0.2569448	
0.283	-0.1554691	-0.2566472	
0.284	-0.1559616	-0.2563487	
0.285	-0.1564533	-0.2560494	
0.286	-0.1569444	-0.2557492	
0.287	-0.1574348	-0.2554481	
0.288	-0.1579245	-0.2551461	
0.289	-0.1584136	-0.2548433	
0.29	-0.1589019	-0.2545396	
0.291	-0.1593895	-0.254235	
0.292	-0.1598765	-0.2539296	
0.293	-0.1603627	-0.2536232	
0.294	-0.1608482	-0.2533161	
0.295	-0.1613331	-0.2530081	
0.296	-0.1618172	-0.2526992	
0.297	-0.1623006	-0.2523895	
0.298	-0.1627834	-0.2520789	
0.299	-0.1632654	-0.2517675	
0.3	-0.1637467	-0.2514552	
0.301	-0.1642273	-0.251142	
0.302	-0.1647072	-0.2508281	
0.303	-0.1651864	-0.2505132	
0.304	-0.1656649	-0.2501976	
0.305	-0.1661427	-0.249881	
0.306	-0.1666197	-0.2495637	
0.307	-0.1670961	-0.2492455	
0.308	-0.1675717	-0.2489264	
0.309	-0.1680466	-0.2486066	
0.31	-0.1685208	-0.2482859	
0.311	-0.1689943	-0.2479644	
0.312	-0.1694671	-0.247642	
0.313	-0.1699391	-0.2473188	
0.314	-0.1704104	-0.2469948	
0.315	-0.170881	-0.2466699	
0.316	-0.1713509	-0.2463442	
0.317	-0.1718201	-0.2460177	
0.318	-0.1722885	-0.2456904	
0.319	-0.1727562	-0.2453622	
0.32	-0.1732232	-0.2450332	
0.321	-0.1736894	-0.2447034	
0.322	-0.1741549	-0.2443728	
0.323	-0.1746197	-0.2440414	
0.324	-0.1750838	-0.2437092	
0.325	-0.1755471	-0.2433761	
0.326	-0.1760097	-0.2430423	
0.327	-0.1764715	-0.2427076	
0.328	-0.1769326	-0.2423721	
0.329	-0.177393	-0.2420359	
0.33	-0.1778527	-0.2416988	
0.331	-0.1783116	-0.2413609	
0.332	-0.1787697	-0.2410223	
0.333	-0.1792271	-0.2406828	
0.334	-0.1796838	-0.2403425	
0.335	-0.1801397	-0.2400015	
0.336	-0.1805949	-0.2396596	
0.337	-0.1810493	-0.239317	
0.338	-0.181503	-0.2389735	
0.339	-0.181956	-0.2386293	
0.34	-0.1824081	-0.2382843	
0.341	-0.1828596	-0.2379385	
0.342	-0.1833103	-0.2375919	
0.343	-0.1837602	-0.2372446	
0.344	-0.1842094	-0.2368964	
0.345	-0.1846578	-0.2365475	
0.346	-0.1851055	-0.2361978	
0.347	-0.1855524	-0.2358474	
0.348	-0.1859986	-0.2354961	
0.349	-0.186444	-0.2351441	
0.35	-0.1868886	-0.2347913	
0.351	-0.1873325	-0.2344378	
0.352	-0.1877757	-0.2340835	
0.353	-0.188218	-0.2337284	
0.354	-0.1886596	-0.2333725	
0.355	-0.1891005	-0.2330159	
0.356	-0.1895406	-0.2326585	
0.357	-0.1899799	-0.2323004	
0.358	-0.1904184	-0.2319415	
0.359	-0.1908562	-0.2315818	
0.36	-0.1912932	-0.2312214	
0.361	-0.1917295	-0.2308603	
0.362	-0.1921649	-0.2304983	
0.363	-0.1925996	-0.2301357	
0.364	-0.1930336	-0.2297723	
0.365	-0.1934667	-0.2294081	
0.366	-0.1938991	-0.2290432	
0.367	-0.1943307	-0.2286776	
0.368	-0.1947615	-0.2283112	
0.369	-0.1951916	-0.227944	
0.37	-0.1956209	-0.2275762	
0.371	-0.1960494	-0.2272076	
