Time	B	A	C	D	E	F	
0.0168	-0.05	-0.06	-0.05	-0.04439392	-0.05	-0.05	
0.017	-0.05	-0.06	-0.05	-0.04438899	-0.05	-0.05	
0.0172	-0.05	-0.06	-0.05	-0.04438429	-0.05	-0.05	
0.0174	-0.05	-0.06	-0.05	-0.04437979	-0.05	-0.05	
0.0176	-0.05	-0.06	-0.05	-0.04437551	-0.05	-0.05	
0.0178	-0.05	-0.06	-0.05	-0.04437141	-0.05	-0.05	
0.018	-0.05	-0.06	-0.05	-0.0443675	-0.05	-0.05	
0.0182	-0.05	-0.06	-0.05	-0.04436378	-0.05	-0.05	
0.0184	-0.05	-0.06	-0.05	-0.04436022	-0.05	-0.05	
0.0186	-0.05	-0.06	-0.05	-0.04435682	-0.05	-0.05	
0.0188	-0.05	-0.06	-0.05	-0.04435358	-0.05	-0.05	
0.019	-0.05	-0.06	-0.05	-0.04435048	-0.05	-0.05	
0.0192	-0.05	-0.06	-0.05	-0.04434753	-0.05	-0.05	
0.0194	-0.05	-0.06	-0.05	-0.04434471	-0.05	-0.05	
0.0196	-0.05	-0.06	-0.05	-0.04434202	-0.05	-0.05	
0.0198	-0.05	-0.06	-0.05	-0.04433946	-0.05	-0.05	
0.02	-0.05	-0.06	-0.05	-0.044337	-0.05	-0.05	
0.0202	-0.05	-0.06	-0.05	-0.04433467	-0.05	-0.05	
0.0204	-0.05	-0.06	-0.05	-0.04433244	-0.05	-0.05	
0.0206	-0.05	-0.06	-0.05	-0.04433031	-0.05	-0.05	
0.0208	-0.05	-0.06	-0.05	-0.04432827	-0.05	-0.05	
0.021	-0.05	-0.06	-0.05	-0.04432633	-0.05	-0.05	
0.0212	-0.05	-0.06	-0.05	-0.04432448	-0.05	-0.05	
0.0214	-0.05	-0.06	-0.05	-0.04432271	-0.05	-0.05	
0.0216	-0.05	-0.06	-0.05	-0.04432103	-0.05	-0.05	
0.0218	-0.05	-0.06	-0.05	-0.04431942	-0.05	-0.05	
0.022	-0.05	-0.06	-0.05	-0.04431788	-0.05	-0.05	
0.0222	-0.05	-0.06	-0.05	-0.04431641	-0.05	-0.05	
0.0224	-0.05	-0.06	-0.05	-0.04431501	-0.05	-0.05	
0.0226	-0.05	-0.06	-0.05	-0.04431368	-0.05	-0.05	
0.0228	-0.05	-0.06	-0.05	-0.04431241	-0.05	-0.05	
0.023	-0.05	-0.06	-0.05	-0.04431119	-0.05	-0.05	
0.0232	-0.05	-0.06	-0.05	-0.04431003	-0.05	-0.05	
0.0234	-0.05	-0.06	-0.05	-0.04430892	-0.05	-0.05	
0.0236	-0.05	-0.06	-0.05	-0.04430786	-0.05	-0.05	
0.0238	-0.05	-0.06	-0.05	-0.04430685	-0.05	-0.05	
0.024	-0.05	-0.06	-0.05	-0.04430589	-0.05	-0.05	
0.0242	-0.05	-0.06	-0.05	-0.04430497	-0.05	-0.05	
0.0244	-0.05	-0.06	-0.05	-0.04430409	-0.05	-0.05	
0.0246	-0.05	-0.06	-0.05	-0.04430325	-0.05	-0.05	
0.0248	-0.05	-0.06	-0.05	-0.04430245	-0.05	-0.05	
0.025	-0.05	-0.06	-0.05	-0.04430168	-0.05	-0.05	
0.0252	-0.05	-0.06	-0.05	-0.04430096	-0.05	-0.05	
0.0254	-0.05	-0.06	-0.05	-0.04430026	-0.05	-0.05	
0.0256	-0.05	-0.06	-0.05	-0.0442996	-0.05	-0.05	
0.0258	-0.05	-0.06	-0.05	-0.04429897	-0.05	-0.05	
