Time	1Vm	2Vm	
0.0244	-0.05743755	-0.06313722	
0.0246	-0.05717297	-0.06303279	
0.0248	-0.05717986	-0.06308782	
0.025	-0.05702481	-0.06322201	
0.0252	-0.05690748	-0.06324505	
0.0254	-0.05670245	-0.06316527	
0.0256	-0.05664628	-0.06313784	
0.0258	-0.05668289	-0.06321048	
0.026	-0.05657098	-0.06330983	
0.0262	-0.05649096	-0.06316109	
0.0264	-0.0564511	-0.06298673	
0.0266	-0.05648547	-0.06300957	
0.0268	-0.05636547	-0.06294677	
0.027	-0.05644531	-0.06278865	
0.0272	-0.0562965	-0.06274379	
0.0274	-0.05631885	-0.06251746	
0.0276	-0.05626667	-0.0623836	
0.0278	-0.05615377	-0.06224706	
0.028	-0.05615645	-0.06231686	
0.0282	-0.05614574	-0.06239289	
0.0284	-0.05619243	-0.06245214	
0.0286	-0.05626209	-0.06258757	
0.0288	-0.05608304	-0.06256309	
0.029	-0.0561092	-0.06252652	
0.0292	-0.05611909	-0.06254608	
0.0294	-0.0560178	-0.06250434	
0.0296	-0.05609325	-0.06259585	
0.0298	-0.05594103	-0.06244543	
0.03	-0.05593958	-0.06249363	
0.0302	-0.05567665	-0.06236314	
0.0304	-0.05546235	-0.06214933	
0.0306	-0.0555121	-0.06198899	
0.0308	-0.05546814	-0.06203488	
0.031	-0.05529183	-0.06198612	
0.0312	-0.05507235	-0.06192761	
0.0314	0	-0.06201848	
0.0316	-0.05553428	-0.06215898	
0.0318	-0.05591314	-0.06242529	
0.032	-0.05617047	-0.06246408	
0.0322	-0.05659148	-0.06268937	
0.0324	-0.05688236	-0.06295577	
0.0326	-0.05710906	-0.06321134	
0.0328	-0.05749616	-0.06334338	
0.033	-0.05774501	-0.06359178	
0.0332	-0.05776781	-0.06354555	
0.0334	-0.05794672	-0.06378096	
0.0336	-0.05795883	-0.0638179	
0.0338	-0.05814051	-0.06374384	
0.034	-0.05807404	-0.06379446	
0.0342	-0.05800113	-0.06373959	
0.0344	-0.05824161	-0.06388336	
0.0346	-0.05826278	-0.06384201	
0.0348	-0.0583061	-0.06390605	
0.035	-0.05831007	-0.06405902	
0.0352	-0.05814185	-0.0638478	
0.0354	-0.05815358	-0.06380754	
0.0356	-0.05806053	-0.0636849	
0.0358	-0.0581453	-0.0636385	
0.036	-0.0580074	-0.06350186	
0.0362	-0.05813812	-0.06354516	
0.0364	-0.05828595	-0.06359489	
0.0366	-0.05810741	-0.06361653	
0.0368	-0.05809633	-0.06354539	
0.037	-0.05790616	-0.06350254	
0.0372	-0.05780635	-0.06352135	
0.0374	-0.05765007	-0.06371083	
0.0376	-0.05758037	-0.06349299	
0.0378	-0.05737649	-0.06356918	
0.038	-0.05739326	-0.06368633	
0.0382	-0.05751324	-0.06361171	
0.0384	-0.05735164	-0.06367636	
0.0386	-0.05726381	-0.06369102	
0.0388	-0.05702709	-0.06374115	
0.039	-0.05702645	-0.06356303	
0.0392	-0.05700375	-0.06367343	
0.0394	-0.05684742	-0.06377077	
0.0396	-0.05690991	-0.06355424	
0.0398	-0.05700933	-0.06365286	
0.04	-0.0567237	-0.06364763	
0.0402	-0.05659083	-0.06349394	
0.0404	-0.05646334	-0.06358997	
0.0406	-0.0562683	-0.06365763	
0.0408	-0.05614763	-0.06368091	
0.041	-0.05617264	-0.06354842	
0.0412	-0.05619554	-0.0634278	
0.0414	-0.05594246	-0.06350618	
0.0416	-0.05595395	-0.06355777	
0.0418	-0.05598406	-0.06360254	
0.042	-0.05576427	-0.06363408	
0.0422	-0.05577011	-0.06369986	
0.0424	-0.05551191	-0.06369565	
0.0426	-0.05530105	-0.06364346	
0.0428	-0.05542587	-0.06361129	
0.043	-0.05518318	-0.0636626	
0.0432	-0.0552082	-0.06364677	
0.0434	-0.05525056	-0.06358204	
0.0436	-0.05535169	-0.06357487	
0.0438	-0.05510812	-0.06344374	
0.044	-0.05520134	-0.06343963	
0.0442	-0.05506616	-0.06330124	
0.0444	0	-0.06335957	
0.0446	-0.05523646	-0.06349876	
0.0448	-0.05568935	-0.06359161	
0.045	-0.0559297	-0.06374782	
0.0452	-0.05644247	-0.0638096	
0.0454	-0.05677282	-0.06376357	
0.0456	-0.05698582	-0.06402642	
0.0458	-0.05707418	-0.06430028	
0.046	-0.05723417	-0.0645351	
0.0462	-0.0574644	-0.06454702	
0.0464	-0.05747187	-0.06449777	
0.0466	-0.05742173	-0.06460812	
0.0468	-0.05737362	-0.06455859	
