Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.101	-1.003822	-6.927382	0.0002044314	0.143898	
0.102	-1.017202	-6.925439	0.0002071565	0.1458297	
0.103	-1.030594	-6.923468	0.0002098836	0.1477635	
0.104	-1.043995	-6.921468	0.0002126129	0.1496993	
0.105	-1.057406	-6.919441	0.000215344	0.1516371	
0.106	-1.070825	-6.917386	0.0002180769	0.1535767	
0.107	-1.084253	-6.915302	0.0002208116	0.1555181	
0.108	-1.097689	-6.913191	0.0002235479	0.1574613	
0.109	-1.111133	-6.911052	0.0002262857	0.1594061	
0.11	-1.124583	-6.908885	0.0002290249	0.1613525	
0.111	-1.13804	-6.906689	0.0002317654	0.1633005	
0.112	-1.151503	-6.904466	0.0002345072	0.16525	
0.113	-1.164972	-6.902215	0.0002372501	0.167201	
0.114	-1.178445	-6.899935	0.0002399941	0.1691533	
0.115	-1.191924	-6.897628	0.0002427391	0.1711071	
0.116	-1.205407	-6.895293	0.000245485	0.1730621	
0.117	-1.218894	-6.89293	0.0002482317	0.1750183	
0.118	-1.232385	-6.890539	0.0002509791	0.1769758	
0.119	-1.245879	-6.88812	0.0002537273	0.1789345	
0.12	-1.259376	-6.885673	0.000256476	0.1808942	
0.121	-1.272876	-6.883198	0.0002592253	0.1828551	
0.122	-1.286378	-6.880695	0.000261975	0.184817	
0.123	-1.299882	-6.878165	0.0002647252	0.1867799	
0.124	-1.313388	-6.875606	0.0002674756	0.1887438	
0.125	-1.326895	-6.87302	0.0002702264	0.1907087	
0.126	-1.340404	-6.870406	0.0002729774	0.1926744	
0.127	-1.353913	-6.867764	0.0002757286	0.194641	
0.128	-1.367422	-6.865095	0.0002784798	0.1966084	
0.129	-1.380932	-6.862398	0.0002812311	0.1985767	
0.13	-1.394442	-6.859673	0.0002839824	0.2005457	
0.131	-1.407951	-6.85692	0.0002867337	0.2025155	
0.132	-1.42146	-6.854139	0.0002894848	0.204486	
0.133	-1.434968	-6.851331	0.0002922358	0.2064572	
0.134	-1.448476	-6.848495	0.0002949866	0.208429	
0.135	-1.461982	-6.845632	0.0002977372	0.2104015	
0.136	-1.475486	-6.842741	0.0003004874	0.2123746	
0.137	-1.488989	-6.839823	0.0003032373	0.2143484	
0.138	-1.50249	-6.836876	0.0003059868	0.2163227	
0.139	-1.515989	-6.833903	0.0003087359	0.2182975	
0.14	-1.529486	-6.830902	0.0003114846	0.2202729	
0.141	-1.54298	-6.827873	0.0003142327	0.2222487	
0.142	-1.556471	-6.824817	0.0003169803	0.2242251	
0.143	-1.56996	-6.821733	0.0003197272	0.226202	
0.144	-1.583445	-6.818623	0.0003224736	0.2281793	
0.145	-1.596928	-6.815484	0.0003252193	0.230157	
0.146	-1.610406	-6.812318	0.0003279643	0.2321351	
0.147	-1.623882	-6.809125	0.0003307086	0.2341137	
0.148	-1.637353	-6.805905	0.0003334522	0.2360926	
