Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.08400001	0.0347135	-6.999914	-7.063897E-06	-0.004959092	
0.085	0.03554926	-6.99991	-7.234683E-06	-0.005078488	
0.086	0.03639494	-6.999906	-7.405535E-06	-0.005199301	
0.087	0.03725054	-6.999901	-7.580238E-06	-0.005321532	
0.08800001	0.03811605	-6.999896	-7.757033E-06	-0.005445177	
0.089	0.03899147	-6.999891	-7.935872E-06	-0.005570239	
0.09	0.0398768	-6.999887	-8.116724E-06	-0.005696717	
0.09100001	0.04077204	-6.999881	-8.297635E-06	-0.005824611	
0.09200001	0.04167718	-6.999876	-8.482391E-06	-0.005953921	
0.093	0.04259224	-6.999871	-8.669226E-06	-0.006084644	
0.094	0.0435172	-6.999865	-8.858098E-06	-0.006216784	
0.09500001	0.04445207	-6.999859	-9.04703E-06	-0.006350338	
0.096	0.04539683	-6.999853	-9.23983E-06	-0.006485309	
0.097	0.0463515	-6.999847	-9.434718E-06	-0.006621693	
0.098	0.04731607	-6.99984	-9.631651E-06	-0.006759491	
0.09900001	0.04829054	-6.999834	-9.828645E-06	-0.006898704	
0.1	0.04927491	-6.999827	-1.002951E-05	-0.007039331	
0.101	0.05026917	-6.99982	-1.023246E-05	-0.007181372	
0.102	0.05127333	-6.999813	-1.043747E-05	-0.007324826	
0.103	0.05228738	-6.999805	-1.064448E-05	-0.007469694	
0.104	0.05331132	-6.999797	-1.085155E-05	-0.007615977	
0.105	0.05434515	-6.999789	-1.106248E-05	-0.007763672	
0.106	0.05538887	-6.999781	-1.127549E-05	-0.007912779	
0.107	0.05644247	-6.999773	-1.149053E-05	-0.0080633	
0.108	0.05750597	-6.999764	-1.170758E-05	-0.008215231	
0.109	0.05857934	-6.999755	-1.192663E-05	-0.008368575	
0.11	0.0596626	-6.999746	-1.214765E-05	-0.008523332	
0.111	0.06075573	-6.999737	-1.236872E-05	-0.008679499	
0.112	0.06185875	-6.999727	-1.259366E-05	-0.008837079	
0.113	0.06297164	-6.999717	-1.282066E-05	-0.00899607	
0.114	0.06409442	-6.999707	-1.304969E-05	-0.009156473	
0.115	0.06522706	-6.999697	-1.328073E-05	-0.009318286	
0.116	0.06636958	-6.999686	-1.351377E-05	-0.009481509	
0.117	0.06752197	-6.999675	-1.374879E-05	-0.009646145	
0.118	0.06868422	-6.999663	-1.398579E-05	-0.00981219	
0.119	0.06985635	-6.999652	-1.422477E-05	-0.009979644	
0.12	0.07103834	-6.99964	-1.446573E-05	-0.01014851	
0.121	0.07223019	-6.999628	-1.470867E-05	-0.01031878	
0.122	0.07343191	-6.999615	-1.495165E-05	-0.01049046	
0.123	0.07464349	-6.999602	-1.519854E-05	-0.01066356	
0.124	0.07586492	-6.999589	-1.544749E-05	-0.01083806	
0.125	0.07709621	-6.999576	-1.569849E-05	-0.01101397	
0.126	0.07833736	-6.999562	-1.59515E-05	-0.01119128	
0.127	0.07958835	-6.999547	-1.620652E-05	-0.01137001	
0.128	0.08084921	-6.999533	-1.646157E-05	-0.01155015	
0.129	0.0821199	-6.999518	-1.672054E-05	-0.01173169	
