Time	Rotation	PendulumY	PendulumX	PendulumZ	
0	0	-7	0	0	
0.001	0	-7	-1.423438E-05	0	
0.002	2.155251E-06	-7.000001	-4.270704E-05	0	
0.003	6.301819E-06	-7.000001	-8.5417E-05	0	
0.004	1.247898E-05	-7.000002	-0.0001423633	0	
0.005	2.072519E-05	-7.000002	-0.0002135479	0	
0.006	3.095502E-05	-7.000003	-0.0002989698	0	
0.007	4.320528E-05	-7.000003	-0.000398628	0	
0.008	5.751191E-05	-7.000004	-0.0005125225	0	
0.009000001	7.3869E-05	-7.000004	-0.0006406534	0	
0.01	9.226977E-05	-7.000005	-0.0007830216	0	
0.011	0.0001126656	-7.000005	-0.000939628	0	
0.012	0.0001350071	-7.000005	-0.001110467	0	
0.013	0.0001595312	-7.000005	-0.001295543	0	
0.014	0.0001860227	-7.000005	-0.001494857	0	
0.015	0.0002144707	-7.000005	-0.001708403	0	
0.016	0.0002450275	-7.000005	-0.001936186	0	
0.017	0.0002775985	-7.000005	-0.002178203	0	
0.018	0.0003121702	-7.000005	-0.002434452	0	
0.019	0.0003488925	-7.000005	-0.002704936	0	
0.02	0.0003876268	-7.000005	-0.002989653	0	
0.021	0.0004283573	-7.000005	-0.003288604	0	
0.022	0.0004711084	-7.000005	-0.003601789	0	
0.023	0.0005158623	-7.000005	-0.003929205	0	
0.024	0.0005626826	-7.000005	-0.004270853	0	
0.025	0.00061155	-7.000005	-0.004626732	0	
0.026	0.0006624026	-7.000005	-0.004996843	0	
0.027	0.000715302	-7.000005	-0.005381183	0	
0.028	0.0007702673	-7.000005	-0.005779752	0	
0.029	0.0008272757	-7.000005	-0.006192551	0	
0.03	0.0008863028	-7.000005	-0.006619579	0	
0.031	0.000947325	-7.000004	-0.007060835	0	
0.032	0.001010398	-7.000004	-0.007516318	0	
0.033	0.001075539	-7.000003	-0.007986027	0	
0.034	0.00114272	-7.000003	-0.008469963	0	
0.035	0.001211873	-7.000002	-0.008968126	0	
0.036	0.001283049	-7.000002	-0.009480514	0	
0.037	0.00135622	-7.000001	-0.01000713	0	
0.038	0.001431438	-7.000001	-0.01054796	0	
0.039	0.00150871	-7	-0.01110302	0	
0.04	0.001588007	-7	-0.01167229	0	
0.041	0.001669333	-6.999999	-0.01225579	0	
0.042	0.001752695	-6.999998	-0.01285351	0	
0.043	0.0018381	-6.999997	-0.01346545	0	
0.044	0.001925555	-6.999996	-0.01409161	0	
0.045	0.00201502	-6.999995	-0.01473198	0	
0.046	0.002106502	-6.999993	-0.01538657	0	
0.047	0.002200044	-6.999992	-0.01605538	0	
0.048	0.002295567	-6.99999	-0.0167384	0	
0.049	0.002393153	-6.999989	-0.01743563	0	
0.05	0.002492763	-6.999987	-0.01814708	0	
0.051	0.002594393	-6.999985	-0.01887274	0	
0.052	0.002698125	-6.999983	-0.01961261	0	
0.053	0.002803794	-6.999981	-0.02036669	0	
0.054	0.00291148	-6.999979	-0.02113497	0	
0.055	0.003021256	-6.999977	-0.02191747	0	
0.056	0.003133002	-6.999974	-0.02271417	0	
0.057	0.003246871	-6.999972	-0.02352508	0	
0.058	0.003362736	-6.999969	-0.02435019	0	
0.059	0.003480623	-6.999966	-0.0251895	0	
0.06	0.003600564	-6.999963	-0.02604302	0	
0.061	0.003722472	-6.99996	-0.02691073	0	
0.062	0.003846413	-6.999957	-0.02779265	0	
0.063	0.003972422	-6.999953	-0.02868876	0	
0.064	0.004100487	-6.999949	-0.02959906	0	
0.06500001	0.004230547	-6.999946	-0.03052357	0	
0.066	0.004362598	-6.999942	-0.03146227	0	
0.067	0.004496744	-6.999938	-0.03241516	0	
0.068	0.004632845	-6.999933	-0.03338224	0	
0.06900001	0.004770966	-6.999928	-0.03436351	0	
0.07	0.004911209	-6.999924	-0.03535897	0	
0.071	0.005053432	-6.999918	-0.03636862	0	
0.072	0.005197659	-6.999913	-0.03739245	0	
0.07300001	0.005343912	-6.999907	-0.03843047	0	
0.074	0.005492211	-6.999902	-0.03948267	0	
0.075	0.005642537	-6.999896	-0.04054905	0	
0.07600001	0.005794903	-6.999889	-0.04162961	0	
0.07700001	0.005949245	-6.999883	-0.04272435	0	
0.078	0.006105578	-6.999876	-0.04383327	0	
0.079	0.006263997	-6.999869	-0.04495636	0	
0.08000001	0.006424432	-6.999862	-0.04609362	0	
0.081	0.006586903	-6.999854	-0.04724505	0	
0.082	0.006751379	-6.999846	-0.04841065	0	
0.083	0.00691787	-6.999838	-0.04959042	0	
0.08400001	0.007086413	-6.99983	-0.05078436	0	
0.085	0.007256989	-6.999821	-0.05199246	0	
0.086	0.007429606	-6.999812	-0.05321473	0	
0.087	0.007604232	-6.999803	-0.05445115	0	
0.08800001	0.007780871	-6.999793	-0.05570173	0	
0.089	0.00795953	-6.999783	-0.05696647	0	
0.09	0.008140204	-6.999773	-0.05824537	0	
0.09100001	0.008322907	-6.999762	-0.05953842	0	
0.09200001	0.008507679	-6.999751	-0.06084562	0	
0.093	0.008694449	-6.999739	-0.06216697	0	
0.094	0.00888325	-6.999727	-0.06350247	0	
0.09500001	0.009074032	-6.999715	-0.06485211	0	
