Time	Length	Ia	II	
2.974	0.50998	56.99512	164.9399	
2.975	0.50998	56.99263	164.9407	
2.976	0.50998	56.99015	164.9415	
2.977	0.50998	56.98768	164.9423	
2.978	0.50998	56.98522	164.9431	
2.979	0.50998	56.98277	164.9439	
2.98	0.50998	56.98032	164.9447	
2.981	0.50998	56.97789	164.9455	
2.982	0.50998	56.97547	164.9463	
2.983	0.50998	56.97306	164.9471	
2.984	0.50998	56.97065	164.9479	
2.985	0.50998	56.96826	164.9487	
2.986	0.50998	56.96588	164.9494	
2.987	0.50998	56.9635	164.9502	
2.988	0.50998	56.96114	164.951	
2.989	0.50998	56.95878	164.9518	
2.99	0.50998	56.95644	164.9525	
2.991	0.50998	56.9541	164.9533	
2.992	0.50998	56.95177	164.9541	
2.993	0.50998	56.94945	164.9548	
2.994	0.50998	56.94714	164.9556	
2.995	0.50998	56.94484	164.9563	
2.996	0.50998	56.94255	164.9571	
2.997	0.50998	56.94027	164.9578	
2.998	0.50998	56.938	164.9586	
2.999	0.50998	56.93574	164.9593	
3	0.50998	56.93348	164.96	
3.001	0.50998	56.93124	164.9608	
3.002	0.50998	56.929	164.9615	
3.003	0.50998	56.92677	164.9622	
3.004	0.50998	56.92456	164.963	
3.005	0.50998	56.92235	164.9637	
3.006	0.50998	56.92015	164.9644	
3.007	0.50998	56.91796	164.9651	
3.008	0.50998	56.91577	164.9658	
3.009	0.50998	56.9136	164.9665	
3.01	0.50998	56.91143	164.9673	
3.011	0.50998	56.90928	164.968	
3.012	0.50998	56.90713	164.9687	
3.013	0.50998	56.90499	164.9693	
3.014	0.50998	56.90286	164.9701	
3.015	0.50998	56.90074	164.9707	
3.016	0.50998	56.89862	164.9715	
3.017	0.50998	56.89651	164.9721	
3.018	0.50998	56.89442	164.9728	
3.019	0.50998	56.89233	164.9735	
3.02	0.50998	56.89025	164.9742	
3.021	0.50998	56.88818	164.9749	
3.022	0.50998	56.88612	164.9755	
3.023	0.50998	56.88406	164.9762	
3.024	0.50998	56.88202	164.9769	
3.025	0.50998	56.87997	164.9776	
3.026	0.50998	56.87794	164.9782	
3.027	0.50998	56.87592	164.9789	
3.028	0.50998	56.87391	164.9795	
3.029	0.50998	56.8719	164.9802	
3.03	0.50998	56.8699	164.9808	
3.031	0.50998	56.86791	164.9815	
3.032	0.50998	56.86593	164.9821	
3.033	0.50998	56.86396	164.9828	
3.034	0.50998	56.86199	164.9834	
3.035	0.50998	56.86003	164.9841	
3.036	0.50998	56.85808	164.9847	
3.037	0.50998	56.85613	164.9854	
3.038	0.50998	56.8542	164.986	
3.039	0.50998	56.85227	164.9866	
