Time	1	2	1Ie	
0	-0.06	-0.0598912	0	
0.0002	-0.06	-0.0597869	0	
0.0004	-0.06	-0.05968691	0	
0.0006	-0.06	-0.05959106	0	
0.0008	-0.06	-0.05949916	0	
0.0009999999	-0.06	-0.05941107	0	
0.0012	-0.06	-0.05932662	0	
0.0014	-0.06	-0.05924566	0	
0.0016	-0.06	-0.05916805	0	
0.0018	-0.06	-0.05909365	0	
0.002	-0.06	-0.05902232	0	
0.0022	-0.06	-0.05895394	0	
0.0024	-0.06	-0.05888839	0	
0.0026	-0.06	-0.05882555	0	
0.0028	-0.06	-0.05876531	0	
0.003	-0.06	-0.05870756	0	
0.0032	-0.06	-0.0586522	0	
0.0034	-0.06	-0.05859913	0	
0.0036	-0.06	-0.05854825	0	
0.0038	-0.06	-0.05849947	0	
0.004	-0.06	-0.05845271	0	
0.0042	-0.06	-0.05840788	0	
0.0044	-0.06	-0.05836491	0	
0.0046	-0.06	-0.05832371	0	
0.0048	-0.06	-0.05828422	0	
0.005	-0.06	-0.05824635	0	
0.0052	-0.06	-0.05821006	0	
0.0054	-0.06	-0.05817526	0	
0.0056	-0.06	-0.0581419	0	
0.0058	-0.06	-0.05810992	0	
0.006	-0.06	-0.05807927	0	
0.0062	-0.06	-0.05804988	0	
0.0064	-0.06	-0.05802171	0	
0.0066	-0.06	-0.0579947	0	
0.0068	-0.06	-0.0579688	0	
0.007	-0.06	-0.05794398	0	
0.0072	-0.06	-0.05792018	0	
0.0074	-0.06	-0.05789737	0	
0.0076	-0.06	-0.0578755	0	
0.0078	-0.06	-0.05785454	0	
0.007999999	-0.06	-0.05783444	0	
0.0082	-0.06	-0.05781518	0	
0.0084	-0.06	-0.0577967	0	
0.008599999	-0.06	-0.057779	0	
0.0088	-0.06	-0.05776202	0	
0.009	-0.06	-0.05774575	0	
0.0092	-0.06	-0.05773015	0	
0.0094	-0.06	-0.0577152	0	
0.0096	-0.06	-0.05770086	0	
0.0098	-0.06	-0.05768711	0	
0.01	-0.06	-0.05767394	0	
0.0102	-0.06	-0.05766131	0	
0.0104	-0.06	-0.0576492	0	
0.0106	-0.06	-0.05763759	0	
