Time	PendulumX	PendulumY	PendulumZ	Rotation	
0	0	-0.07	0	0	
0.001	-1.75749E-05	-0.07	3.579183E-09	0.0002846243	
0.002	-7.185736E-05	-0.06999993	1.463398E-08	0.001030137	
0.003	-0.0001510135	-0.06999979	3.075438E-08	0.002157724	
0.004	-0.000247691	-0.0699995	5.044306E-08	0.003538492	
0.005	-0.000356814	-0.06999903	7.266628E-08	0.00509737	
0.006	-0.0004747837	-0.06999833	9.669119E-08	0.006782678	
0.007	-0.0005990384	-0.06999738	1.21996E-07	0.008557795	
0.008	-0.0007277527	-0.06999617	1.482092E-07	0.01039665	
0.009000001	-0.0008596267	-0.06999468	1.750657E-07	0.01228069	
0.01	-0.0009937336	-0.06999291	2.02377E-07	0.01419667	
0.011	-0.001129413	-0.06999087	2.300086E-07	0.01613518	
0.012	-0.001266196	-0.06998853	2.578648E-07	0.0180895	
0.013	-0.001403746	-0.06998591	2.858772E-07	0.02005486	
0.014	-0.001541824	-0.06998301	3.139972E-07	0.02202784	
0.015	-0.00168026	-0.06997982	3.421902E-07	0.02400603	
0.016	-0.001818933	-0.06997635	3.704312E-07	0.02598768	
0.017	-0.001957755	-0.0699726	3.987028E-07	0.02797158	
0.018	-0.002096665	-0.06996858	4.269923E-07	0.02995684	
0.019	-0.002235618	-0.06996428	4.552906E-07	0.03194284	
0.02	-0.002374582	-0.0699597	4.835911E-07	0.03392911	
0.021	-0.002513536	-0.06995485	5.118896E-07	0.03591537	
0.022	-0.002652462	-0.06994972	5.401824E-07	0.03790138	
0.023	-0.002791349	-0.06994431	5.68467E-07	0.03988698	
0.024	-0.002930187	-0.06993862	5.967417E-07	0.04187203	
0.025	-0.003068971	-0.06993268	6.250053E-07	0.04385648	
0.026	-0.003207696	-0.06992645	6.532572E-07	0.04584028	
0.027	-0.00334636	-0.06991994	6.814966E-07	0.04782337	
0.028	-0.003484959	-0.06991317	7.097228E-07	0.04980573	
0.029	-0.003623492	-0.06990613	7.379355E-07	0.05178731	
0.03	-0.003761957	-0.06989881	7.661342E-07	0.05376813	
