Time	Rotation	PendulumY	PendulumX	PendulumZ	
0	0	-0.07	0	0	
0.001	0	-0.07000005	-0.000139345	0	
0.002	0.001999987	-0.06999981	-0.0002793726	0	
0.003	0.003999985	-0.06999928	-0.0004194012	0	
0.004	0.005999985	-0.06999847	-0.0005594271	0	
0.005	0.007999984	-0.06999736	-0.0006994496	0	
0.006	0.009999982	-0.06999596	-0.0008394682	0	
0.007	0.01199998	-0.06999429	-0.0009794825	0	
0.008	0.01399998	-0.06999232	-0.001119492	0	
0.009000001	0.01599998	-0.06999007	-0.001259496	0	
0.01	0.01799998	-0.06998754	-0.001399494	0	
0.011	0.01999998	-0.06998471	-0.001539486	0	
0.012	0.02199997	-0.0699816	-0.00167947	0	
0.013	0.02399997	-0.06997821	-0.001819447	0	
0.014	0.02599997	-0.06997453	-0.001959417	0	
0.015	0.02799997	-0.06997057	-0.002099377	0	
0.016	0.02999997	-0.06996632	-0.002239329	0	
0.017	0.03199996	-0.06996179	-0.002379271	0	
0.018	0.03399996	-0.06995697	-0.002519203	0	
0.019	0.03599996	-0.06995188	-0.002659124	0	
0.02	0.03799995	-0.06994649	-0.002799035	0	
0.021	0.03999995	-0.06994083	-0.002938933	0	
0.022	0.04199995	-0.06993487	-0.003078819	0	
0.023	0.04399996	-0.06992865	-0.003218692	0	
0.024	0.04599995	-0.06992213	-0.003358553	0	
0.025	0.04799994	-0.06991533	-0.003498399	0	
0.026	0.04999994	-0.06990825	-0.003638231	0	
0.027	0.05199994	-0.06990089	-0.003778048	0	
0.028	0.05399994	-0.06989324	-0.003917849	0	
0.029	0.05599993	-0.06988532	-0.004057635	0	
0.03	0.05799994	-0.06987711	-0.004197404	0	
0.031	0.05999994	-0.06986862	-0.004337155	0	
0.032	0.06199993	-0.06985985	-0.00447689	0	
0.033	0.06399993	-0.0698508	-0.004616606	0	
0.034	0.06599993	-0.06984147	-0.004756303	0	
0.035	0.06799993	-0.06983186	-0.004895981	0	
0.036	0.06999993	-0.06982197	-0.005035639	0	
0.037	0.07199993	-0.06981179	-0.005175277	0	
0.038	0.07399992	-0.06980133	-0.005314894	0	
0.039	0.07599991	-0.06979059	-0.005454489	0	
0.04	0.0779999	-0.06977957	-0.005594062	0	
0.041	0.07999989	-0.06976828	-0.005733613	0	
0.042	0.08199989	-0.0697567	-0.005873141	0	
0.043	0.0839999	-0.06974484	-0.006012645	0	
0.044	0.08599989	-0.0697327	-0.006152125	0	
0.045	0.08799988	-0.06972028	-0.00629158	0	
0.046	0.08999987	-0.06970758	-0.00643101	0	
0.047	0.09199986	-0.0696946	-0.006570414	0	
0.048	0.09399986	-0.06968134	-0.006709791	0	
0.049	0.09599985	-0.06966781	-0.006849142	0	
0.05	0.09799985	-0.06965399	-0.006988464	0	
0.051	0.09999985	-0.06963989	-0.00712776	0	
0.052	0.1019999	-0.06962551	-0.007267026	0	
0.053	0.1039998	-0.06961086	-0.007406263	0	
0.054	0.1059998	-0.06959593	-0.00754547	0	
0.055	0.1079998	-0.0695807	-0.007684647	0	
0.056	0.1099998	-0.06956521	-0.007823794	0	
0.057	0.1119998	-0.06954944	-0.007962909	0	
0.058	0.1139998	-0.06953339	-0.008101991	0	
0.059	0.1159998	-0.06951706	-0.008241042	0	
0.06	0.1179998	-0.06950045	-0.00838006	0	
0.061	0.1199998	-0.06948357	-0.008519044	0	
0.062	0.1219998	-0.0694664	-0.008657994	0	
0.063	0.1239998	-0.06944896	-0.008796909	0	
0.064	0.1259998	-0.06943124	-0.008935789	0	
0.06500001	0.1279998	-0.06941324	-0.009074633	0	
0.066	0.1299998	-0.06939496	-0.009213441	0	
0.067	0.1319998	-0.06937641	-0.009352212	0	
0.068	0.1339998	-0.06935757	-0.009490945	0	
0.06900001	0.1359998	-0.06933846	-0.009629641	0	
0.07	0.1379998	-0.06931908	-0.009768298	0	
0.071	0.1399998	-0.06929941	-0.009906915	0	
0.072	0.1419998	-0.06927947	-0.01004549	0	
0.07300001	0.1439998	-0.06925925	-0.01018403	0	
0.074	0.1459997	-0.06923874	-0.01032253	0	
0.075	0.1479997	-0.06921797	-0.01046098	0	
0.07600001	0.1499997	-0.06919692	-0.0105994	0	
0.07700001	0.1519997	-0.06917559	-0.01073777	0	
0.078	0.1539997	-0.06915399	-0.0108761	0	
0.079	0.1559997	-0.0691321	-0.01101438	0	
0.08000001	0.1579997	-0.06910995	-0.01115262	0	
0.081	0.1599997	-0.06908751	-0.01129082	0	
0.082	0.1619997	-0.0690648	-0.01142897	0	
0.083	0.1639996	-0.06904181	-0.01156707	0	
0.08400001	0.1659996	-0.06901854	-0.01170513	0	
0.085	0.1679996	-0.068995	-0.01184315	0	
0.086	0.1699996	-0.06897119	-0.01198111	0	
0.087	0.1719996	-0.06894709	-0.01211903	0	
0.08800001	0.1739996	-0.06892272	-0.0122569	0	
0.089	0.1759996	-0.06889807	-0.01239471	0	
0.09	0.1779996	-0.06887314	-0.01253248	0	
0.09100001	0.1799996	-0.06884795	-0.0126702	0	
0.09200001	0.1819995	-0.06882248	-0.01280787	0	
0.093	0.1839996	-0.06879673	-0.01294549	0	
0.094	0.1859995	-0.0687707	-0.01308306	0	
0.09500001	0.1879995	-0.06874441	-0.01322057	0	
0.096	0.1899995	-0.06871783	-0.01335803	0	
0.097	0.1919995	-0.06869098	-0.01349544	0	
0.098	0.1939995	-0.06866386	-0.01363279	0	
0.09900001	0.1959995	-0.06863646	-0.01377009	0	
0.1	0.1979995	-0.06860879	-0.01390733	0	
0.101	0.1999995	-0.06858084	-0.01404452	0	
0.102	0.2019995	-0.06855261	-0.01418165	0	
0.103	0.2039995	-0.06852412	-0.01431873	0	
0.104	0.2059995	-0.06849535	-0.01445575	0	
0.105	0.2079995	-0.06846631	-0.01459271	0	
0.106	0.2099994	-0.06843698	-0.01472961	0	
0.107	0.2119994	-0.06840739	-0.01486645	0	
0.108	0.2139994	-0.06837752	-0.01500323	0	
0.109	0.2159994	-0.06834739	-0.01513996	0	
0.11	0.2179994	-0.06831697	-0.01527662	0	
