Time	PendulumX	PendulumY	PendulumZ	Rotation	
0	0	-0.07	0	0	
0.001	4.484761E-06	-0.07000002	-1.269131E-10	-6.382834E-05	
0.002	1.893478E-05	-0.07000001	-3.178564E-09	-0.0002704712	
0.003	4.334819E-05	-0.06999999	-8.480575E-09	-0.0006192573	
0.004	7.772152E-05	-0.06999995	-1.563562E-08	-0.001110307	
0.005	0.0001220499	-0.06999989	-2.472845E-08	-0.001743572	
0.006	0.0001763272	-0.06999978	-3.581192E-08	-0.002518963	
0.007	0.0002405456	-0.06999958	-4.889758E-08	-0.003436373	
0.008	0.0003146961	-0.06999929	-6.402965E-08	-0.004495673	
0.009000001	0.000398768	-0.06999886	-8.116724E-08	-0.005696716	
0.01	0.0004927492	-0.06999826	-1.002951E-07	-0.007039332	
0.011	0.000596626	-0.06999746	-1.214765E-07	-0.008523333	
0.012	0.0007103834	-0.0699964	-1.446573E-07	-0.01014851	
0.013	0.0008340047	-0.06999503	-1.698159E-07	-0.01191464	
0.014	0.0009674713	-0.06999332	-1.970042E-07	-0.01382146	
0.015	0.001110763	-0.06999119	-2.261958E-07	-0.01586871	
0.016	0.001263858	-0.06998859	-2.573592E-07	-0.0180561	
0.017	0.001426733	-0.06998546	-2.90534E-07	-0.02038332	
0.018	0.001599362	-0.06998174	-3.256931E-07	-0.02285002	
0.019	0.001781719	-0.06997733	-3.628288E-07	-0.02545588	
0.02	0.001973773	-0.06997217	-4.01941E-07	-0.0282005	
0.021	0.002175494	-0.0699662	-4.430215E-07	-0.03108349	
0.022	0.002386849	-0.06995931	-4.86064E-07	-0.03410445	
0.023	0.002607802	-0.06995143	-5.310806E-07	-0.03726293	
0.024	0.002838316	-0.06994245	-5.780222E-07	-0.04055848	
0.025	0.003078352	-0.0699323	-6.26898E-07	-0.04399062	
0.026	0.003327867	-0.06992088	-6.777087E-07	-0.04755888	
0.027	0.003586818	-0.06990807	-7.304418E-07	-0.05126268	
0.028	0.003855156	-0.06989378	-7.851074E-07	-0.05510153	
0.029	0.004132834	-0.06987792	-8.416519E-07	-0.05907482	
0.03	0.0044198	-0.06986035	-9.000905E-07	-0.063182	
0.031	0.004715998	-0.06984099	-9.604245E-07	-0.06742245	
0.032	0.005021372	-0.0698197	-1.022609E-06	-0.07179552	
0.033	0.005335863	-0.06979638	-1.086647E-06	-0.07630058	
0.034	0.005659407	-0.06977089	-1.152552E-06	-0.08093697	
0.035	0.005991938	-0.06974313	-1.220265E-06	-0.08570395	
0.036	0.00633339	-0.06971295	-1.289793E-06	-0.09060083	
0.037	0.006683689	-0.06968025	-1.361147E-06	-0.09562686	
0.038	0.007042761	-0.06964489	-1.434264E-06	-0.1007813	
0.039	0.007410527	-0.06960673	-1.509173E-06	-0.1060633	
0.04	0.007786905	-0.06956565	-1.585814E-06	-0.1114721	
0.041	0.008171812	-0.06952149	-1.664212E-06	-0.1170069	
0.042	0.008565161	-0.06947415	-1.744313E-06	-0.1226668	
0.043	0.008966858	-0.06942347	-1.826108E-06	-0.1284508	
0.044	0.00937681	-0.06936932	-1.909611E-06	-0.1343582	
0.045	0.009794916	-0.06931154	-1.99475E-06	-0.1403879	
0.046	0.01022108	-0.06925001	-2.081551E-06	-0.1465391	
0.047	0.01065518	-0.06918459	-2.16995E-06	-0.1528108	
0.048	0.01109713	-0.06911511	-2.259942E-06	-0.1592018	
0.049	0.0115468	-0.06904145	-2.351533E-06	-0.1657113	
0.05	0.01200407	-0.06896346	-2.444649E-06	-0.1723383	
0.051	0.01246883	-0.068881	-2.539311E-06	-0.1790816	
0.052	0.01294094	-0.06879391	-2.635444E-06	-0.18594	
0.053	0.01342029	-0.06870206	-2.733079E-06	-0.1929126	
0.054	0.01390674	-0.06860531	-2.832136E-06	-0.199998	
0.055	0.01440015	-0.06850351	-2.932632E-06	-0.2071954	
0.056	0.01490037	-0.06839652	-3.034495E-06	-0.2145033	
0.057	0.01540727	-0.06828419	-3.137716E-06	-0.2219207	
0.058	0.01592069	-0.06816639	-3.242291E-06	-0.2294461	
0.059	0.01644049	-0.06804298	-3.348136E-06	-0.2370784	
0.06	0.0169665	-0.06791382	-3.455275E-06	-0.2448164	
0.061	0.01749856	-0.06777876	-3.563621E-06	-0.2526586	
0.062	0.01803651	-0.0676377	-3.673189E-06	-0.2606037	
0.063	0.01858018	-0.06749047	-3.7839E-06	-0.2686505	
0.064	0.01912939	-0.06733697	-3.895758E-06	-0.2767974	
0.06500001	0.01968396	-0.06717706	-4.008682E-06	-0.2850432	
0.066	0.02024373	-0.06701062	-4.122695E-06	-0.2933865	
0.067	0.0208085	-0.06683752	-4.2377E-06	-0.3018257	
0.068	0.02137807	-0.06665765	-4.353707E-06	-0.3103591	
0.06900001	0.02195228	-0.06647089	-4.470629E-06	-0.3189854	
0.07	0.0225309	-0.06627713	-4.588483E-06	-0.3277033	
0.071	0.02311375	-0.06607626	-4.707186E-06	-0.336511	
0.072	0.02370062	-0.06586818	-4.826697E-06	-0.345407	
0.07300001	0.02429131	-0.06565278	-4.947E-06	-0.3543898	
0.074	0.02488561	-0.06542998	-5.068021E-06	-0.3634575	
0.075	0.0254833	-0.06519968	-5.189752E-06	-0.3726086	
0.07600001	0.02608417	-0.06496178	-5.312113E-06	-0.3818417	
0.07700001	0.026688	-0.06471623	-5.435072E-06	-0.3911548	
0.078	0.02729456	-0.06446292	-5.558617E-06	-0.4005463	
0.079	0.02790364	-0.06420179	-5.682644E-06	-0.4100144	
0.08000001	0.02851502	-0.06393278	-5.807166E-06	-0.4195575	
0.081	0.02912845	-0.06365582	-5.932081E-06	-0.4291739	
0.082	0.0297437	-0.06337085	-6.057395E-06	-0.4388614	
0.083	0.03036056	-0.06307783	-6.183007E-06	-0.4486185	
0.08400001	0.03097877	-0.06277671	-6.30892E-06	-0.4584433	
0.085	0.03159811	-0.06246745	-6.435034E-06	-0.4683342	
0.086	0.03221834	-0.06215002	-6.561359E-06	-0.478289	
0.087	0.03283921	-0.06182441	-6.687791E-06	-0.4883059	
0.08800001	0.03346049	-0.06149057	-6.814329E-06	-0.498383	
0.089	0.03408195	-0.06114851	-6.940875E-06	-0.5085185	
0.09	0.03470331	-0.0607982	-7.067434E-06	-0.5187102	
0.09100001	0.03532438	-0.06043966	-7.193919E-06	-0.5289564	
0.09200001	0.03594488	-0.06007291	-7.320279E-06	-0.5392551	
0.093	0.03656458	-0.05969793	-7.446488E-06	-0.5496042	
0.094	0.03718323	-0.05931475	-7.572463E-06	-0.5600017	
0.09500001	0.0378006	-0.05892342	-7.698206E-06	-0.5704457	
0.096	0.03841646	-0.05852395	-7.823611E-06	-0.5809342	
0.097	0.03903054	-0.05811638	-7.948685E-06	-0.5914649	
0.098	0.03964262	-0.05770078	-8.073343E-06	-0.6020359	
0.09900001	0.04025247	-0.05727718	-8.197529E-06	-0.6126452	
0.1	0.04085983	-0.05684566	-8.32123E-06	-0.6232907	
0.101	0.0414645	-0.05640628	-8.444361E-06	-0.6339701	
0.102	0.04206251	-0.05596019	-8.566159E-06	-0.6446159	
0.103	0.04265128	-0.05551155	-8.686065E-06	-0.6551806	
0.104	0.04323133	-0.05506137	-8.804193E-06	-0.6656735	
0.105	0.04380189	-0.05460886	-8.920389E-06	-0.6760796	
