Time	Child_Y	Joint_Y	Root_Y	
0.2989997	2.560021	2.660022	0.5600215	
0.2999997	2.557078	2.657079	0.5570784	
0.3009997	2.554126	2.654126	0.5541257	
0.3019997	2.551163	2.651163	0.551163	
0.3029996	2.548191	2.64819	0.5481905	
0.3039996	2.545208	2.645208	0.5452083	
0.3049996	2.542216	2.642216	0.5422163	
0.3059996	2.539214	2.639214	0.5392144	
0.3069996	2.536203	2.636203	0.5362028	
0.3079996	2.533181	2.633181	0.5331813	
0.3089996	2.53015	2.63015	0.53015	
0.3099996	2.527109	2.627109	0.5271088	
0.3109995	2.524058	2.624058	0.524058	
0.3119995	2.520997	2.620997	0.5209972	
0.3129995	2.517927	2.617927	0.5179267	
0.3139995	2.514847	2.614846	0.5148464	
0.3149995	2.511756	2.611756	0.5117562	
0.3159995	2.508656	2.608656	0.5086563	
0.3169995	2.505547	2.605547	0.5055465	
0.3179995	2.502427	2.602427	0.5024269	
0.3189994	2.499298	2.599298	0.4992975	
0.3199994	2.496158	2.596159	0.4961583	
0.3209994	2.493009	2.593009	0.4930093	
0.3219994	2.489851	2.58985	0.4898505	
0.3229994	2.486682	2.586682	0.4866818	
0.3239994	2.483503	2.583503	0.4835034	
0.3249994	2.480315	2.580315	0.4803152	
0.3259993	2.477117	2.577117	0.4771171	
0.3269993	2.473909	2.573909	0.4739092	
0.3279993	2.470691	2.570692	0.4706915	
0.3289993	2.467464	2.567464	0.4674641	
0.3299993	2.464227	2.564227	0.4642268	
0.3309993	2.46098	2.56098	0.4609797	
0.3319993	2.457723	2.557723	0.4577227	
0.3329993	2.454456	2.554456	0.454456	
0.3339992	2.45118	2.55118	0.4511795	
0.3349992	2.447893	2.547893	0.4478931	
0.3359992	2.444597	2.544597	0.444597	
0.3369992	2.441291	2.541291	0.441291	
0.3379992	2.437975	2.537975	0.4379752	
0.3389992	2.43465	2.53465	0.4346496	
0.3399992	2.431314	2.531314	0.4313142	
0.3409992	2.427969	2.527969	0.427969	
0.3419991	2.424614	2.524614	0.424614	
0.3429991	2.421249	2.521249	0.4212492	
0.3439991	2.417875	2.517874	0.4178745	
0.3449991	2.41449	2.51449	0.4144901	
0.3459991	2.411096	2.511096	0.4110958	
0.3469991	2.407692	2.507692	0.4076917	
0.3479991	2.404278	2.504278	0.4042779	
0.3489991	2.400854	2.500854	0.4008542	
0.349999	2.397421	2.497421	0.3974206	
