Time	Body_2 X	Body_2 Z	Body_2 Y	
0	0	-0.2	0	
0.001	0	-0.2	-9.788054E-06	
0.002	3.266211E-11	-0.2	-2.935722E-05	
0.003	2.071154E-10	-0.2	-5.869974E-05	
0.004	7.449681E-10	-0.2	-9.780686E-05	
0.005	2.009854E-09	-0.2	-0.0001466689	
0.006	4.531612E-09	-0.2	-0.0002052752	
0.007	9.026019E-09	-0.2	-0.000273614	
0.008	1.641081E-08	-0.2	-0.000351673	
0.009000001	2.86068E-08	-0.2	-0.0004394384	
0.01	4.683513E-08	-0.2	-0.0005368958	
0.011	7.257423E-08	-0.2	-0.0006440298	
0.012	1.06774E-07	-0.2	-0.000760824	
0.013	1.515704E-07	-0.2	-0.0008872609	
0.014	2.093376E-07	-0.2	-0.001023322	
0.015	2.842691E-07	-0.2	-0.001168989	
0.016	3.797422E-07	-0.2	-0.001324241	
0.017	4.992933E-07	-0.2	-0.001489057	
0.018	6.474224E-07	-0.2	-0.001663415	
0.019	8.271058E-07	-0.2	-0.001847292	
0.02	1.042468E-06	-0.2	-0.002040664	
0.021	1.297836E-06	-0.2	-0.002243506	
0.022	1.598537E-06	-0.2	-0.002455792	
0.023	1.949977E-06	-0.2	-0.002677496	
0.024	2.358457E-06	-0.2	-0.00290859	
0.025	2.829478E-06	-0.2	-0.003149046	
0.026	3.368715E-06	-0.2	-0.003398834	
0.027	3.983596E-06	-0.2	-0.003657924	
0.028	4.680674E-06	-0.2	-0.003926284	
0.029	5.466607E-06	-0.2	-0.004203883	
0.03	6.348173E-06	-0.2	-0.004490686	
0.031	7.332286E-06	-0.2	-0.004786661	
0.032	8.427588E-06	-0.2	-0.005091773	
0.033	9.641814E-06	-0.2	-0.005405986	
0.034	1.098278E-05	-0.2	-0.005729262	
0.035	1.245918E-05	-0.2	-0.006061565	
0.036	1.407889E-05	-0.2	-0.006402856	
0.037	1.585074E-05	-0.2	-0.006753096	
0.038	1.778355E-05	-0.2	-0.007112246	
0.039	1.988699E-05	-0.2	-0.007480262	
0.04	2.216908E-05	-0.2	-0.007857106	
0.041	2.464044E-05	-0.2	-0.008242731	
0.042	2.73115E-05	-0.2	-0.008637096	
0.043	3.019101E-05	-0.2	-0.009040157	
0.044	3.32879E-05	-0.2	-0.009451868	
0.045	3.661206E-05	-0.2	-0.009872182	
0.046	4.017424E-05	-0.2	-0.01030105	
0.047	4.39851E-05	-0.2	-0.01073844	
0.048	4.805602E-05	-0.2	-0.01118428	
0.049	5.239747E-05	-0.2	-0.01163853	
0.05	5.702072E-05	-0.2	-0.01210114	
0.051	6.193615E-05	-0.2	-0.01257206	
0.052	6.715582E-05	-0.2	-0.01305125	
0.053	7.269077E-05	-0.2	-0.01353863	
0.054	7.855208E-05	-0.2	-0.01403417	
0.055	8.475156E-05	-0.2	-0.01453781	
0.056	9.130176E-05	-0.2	-0.01504949	
0.057	9.821654E-05	-0.2	-0.01556915	
0.058	0.000105507	-0.2	-0.01609675	
0.059	0.000113185	-0.2	-0.01663222	
0.06	0.0001212631	-0.2	-0.0171755	
0.061	0.000129753	-0.2	-0.01772654	
0.062	0.0001386671	-0.2	-0.01828528	
0.063	0.0001480176	-0.2	-0.01885165	
0.064	0.0001578167	-0.2	-0.0194256	
0.06500001	0.0001680771	-0.2	-0.02000706	
0.066	0.0001788114	-0.2	-0.02059598	
0.067	0.0001900322	-0.2	-0.02119227	
0.068	0.0002017508	-0.2	-0.0217959	
0.06900001	0.0002139787	-0.2	-0.02240678	
0.07	0.0002267284	-0.2	-0.02302486	
0.071	0.000240012	-0.2	-0.02365006	
0.072	0.00025384	-0.2	-0.02428233	
0.07300001	0.0002682254	-0.2	-0.02492158	
