Time	CylinderSensor	BoxSensor	BoxSensorX	CylinderSensorX	CylinderSensorY	BoxSensorY	BoxContact	CylinderContact	
0	0	0	-0.05	0.05	-0.55	-0.2	-0.07	-0.07	
0.0004	0	0	-0.05	0.05	-0.5500014	-0.2000015	-0.07	-0.07	
0.0008	0	0	-0.04999994	0.05000146	-0.5500041	-0.2000044	-0.07	-0.07	
0.0012	0	0	-0.04999976	0.05000444	-0.5500077	-0.2000089	-0.07	-0.07	
0.0016	0	0	-0.04999941	0.05000899	-0.5500122	-0.2000146	-0.07	-0.07	
0.002	0	0	-0.04999885	0.05001516	-0.5500177	-0.2000216	-0.07	-0.07	
0.0024	0	0	-0.04999801	0.050023	-0.5500237	-0.2000298	-0.07	-0.07	
0.0028	0	0	-0.04999685	0.05003254	-0.5500306	-0.200039	-0.07	-0.07	
0.0032	0	0	-0.04999534	0.05004385	-0.550038	-0.2000492	-0.07	-0.07	
0.0036	0	0	-0.04999344	0.05005696	-0.550046	-0.2000604	-0.07	-0.07	
0.004	0	0	-0.0499911	0.05007189	-0.5500544	-0.2000724	-0.07	-0.07	
0.0044	0	0	-0.0499883	0.05008869	-0.5500631	-0.2000851	-0.07	-0.07	
0.0048	0	0	-0.049985	0.0501074	-0.5500723	-0.2000987	-0.07	-0.07	
0.0052	0	0	-0.04998117	0.05012803	-0.5500817	-0.2001128	-0.07	-0.07	
0.0056	0	0	-0.04997677	0.05015061	-0.5500912	-0.2001276	-0.07	-0.07	
0.006	0	0	-0.04997179	0.0501752	-0.550101	-0.200143	-0.07	-0.07	
0.0064	0	0	-0.0499662	0.05020178	-0.5501109	-0.2001589	-0.07	-0.07	
0.0068	0	0	-0.04995997	0.05023041	-0.5501208	-0.2001753	-0.07	-0.07	
0.0072	0	0	-0.04995308	0.05026109	-0.5501308	-0.200192	-0.07	-0.07	
0.0076	0	0	-0.04994551	0.05029384	-0.5501409	-0.2002093	-0.07	-0.07	
0.007999999	0	0	-0.04993725	0.0503287	-0.5501508	-0.2002269	-0.07	-0.07	
0.0084	0	0	-0.04992827	0.05036567	-0.5501607	-0.2002447	-0.07	-0.07	
0.0088	0	0	-0.04991856	0.05040476	-0.5501705	-0.2002629	-0.07	-0.07	
0.0092	0	0	-0.0499081	0.05044601	-0.5501801	-0.2002814	-0.07	-0.07	
0.0096	0	0	-0.04989688	0.05048941	-0.5501897	-0.2003001	-0.07	-0.07	
0.01	0	0	-0.04988488	0.05053499	-0.550199	-0.2003191	-0.07	-0.07	
0.0104	0	0	-0.04987209	0.05058276	-0.550208	-0.2003382	-0.07	-0.07	
0.0108	0	0	-0.0498585	0.05063271	-0.5502169	-0.2003575	-0.07	-0.07	
0.0112	0	0	-0.0498441	0.05068488	-0.5502255	-0.200377	-0.07	-0.07	
0.0116	0	0	-0.04982887	0.05073926	-0.5502338	-0.2003966	-0.07	-0.07	
0.012	0	0	-0.04981282	0.05079586	-0.5502419	-0.2004164	-0.07	-0.07	
0.0124	0	0	-0.04979593	0.0508547	-0.5502497	-0.2004362	-0.07	-0.07	
0.0128	0	0	-0.0497782	0.05091579	-0.5502572	-0.2004561	-0.07	-0.07	
0.0132	0	0	-0.04975961	0.05097912	-0.5502643	-0.2004762	-0.07	-0.07	
0.0136	0	0	-0.04974016	0.05104471	-0.5502712	-0.2004963	-0.07	-0.07	
0.014	0	0	-0.04971985	0.05111255	-0.5502777	-0.2005164	-0.07	-0.07	
0.0144	0	0	-0.04969867	0.05118266	-0.5502837	-0.2005366	-0.07	-0.07	
0.0148	0	0	-0.04967661	0.05125504	-0.5502895	-0.2005569	-0.07	-0.07	
0.0152	0	0	-0.04965367	0.05132968	-0.5502948	-0.2005771	-0.07	-0.07	
0.0156	0	0	-0.04962985	0.05140661	-0.5502997	-0.2005974	-0.07	-0.07	
0.016	0	0	-0.04960514	0.05148582	-0.5503042	-0.2006177	-0.07	-0.07	
0.0164	0	0	-0.04957954	0.0515673	-0.5503084	-0.2006381	-0.07	-0.07	
0.0168	0	0	-0.04955305	0.05165108	-0.5503122	-0.2006584	-0.07	-0.07	
0.0172	0	0	-0.04952567	0.05173714	-0.5503156	-0.2006788	-0.07	-0.07	
0.0176	0	0	-0.04949738	0.05182548	-0.5503185	-0.2006991	-0.07	-0.07	
0.018	0	0	-0.0494682	0.05191611	-0.550321	-0.2007195	-0.07	-0.07	
0.0184	0	0	-0.04943812	0.05200904	-0.5503232	-0.2007398	-0.07	-0.07	
0.0188	0	0	-0.04940714	0.05210425	-0.5503249	-0.2007601	-0.07	-0.07	
0.0192	0	0	-0.04937525	0.05220177	-0.5503262	-0.2007804	-0.07	-0.07	
0.0196	0	0	-0.04934246	0.05230156	-0.550327	-0.2008008	-0.07	-0.07	
0.02	0	0	-0.04930877	0.05240365	-0.5503274	-0.2008211	-0.07	-0.07	
0.0204	0	0	-0.04927417	0.05250803	-0.5503274	-0.2008413	-0.07	-0.07	
0.0208	0	0	-0.04923867	0.0526147	-0.5503269	-0.2008616	-0.07	-0.07	
0.0212	0	0	-0.04920227	0.05272366	-0.550326	-0.2008819	-0.07	-0.07	
0.0216	0	0	-0.04916496	0.05283491	-0.5503246	-0.2009021	-0.07	-0.07	
0.022	0	0	-0.04912674	0.05294845	-0.5503228	-0.2009223	-0.07	-0.07	
0.0224	0	0	-0.04908763	0.05306428	-0.5503207	-0.2009425	-0.07	-0.07	
0.0228	0	0	-0.04904761	0.05318239	-0.550318	-0.2009627	-0.07	-0.07	
0.0232	0	0	-0.04900669	0.05330279	-0.550315	-0.2009829	-0.07	-0.07	
0.0236	0	0	-0.04896487	0.05342549	-0.5503115	-0.2010031	-0.07	-0.07	
0.024	0	0	-0.04892215	0.05355045	-0.5503075	-0.2010233	-0.07	-0.07	
0.0244	0	0	-0.04887853	0.0536777	-0.5503032	-0.2010434	-0.07	-0.07	
0.0248	0	0	-0.04883401	0.05380723	-0.5502984	-0.2010636	-0.07	-0.07	
0.0252	0	0	-0.0487886	0.05393903	-0.5502931	-0.2010837	-0.07	-0.07	
0.0256	0	0	-0.04874228	0.05407311	-0.5502874	-0.2011039	-0.07	-0.07	
0.026	0	0	-0.04869507	0.05420945	-0.5502813	-0.2011241	-0.07	-0.07	
0.0264	0	0	-0.04864697	0.05434808	-0.5502748	-0.2011442	-0.07	-0.07	
0.0268	0	0	-0.04859798	0.05448898	-0.5502679	-0.2011644	-0.07	-0.07	
0.0272	0	0	-0.0485481	0.05463214	-0.5502605	-0.2011845	-0.07	-0.07	
0.0276	0	0	-0.04849733	0.05477757	-0.5502526	-0.2012047	-0.07	-0.07	
