Time	BoxContact	BoxSensor	BoxSensorX	BoxSensorY	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0	-0.07	0	-0.05	-0.3474869	-0.07	0	0.05	-0.3474869	
0.0004	-0.07	0	-0.05	-0.3474869	-0.07	0	0.05	-0.3474869	
0.0008	-0.07	0	-0.05	-0.3474869	-0.07	0	0.05	-0.3474869	
0.0012	-0.07	0	-0.04999926	-0.347487	-0.07	0	0.05000074	-0.3474869	
0.0016	-0.07	0	-0.0499973	-0.3474871	-0.07	0	0.05000271	-0.3474868	
0.002	-0.07	0	-0.04999378	-0.3474873	-0.07	0	0.05000622	-0.3474865	
0.0024	-0.07	0	-0.04998849	-0.3474877	-0.07	0	0.05001152	-0.3474862	
0.0028	-0.07	0	-0.04998128	-0.3474881	-0.07	0	0.05001872	-0.3474858	
0.0032	-0.07	0	-0.04997207	-0.3474887	-0.07	0	0.05002793	-0.3474852	
0.0036	-0.07	0	-0.04996078	-0.3474894	-0.07	0	0.05003922	-0.3474844	
0.004	-0.07	0	-0.04994738	-0.3474903	-0.07	0	0.05005262	-0.3474835	
0.0044	-0.07	0	-0.04993183	-0.3474913	-0.07	0	0.05006817	-0.3474825	
0.0048	-0.07	0	-0.04991412	-0.3474925	-0.07	0	0.05008588	-0.3474814	
0.0052	-0.07	0	-0.04989424	-0.3474937	-0.07	0	0.05010576	-0.3474801	
0.0056	-0.07	0	-0.04987217	-0.3474951	-0.07	0	0.05012783	-0.3474787	
0.006	-0.07	0	-0.04984791	-0.3474967	-0.07	0	0.05015208	-0.3474771	
0.0064	-0.07	0	-0.04982146	-0.3474983	-0.07	0	0.05017853	-0.3474754	
0.0068	-0.07	0	-0.04979282	-0.3475002	-0.07	0	0.05020718	-0.3474735	
0.0072	-0.07	0	-0.04976198	-0.3475021	-0.07	0	0.05023801	-0.3474716	
0.0076	-0.07	0	-0.04972895	-0.3475043	-0.07	0	0.05027104	-0.3474694	
0.007999999	-0.07	0	-0.04969371	-0.3475065	-0.07	0	0.05030627	-0.3474672	
0.0084	-0.07	0	-0.04965628	-0.3475089	-0.07	0	0.0503437	-0.3474647	
0.0088	-0.07	0	-0.04961665	-0.3475115	-0.07	0	0.05038333	-0.3474622	
0.0092	-0.07	0	-0.04957483	-0.3475142	-0.07	0	0.05042514	-0.3474595	
0.0096	-0.07	0	-0.0495308	-0.347517	-0.07	0	0.05046916	-0.3474567	
0.01	-0.07	0	-0.04948458	-0.34752	-0.07	0	0.05051538	-0.3474537	
0.0104	-0.07	0	-0.04943616	-0.347523	-0.07	0	0.05056379	-0.3474506	
0.0108	-0.07	0	-0.04938554	-0.3475263	-0.07	0	0.0506144	-0.3474473	
0.0112	-0.07	0	-0.04933272	-0.3475296	-0.07	0	0.0506672	-0.3474439	
0.0116	-0.07	0	-0.04927771	-0.3475332	-0.07	0	0.05072221	-0.3474403	
0.012	-0.07	0	-0.0492205	-0.3475368	-0.07	0	0.0507794	-0.3474366	
0.0124	-0.07	0	-0.04916109	-0.3475406	-0.07	0	0.05083879	-0.3474328	
0.0128	-0.07	0	-0.04909949	-0.3475445	-0.07	0	0.05090038	-0.3474287	
0.0132	-0.07	0	-0.04903568	-0.3475485	-0.07	0	0.05096417	-0.3474246	
0.0136	-0.07	0	-0.04896969	-0.3475527	-0.07	0	0.05103014	-0.3474202	
0.014	-0.07	0	-0.04890149	-0.347557	-0.07	0	0.05109831	-0.3474158	
0.0144	-0.07	0	-0.0488311	-0.3475614	-0.07	0	0.05116868	-0.3474111	
0.0148	-0.07	0	-0.04875851	-0.347566	-0.07	0	0.05124123	-0.3474064	
0.0152	-0.07	0	-0.04868373	-0.3475707	-0.07	0	0.05131598	-0.3474015	
0.0156	-0.07	0	-0.04860675	-0.3475755	-0.07	0	0.05139292	-0.3473964	
0.016	-0.07	0	-0.04852758	-0.3475805	-0.07	0	0.05147206	-0.3473912	
0.0164	-0.07	0	-0.04844621	-0.3475855	-0.07	0	0.05155339	-0.3473858	
0.0168	-0.07	0	-0.04836265	-0.3475908	-0.07	0	0.0516369	-0.3473803	
0.0172	-0.07	0	-0.0482769	-0.3475961	-0.07	0	0.05172262	-0.3473746	
0.0176	-0.07	0	-0.04818894	-0.3476016	-0.07	0	0.05181051	-0.3473688	
0.018	-0.07	0	-0.0480988	-0.3476071	-0.07	0	0.0519006	-0.3473628	
0.0184	-0.07	0	-0.04800646	-0.3476128	-0.07	0	0.05199288	-0.3473566	
0.0188	-0.07	0	-0.04791193	-0.3476187	-0.07	0	0.05208735	-0.3473503	
0.0192	-0.07	0	-0.04781521	-0.3476246	-0.07	0	0.052184	-0.3473438	
0.0196	-0.07	0	-0.04771629	-0.3476307	-0.07	0	0.05228285	-0.3473372	
0.02	-0.07	0	-0.04761518	-0.3476369	-0.07	0	0.05238388	-0.3473303	
0.0204	-0.07	0	-0.04751188	-0.3476432	-0.07	0	0.05248709	-0.3473234	
0.0208	-0.07	0	-0.04740639	-0.3476497	-0.07	0	0.0525925	-0.3473163	
