Time	BoxContact	BoxSensor	BoxSensorX	BoxSensorY	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0.0236	-0.07	0	-0.04660694	-0.5502979	-0.07	0	0.05215767	-0.349685	
0.024	-0.07	0	-0.04648394	-0.5503083	-0.07	0	0.05223582	-0.3496733	
0.0244	-0.07	0	-0.04635876	-0.5503189	-0.07	0	0.05231537	-0.3496614	
0.0248	-0.07	0	-0.04623138	-0.5503296	-0.07	0	0.05239629	-0.3496493	
0.0252	-0.07	0	-0.04610183	-0.5503404	-0.07	0	0.05247861	-0.3496369	
0.0256	-0.07	0	-0.04597008	-0.5503514	-0.07	0	0.0525623	-0.3496244	
0.026	-0.07	0	-0.04583615	-0.5503626	-0.07	0	0.05264738	-0.3496116	
0.0264	-0.07	0	-0.04570004	-0.550374	-0.07	0	0.05273385	-0.3495985	
0.0268	-0.07	0	-0.04556173	-0.5503854	-0.07	0	0.05282169	-0.3495853	
0.0272	-0.07	0	-0.04542125	-0.550397	-0.07	0	0.05291092	-0.3495718	
0.0276	-0.07	0	-0.04527858	-0.5504088	-0.07	0	0.05300153	-0.349558	
0.028	-0.07	0	-0.04513373	-0.5504207	-0.07	0	0.05309352	-0.3495441	
0.0284	-0.07	0	-0.04498669	-0.5504327	-0.07	0	0.05318689	-0.3495299	
0.0288	-0.07	0	-0.04483747	-0.5504449	-0.07	0	0.05328165	-0.3495154	
0.0292	-0.07	0	-0.04468608	-0.5504572	-0.07	0	0.05337778	-0.3495008	
0.0296	-0.07	0	-0.04453249	-0.5504696	-0.07	0	0.05347529	-0.3494859	
0.03	-0.07	0	-0.04437672	-0.5504822	-0.07	0	0.05357417	-0.3494707	
0.0304	-0.07	0	-0.04421878	-0.5504949	-0.07	0	0.05367444	-0.3494553	
0.0308	-0.07	0	-0.04405865	-0.5505078	-0.07	0	0.05377609	-0.3494397	
0.0312	-0.07	0	-0.04389635	-0.5505208	-0.07	0	0.05387911	-0.3494239	
0.0316	-0.07	0	-0.04373186	-0.5505338	-0.07	0	0.05398351	-0.3494077	
0.032	-0.07	0	-0.04356521	-0.5505471	-0.07	0	0.05408928	-0.3493914	
0.0324	-0.07	0	-0.04339636	-0.5505604	-0.07	0	0.05419642	-0.3493748	
0.0328	-0.07	0	-0.04322535	-0.5505738	-0.07	0	0.05430495	-0.3493579	
0.0332	-0.07	0	-0.04305215	-0.5505874	-0.07	0	0.05441484	-0.3493408	
0.0336	-0.07	0	-0.04287678	-0.5506011	-0.07	0	0.0545261	-0.3493235	
0.034	-0.07	0	-0.04269924	-0.5506149	-0.07	0	0.05463874	-0.3493058	
0.0344	-0.07	0	-0.04251951	-0.5506288	-0.07	0	0.05475275	-0.349288	
0.0348	-0.07	0	-0.04233762	-0.5506428	-0.07	0	0.05486813	-0.3492699	
0.0352	-0.07	0	-0.04215355	-0.5506569	-0.07	0	0.05498488	-0.3492515	
0.0356	-0.07	0	-0.04196731	-0.5506712	-0.07	0	0.055103	-0.3492329	
0.036	-0.07	0	-0.04177889	-0.5506855	-0.07	0	0.05522249	-0.349214	
0.0364	-0.07	0	-0.0415883	-0.5506999	-0.07	0	0.05534334	-0.3491949	
0.0368	-0.07	0	-0.04139555	-0.5507144	-0.07	0	0.05546556	-0.3491755	
0.0372	-0.07	0	-0.04120062	-0.550729	-0.07	0	0.05558915	-0.3491559	
0.0376	-0.07	0	-0.04100352	-0.5507438	-0.07	0	0.05571411	-0.3491359	
0.038	-0.07	0	-0.04080425	-0.5507585	-0.07	0	0.05584042	-0.3491158	
0.0384	-0.07	0	-0.04060281	-0.5507734	-0.07	0	0.05596811	-0.3490953	
0.0388	-0.07	0	-0.04039921	-0.5507884	-0.07	0	0.05609715	-0.3490746	
0.0392	-0.07	0	-0.04019344	-0.5508034	-0.07	0	0.05622755	-0.3490536	
0.0396	-0.07	0	-0.0399855	-0.5508186	-0.07	0	0.05635932	-0.3490324	
0.04	-0.07	0	-0.0397754	-0.5508338	-0.07	0	0.05649246	-0.3490108	
0.0404	-0.07	0	-0.03956313	-0.5508491	-0.07	0	0.05662694	-0.348989	
