Time	CylinderSensor	BoxSensor	CylinderSensorX	CylinderSensorY	BoxContact	CylinderContact	
0	0	0	0.05	-0.35	-0.07	-0.07	
0.0004	0	0	0.05	-0.3500015	-0.07	-0.07	
0.0008	0	0	0.05000066	-0.350004	-0.07	-0.07	
0.0012	0	0	0.05000204	-0.3500077	-0.07	-0.07	
0.0016	0	0	0.05000418	-0.3500122	-0.07	-0.07	
0.002	0	0	0.05000716	-0.3500176	-0.07	-0.07	
0.0024	0	0	0.050011	-0.3500238	-0.07	-0.07	
0.0028	0	0	0.05001575	-0.3500306	-0.07	-0.07	
0.0032	0	0	0.05002146	-0.350038	-0.07	-0.07	
0.0036	0	0	0.05002816	-0.350046	-0.07	-0.07	
0.004	0	0	0.05003589	-0.3500544	-0.07	-0.07	
0.0044	0	0	0.0500447	-0.3500632	-0.07	-0.07	
0.0048	0	0	0.0500546	-0.3500722	-0.07	-0.07	
0.0052	0	0	0.05006563	-0.3500817	-0.07	-0.07	
0.0056	0	0	0.05007782	-0.3500912	-0.07	-0.07	
0.006	0	0	0.0500912	-0.350101	-0.07	-0.07	
0.0064	0	0	0.05010579	-0.3501109	-0.07	-0.07	
0.0068	0	0	0.05012162	-0.3501208	-0.07	-0.07	
0.0072	0	0	0.0501387	-0.3501309	-0.07	-0.07	
0.0076	0	0	0.05015707	-0.3501409	-0.07	-0.07	
0.007999999	0	0	0.05017672	-0.3501508	-0.07	-0.07	
0.0084	0	0	0.05019769	-0.3501607	-0.07	-0.07	
0.0088	0	0	0.05021999	-0.3501705	-0.07	-0.07	
0.0092	0	0	0.05024365	-0.3501802	-0.07	-0.07	
0.0096	0	0	0.05026866	-0.3501897	-0.07	-0.07	
0.01	0	0	0.05029504	-0.350199	-0.07	-0.07	
0.0104	0	0	0.05032281	-0.3502081	-0.07	-0.07	
0.0108	0	0	0.05035198	-0.350217	-0.07	-0.07	
0.0112	0	0	0.05038255	-0.3502257	-0.07	-0.07	
0.0116	0	0	0.05041454	-0.3502341	-0.07	-0.07	
0.012	0	0	0.05044797	-0.3502422	-0.07	-0.07	
0.0124	0	0	0.05048282	-0.35025	-0.07	-0.07	
0.0128	0	0	0.05051913	-0.3502576	-0.07	-0.07	
0.0132	0	0	0.05055687	-0.3502648	-0.07	-0.07	
0.0136	0	0	0.05059608	-0.3502716	-0.07	-0.07	
0.014	0	0	0.05063675	-0.3502781	-0.07	-0.07	
0.0144	0	0	0.05067888	-0.3502843	-0.07	-0.07	
0.0148	0	0	0.05072248	-0.3502901	-0.07	-0.07	
0.0152	0	0	0.05076755	-0.3502955	-0.07	-0.07	
0.0156	0	0	0.05081411	-0.3503006	-0.07	-0.07	
0.016	0	0	0.05086214	-0.3503052	-0.07	-0.07	
0.0164	0	0	0.05091166	-0.3503095	-0.07	-0.07	
0.0168	0	0	0.05096268	-0.3503134	-0.07	-0.07	
0.0172	0	0	0.05101518	-0.3503169	-0.07	-0.07	
0.0176	0	0	0.05106917	-0.3503199	-0.07	-0.07	
0.018	0	0	0.05112464	-0.3503226	-0.07	-0.07	
0.0184	0	0	0.05118161	-0.3503248	-0.07	-0.07	
0.0188	0	0	0.05124009	-0.3503267	-0.07	-0.07	
0.0192	0	0	0.05130005	-0.3503281	-0.07	-0.07	
0.0196	0	0	0.0513615	-0.3503291	-0.07	-0.07	
0.02	0	0	0.05142445	-0.3503297	-0.07	-0.07	
0.0204	0	0	0.0514889	-0.3503299	-0.07	-0.07	
0.0208	0	0	0.05155485	-0.3503296	-0.07	-0.07	
0.0212	0	0	0.05162228	-0.3503289	-0.07	-0.07	
0.0216	0	0	0.05169122	-0.3503278	-0.07	-0.07	
0.022	0	0	0.05176164	-0.3503263	-0.07	-0.07	
0.0224	0	0	0.05183356	-0.3503244	-0.07	-0.07	
0.0228	0	0	0.05190697	-0.350322	-0.07	-0.07	
0.0232	0	0	0.05198187	-0.3503192	-0.07	-0.07	
0.0236	0	0	0.05205826	-0.350316	-0.07	-0.07	
0.024	0	0	0.05213613	-0.3503124	-0.07	-0.07	
0.0244	0	0	0.0522155	-0.3503084	-0.07	-0.07	
0.0248	0	0	0.05229635	-0.3503039	-0.07	-0.07	
0.0252	0	0	0.05237868	-0.3502991	-0.07	-0.07	
0.0256	0	0	0.0524625	-0.3502938	-0.07	-0.07	
0.026	0	0	0.05254778	-0.3502881	-0.07	-0.07	
0.0264	0	0	0.05263456	-0.350282	-0.07	-0.07	
0.0268	0	0	0.05272281	-0.3502755	-0.07	-0.07	
0.0272	0	0	0.05281254	-0.3502686	-0.07	-0.07	
0.0276	0	0	0.05290373	-0.3502613	-0.07	-0.07	
0.028	0	0	0.0529964	-0.3502536	-0.07	-0.07	
0.0284	0	0	0.05309054	-0.3502454	-0.07	-0.07	
0.0288	0	0	0.05318614	-0.3502369	-0.07	-0.07	
0.0292	0	0	0.05328321	-0.350228	-0.07	-0.07	
0.0296	0	0	0.05338174	-0.3502187	-0.07	-0.07	
0.03	0	0	0.05348174	-0.350209	-0.07	-0.07	
0.0304	0	0	0.05358318	-0.3501988	-0.07	-0.07	
0.0308	0	0	0.05368609	-0.3501884	-0.07	-0.07	
