Time	CylinderSensor	BoxSensor	BoxSensorX	CylinderSensorX	CylinderSensorY	BoxSensorY	
0	0	0	-0.05	0.05	-0.35	-0.55	
0.0004	0	0	-0.05014603	0.04993396	-0.3500215	-0.5499814	
0.0008	0	0	-0.05029774	0.04986222	-0.3500442	-0.5499641	
0.0012	0	0	-0.05045482	0.04978512	-0.3500682	-0.5499481	
0.0016	0	0	-0.05061693	0.04970296	-0.3500932	-0.549933	
0.002	0	0	-0.05078378	0.04961604	-0.3501193	-0.5499189	
0.0024	0	0	-0.05095511	0.04952463	-0.3501464	-0.5499058	
0.0028	0	0	-0.05113063	0.04942901	-0.3501742	-0.5498935	
0.0032	0	0	-0.0513101	0.04932941	-0.3502028	-0.5498818	
0.0036	0	0	-0.05149329	0.04922611	-0.350232	-0.5498708	
0.004	0	0	-0.05167995	0.04911929	-0.3502619	-0.5498604	
0.0044	0	0	-0.05186989	0.04900919	-0.3502923	-0.5498505	
0.0048	0	0	-0.05206289	0.048896	-0.3503233	-0.549841	
0.0052	0	0	-0.05225877	0.04877993	-0.3503546	-0.549832	
0.0056	0	0	-0.05245733	0.04866115	-0.3503863	-0.5498233	
0.006	0	0	-0.05265843	0.04853983	-0.3504183	-0.5498149	
0.0064	0	0	-0.05286188	0.04841614	-0.3504506	-0.5498067	
0.0068	0	0	-0.05306752	0.04829023	-0.3504831	-0.5497987	
0.0072	0	0	-0.05327523	0.04816225	-0.3505159	-0.5497909	
0.0076	0	0	-0.05348486	0.04803232	-0.3505487	-0.5497832	
0.007999999	0	0	-0.05369627	0.0479006	-0.3505817	-0.5497755	
0.0084	0	0	-0.05390936	0.04776719	-0.3506148	-0.5497679	
0.0088	0	0	-0.05412399	0.04763222	-0.3506479	-0.5497603	
0.0092	0	0	-0.05434005	0.04749579	-0.350681	-0.5497528	
0.0096	0	0	-0.05455746	0.04735801	-0.3507141	-0.5497451	
0.01	0	0	-0.05477611	0.04721897	-0.3507472	-0.5497375	
0.0104	0	0	-0.05499589	0.04707878	-0.3507802	-0.5497297	
0.0108	0	0	-0.05521674	0.04693751	-0.3508132	-0.5497218	
0.0112	0	0	-0.05543857	0.04679525	-0.3508461	-0.5497139	
0.0116	0	0	-0.05566129	0.04665206	-0.3508788	-0.5497057	
0.012	0	0	-0.05588484	0.04650804	-0.3509114	-0.5496973	
0.0124	0	0	-0.05610915	0.04636325	-0.3509439	-0.5496888	
0.0128	0	0	-0.05633415	0.04621775	-0.3509762	-0.5496802	
0.0132	0	0	-0.05655978	0.0460716	-0.3510084	-0.5496713	
0.0136	0	0	-0.05678598	0.04592485	-0.3510403	-0.5496621	
0.014	0	0	-0.05701271	0.04577757	-0.351072	-0.5496528	
0.0144	0	0	-0.05723991	0.0456298	-0.3511036	-0.5496432	
