Time	LO	LOS	LeftOdor	OS	RO	ROS	RightOdor	
0	0	309.8384	309.8384	0	0	309.8384	309.8384	
0.001	0	309.8384	309.8384	0	0	309.8384	309.8384	
0.002	0	309.809	309.809	0	0	309.8678	309.8678	
0.003	0.01859031	309.7502	309.7502	0	0.01859031	309.9266	309.9266	
0.004	0.01859031	309.662	309.662	0	0.01859031	310.0146	310.0146	
0.005	0.03680352	309.5441	309.5441	0	0.0368141	310.1317	310.1317	
0.006	0.03680352	309.3965	309.3965	0	0.0368141	310.2779	310.2779	
0.007	0.0546401	309.2189	309.2189	0	0.05468572	310.4529	310.4529	
0.008	0.0546401	309.011	309.011	0	0.05468572	310.6563	310.6563	
0.009000001	0.07210043	308.7727	308.7727	0	0.07221918	310.888	310.888	
0.01	0.07210043	308.5035	308.5035	0	0.07221918	311.1476	311.1476	
0.011	0.08918478	308.2033	308.2033	0	0.08942808	311.4348	311.4348	
0.012	0.08918478	307.8714	307.8714	0	0.08942808	311.7489	311.7489	
0.013	0.1058933	307.5076	307.5076	0	0.1063256	312.0897	312.0897	
0.014	0.1058933	307.1114	307.1114	0	0.1063256	312.4566	312.4566	
0.015	0.1222259	306.7045	306.7045	0	0.1229245	312.8289	312.8289	
0.016	0.1222259	306.3034	306.3034	0	0.1229245	313.191	313.191	
0.017	0.1381836	305.9003	305.9003	0	0.1392357	313.5508	313.5508	
0.018	0.1381836	305.5033	305.5033	0	0.1392357	313.9009	313.9009	
0.019	0.153774	305.1044	305.1044	0	0.155264	314.2485	314.2485	
0.02	0.153774	304.7116	304.7116	0	0.155264	314.5867	314.5867	
0.021	0.1690048	304.3169	304.3169	0	0.1710137	314.9224	314.9224	
0.022	0.1690048	303.9286	303.9286	0	0.1710137	315.2491	315.2491	
0.023	0.1838837	303.5384	303.5384	0	0.1864888	315.5734	315.5734	
0.024	0.1838837	303.1545	303.1545	0	0.1864888	315.8888	315.8888	
0.025	0.1984183	302.7691	302.7691	0	0.2016934	316.2019	316.2019	
0.026	0.1984183	302.3899	302.3899	0	0.2016934	316.5063	316.5063	
0.027	0.2126161	302.0092	302.0092	0	0.2166316	316.8086	316.8086	
0.028	0.2126161	301.6349	301.6349	0	0.2166316	317.1024	317.1024	
0.029	0.2264843	301.2591	301.2591	0	0.2313075	317.394	317.394	
0.03	0.2264843	300.8898	300.8898	0	0.2313075	317.6776	317.6776	
0.031	0.2400302	300.5191	300.5191	0	0.245725	317.959	317.959	
0.032	0.2400302	300.1548	300.1548	0	0.245725	318.2323	318.2323	
0.033	0.2532607	299.7893	299.7893	0	0.2598881	318.5037	318.5037	
0.034	0.2532607	299.4304	299.4304	0	0.2598881	318.7674	318.7674	
0.035	0.2661828	299.0701	299.0701	0	0.2738005	319.0289	319.0289	
0.036	0.2661828	298.7165	298.7165	0	0.2738005	319.283	319.283	
0.037	0.2788034	298.3616	298.3616	0	0.2874662	319.535	319.535	
0.038	0.2788034	298.0134	298.0134	0	0.2874662	319.7798	319.7798	
0.039	0.291129	297.664	297.664	0	0.300889	320.0226	320.0226	
0.04	0.291129	297.3214	297.3214	0	0.300889	320.2583	320.2583	
0.041	0.3031663	296.9777	296.9777	0	0.3140726	320.4922	320.4922	
0.042	0.3031663	296.6405	296.6405	0	0.3140726	320.7189	320.7189	
0.043	0.3149216	296.3025	296.3025	0	0.3270206	320.944	320.944	
0.044	0.3149216	295.971	295.971	0	0.3270206	321.1621	321.1621	
