Time	LO	LOS	LeftOdor	OS	RO	ROS	RightOdor	
0.045	0.3238516	292.738	292.738	0	0.3416973	323.1786	323.1786	
0.046	0.3238516	292.3992	292.3992	0	0.3416973	323.3767	323.3767	
0.047	0.3349388	292.0675	292.0675	0	0.3542541	323.5682	323.5682	
0.048	0.3349388	291.7352	291.7352	0	0.3542541	323.7581	323.7581	
0.049	0.3457641	291.4099	291.4099	0	0.3665831	323.9413	323.9413	
0.05	0.3457641	291.0839	291.0839	0	0.3665831	324.123	324.123	
0.051	0.3563334	290.765	290.765	0	0.3786879	324.2982	324.2982	
0.052	0.3563334	290.4454	290.4454	0	0.3786879	324.4717	324.4717	
0.053	0.3666526	290.133	290.133	0	0.390572	324.6391	324.6391	
0.054	0.3666526	289.8202	289.8202	0	0.390572	324.8049	324.8049	
0.055	0.3767276	289.5142	289.5142	0	0.4022389	324.9645	324.9645	
0.056	0.3767276	289.2076	289.2076	0	0.4022389	325.1227	325.1227	
0.057	0.3865639	288.9082	288.9082	0	0.413692	325.2747	325.2747	
0.058	0.3865639	288.6082	288.6082	0	0.413692	325.4253	325.4253	
0.059	0.3961671	288.3155	288.3155	0	0.4249347	325.57	325.57	
0.06	0.3961671	288.0221	288.0221	0	0.4249347	325.7133	325.7133	
0.061	0.4055427	287.7359	287.7359	0	0.4359702	325.8506	325.8506	
0.062	0.4055427	287.4491	287.4491	0	0.4359702	325.9868	325.9868	
0.063	0.414696	287.1696	287.1696	0	0.4468018	326.117	326.117	
0.064	0.414696	286.8895	286.8895	0	0.4468018	326.246	326.246	
0.06500001	0.4236322	286.6165	286.6165	0	0.4574327	326.3693	326.3693	
0.066	0.4236322	286.3432	286.3432	0	0.4574327	326.4914	326.4914	
0.067	0.4323566	286.077	286.077	0	0.4678662	326.6078	326.6078	
0.068	0.4323566	285.8103	285.8103	0	0.4678662	326.7232	326.7232	
0.06900001	0.4408741	285.5507	285.5507	0	0.4781054	326.8329	326.8329	
0.07	0.4408741	285.2907	285.2907	0	0.4781054	326.9415	326.9415	
0.071	0.4491896	285.0379	285.0379	0	0.4881532	327.0447	327.0447	
