Time	Px	Py	Pz	Vx	Vy	Vz	
1.439	1.325574E-13	0.5335495	-0.06364009	2.676308E-12	-0.3761574	-0.2925113	
1.4395	1.338956E-13	0.533359	-0.06378635	2.676308E-12	-0.3810624	-0.2925113	
1.44	1.352337E-13	0.533166	-0.06393261	2.676308E-12	-0.3859674	-0.2925113	
1.4405	1.365719E-13	0.5329705	-0.06407886	2.676308E-12	-0.3908724	-0.2925113	
1.441	1.379101E-13	0.5327727	-0.06422511	2.676308E-12	-0.3957774	-0.2925113	
1.4415	1.392482E-13	0.5325723	-0.06437137	2.676308E-12	-0.4006824	-0.2925113	
1.442	1.405864E-13	0.5323695	-0.06451762	2.676308E-12	-0.4055874	-0.2925113	
1.4425	1.419245E-13	0.5321643	-0.06466388	2.676308E-12	-0.4104924	-0.2925113	
1.443	1.432627E-13	0.5319566	-0.06481013	2.676308E-12	-0.4153974	-0.2925113	
1.4435	1.446008E-13	0.5317464	-0.06495639	2.676308E-12	-0.4203024	-0.2925113	
1.444	1.45939E-13	0.5315338	-0.06510264	2.676308E-12	-0.4252074	-0.2925113	
1.4445	1.472771E-13	0.5313188	-0.06524891	2.676308E-12	-0.4301124	-0.2925113	
1.445	1.486153E-13	0.5311013	-0.06539516	2.676308E-12	-0.4350174	-0.2925113	
1.4455	1.499534E-13	0.5308813	-0.06554142	2.676308E-12	-0.4399224	-0.2925113	
1.446	1.512916E-13	0.5306589	-0.06568767	2.676308E-12	-0.4448274	-0.2925113	
1.4465	1.526297E-13	0.530434	-0.06583393	2.676308E-12	-0.4497324	-0.2925113	
1.447	1.539679E-13	0.5302067	-0.06598018	2.676308E-12	-0.4546374	-0.2925113	
1.4475	1.553061E-13	0.5299769	-0.06612644	2.676308E-12	-0.4595424	-0.2925113	
1.448	1.566442E-13	0.5297447	-0.06627269	2.676308E-12	-0.4644474	-0.2925113	
1.4485	1.579824E-13	0.52951	-0.06641895	2.676308E-12	-0.4693524	-0.2925113	
1.449	1.593205E-13	0.5292729	-0.06656521	2.676308E-12	-0.4742574	-0.2925113	
1.4495	1.606587E-13	0.5290333	-0.06671146	2.676308E-12	-0.4791624	-0.2925113	
1.45	1.619968E-13	0.5287913	-0.06685772	2.676308E-12	-0.4840674	-0.2925113	
1.4505	1.63335E-13	0.5285468	-0.06700397	2.676308E-12	-0.4889724	-0.2925113	
1.451	1.646731E-13	0.5282999	-0.06715023	2.676308E-12	-0.4938774	-0.2925113	
1.4515	1.660113E-13	0.5280505	-0.06729648	2.676308E-12	-0.4987824	-0.2925113	
1.452	1.673494E-13	0.5277987	-0.06744274	2.676308E-12	-0.5036874	-0.2925113	
1.4525	1.686876E-13	0.5275443	-0.06758899	2.676308E-12	-0.5085924	-0.2925113	
1.453	1.700258E-13	0.5272876	-0.06773525	2.676308E-12	-0.5134974	-0.2925113	
1.4535	1.713639E-13	0.5270284	-0.0678815	2.676308E-12	-0.5184025	-0.2925113	
1.454	1.727021E-13	0.5267667	-0.06802776	2.676308E-12	-0.5233074	-0.2925113	
1.4545	1.740402E-13	0.5265026	-0.06817402	2.676308E-12	-0.5282124	-0.2925113	
1.455	1.753784E-13	0.5262361	-0.06832027	2.676308E-12	-0.5331174	-0.2925113	
1.4555	1.767165E-13	0.5259671	-0.06846653	2.676308E-12	-0.5380225	-0.2925113	
1.456	1.780547E-13	0.5256956	-0.06861278	2.676308E-12	-0.5429274	-0.2925113	
1.4565	1.793928E-13	0.5254217	-0.06875904	2.676308E-12	-0.5478324	-0.2925113	
1.457	1.80731E-13	0.5251453	-0.06890529	2.676308E-12	-0.5527374	-0.2925113	
1.4575	1.820691E-13	0.5248665	-0.06905155	2.676308E-12	-0.5576425	-0.2925113	
1.458	1.834073E-13	0.5245852	-0.0691978	2.676308E-12	-0.5625474	-0.2925113	
1.4585	1.847454E-13	0.5243015	-0.06934406	2.676308E-12	-0.5674524	-0.2925113	
1.459	1.860836E-13	0.5240153	-0.06949032	2.676308E-12	-0.5723574	-0.2925113	
1.4595	1.874217E-13	0.5237266	-0.06963658	2.676308E-12	-0.5772625	-0.2925113	
1.46	1.887599E-13	0.5234356	-0.06978283	2.676308E-12	-0.5821674	-0.2925113	
1.4605	1.900981E-13	0.523142	-0.06992909	2.676308E-12	-0.5870724	-0.2925113	
1.461	1.914362E-13	0.522846	-0.07007534	2.676308E-12	-0.5919774	-0.2925113	
1.4615	1.927744E-13	0.5225476	-0.0702216	2.676308E-12	-0.5968825	-0.2925113	
1.462	1.941125E-13	0.5222467	-0.07036785	2.676308E-12	-0.6017874	-0.2925113	
1.4625	1.954507E-13	0.5219434	-0.07051411	2.676308E-12	-0.6066924	-0.2925113	
1.463	1.967888E-13	0.5216376	-0.07066036	2.676308E-12	-0.6115974	-0.2925113	
1.4635	1.98127E-13	0.5213293	-0.07080662	2.676308E-12	-0.6165025	-0.2925113	
1.464	1.994651E-13	0.5210186	-0.07095288	2.676308E-12	-0.6214074	-0.2925113	
1.4645	2.008033E-13	0.5207055	-0.07109913	2.676308E-12	-0.6263124	-0.2925113	
1.465	2.021414E-13	0.5203899	-0.07124539	2.676308E-12	-0.6312174	-0.2925113	
1.4655	2.034796E-13	0.5200718	-0.07139164	2.676308E-12	-0.6361225	-0.2925113	
1.466	2.048178E-13	0.5197513	-0.0715379	2.676308E-12	-0.6410275	-0.2925113	
1.4665	2.061559E-13	0.5194283	-0.07168415	2.676308E-12	-0.6459324	-0.2925113	
1.467	2.074941E-13	0.5191029	-0.07183041	2.676308E-12	-0.6508374	-0.2925113	
1.4675	2.088322E-13	0.518775	-0.07197666	2.676308E-12	-0.6557425	-0.2925113	
1.468	2.101704E-13	0.5184447	-0.07212292	2.676308E-12	-0.6606475	-0.2925113	
1.4685	2.115085E-13	0.5181119	-0.07226918	2.676308E-12	-0.6655524	-0.2925113	
1.469	2.128467E-13	0.5177767	-0.07241543	2.676308E-12	-0.6704574	-0.2925113	
1.4695	2.141848E-13	0.517439	-0.07256169	2.676308E-12	-0.6753625	-0.2925113	
1.47	2.15523E-13	0.5170989	-0.07270794	2.676308E-12	-0.6802675	-0.2925113	
1.4705	2.168611E-13	0.5167563	-0.0728542	2.676308E-12	-0.6851724	-0.2925113	
1.471	2.181993E-13	0.5164112	-0.07300045	2.676308E-12	-0.6900774	-0.2925113	
1.4715	2.195374E-13	0.5160637	-0.07314671	2.676308E-12	-0.6949825	-0.2925113	
1.472	2.208756E-13	0.5157138	-0.07329296	2.676308E-12	-0.6998875	-0.2925113	
1.4725	2.222138E-13	0.5153614	-0.07343922	2.676308E-12	-0.7047924	-0.2925113	
1.473	2.235519E-13	0.5150066	-0.07358548	2.676308E-12	-0.7096974	-0.2925113	
1.4735	2.248901E-13	0.5146493	-0.07373174	2.676308E-12	-0.7146025	-0.2925113	
1.474	2.262282E-13	0.5142895	-0.07387799	2.676308E-12	-0.7195075	-0.2925113	
1.4745	2.275664E-13	0.5139273	-0.07402425	2.676308E-12	-0.7244124	-0.2925113	
1.475	2.289045E-13	0.5135627	-0.0741705	2.676308E-12	-0.7293174	-0.2925113	
1.4755	2.302427E-13	0.5131956	-0.07431675	2.676308E-12	-0.7342225	-0.2925113	
1.476	2.315808E-13	0.512826	-0.07446301	2.676308E-12	-0.7391275	-0.2925113	
1.4765	2.32919E-13	0.512454	-0.07460926	2.676308E-12	-0.7440324	-0.2925113	
1.477	2.342571E-13	0.5120795	-0.07475552	2.676308E-12	-0.7489374	-0.2925113	
1.4775	2.355953E-13	0.5117026	-0.07490177	2.676308E-12	-0.7538425	-0.2925113	
1.478	2.369334E-13	0.5113232	-0.07504804	2.676308E-12	-0.7587475	-0.2925113	
1.4785	2.382716E-13	0.5109414	-0.07519429	2.676308E-12	-0.7636524	-0.2925113	
1.479	2.396098E-13	0.5105571	-0.07534055	2.676308E-12	-0.7685574	-0.2925113	
1.4795	2.409479E-13	0.5101703	-0.0754868	2.676308E-12	-0.7734625	-0.2925113	
1.48	2.422861E-13	0.5097812	-0.07563306	2.676308E-12	-0.7783675	-0.2925113	
1.4805	2.436242E-13	0.5093895	-0.07577931	2.676308E-12	-0.7832724	-0.2925113	
1.481	2.449624E-13	0.5089955	-0.07592557	2.676308E-12	-0.7881774	-0.2925113	
1.4815	2.463005E-13	0.5085989	-0.07607182	2.676308E-12	-0.7930825	-0.2925113	
1.482	2.476387E-13	0.5081999	-0.07621808	2.676308E-12	-0.7979875	-0.2925113	
1.4825	2.489768E-13	0.5077985	-0.07636434	2.676308E-12	-0.8028924	-0.2925113	
1.483	2.50315E-13	0.5073946	-0.07651059	2.676308E-12	-0.8077974	-0.2925113	
1.4835	2.516531E-13	0.5069882	-0.07665685	2.676308E-12	-0.8127025	-0.2925113	
1.484	2.529913E-13	0.5065794	-0.0768031	2.676308E-12	-0.8176075	-0.2925113	
1.4845	2.543294E-13	0.5061682	-0.07694936	2.676308E-12	-0.8225124	-0.2925113	
1.485	2.556676E-13	0.5057545	-0.07709561	2.676308E-12	-0.8274174	-0.2925113	
1.4855	2.556879E-13	0.5053459	-0.07724412	4.059635E-14	-0.8171582	-0.2970158	
1.486	2.533863E-13	0.5049468	-0.07739619	-4.603233E-12	-0.7980545	-0.3041476	
1.4865	2.483068E-13	0.5045611	-0.07755263	-1.015905E-11	-0.7716003	-0.3128705	
1.487	2.401614E-13	0.5041913	-0.07771416	-1.62908E-11	-0.7395793	-0.3230629	
1.4875	2.288184E-13	0.5038393	-0.07788156	-2.268598E-11	-0.7039422	-0.3347992	
1.488	2.141647E-13	0.5035059	-0.07805522	-2.930733E-11	-0.6667104	-0.3473158	
1.4885	1.962852E-13	0.503191	-0.07823507	-3.575907E-11	-0.6298874	-0.3597111	
1.489	1.754312E-13	0.5028933	-0.07842079	-4.170802E-11	-0.5953622	-0.3714237	
1.4895	1.519886E-13	0.5026109	-0.07861176	-4.68851E-11	-0.564824	-0.381952	
1.49	1.264472E-13	0.502341	-0.0788072	-5.108283E-11	-0.5396896	-0.3908752	
1.4905	9.937016E-14	0.5020806	-0.07900614	-5.415407E-11	-0.5210472	-0.3978699	
1.491	7.136589E-14	0.5018257	-0.07920749	-5.600853E-11	-0.5096194	-0.4027216	
1.4915	4.30618E-14	0.5015728	-0.07941016	-5.660817E-11	-0.5057441	-0.4053297	
1.492	1.508063E-14	0.5013182	-0.07961302	-5.596234E-11	-0.5093768	-0.4057077	
1.4925	-1.290055E-14	0.501061	-0.07981587	-5.596234E-11	-0.5142817	-0.4057077	
1.493	-4.088172E-14	0.5008014	-0.08001872	-5.596234E-11	-0.5191867	-0.4057077	
1.4935	-6.886289E-14	0.5005394	-0.08022158	-5.596234E-11	-0.5240917	-0.4057077	
1.494	-9.684407E-14	0.5002749	-0.08042443	-5.596234E-11	-0.5289968	-0.4057077	
1.4945	-1.248252E-13	0.5000079	-0.08062728	-5.596234E-11	-0.5339018	-0.4057077	
1.495	-1.539574E-13	0.4997694	-0.08083714	-5.82643E-11	-0.4770159	-0.4197075	
1.4955	-1.831018E-13	0.4995713	-0.08105037	-5.828874E-11	-0.3963048	-0.4264701	
1.496	-2.113305E-13	0.4994223	-0.08126318	-5.645743E-11	-0.2980539	-0.425624	
1.4965	-2.379147E-13	0.4993278	-0.08147183	-5.316847E-11	-0.188934	-0.4172857	
1.497	-2.623118E-13	0.49929	-0.08167283	-4.879423E-11	-0.07560942	-0.4020051	
1.4975	-2.841516E-13	0.4993078	-0.08186318	-4.367955E-11	0.03561768	-0.3806927	
1.498	-3.03221E-13	0.4993773	-0.08204044	-3.813877E-11	0.1391103	-0.354535	
1.4985	-3.194143E-13	0.4994924	-0.08220349	-3.238667E-11	0.2300953	-0.3260936	
1.499	-3.327949E-13	0.4996447	-0.08235475	-2.676118E-11	0.3046359	-0.3025296	
1.4995	-3.435688E-13	0.4998246	-0.08249711	-2.154785E-11	0.3597873	-0.2847165	
1.5	-3.520584E-13	0.5000215	-0.08263372	-1.697909E-11	0.3936905	-0.2732058	
1.5005	-3.586758E-13	0.5002242	-0.08276782	-1.323484E-11	0.4056115	-0.2682151	
1.501	-3.652932E-13	0.5004246	-0.08290193	-1.323484E-11	0.4007065	-0.2682151	
1.5015	-3.719107E-13	0.5006225	-0.08303604	-1.323484E-11	0.3958015	-0.2682151	
1.502	-3.785281E-13	0.500818	-0.08317015	-1.323484E-11	0.3908965	-0.2682151	
1.5025	-3.851455E-13	0.501011	-0.08330426	-1.323484E-11	0.3859915	-0.2682151	
1.503	-3.917629E-13	0.5012015	-0.08343836	-1.323484E-11	0.3810865	-0.2682151	
1.5035	-3.983804E-13	0.5013896	-0.08357247	-1.323484E-11	0.3761815	-0.2682151	
1.504	-4.049978E-13	0.5015752	-0.08370658	-1.323484E-11	0.3712765	-0.2682151	
1.5045	-4.116152E-13	0.5017584	-0.08384068	-1.323484E-11	0.3663715	-0.2682151	
1.505	-4.182326E-13	0.5019391	-0.08397479	-1.323484E-11	0.3614665	-0.2682151	
1.5055	-4.2485E-13	0.5021174	-0.0841089	-1.323484E-11	0.3565615	-0.2682151	
1.506	-4.314675E-13	0.5022932	-0.08424301	-1.323484E-11	0.3516565	-0.2682151	
1.5065	-4.380849E-13	0.5024666	-0.08437712	-1.323484E-11	0.3467515	-0.2682151	
1.507	-4.447023E-13	0.5026376	-0.08451122	-1.323484E-11	0.3418465	-0.2682151	
1.5075	-4.513197E-13	0.502806	-0.08464533	-1.323484E-11	0.3369415	-0.2682151	
1.508	-4.579372E-13	0.502972	-0.08477944	-1.323484E-11	0.3320365	-0.2682151	
1.5085	-4.645546E-13	0.5031356	-0.08491354	-1.323484E-11	0.3271315	-0.2682151	
1.509	-4.675559E-13	0.5032995	-0.0850468	-6.002603E-12	0.3278655	-0.2665064	
1.5095	-4.688134E-13	0.5034652	-0.08517878	-2.514969E-12	0.3313923	-0.2639514	
1.51	-4.69818E-13	0.5036337	-0.08530915	-2.009247E-12	0.3370533	-0.2607497	
1.5105	-4.717031E-13	0.5038058	-0.08543772	-3.770286E-12	0.3440906	-0.2571309	
1.511	-4.75271E-13	0.5039816	-0.08556438	-7.13578E-12	0.3517053	-0.2533372	
1.5115	-4.810222E-13	0.5041612	-0.08568919	-1.150231E-11	0.3591152	-0.2496056	
1.512	-4.891871E-13	0.504344	-0.08581226	-1.63298E-11	0.3656062	-0.2461523	
1.5125	-4.997601E-13	0.5045293	-0.08593384	-2.114605E-11	0.3705769	-0.2431598	
1.513	-5.125352E-13	0.5047161	-0.08605423	-2.555017E-11	0.3735713	-0.2407661	
1.5135	-5.271422E-13	0.5049033	-0.08617376	-2.92141E-11	0.3742994	-0.2390592	
1.514	-5.430838E-13	0.5050896	-0.08629279	-3.188303E-11	0.372646	-0.2380738	
1.5145	-5.590253E-13	0.5052734	-0.08641183	-3.188303E-11	0.367741	-0.2380738	
1.515	-5.749668E-13	0.5054548	-0.08653086	-3.188303E-11	0.362836	-0.2380738	
