Time	A4	A4Ia	
0.352	-0.05897637	1.425347E-08	
0.354	-0.05634616	1.431195E-08	
0.356	-0.05375684	1.433581E-08	
0.358	-0.05121454	1.434559E-08	
0.36	-0.04872113	1.434962E-08	
0.362	-0.04627679	1.435129E-08	
0.364	-0.04388099	1.4352E-08	
0.366	-0.04153297	1.435231E-08	
0.368	-0.03923185	1.435244E-08	
0.37	-0.03697672	1.43525E-08	
0.372	-0.03476669	1.435254E-08	
0.374	-0.03260085	1.435255E-08	
0.376	-0.03047832	1.435256E-08	
0.378	-0.02839824	1.435257E-08	
0.38	-0.02635976	1.435258E-08	
0.382	-0.02436205	1.435258E-08	
0.384	-0.02240429	1.435258E-08	
0.386	-0.02048569	1.435258E-08	
0.388	-0.01860546	1.435258E-08	
0.39	-0.01676284	1.435259E-08	
0.392	-0.01495706	1.435259E-08	
0.394	-0.0131874	1.435259E-08	
0.396	-0.01145314	1.435259E-08	
0.398	-0.009753559	1.435259E-08	
0.4	-0.00808797	1.435259E-08	
0.402	-0.00645569	1.435259E-08	
0.404	-0.004856057	1.435259E-08	
0.406	-0.003288418	1.435259E-08	
0.408	-0.001752131	1.435259E-08	
0.41	-0.0002465695	1.43526E-08	
0.412	0.001228884	1.43526E-08	
0.414	0.002674825	1.43526E-08	
0.416	0.004091851	1.43526E-08	
0.418	0.005480535	1.43526E-08	
0.42	0.006841443	1.43526E-08	
0.422	0.008175135	1.43526E-08	
0.424	0.009482153	1.43526E-08	
0.426	0.01076303	1.43526E-08	
0.428	0.01201829	1.43526E-08	
0.43	0.01324844	1.43526E-08	
0.432	0.01445399	1.43526E-08	
0.434	0.01563543	1.43526E-08	
0.436	0.01679324	1.435261E-08	
0.438	0.0179279	1.435261E-08	
0.44	0.01903986	1.435261E-08	
0.442	0.02012958	1.435261E-08	
0.444	0.02119751	1.435261E-08	
0.446	0.02224408	1.435261E-08	
0.448	0.02326972	1.435261E-08	
0.45	0.02427485	1.435261E-08	
0.452	0.02525987	1.435261E-08	
0.454	0.0262252	1.435261E-08	
0.456	0.02717122	1.435261E-08	
0.458	0.02809832	1.435261E-08	
0.46	0.02900687	1.435261E-08	
0.462	0.02989725	1.435261E-08	
0.464	0.03076982	1.435261E-08	
0.466	0.03162495	1.435261E-08	
0.468	0.03246298	1.435261E-08	
0.47	0.03328424	1.435261E-08	
0.472	0.03408907	1.435261E-08	
0.474	0.03487781	1.435261E-08	
0.476	0.03565078	1.435261E-08	
0.478	0.03640829	1.435261E-08	
