Time	A4	A4Ia	
0	-0.07	0	
0.002	-0.07	0	
0.004	-0.07	5.427778E-27	
0.006	-0.07	4.722794E-27	
0.008	-0.07	3.479346E-27	
0.01	-0.07	3.519801E-27	
0.012	-0.07	3.520159E-27	
0.014	-0.07	3.520261E-27	
0.016	-0.07	3.52032E-27	
0.018	-0.07	3.520377E-27	
0.02	-0.07	3.520433E-27	
0.022	-0.07	3.520488E-27	
0.024	-0.07	3.52054E-27	
0.026	-0.07	3.520593E-27	
0.028	-0.07	3.520643E-27	
0.03	-0.07	3.520719E-27	
0.032	-0.07	3.520767E-27	
0.034	-0.07	3.520815E-27	
0.036	-0.07	3.520861E-27	
0.038	-0.07	3.520906E-27	
0.04	-0.07	3.52095E-27	
0.042	-0.07	3.520992E-27	
0.044	-0.07	3.521035E-27	
0.046	-0.07	3.52113E-27	
0.048	-0.07	3.52117E-27	
0.05	-0.07	3.521209E-27	
0.052	-0.07	3.521274E-27	
0.054	-0.07	3.521311E-27	
0.056	-0.07	3.521347E-27	
0.058	-0.07	3.521382E-27	
0.06	-0.07	3.521417E-27	
0.062	-0.07	3.521451E-27	
0.064	-0.07	3.521484E-27	
0.066	-0.07	3.521516E-27	
0.068	-0.07	3.521547E-27	
0.07	-0.07	3.521578E-27	
0.072	-0.07	3.521608E-27	
0.074	-0.07	3.521664E-27	
0.07600001	-0.07	3.521693E-27	
0.078	-0.07	3.521721E-27	
0.08000001	-0.07	3.521748E-27	
0.082	-0.07	3.521775E-27	
0.08400001	-0.07	3.521801E-27	
0.086	-0.07	3.521826E-27	
0.08800001	-0.07	3.521851E-27	
0.09	-0.07	3.521875E-27	
0.09200001	-0.07	3.521898E-27	
0.094	-0.07	3.521922E-27	
0.096	-0.07	3.521944E-27	
0.098	-0.07	3.521966E-27	
0.1	-0.07	3.521988E-27	
0.102	-0.07	3.522009E-27	
0.104	-0.07	3.52203E-27	
0.106	-0.07	3.522049E-27	
0.108	-0.07	3.522069E-27	
0.11	-0.07	3.522088E-27	
0.112	-0.07	3.522107E-27	
0.114	-0.07	3.522165E-27	
0.116	-0.07	3.522183E-27	
0.118	-0.07	3.5222E-27	
0.12	-0.07	3.522217E-27	
0.122	-0.07	3.522234E-27	
0.124	-0.07	3.52225E-27	
0.126	-0.07	3.522265E-27	
0.128	-0.07	3.522308E-27	
0.13	-0.07	3.522323E-27	
0.132	-0.07	3.522338E-27	
0.134	-0.07	3.522352E-27	
0.136	-0.07	3.522366E-27	
0.138	-0.07	3.522379E-27	
0.14	-0.07	3.522393E-27	
0.142	-0.07	3.522406E-27	
0.144	-0.07	3.522418E-27	
0.146	-0.07	3.522431E-27	
0.148	-0.07	3.522443E-27	
0.15	-0.07	3.522455E-27	
0.152	-0.07	3.522467E-27	
0.154	-0.07	3.522478E-27	
0.156	-0.07	3.522489E-27	
0.158	-0.07	3.5225E-27	
0.16	-0.07	3.52251E-27	
0.162	-0.07	3.52252E-27	
0.164	-0.07	3.522517E-27	
0.166	-0.07	3.52254E-27	
0.168	-0.07	3.52255E-27	
0.17	-0.07	3.522559E-27	
0.172	-0.07	3.522568E-27	
0.174	-0.07	3.522577E-27	
0.176	-0.07	3.522586E-27	
0.178	-0.07	3.522594E-27	
0.18	-0.07	3.522602E-27	
0.182	-0.07	3.522611E-27	
0.184	-0.07	3.522618E-27	
0.186	-0.07	3.522612E-27	
0.188	-0.07	3.522634E-27	
0.19	-0.07	3.522641E-27	
0.192	-0.07	3.522648E-27	
0.194	-0.07	3.522655E-27	
0.196	-0.07	3.522662E-27	
0.198	-0.07	3.522668E-27	
0.2	-0.07	3.522675E-27	
0.202	-0.07	3.522681E-27	
0.204	-0.07	3.522688E-27	
0.206	-0.07	3.522693E-27	
0.208	-0.07	3.5227E-27	
0.21	-0.07	3.522705E-27	
0.212	-0.07	3.522711E-27	
0.214	-0.07	3.522717E-27	
0.216	-0.07	3.522722E-27	
0.218	-0.07	3.522727E-27	
0.22	-0.07	3.522732E-27	
0.222	-0.07	3.522737E-27	
0.224	-0.07	3.522742E-27	
0.226	-0.07	3.522747E-27	
0.228	-0.07	3.522752E-27	
0.23	-0.07	3.522756E-27	
0.232	-0.07	3.52276E-27	
0.234	-0.07	3.522765E-27	
0.236	-0.07	3.522823E-27	
0.238	-0.07	3.522827E-27	
0.24	-0.07	3.522831E-27	
0.242	-0.07	3.522835E-27	
0.244	-0.07	3.522839E-27	
0.246	-0.07	3.522842E-27	
0.248	-0.07	3.522846E-27	
0.25	-0.07	3.52285E-27	
0.252	-0.07	3.522853E-27	
0.254	-0.07	3.522857E-27	
0.256	-0.07	3.52286E-27	
0.258	-0.07	3.522864E-27	
0.26	-0.07	3.522866E-27	
0.262	-0.07	3.52287E-27	
0.264	-0.07	3.522873E-27	
0.266	-0.07	3.522876E-27	
0.268	-0.07	3.522879E-27	
0.27	-0.07	3.522881E-27	
0.272	-0.07	3.522884E-27	
0.274	-0.07	3.522887E-27	
0.276	-0.07	3.522889E-27	
0.278	-0.07	3.522892E-27	
0.28	-0.07	3.522894E-27	
0.282	-0.07	3.522897E-27	
0.284	-0.07	3.522899E-27	
0.286	-0.07	3.522902E-27	
0.288	-0.07	3.522904E-27	
0.29	-0.07	3.522906E-27	
0.292	-0.07	3.522909E-27	
0.294	-0.07	3.522911E-27	
0.296	-0.07	3.522913E-27	
0.298	-0.07	3.522915E-27	
