Time	Body_X	Body_Y	Body_Z	Joint_1	
0.093	-1.083834E-05	-0.03854823	-0.1949732	-14.89044	
0.094	-1.113411E-05	-0.03936287	-0.1947544	-15.21262	
0.09500001	-1.143547E-05	-0.04018477	-0.1945286	-15.53817	
0.096	-1.174248E-05	-0.04101384	-0.1942958	-15.86708	
0.097	-1.205519E-05	-0.04184999	-0.1940558	-16.19934	
0.098	-1.237369E-05	-0.04269314	-0.1938084	-16.53496	
0.09900001	-1.269801E-05	-0.04354321	-0.1935536	-16.87391	
0.1	-1.302824E-05	-0.0444001	-0.1932911	-17.2162	
0.101	-1.336442E-05	-0.04526373	-0.193021	-17.56183	
0.102	-1.370663E-05	-0.046134	-0.1927429	-17.91078	
0.103	-1.405491E-05	-0.04701081	-0.1924568	-18.26304	
0.104	-1.440933E-05	-0.04789406	-0.1921626	-18.61862	
0.105	-1.476995E-05	-0.04878366	-0.1918601	-18.97751	
0.106	-1.513683E-05	-0.04967949	-0.1915491	-19.33969	
0.107	-1.551003E-05	-0.05058146	-0.1912296	-19.70517	
0.108	-1.58896E-05	-0.05148944	-0.1909014	-20.07393	
0.109	-1.62756E-05	-0.05240334	-0.1905644	-20.44596	
0.11	-1.666808E-05	-0.05332302	-0.1902184	-20.82126	
0.111	-1.706711E-05	-0.05424837	-0.1898633	-21.19983	
0.112	-1.747273E-05	-0.05517929	-0.189499	-21.58164	
0.113	-1.7885E-05	-0.05611563	-0.1891253	-21.9667	
0.114	-1.830398E-05	-0.05705727	-0.1887421	-22.35498	
0.115	-1.87297E-05	-0.05800408	-0.1883493	-22.7465	
0.116	-1.916224E-05	-0.05895593	-0.1879467	-23.14123	
0.117	-1.960162E-05	-0.05991269	-0.1875343	-23.53917	
0.118	-2.004791E-05	-0.06087421	-0.1871118	-23.94031	
0.119	-2.050115E-05	-0.06184036	-0.1866791	-24.34463	
0.12	-2.096139E-05	-0.06281099	-0.1862361	-24.75213	
0.121	-2.142867E-05	-0.06378595	-0.1857828	-25.16281	
0.122	-2.190304E-05	-0.06476509	-0.1853189	-25.57663	
0.123	-2.238453E-05	-0.06574827	-0.1848443	-25.9936	
0.124	-2.28732E-05	-0.06673531	-0.184359	-26.41371	
0.125	-2.336908E-05	-0.06772607	-0.1838627	-26.83694	
0.126	-2.38722E-05	-0.06872039	-0.1833555	-27.26328	
0.127	-2.438262E-05	-0.06971809	-0.182837	-27.69273	
0.128	-2.490036E-05	-0.07071902	-0.1823073	-28.12526	
0.129	-2.542546E-05	-0.07172299	-0.1817663	-28.56087	
0.13	-2.595794E-05	-0.07272984	-0.1812137	-28.99954	
