Time	NExternalI	NVm	NFF	
0.332	2E-09	0.01296058	0.1944086	
0.334	2E-09	0.01342987	0.2014481	
0.336	2E-09	0.01386788	0.2080182	
0.338	2E-09	0.01427669	0.2141503	
0.34	2E-09	0.01465824	0.2198736	
0.342	2E-09	0.01501436	0.2252154	
0.344	2E-09	0.01534674	0.230201	
0.346	2E-09	0.01565695	0.2348543	
0.348	2E-09	0.01594649	0.2391974	
0.35	2E-09	0.01621673	0.2432509	
0.352	2E-09	0.01646894	0.2470342	
0.354	2E-09	0.01670435	0.2505652	
0.356	2E-09	0.01692406	0.2538609	
0.358	2E-09	0.01712912	0.2569368	
0.36	2E-09	0.01732051	0.2598077	
0.362	2E-09	0.01749915	0.2624872	
0.364	2E-09	0.01766587	0.264988	
0.366	2E-09	0.01782148	0.2673222	
0.368	2E-09	0.01796671	0.2695007	
0.37	2E-09	0.01810226	0.271534	
0.372	2E-09	0.01822878	0.2734317	
0.374	2E-09	0.01834686	0.2752029	
0.376	2E-09	0.01845707	0.2768561	
0.378	2E-09	0.01855993	0.278399	
0.38	2E-09	0.01865594	0.2798391	
0.382	2E-09	0.01874554	0.2811831	
0.384	2E-09	0.01882917	0.2824376	
0.386	2E-09	0.01890723	0.2836084	
0.388	2E-09	0.01898008	0.2847012	
0.39	2E-09	0.01904807	0.2857211	
0.392	2E-09	0.01911153	0.286673	
0.394	2E-09	0.01917076	0.2875615	
0.396	2E-09	0.01922605	0.2883907	
0.398	2E-09	0.01927764	0.2891647	
0.4	0	0.0193258	0.289887	
0.402	0	0.01803741	0.2705612	
0.404	0	0.01683492	0.2525238	
0.406	0	0.01571259	0.2356889	
0.408	0	0.01466509	0.2199763	
0.41	0	0.01368741	0.2053112	
0.412	0	0.01277492	0.1916238	
0.414	0	0.01192326	0.1788489	
0.416	0	0.01112838	0.1669256	
0.418	0	0.01038648	0.1557973	
0.42	0	0.009694051	0.1454108	
0.422	0	0.009047781	0.1357167	
0.424	0	0.008444596	0.1266689	
0.426	0	0.007881623	0.1182243	
0.428	0	0.007356181	0.1103427	
0.43	0	0.006865769	0.1029865	
0.432	0	0.006408051	0.09612077	
0.434	0	0.005980848	0.08971272	
0.436	0	0.005582124	0.08373187	
0.438	0	0.005209983	0.07814974	
0.44	0	0.004862651	0.07293976	
0.442	0	0.004538474	0.06807711	
0.444	0	0.004235909	0.06353864	
0.446	0	0.003953516	0.05930273	
0.448	0	0.003689948	0.05534922	
0.45	0	0.003443951	0.05165927	
0.452	0	0.003214354	0.04821531	
0.454	0	0.003000064	0.04500096	
0.456	0	0.00280006	0.0420009	
0.458	0	0.002613389	0.03920084	
0.46	0	0.002439163	0.03658745	
0.462	0	0.002276552	0.03414829	
0.464	0	0.002124782	0.03187173	
0.466	0	0.00198313	0.02974695	
0.468	0	0.001850921	0.02776382	
0.47	0	0.001727527	0.0259129	
0.472	0	0.001612358	0.02418537	
0.474	0	0.001504868	0.02257301	
0.476	0	0.001404543	0.02106815	
0.478	0	0.001310907	0.0196636	
0.48	0	0.001223513	0.0183527	
0.482	0	0.001141946	0.01712918	
0.484	0	0.001065816	0.01598724	
0.486	0	0.0009947615	0.01492142	
0.488	0	0.000928444	0.01392666	
0.49	0	0.0008665478	0.01299822	
0.492	0	0.0008087779	0.01213167	
0.494	0	0.0007548594	0.01132289	
0.496	0	0.0007045354	0.01056803	
0.498	0	0.0006575664	0.009863496	
0.5	4E-09	0.0006137286	0.009205929	
0.502	4E-09	0.00323948	0.0485922	
0.504	4E-09	0.005690182	0.08535273	
0.506	4E-09	0.007977502	0.1196625	
0.508	4E-09	0.01011234	0.151685	
0.5100001	4E-09	0.01210485	0.1815727	
0.512	4E-09	0.01396452	0.2094679	
0.514	4E-09	0.01570022	0.2355033	
0.516	4E-09	0.01732021	0.2598031	
0.518	4E-09	0.01883219	0.2824829	
0.52	4E-09	0.02024338	0.3036507	
0.522	4E-09	0.02156049	0.3234073	
0.524	4E-09	0.02278979	0.3418469	
0.526	4E-09	0.02393714	0.359057	
0.528	4E-09	0.02500799	0.3751199	
0.53	4E-09	0.02600746	0.3901119	
0.532	4E-09	0.0269403	0.4041044	
0.534	4E-09	0.02781094	0.4171641	
0.536	4E-09	0.02862355	0.4293532	
0.538	4E-09	0.02938198	0.4407296	
0.54	4E-09	0.03008984	0.4513476	
0.5420001	4E-09	0.03075052	0.4612578	
0.544	4E-09	0.03136715	0.4705073	
0.546	4E-09	0.03194268	0.4791402	
0.548	4E-09	0.03247983	0.4871975	
0.55	4E-09	0.03298118	0.4947176	
0.552	4E-09	0.0334491	0.5017365	
0.554	4E-09	0.03388583	0.5082874	
0.5560001	4E-09	0.03429344	0.5144016	
0.558	4E-09	0.03467387	0.5201081	
0.56	4E-09	0.03502895	0.5254343	
0.562	4E-09	0.03536035	0.5304053	
0.564	4E-09	0.03566966	0.5350449	
0.566	4E-09	0.03595835	0.5393752	
0.568	4E-09	0.03622779	0.5434169	
0.5700001	4E-09	0.03647927	0.5471891	
0.572	4E-09	0.03671399	0.5507098	
0.574	4E-09	0.03693305	0.5539958	
0.576	4E-09	0.03713752	0.5570627	
0.578	4E-09	0.03732835	0.5599252	
0.58	4E-09	0.03750646	0.5625969	
0.582	4E-09	0.03767269	0.5650904	
0.5840001	4E-09	0.03782785	0.5674177	
0.586	4E-09	0.03797266	0.5695899	
0.588	4E-09	0.03810782	0.5716172	
0.59	4E-09	0.03823396	0.5735095	
0.592	4E-09	0.0383517	0.5752754	
0.594	4E-09	0.03846158	0.5769238	
0.596	4E-09	0.03856415	0.5784622	
0.598	4E-09	0.03865987	0.5798981	
0.6	0	0.03874921	0.5812382	
0.6020001	0	0.03616593	0.542489	
0.604	0	0.03375487	0.506323	
0.606	0	0.03150455	0.4725682	
0.608	0	0.02940424	0.4410636	
0.61	0	0.02744396	0.4116594	
0.612	0	0.02561436	0.3842154	
0.614	0	0.02390674	0.358601	
0.6160001	0	0.02231295	0.3346943	
0.618	0	0.02082542	0.3123814	
0.62	0	0.01943706	0.2915559	
0.622	0	0.01814126	0.2721188	
0.624	0	0.01693184	0.2539776	
0.626	0	0.01580305	0.2370458	
0.628	0	0.01474951	0.2212427	
0.6300001	0	0.01376621	0.2064932	
0.632	0	0.01284847	0.192727	
0.634	0	0.0119919	0.1798785	
0.636	0	0.01119244	0.1678866	
0.638	0	0.01044628	0.1566942	
0.64	0	0.00974986	0.1462479	
0.642	0	0.009099869	0.136498	
0.6440001	0	0.008493211	0.1273982	
0.646	0	0.007926997	0.1189049	
0.648	0	0.00739853	0.110978	
0.65	0	0.006905295	0.1035794	
0.652	0	0.006444942	0.09667413	
0.654	0	0.006015279	0.09022918	
0.656	0	0.00561426	0.08421391	
0.6580001	0	0.005239976	0.07859964	
0.66	0	0.004890644	0.07335967	
0.6620001	0	0.004564601	0.06846903	
0.664	0	0.004260295	0.06390442	
0.666	0	0.003976275	0.05964412	
0.668	0	0.00371119	0.05566784	
0.67	0	0.003463777	0.05195665	
0.6720001	0	0.003232859	0.04849288	
0.674	0	0.003017335	0.04526002	
0.6760001	0	0.002816179	0.04224269	
0.678	0	0.002628434	0.03942651	
0.68	0	0.002453205	0.03679807	
0.682	0	0.002289658	0.03434487	
0.684	0	0.002137014	0.03205521	
0.686	0	0.001994546	0.02991819	
0.688	0	0.001861576	0.02792365	
0.6900001	0	0.001737471	0.02606207	
0.692	0	0.00162164	0.0243246	
0.694	0	0.001513531	0.02270296	
0.696	0	0.001412629	0.02118943	
0.698	0	0.001318453	0.0197768	
0.7	6E-09	0.001230556	0.01845835	
0.702	6E-09	0.00514852	0.07722779	
0.7040001	6E-09	0.008805285	0.1320793	
0.706	6E-09	0.01221827	0.183274	
0.708	6E-09	0.01540372	0.2310557	
0.71	6E-09	0.0183768	0.275652	
0.712	6E-09	0.02115168	0.3172752	
0.714	6E-09	0.02374157	0.3561235	
0.716	6E-09	0.0261588	0.392382	
0.7180001	6E-09	0.02841488	0.4262232	
0.72	6E-09	0.03052055	0.4578083	
0.7220001	6E-09	0.03248585	0.4872878	
0.724	6E-09	0.03432013	0.5148019	
0.726	6E-09	0.03603212	0.5404817	
0.728	6E-09	0.03762998	0.5644497	
0.73	6E-09	0.03912131	0.5868196	
0.7320001	6E-09	0.04051322	0.6076984	
0.734	6E-09	0.04181234	0.6271851	
0.7360001	6E-09	0.04302485	0.6453728	
0.738	6E-09	0.04415653	0.6623479	
0.74	6E-09	0.04521276	0.6781914	
0.742	6E-09	0.04619858	0.6929786	
0.744	6E-09	0.04711867	0.7067801	
0.7460001	6E-09	0.04797743	0.7196614	
0.748	6E-09	0.04877893	0.7316839	
0.7500001	6E-09	0.049527	0.742905	
0.752	6E-09	0.0502252	0.753378	
0.754	6E-09	0.05087686	0.7631528	
0.756	6E-09	0.05148507	0.772276	
0.758	6E-09	0.05205273	0.7807909	
0.7600001	6E-09	0.05258255	0.7887382	
0.762	6E-09	0.05307705	0.7961557	
0.7640001	6E-09	0.05353858	0.8030787	
0.766	6E-09	0.05396934	0.8095401	
0.768	6E-09	0.05437138	0.8155708	
0.77	6E-09	0.05474662	0.8211994	
0.772	6E-09	0.05509685	0.8264527	
0.774	6E-09	0.05542373	0.8313559	
0.776	6E-09	0.05572881	0.8359322	
0.7780001	6E-09	0.05601356	0.8402033	
0.78	6E-09	0.05627932	0.8441898	
0.7820001	6E-09	0.05652736	0.8479105	
0.784	6E-09	0.05675887	0.8513831	
0.786	6E-09	0.05697495	0.8546242	
0.788	6E-09	0.05717662	0.8576493	
0.79	6E-09	0.05736484	0.8604726	
0.7920001	6E-09	0.05754052	0.8631077	
0.794	6E-09	0.05770448	0.8655672	
0.7960001	6E-09	0.05785752	0.8678628	
0.798	6E-09	0.05800035	0.8700052	
0.8	0	0.05813366	0.8720049	
0.802	0	0.05425808	0.8138712	
0.804	0	0.05064088	0.7596132	
0.8060001	0	0.04726482	0.7089723	
0.808	0	0.04411383	0.6617075	
0.8100001	0	0.04117291	0.6175936	
0.812	0	0.03842805	0.5764207	
0.814	0	0.03586617	0.5379926	
0.816	0	0.0334751	0.5021265	
0.818	0	0.03124342	0.4686514	
0.8200001	0	0.02916053	0.4374079	
0.822	0	0.02721649	0.4082474	
0.8240001	0	0.02540206	0.3810309	
0.826	0	0.02370859	0.3556289	
0.8280001	0	0.02212802	0.3319203	
0.83	0	0.02065282	0.3097922	
0.832	0	0.01927596	0.2891394	
0.8340001	0	0.0179909	0.2698635	
0.836	0	0.0167915	0.2518726	
0.8380001	0	0.01567207	0.2350811	
0.84	0	0.01462727	0.219409	
0.8420001	0	0.01365211	0.2047817	
0.844	0	0.01274197	0.1911296	
0.846	0	0.01189251	0.1783876	
0.848	0	0.01109967	0.1664951	
0.85	0	0.0103597	0.1553954	
0.8520001	0	0.00966905	0.1450357	
0.854	0	0.009024446	0.1353667	
0.8560001	0	0.008422816	0.1263422	
0.858	0	0.007861295	0.1179194	
0.86	0	0.007337208	0.1100581	
0.862	0	0.006848061	0.1027209	
0.864	0	0.006391523	0.09587285	
0.8660001	0	0.005965422	0.08948133	
0.868	0	0.005567727	0.0835159	
0.8700001	0	0.005196545	0.07794818	
0.872	0	0.004850109	0.07275163	
0.874	0	0.004526768	0.06790152	
0.876	0	0.004224984	0.06337476	
0.878	0	0.003943319	0.05914978	
0.8800001	0	0.003680431	0.05520646	
0.882	0	0.003435069	0.05152603	
0.8840001	0	0.003206064	0.04809096	
0.886	0	0.002992326	0.0448849	
0.8880001	0	0.002792838	0.04189257	
0.89	0	0.002606649	0.03909973	
0.892	0	0.002432872	0.03649308	
0.8940001	0	0.002270681	0.03406021	
0.896	0	0.002119302	0.03178953	
0.8980001	0	0.001978015	0.02967023	
0.9	8E-09	0.001846147	0.02769221	
0.9020001	8E-09	0.007056404	0.1058461	
0.904	8E-09	0.01191931	0.1787897	
0.906	8E-09	0.01645802	0.2468704	
0.9080001	8E-09	0.02069416	0.3104123	
0.91	8E-09	0.02464788	0.3697182	
0.9120001	8E-09	0.02833802	0.4250703	
0.914	8E-09	0.03178215	0.4767323	
0.9160001	8E-09	0.03499668	0.5249501	
0.918	8E-09	0.0379969	0.5699535	
0.92	8E-09	0.04079711	0.6119566	
0.9220001	8E-09	0.04341063	0.6511595	
0.924	8E-09	0.04584992	0.6877488	
0.9260001	8E-09	0.04812659	0.7218989	
0.928	8E-09	0.05025149	0.7537723	
0.9300001	8E-09	0.05223472	0.7835208	
0.932	8E-09	0.05408574	0.8112861	
0.934	8E-09	0.05581336	0.8372003	
0.936	8E-09	0.0574258	0.861387	
0.938	8E-09	0.05893075	0.8839612	
0.9400001	8E-09	0.06033536	0.9050305	
0.942	8E-09	0.06164634	0.9246951	
0.9440001	8E-09	0.06286991	0.9430487	
0.946	8E-09	0.06401192	0.9601787	
0.9480001	8E-09	0.06507779	0.9761668	
0.95	8E-09	0.06607261	0.9910891	
0.952	8E-09	0.0670011	1	
0.9540001	8E-09	0.06786769	1	
0.956	8E-09	0.06867651	1	
0.9580001	8E-09	0.06943141	1	
0.96	8E-09	0.07013598	1	
0.9620001	8E-09	0.07079358	1	
0.964	8E-09	0.07140735	1	
0.966	8E-09	0.07198019	1	
0.9680001	8E-09	0.07251485	1	
0.97	8E-09	0.07301386	1	
0.9720001	8E-09	0.0734796	1	
0.974	8E-09	0.0739143	1	
0.9760001	8E-09	0.07432001	1	
0.978	8E-09	0.07469868	1	
0.98	8E-09	0.0750521	1	
0.9820001	8E-09	0.07538196	1	
0.984	8E-09	0.07568983	1	
0.9860001	8E-09	0.07597718	1	
0.988	8E-09	0.07624537	1	
0.9900001	8E-09	0.07649568	1	
0.992	8E-09	0.0767293	1	
0.994	8E-09	0.07694735	1	
0.9960001	8E-09	0.07715086	1	
0.998	8E-09	0.0773408	1	
1	0	0.07751808	1	
1.002	0	0.07235021	1	
1.004	0	0.06752686	1	
1.006	0	0.06302507	0.9453761	
1.008	0	0.0588234	0.882351	
1.01	0	0.05490184	0.8235276	
1.012	0	0.05124171	0.7686257	
1.014	0	0.0478256	0.717384	
1.016	0	0.04463723	0.6695584	
1.018	0	0.04166141	0.6249212	
1.02	0	0.03888398	0.5832598	
1.022	0	0.03629172	0.5443758	
1.024	0	0.03387227	0.5080841	
1.026	0	0.03161412	0.4742118	
1.028	0	0.02950651	0.4425977	
1.03	0	0.02753941	0.4130912	
1.032	0	0.02570345	0.3855517	
1.034	0	0.02398989	0.3598483	
1.036	0	0.02239056	0.3358584	
1.038	0	0.02089786	0.3134678	
1.04	0	0.01950467	0.29257	
1.042	0	0.01820436	0.2730653	
1.044	0	0.01699073	0.254861	
1.046	0	0.01585802	0.2378702	
1.048	0	0.01480082	0.2220122	
1.05	0	0.01381409	0.2072114	
1.052	0	0.01289316	0.1933973	
1.054	0	0.01203361	0.1805042	
1.056	0	0.01123137	0.1684706	
1.058	0	0.01048261	0.1572392	
1.06	0	0.009783771	0.1467566	
1.062	0	0.009131519	0.1369728	
1.064	0	0.008522751	0.1278413	
1.066	0	0.007954568	0.1193185	
1.068	0	0.007424263	0.1113639	
1.07	0	0.006929312	0.1039397	
1.072	0	0.006467358	0.09701037	
1.074	0	0.006036201	0.09054302	
1.076	0	0.005633788	0.08450682	
1.078	0	0.005258202	0.07887302	
1.08	0	0.004907655	0.07361482	
1.082	0	0.004580478	0.06870717	
1.084	0	0.004275112	0.06412669	
1.086	0	0.003990105	0.05985157	
1.088	0	0.003724098	0.05586147	
1.09	0	0.003475825	0.05213737	
1.092	0	0.003244103	0.04866154	
1.094	0	0.003027829	0.04541744	
1.096	0	0.002825974	0.04238961	
1.098	0	0.002637576	0.03956364	
1.1	0	0.002461737	0.03692606	
1.102	0	0.002297622	0.03446433	
1.104	0	0.002144447	0.0321667	
1.106	0	0.002001484	0.03002226	
1.108	0	0.001868051	0.02802077	
1.11	0	0.001743515	0.02615272	
1.112	0	0.00162728	0.0244092	
1.114	0	0.001518795	0.02278193	
1.116	0	0.001417542	0.02126313	
1.118	0	0.001323039	0.01984559	
1.12	0	0.001234837	0.01852255	
1.122	0	0.001152514	0.01728771	
1.124	0	0.00107568	0.0161352	
1.126	0	0.001003968	0.01505952	
1.128	0	0.0009370368	0.01405555	
1.13	0	0.0008745677	0.01311851	
1.132	0	0.0008162631	0.01224395	
1.134	0	0.0007618456	0.01142768	
1.136	0	0.0007110559	0.01066584	
1.138	0	0.0006636521	0.009954782	
1.14	0	0.0006194087	0.00929113	
1.142	0	0.0005781148	0.008671721	
1.144	0	0.0005395738	0.008093607	
1.146	0	0.0005036022	0.007554033	
1.148	0	0.0004700287	0.007050431	
1.15	0	0.0004386935	0.006580402	
1.152	0	0.0004094472	0.006141709	
1.154	0	0.0003821508	0.005732262	
1.156	0	0.000356674	0.005350111	
1.158	0	0.0003328958	0.004993437	
1.16	0	0.0003107027	0.004660541	
1.162	0	0.0002899892	0.004349838	
1.164	0	0.0002706566	0.004059848	
1.166	0	0.0002526128	0.003789192	
1.168	0	0.0002357719	0.003536579	
1.17	0	0.0002200538	0.003300807	
1.172	0	0.0002053836	0.003080753	
1.174	0	0.0001916913	0.00287537	
1.176	0	0.0001789119	0.002683679	
1.178	0	0.0001669844	0.002504767	
1.18	0	0.0001558521	0.002337782	
1.182	0	0.000145462	0.00218193	
1.184	0	0.0001357645	0.002036468	
1.186	0	0.0001267136	0.001900704	
1.188	0	0.000118266	0.00177399	
1.19	0	0.0001103816	0.001655724	
1.192	0	0.0001030228	0.001545342	
1.194	0	9.615462E-05	0.001442319	
1.196	0	8.974432E-05	0.001346165	
1.198	0	8.376136E-05	0.00125642	
1.2	0	7.817727E-05	0.001172659	
