Time	FF	Vm	Intrinsic	External	
0.222	0	-0.01340711	-2E-09	5E-10	
0.224	0	-0.01343897	-2E-09	5E-10	
0.226	0	-0.01347019	-2E-09	5E-10	
0.228	0	-0.01350078	-2E-09	5E-10	
0.23	0	-0.01353077	-2E-09	5E-10	
0.232	0	-0.01356015	-2E-09	5E-10	
0.234	0	-0.01358895	-2E-09	5E-10	
0.236	0	-0.01361717	-2E-09	5E-10	
0.238	0	-0.01364483	-2E-09	5E-10	
0.24	0	-0.01367193	-2E-09	5E-10	
0.242	0	-0.01369849	-2E-09	5E-10	
0.244	0	-0.01372452	-2E-09	5E-10	
0.246	0	-0.01375003	-2E-09	5E-10	
0.248	0	-0.01377503	-2E-09	5E-10	
0.25	0	-0.01379953	-2E-09	5E-10	
0.252	0	-0.01382354	-2E-09	5E-10	
0.254	0	-0.01384707	-2E-09	5E-10	
0.256	0	-0.01387013	-2E-09	5E-10	
0.258	0	-0.01389272	-2E-09	5E-10	
0.26	0	-0.01391487	-2E-09	5E-10	
0.262	0	-0.01393657	-2E-09	5E-10	
0.264	0	-0.01395784	-2E-09	5E-10	
0.266	0	-0.01397868	-2E-09	5E-10	
0.268	0	-0.01399911	-2E-09	5E-10	
0.27	0	-0.01401913	-2E-09	5E-10	
0.272	0	-0.01403875	-2E-09	5E-10	
0.274	0	-0.01405797	-2E-09	5E-10	
0.276	0	-0.01407681	-2E-09	5E-10	
0.278	0	-0.01409528	-2E-09	5E-10	
0.28	0	-0.01411337	-2E-09	5E-10	
0.282	0	-0.0141311	-2E-09	5E-10	
0.284	0	-0.01414848	-2E-09	5E-10	
0.286	0	-0.01416551	-2E-09	5E-10	
0.288	0	-0.0141822	-2E-09	5E-10	
0.29	0	-0.01419856	-2E-09	5E-10	
0.292	0	-0.01421458	-2E-09	5E-10	
0.294	0	-0.01423029	-2E-09	5E-10	
0.296	0	-0.01424569	-2E-09	5E-10	
0.298	0	-0.01426077	-2E-09	5E-10	
0.3	0	-0.01427556	-2E-09	5E-10	
0.302	0	-0.01429005	-2E-09	5E-10	
0.304	0	-0.01430425	-2E-09	5E-10	
0.306	0	-0.01431816	-2E-09	5E-10	
0.308	0	-0.0143318	-2E-09	5E-10	
0.31	0	-0.01434516	-2E-09	5E-10	
0.312	0	-0.01435826	-2E-09	5E-10	
0.314	0	-0.01437109	-2E-09	5E-10	
0.316	0	-0.01438367	-2E-09	5E-10	
0.318	0	-0.014396	-2E-09	5E-10	
0.32	0	-0.01440808	-2E-09	5E-10	
0.322	0	-0.01441992	-2E-09	5E-10	
0.324	0	-0.01443152	-2E-09	5E-10	
0.326	0	-0.01444289	-2E-09	5E-10	
0.328	0	-0.01445403	-2E-09	5E-10	
0.33	0	-0.01446495	-2E-09	5E-10	
0.332	0	-0.01447565	-2E-09	5E-10	
0.334	0	-0.01448614	-2E-09	5E-10	
0.336	0	-0.01449641	-2E-09	5E-10	
0.338	0	-0.01450649	-2E-09	5E-10	
0.34	0	-0.01451636	-2E-09	5E-10	
0.342	0	-0.01452603	-2E-09	5E-10	
0.344	0	-0.01453551	-2E-09	5E-10	
0.346	0	-0.0145448	-2E-09	5E-10	
0.348	0	-0.0145539	-2E-09	5E-10	
0.35	0	-0.01456282	-2E-09	5E-10	
0.352	0	-0.01457157	-2E-09	5E-10	
0.354	0	-0.01458014	-2E-09	5E-10	
0.356	0	-0.01458853	-2E-09	5E-10	
0.358	0	-0.01459676	-2E-09	5E-10	
0.36	0	-0.01460483	-2E-09	5E-10	
0.362	0	-0.01461273	-2E-09	5E-10	
0.364	0	-0.01462048	-2E-09	5E-10	
0.366	0	-0.01462807	-2E-09	5E-10	
0.368	0	-0.0146355	-2E-09	5E-10	
0.37	0	-0.01464279	-2E-09	5E-10	
0.372	0	-0.01464994	-2E-09	5E-10	
0.374	0	-0.01465694	-2E-09	5E-10	
0.376	0	-0.0146638	-2E-09	5E-10	
0.378	0	-0.01467052	-2E-09	5E-10	
0.38	0	-0.01467711	-2E-09	5E-10	
0.382	0	-0.01468357	-2E-09	5E-10	
0.384	0	-0.0146899	-2E-09	5E-10	
0.386	0	-0.0146961	-2E-09	5E-10	
0.388	0	-0.01470218	-2E-09	5E-10	
0.39	0	-0.01470814	-2E-09	5E-10	
0.392	0	-0.01471397	-2E-09	5E-10	
0.394	0	-0.01471969	-2E-09	5E-10	
0.396	0	-0.0147253	-2E-09	5E-10	
0.398	0	-0.01473079	-2E-09	5E-10	
0.4	0	-0.01473618	-2E-09	5E-10	
0.402	0	-0.01474145	-2E-09	5E-10	
0.404	0	-0.01474662	-2E-09	5E-10	
0.406	0	-0.01475169	-2E-09	5E-10	
0.408	0	-0.01475666	-2E-09	5E-10	
0.41	0	-0.01476153	-2E-09	5E-10	
0.412	0	-0.01476629	-2E-09	5E-10	
0.414	0	-0.01477097	-2E-09	5E-10	
0.416	0	-0.01477555	-2E-09	5E-10	
0.418	0	-0.01478004	-2E-09	5E-10	
0.42	0	-0.01478444	-2E-09	5E-10	
0.422	0	-0.01478875	-2E-09	5E-10	
0.424	0	-0.01479297	-2E-09	5E-10	
0.426	0	-0.01479711	-2E-09	5E-10	
0.428	0	-0.01480117	-2E-09	5E-10	
0.43	0	-0.01480515	-2E-09	5E-10	
0.432	0	-0.01480905	-2E-09	5E-10	
0.434	0	-0.01481287	-2E-09	5E-10	
0.436	0	-0.01481661	-2E-09	5E-10	
0.438	0	-0.01482028	-2E-09	5E-10	
0.44	0	-0.01482387	-2E-09	5E-10	
0.442	0	-0.01482739	-2E-09	5E-10	
0.444	0	-0.01483085	-2E-09	5E-10	
0.446	0	-0.01483423	-2E-09	5E-10	
0.448	0	-0.01483754	-2E-09	5E-10	
0.45	0	-0.01484079	-2E-09	5E-10	
0.452	0	-0.01484398	-2E-09	5E-10	
0.454	0	-0.0148471	-2E-09	5E-10	
0.456	0	-0.01485016	-2E-09	5E-10	
0.458	0	-0.01485315	-2E-09	5E-10	
0.46	0	-0.01485609	-2E-09	5E-10	
0.462	0	-0.01485897	-2E-09	5E-10	
0.464	0	-0.01486179	-2E-09	5E-10	
0.466	0	-0.01486455	-2E-09	5E-10	
0.468	0	-0.01486726	-2E-09	5E-10	
0.47	0	-0.01486992	-2E-09	5E-10	
0.472	0	-0.01487252	-2E-09	5E-10	
0.474	0	-0.01487507	-2E-09	5E-10	
0.476	0	-0.01487757	-2E-09	5E-10	
0.478	0	-0.01488002	-2E-09	5E-10	
0.48	0	-0.01488242	-2E-09	5E-10	
0.482	0	-0.01488477	-2E-09	5E-10	
0.484	0	-0.01488707	-2E-09	5E-10	
0.486	0	-0.01488933	-2E-09	5E-10	
0.488	0	-0.01489154	-2E-09	5E-10	
0.49	0	-0.01489371	-2E-09	5E-10	
0.492	0	-0.01489584	-2E-09	5E-10	
0.494	0	-0.01489792	-2E-09	5E-10	
0.496	0	-0.01489996	-2E-09	5E-10	
0.498	0	-0.01490196	-2E-09	5E-10	
0.5	0	-0.01490392	-2E-09	5E-10	
0.502	0	-0.01490585	-2E-09	5E-10	
0.504	0	-0.01490773	-2E-09	5E-10	
0.506	0	-0.01490957	-2E-09	5E-10	
0.508	0	-0.01491138	-2E-09	5E-10	
0.5100001	0	-0.01491315	-2E-09	5E-10	
0.512	0	-0.01491489	-2E-09	5E-10	
0.514	0	-0.01491659	-2E-09	5E-10	
0.516	0	-0.01491826	-2E-09	5E-10	
0.518	0	-0.0149199	-2E-09	5E-10	
0.52	0	-0.0149215	-2E-09	5E-10	
0.522	0	-0.01492307	-2E-09	5E-10	
0.524	0	-0.01492461	-2E-09	5E-10	
0.526	0	-0.01492612	-2E-09	5E-10	
0.528	0	-0.01492759	-2E-09	5E-10	
0.53	0	-0.01492904	-2E-09	5E-10	
0.532	0	-0.01493046	-2E-09	5E-10	
0.534	0	-0.01493185	-2E-09	5E-10	
0.536	0	-0.01493321	-2E-09	5E-10	
0.538	0	-0.01493455	-2E-09	5E-10	
0.54	0	-0.01493586	-2E-09	5E-10	
0.5420001	0	-0.01493714	-2E-09	5E-10	
0.544	0	-0.0149384	-2E-09	5E-10	
0.546	0	-0.01493963	-2E-09	5E-10	
0.548	0	-0.01494084	-2E-09	5E-10	
0.55	0	-0.01494202	-2E-09	5E-10	
0.552	0	-0.01494318	-2E-09	5E-10	
0.554	0	-0.01494432	-2E-09	5E-10	
0.5560001	0	-0.01494543	-2E-09	5E-10	
0.558	0	-0.01494652	-2E-09	5E-10	
0.56	0	-0.01494759	-2E-09	5E-10	
0.562	0	-0.01494864	-2E-09	5E-10	
0.564	0	-0.01494967	-2E-09	5E-10	
0.566	0	-0.01495067	-2E-09	5E-10	
0.568	0	-0.01495166	-2E-09	5E-10	
0.5700001	0	-0.01495263	-2E-09	5E-10	
0.572	0	-0.01495357	-2E-09	5E-10	
0.574	0	-0.0149545	-2E-09	5E-10	
0.576	0	-0.01495541	-2E-09	5E-10	
0.578	0	-0.0149563	-2E-09	5E-10	
0.58	0	-0.01495718	-2E-09	5E-10	
0.582	0	-0.01495803	-2E-09	5E-10	
0.5840001	0	-0.01495887	-2E-09	5E-10	
0.586	0	-0.01495969	-2E-09	5E-10	
0.588	0	-0.0149605	-2E-09	5E-10	
0.59	0	-0.01496129	-2E-09	5E-10	
0.592	0	-0.01496207	-2E-09	5E-10	
0.594	0	-0.01496282	-2E-09	5E-10	
0.596	0	-0.01496357	-2E-09	5E-10	
0.598	0	-0.0149643	-2E-09	5E-10	
0.6	0	-0.01496501	-2E-09	5E-10	
0.6020001	0	-0.01496571	-2E-09	5E-10	
0.604	0	-0.01496639	-2E-09	5E-10	
0.606	0	-0.01496707	-2E-09	5E-10	
0.608	0	-0.01496773	-2E-09	5E-10	
0.61	0	-0.01496837	-2E-09	5E-10	
0.612	0	-0.014969	-2E-09	5E-10	
0.614	0	-0.01496962	-2E-09	5E-10	
0.6160001	0	-0.01497023	-2E-09	5E-10	
0.618	0	-0.01497083	-2E-09	5E-10	
0.62	0	-0.01497141	-2E-09	5E-10	
0.622	0	-0.01497198	-2E-09	5E-10	
0.624	0	-0.01497254	-2E-09	5E-10	
0.626	0	-0.01497309	-2E-09	5E-10	
0.628	0	-0.01497363	-2E-09	5E-10	
0.6300001	0	-0.01497416	-2E-09	5E-10	
0.632	0	-0.01497467	-2E-09	5E-10	
0.634	0	-0.01497518	-2E-09	5E-10	
0.636	0	-0.01497568	-2E-09	5E-10	
0.638	0	-0.01497616	-2E-09	5E-10	
0.64	0	-0.01497664	-2E-09	5E-10	
0.642	0	-0.01497711	-2E-09	5E-10	
0.6440001	0	-0.01497757	-2E-09	5E-10	
0.646	0	-0.01497801	-2E-09	5E-10	
0.648	0	-0.01497845	-2E-09	5E-10	
0.65	0	-0.01497888	-2E-09	5E-10	
0.652	0	-0.01497931	-2E-09	5E-10	
0.654	0	-0.01497972	-2E-09	5E-10	
0.656	0	-0.01498013	-2E-09	5E-10	
0.6580001	0	-0.01498052	-2E-09	5E-10	
0.66	0	-0.01498091	-2E-09	5E-10	
0.6620001	0	-0.01498129	-2E-09	5E-10	
0.664	0	-0.01498167	-2E-09	5E-10	
0.666	0	-0.01498204	-2E-09	5E-10	
0.668	0	-0.01498239	-2E-09	5E-10	
0.67	0	-0.01498275	-2E-09	5E-10	
0.6720001	0	-0.01498309	-2E-09	5E-10	
0.674	0	-0.01498343	-2E-09	5E-10	
0.6760001	0	-0.01498376	-2E-09	5E-10	
0.678	0	-0.01498409	-2E-09	5E-10	
0.68	0	-0.0149844	-2E-09	5E-10	
0.682	0	-0.01498472	-2E-09	5E-10	
0.684	0	-0.01498502	-2E-09	5E-10	
0.686	0	-0.01498532	-2E-09	5E-10	
0.688	0	-0.01498562	-2E-09	5E-10	
0.6900001	0	-0.0149859	-2E-09	5E-10	
0.692	0	-0.01498619	-2E-09	5E-10	
0.694	0	-0.01498646	-2E-09	5E-10	
0.696	0	-0.01498673	-2E-09	5E-10	
0.698	0	-0.014987	-2E-09	5E-10	
0.7	0	-0.01498726	-2E-09	5E-10	
0.702	0	-0.01498751	-2E-09	5E-10	
0.7040001	0	-0.01498776	-2E-09	5E-10	
0.706	0	-0.01498801	-2E-09	5E-10	
0.708	0	-0.01498825	-2E-09	5E-10	
0.71	0	-0.01498848	-2E-09	5E-10	
0.712	0	-0.01498871	-2E-09	5E-10	
0.714	0	-0.01498894	-2E-09	5E-10	
0.716	0	-0.01498916	-2E-09	5E-10	
0.7180001	0	-0.01498938	-2E-09	5E-10	
0.72	0	-0.01498959	-2E-09	5E-10	
0.7220001	0	-0.0149898	-2E-09	5E-10	
0.724	0	-0.01499	-2E-09	5E-10	
0.726	0	-0.0149902	-2E-09	5E-10	
0.728	0	-0.0149904	-2E-09	5E-10	
0.73	0	-0.01499059	-2E-09	5E-10	
0.7320001	0	-0.01499078	-2E-09	5E-10	
0.734	0	-0.01499096	-2E-09	5E-10	
0.7360001	0	-0.01499114	-2E-09	5E-10	
0.738	0	-0.01499132	-2E-09	5E-10	
0.74	0	-0.01499149	-2E-09	5E-10	
0.742	0	-0.01499166	-2E-09	5E-10	
0.744	0	-0.01499183	-2E-09	5E-10	
0.7460001	0	-0.01499199	-2E-09	5E-10	
0.748	0	-0.01499215	-2E-09	5E-10	
0.7500001	0	-0.01499231	-2E-09	5E-10	
0.752	0	-0.01499246	-2E-09	5E-10	
0.754	0	-0.01499261	-2E-09	5E-10	
0.756	0	-0.01499276	-2E-09	5E-10	
0.758	0	-0.01499291	-2E-09	5E-10	
0.7600001	0	-0.01499305	-2E-09	5E-10	
0.762	0	-0.01499319	-2E-09	5E-10	
0.7640001	0	-0.01499332	-2E-09	5E-10	
0.766	0	-0.01499346	-2E-09	5E-10	
0.768	0	-0.01499359	-2E-09	5E-10	
0.77	0	-0.01499372	-2E-09	5E-10	
0.772	0	-0.01499384	-2E-09	5E-10	
0.774	0	-0.01499396	-2E-09	5E-10	
0.776	0	-0.01499409	-2E-09	5E-10	
0.7780001	0	-0.0149942	-2E-09	5E-10	
0.78	0	-0.01499432	-2E-09	5E-10	
0.7820001	0	-0.01499443	-2E-09	5E-10	
0.784	0	-0.01499454	-2E-09	5E-10	
0.786	0	-0.01499465	-2E-09	5E-10	
0.788	0	-0.01499476	-2E-09	5E-10	
0.79	0	-0.01499487	-2E-09	5E-10	
0.7920001	0	-0.01499497	-2E-09	5E-10	
0.794	0	-0.01499507	-2E-09	5E-10	
0.7960001	0	-0.01499517	-2E-09	5E-10	
0.798	0	-0.01499526	-2E-09	5E-10	
0.8	0	-0.01499536	-2E-09	5E-10	
0.802	0	-0.01499545	-2E-09	5E-10	
0.804	0	-0.01499554	-2E-09	5E-10	
0.8060001	0	-0.01499563	-2E-09	5E-10	
0.808	0	-0.01499572	-2E-09	5E-10	
0.8100001	0	-0.01499581	-2E-09	5E-10	
0.812	0	-0.01499589	-2E-09	5E-10	
0.814	0	-0.01499597	-2E-09	5E-10	
0.816	0	-0.01499605	-2E-09	5E-10	
0.818	0	-0.01499613	-2E-09	5E-10	
0.8200001	0	-0.01499621	-2E-09	5E-10	
0.822	0	-0.01499628	-2E-09	5E-10	
0.8240001	0	-0.01499636	-2E-09	5E-10	
0.826	0	-0.01499643	-2E-09	5E-10	
0.8280001	0	-0.0149965	-2E-09	5E-10	
0.83	0	-0.01499657	-2E-09	5E-10	
0.832	0	-0.01499664	-2E-09	5E-10	
0.8340001	0	-0.01499671	-2E-09	5E-10	
0.836	0	-0.01499677	-2E-09	5E-10	
0.8380001	0	-0.01499684	-2E-09	5E-10	
0.84	0	-0.0149969	-2E-09	5E-10	
0.8420001	0	-0.01499696	-2E-09	5E-10	
0.844	0	-0.01499702	-2E-09	5E-10	
0.846	0	-0.01499708	-2E-09	5E-10	
0.848	0	-0.01499714	-2E-09	5E-10	
0.85	0	-0.0149972	-2E-09	5E-10	
0.8520001	0	-0.01499726	-2E-09	5E-10	
0.854	0	-0.01499731	-2E-09	5E-10	
0.8560001	0	-0.01499736	-2E-09	5E-10	
0.858	0	-0.01499742	-2E-09	5E-10	
0.86	0	-0.01499747	-2E-09	5E-10	
0.862	0	-0.01499752	-2E-09	5E-10	
0.864	0	-0.01499757	-2E-09	5E-10	
0.8660001	0	-0.01499762	-2E-09	5E-10	
0.868	0	-0.01499766	-2E-09	5E-10	
0.8700001	0	-0.01499771	-2E-09	5E-10	
0.872	0	-0.01499776	-2E-09	5E-10	
0.874	0	-0.0149978	-2E-09	5E-10	
0.876	0	-0.01499784	-2E-09	5E-10	
0.878	0	-0.01499789	-2E-09	5E-10	
0.8800001	0	-0.01499793	-2E-09	5E-10	
0.882	0	-0.01499797	-2E-09	5E-10	
0.8840001	0	-0.01499801	-2E-09	5E-10	
0.886	0	-0.01499805	-2E-09	5E-10	
0.8880001	0	-0.01499809	-2E-09	5E-10	
0.89	0	-0.01499813	-2E-09	5E-10	
0.892	0	-0.01499817	-2E-09	5E-10	
0.8940001	0	-0.0149982	-2E-09	5E-10	
0.896	0	-0.01499824	-2E-09	5E-10	
0.8980001	0	-0.01499827	-2E-09	5E-10	
0.9	0	-0.01499831	-2E-09	5E-10	
0.9020001	0	-0.01499834	-2E-09	5E-10	
0.904	0	-0.01499838	-2E-09	5E-10	
0.906	0	-0.01499841	-2E-09	5E-10	
0.9080001	0	-0.01499844	-2E-09	5E-10	
0.91	0	-0.01499847	-2E-09	5E-10	
0.9120001	0	-0.0149985	-2E-09	5E-10	
0.914	0	-0.01499853	-2E-09	5E-10	
0.9160001	0	-0.01499856	-2E-09	5E-10	
0.918	0	-0.01499859	-2E-09	5E-10	
0.92	0	-0.01499862	-2E-09	5E-10	
0.9220001	0	-0.01499865	-2E-09	5E-10	
0.924	0	-0.01499867	-2E-09	5E-10	
0.9260001	0	-0.0149987	-2E-09	5E-10	
0.928	0	-0.01499872	-2E-09	5E-10	
0.9300001	0	-0.01499875	-2E-09	5E-10	
0.932	0	-0.01499877	-2E-09	5E-10	
0.934	0	-0.0149988	-2E-09	5E-10	
0.936	0	-0.01499882	-2E-09	5E-10	
0.938	0	-0.01499885	-2E-09	5E-10	
0.9400001	0	-0.01499887	-2E-09	5E-10	
0.942	0	-0.01499889	-2E-09	5E-10	
0.9440001	0	-0.01499891	-2E-09	5E-10	
0.946	0	-0.01499894	-2E-09	5E-10	
0.9480001	0	-0.01499896	-2E-09	5E-10	
0.95	0	-0.01499898	-2E-09	5E-10	
0.952	0	-0.014999	-2E-09	5E-10	
0.9540001	0	-0.01499902	-2E-09	5E-10	
0.956	0	-0.01499904	-2E-09	5E-10	
0.9580001	0	-0.01499906	-2E-09	5E-10	
0.96	0	-0.01499908	-2E-09	5E-10	
0.9620001	0	-0.01499909	-2E-09	5E-10	
0.964	0	-0.01499911	-2E-09	5E-10	
0.966	0	-0.01499913	-2E-09	5E-10	
0.9680001	0	-0.01499915	-2E-09	5E-10	
0.97	0	-0.01499916	-2E-09	5E-10	
