Time	FF	Vm	Intrinsic	External	
0	0	0	0	5E-10	
0.001	0	-0.00015	-2E-09	5E-10	
0.002	0	-0.0002985	-2E-09	5E-10	
0.003	0	-0.000445515	-2E-09	5E-10	
0.004	0	-0.0005910599	-2E-09	5E-10	
0.005	0	-0.0007351493	-2E-09	5E-10	
0.006	0	-0.0008777978	-2E-09	5E-10	
0.007	0	-0.00101902	-2E-09	5E-10	
0.008	0	-0.00115883	-2E-09	5E-10	
0.009000001	0	-0.001297241	-2E-09	5E-10	
0.01	0	-0.001434269	-2E-09	5E-10	
0.011	0	-0.001569926	-2E-09	5E-10	
0.012	0	-0.001704227	-2E-09	5E-10	
0.013	0	-0.001837185	-2E-09	5E-10	
0.014	0	-0.001968813	-2E-09	5E-10	
0.015	0	-0.002099125	-2E-09	5E-10	
0.016	0	-0.002228133	-2E-09	5E-10	
0.017	0	-0.002355852	-2E-09	5E-10	
0.018	0	-0.002482294	-2E-09	5E-10	
0.019	0	-0.002607471	-2E-09	5E-10	
0.02	0	-0.002731396	-2E-09	5E-10	
0.021	0	-0.002854082	-2E-09	5E-10	
0.022	0	-0.002975541	-2E-09	5E-10	
0.023	0	-0.003095786	-2E-09	5E-10	
0.024	0	-0.003214828	-2E-09	5E-10	
0.025	0	-0.003332679	-2E-09	5E-10	
0.026	0	-0.003449353	-2E-09	5E-10	
0.027	0	-0.003564859	-2E-09	5E-10	
0.028	0	-0.003679211	-2E-09	5E-10	
0.029	0	-0.003792419	-2E-09	5E-10	
0.03	0	-0.003904494	-2E-09	5E-10	
0.031	0	-0.004015449	-2E-09	5E-10	
0.032	0	-0.004125295	-2E-09	5E-10	
0.033	0	-0.004234042	-2E-09	5E-10	
0.034	0	-0.004341702	-2E-09	5E-10	
0.035	0	-0.004448284	-2E-09	5E-10	
0.036	0	-0.004553801	-2E-09	5E-10	
0.037	0	-0.004658263	-2E-09	5E-10	
0.038	0	-0.00476168	-2E-09	5E-10	
0.039	0	-0.004864064	-2E-09	5E-10	
0.04	0	-0.004965423	-2E-09	5E-10	
0.041	0	-0.005065769	-2E-09	5E-10	
0.042	0	-0.005165111	-2E-09	5E-10	
0.043	0	-0.00526346	-2E-09	5E-10	
0.044	0	-0.005360826	-2E-09	5E-10	
0.045	0	-0.005457218	-2E-09	5E-10	
0.046	0	-0.005552646	-2E-09	5E-10	
0.047	0	-0.005647119	-2E-09	5E-10	
0.048	0	-0.005740648	-2E-09	5E-10	
0.049	0	-0.005833242	-2E-09	5E-10	
0.05	0	-0.005924909	-2E-09	5E-10	
0.051	0	-0.00601566	-2E-09	5E-10	
0.052	0	-0.006105504	-2E-09	5E-10	
0.053	0	-0.006194449	-2E-09	5E-10	
0.054	0	-0.006282504	-2E-09	5E-10	
0.055	0	-0.006369679	-2E-09	5E-10	
0.056	0	-0.006455983	-2E-09	5E-10	
0.057	0	-0.006541423	-2E-09	5E-10	
