Time	FF_1	FF_2	Vm_2	Vm_1	Ie_1	Ii_2	
0.196	0	0.4999999	0.04999999	-0.03999911	-4E-09	5E-09	
0.198	0	0.4999999	0.04999999	-0.03999928	-4E-09	5E-09	
0.2	0	0.4999999	0.04999999	-0.03999943	0	5E-09	
0.202	0	0.4999999	0.04999999	-0.03199954	0	5E-09	
0.204	0	0.4999999	0.04999999	-0.02559963	0	5E-09	
0.206	0	0.4999999	0.04999999	-0.0204797	0	5E-09	
0.208	0	0.4999999	0.04999999	-0.01638376	0	5E-09	
0.21	0	0.4999999	0.04999999	-0.01310701	0	5E-09	
0.212	0	0.4999999	0.04999999	-0.01048561	0	5E-09	
0.214	0	0.4999999	0.04999999	-0.008388486	0	5E-09	
0.216	0	0.4999999	0.04999999	-0.006710788	0	5E-09	
0.218	0	0.4999999	0.04999999	-0.00536863	0	5E-09	
0.22	0	0.4999999	0.04999999	-0.004294904	0	5E-09	
0.222	0	0.4999999	0.04999999	-0.003435923	0	5E-09	
0.224	0	0.4999999	0.04999999	-0.002748739	0	5E-09	
0.226	0	0.4999999	0.04999999	-0.002198991	0	5E-09	
0.228	0	0.4999999	0.04999999	-0.001759193	0	5E-09	
0.23	0	0.4999999	0.04999999	-0.001407354	0	5E-09	
0.232	0	0.4999999	0.04999999	-0.001125883	0	5E-09	
0.234	0	0.4999999	0.04999999	-0.0009007066	0	5E-09	
0.236	0	0.4999999	0.04999999	-0.0007205653	0	5E-09	
0.238	0	0.4999999	0.04999999	-0.0005764522	0	5E-09	
0.24	0	0.4999999	0.04999999	-0.0004611618	0	5E-09	
0.242	0	0.4999999	0.04999999	-0.0003689294	0	5E-09	
0.244	0	0.4999999	0.04999999	-0.0002951435	0	5E-09	
0.246	0	0.4999999	0.04999999	-0.0002361148	0	5E-09	
0.248	0	0.4999999	0.04999999	-0.0001888918	0	5E-09	
0.25	0	0.4999999	0.04999999	-0.0001511135	0	5E-09	
0.252	0	0.4999999	0.04999999	-0.0001208908	0	5E-09	
0.254	0	0.4999999	0.04999999	-9.671261E-05	0	5E-09	
0.256	0	0.4999999	0.04999999	-7.737009E-05	0	5E-09	
0.258	0	0.4999999	0.04999999	-6.189607E-05	0	5E-09	
0.26	0	0.4999999	0.04999999	-4.951685E-05	0	5E-09	
0.262	0	0.4999999	0.04999999	-3.961348E-05	0	5E-09	
0.264	0	0.4999999	0.04999999	-3.169079E-05	0	5E-09	
0.266	0	0.4999999	0.04999999	-2.535263E-05	0	5E-09	
0.268	0	0.4999999	0.04999999	-2.02821E-05	0	5E-09	
0.27	0	0.4999999	0.04999999	-1.622568E-05	0	5E-09	
0.272	0	0.4999999	0.04999999	-1.298054E-05	0	5E-09	
0.274	0	0.4999999	0.04999999	-1.038444E-05	0	5E-09	
0.276	0	0.4999999	0.04999999	-8.307548E-06	0	5E-09	
0.278	0	0.4999999	0.04999999	-6.646038E-06	0	5E-09	
0.28	0	0.4999999	0.04999999	-5.316831E-06	0	5E-09	
0.282	0	0.4999999	0.04999999	-4.253464E-06	0	5E-09	
0.284	0	0.4999999	0.04999999	-3.402771E-06	0	5E-09	
0.286	0	0.4999999	0.04999999	-2.722217E-06	0	5E-09	
0.288	0	0.4999999	0.04999999	-2.177774E-06	0	5E-09	
0.29	0	0.4999999	0.04999999	-1.742219E-06	0	5E-09	
0.292	0	0.4999999	0.04999999	-1.393775E-06	0	5E-09	
0.294	0	0.4999999	0.04999999	-1.11502E-06	0	5E-09	
0.296	0	0.4999999	0.04999999	-8.92016E-07	0	5E-09	
0.298	0	0.4999999	0.04999999	-7.136128E-07	0	5E-09	
0.3	0	0.4999999	0.04999999	-5.708903E-07	2E-09	5E-09	
0.302	0.05999315	0.4999999	0.04999999	0.003999543	2E-09	5E-09	
0.304	0.1079945	0.482002	0.0482002	0.007199635	2E-09	5E-09	
0.306	0.1463956	0.4532032	0.04532032	0.009759708	2E-09	5E-09	
0.308	0.1771165	0.4186439	0.04186439	0.01180777	2E-09	5E-09	
0.31	0.2016932	0.3817801	0.03817802	0.01344621	2E-09	5E-09	
0.312	0.2213546	0.3449162	0.03449162	0.01475697	2E-09	5E-09	
0.314	0.2370836	0.3095266	0.03095266	0.01580558	2E-09	5E-09	
0.316	0.2496669	0.2764961	0.02764961	0.01664446	2E-09	5E-09	
0.318	0.2597335	0.2462968	0.02462968	0.01731557	2E-09	5E-09	
0.32	0.2677868	0.2191174	0.02191174	0.01785246	2E-09	5E-09	
0.322	0.2742295	0.1949579	0.01949579	0.01828196	2E-09	5E-09	
0.324	0.2793836	0.1736975	0.01736975	0.01862557	2E-09	5E-09	
0.326	0.2835069	0.1551429	0.01551429	0.01890046	2E-09	5E-09	
0.328	0.2868055	0.1390623	0.01390623	0.01912037	2E-09	5E-09	
0.33	0.2894444	0.1252082	0.01252082	0.01929629	2E-09	5E-09	
0.332	0.2915555	0.1133332	0.01133332	0.01943703	2E-09	5E-09	
0.334	0.2932444	0.1031999	0.01031999	0.01954963	2E-09	5E-09	
0.336	0.2945955	0.09458662	0.009458662	0.0196397	2E-09	5E-09	
0.338	0.2956764	0.08729064	0.008729065	0.01971176	2E-09	5E-09	
0.34	0.2965411	0.0811296	0.00811296	0.01976941	2E-09	5E-09	
0.342	0.2972329	0.07594135	0.007594135	0.01981553	2E-09	5E-09	
0.344	0.2977863	0.07158321	0.007158321	0.01985242	2E-09	5E-09	
0.346	0.2982291	0.06793068	0.006793067	0.01988194	2E-09	5E-09	
0.348	0.2985833	0.06487582	0.006487582	0.01990555	2E-09	5E-09	
0.35	0.2988666	0.06232568	0.006232568	0.01992444	2E-09	5E-09	
0.352	0.2990933	0.06020056	0.006020056	0.01993955	2E-09	5E-09	
0.354	0.2992746	0.05843247	0.005843247	0.01995164	2E-09	5E-09	
0.356	0.2994197	0.0569636	0.00569636	0.01996131	2E-09	5E-09	
0.358	0.2995358	0.05574498	0.005574497	0.01996905	2E-09	5E-09	
0.36	0.2996286	0.05473525	0.005473525	0.01997524	2E-09	5E-09	
0.362	0.2997029	0.05389962	0.005389962	0.01998019	2E-09	5E-09	
0.364	0.2997623	0.05320884	0.005320884	0.01998415	2E-09	5E-09	
0.366	0.2998098	0.05263839	0.005263838	0.01998732	2E-09	5E-09	
0.368	0.2998479	0.05216775	0.005216775	0.01998986	2E-09	5E-09	
0.37	0.2998783	0.05177985	0.005177985	0.01999189	2E-09	5E-09	
0.372	0.2999026	0.05146039	0.005146039	0.01999351	2E-09	5E-09	
0.374	0.2999221	0.05119753	0.005119753	0.01999481	2E-09	5E-09	
0.376	0.2999377	0.05098139	0.005098139	0.01999585	2E-09	5E-09	
0.378	0.2999502	0.05080381	0.005080381	0.01999668	2E-09	5E-09	
0.38	0.2999601	0.05065801	0.005065801	0.01999734	2E-09	5E-09	
0.382	0.2999681	0.05053837	0.005053837	0.01999787	2E-09	5E-09	
0.384	0.2999744	0.05044027	0.005044027	0.0199983	2E-09	5E-09	
0.386	0.2999796	0.05035989	0.005035989	0.01999864	2E-09	5E-09	
0.388	0.2999837	0.05029403	0.005029404	0.01999891	2E-09	5E-09	
0.39	0.2999869	0.05024013	0.005024013	0.01999913	2E-09	5E-09	
0.392	0.2999895	0.05019603	0.005019603	0.0199993	2E-09	5E-09	
0.394	0.2999916	0.05015997	0.005015997	0.01999944	2E-09	5E-09	
0.396	0.2999933	0.0501305	0.00501305	0.01999955	2E-09	5E-09	
0.398	0.2999946	0.05010642	0.005010642	0.01999964	2E-09	5E-09	
0.4	0.2999957	0.05008675	0.005008675	0.01999971	0	5E-09	
0.402	0.2399966	0.0500707	0.00500707	0.01599977	0	5E-09	
0.404	0.1919972	0.0680576	0.00680576	0.01279982	0	5E-09	
