Time	FrameRate	TotalStepTimeSmoothed	
0.5	29.4099	0.0009968808	
0.5004	29.4099	0.001005531	
0.5008	29.4099	0.0009964763	
0.5012	29.4099	0.001002798	
0.5016	29.4099	0.001002232	
0.502	29.4099	0.0009970503	
0.5024	29.4099	0.0009680057	
0.5028	29.4099	0.000986893	
0.5032	29.4099	0.0009908474	
0.5036	29.4683	0.0009952602	
0.504	29.4683	0.001003877	
0.5044	29.4683	0.001010771	
0.5048	29.4683	0.001008254	
0.5052	29.4683	0.001012488	
0.5056	29.4683	0.0009748226	
0.506	29.4683	0.001011266	
0.5064	29.4683	0.001007133	
0.5068	29.4683	0.00100695	
0.5072	29.4683	0.001007161	
0.5076	29.4683	0.001005277	
0.508	29.4683	0.001003769	
0.5084	29.4683	0.001002474	
0.5088	29.4683	0.001002331	
0.5092	29.4683	0.001002037	
0.5096	29.4683	0.001001356	
0.51	29.4683	0.0009975097	
0.5104	29.4683	0.001004784	
0.5108	29.4683	0.0009758887	
0.5112	29.4683	0.0009627673	
0.5116	29.4683	0.0009711898	
0.512	29.4683	0.0009864952	
0.5124	29.4683	0.0009860669	
0.5128	29.4683	0.0009880447	
0.5132	29.4683	0.001014436	
0.5136	29.4683	0.001019397	
0.514	29.4683	0.001025329	
0.5144	29.4683	0.001015884	
0.5148	29.4683	0.001007972	
0.5152	29.4683	0.001007264	
0.5156	29.4683	0.0009992908	
0.516	29.4683	0.001009868	
0.5164	29.4683	0.0009986077	
0.5168	29.4683	0.001012267	
0.5172	29.32485	0.001001687	
0.5176	29.32485	0.001004289	
0.518	29.32485	0.0009900387	
0.5184	29.32485	0.001001307	
0.5188	29.32485	0.001003985	
0.5192	29.32485	0.0009980059	
0.5196	29.32485	0.001004646	
0.52	29.32485	0.0009975532	
0.5204	29.32485	0.001001696	
0.5208	29.32485	0.001002868	
0.5212	29.32485	0.0009970234	
0.5216	29.32485	0.0009959174	
0.522	29.32485	0.000995925	
0.5224	29.32485	0.0009855789	
0.5228	29.32485	0.0009853338	
0.5232	29.32485	0.0009887075	
0.5236	29.32485	0.0009873013	
0.524	29.32485	0.0009974211	
0.5244	29.32485	0.001010068	
0.5248	29.32485	0.001007692	
0.5252	29.32485	0.001010431	
0.5256	29.32485	0.001009321	
0.526	29.32485	0.0010029	
0.5264	29.32485	0.0009992798	
0.5268	29.32485	0.001002185	
0.5272	29.32485	0.001005758	
0.5276	29.32485	0.001008617	
0.528	29.32485	0.001005727	
0.5284	29.32485	0.001001364	
0.5288	29.32485	0.0009882341	
0.5292	29.32485	0.0009889752	
0.5296	29.32485	0.000993227	
0.53	29.32485	0.0009903815	
0.5304	29.32485	0.0009904254	
0.5308	29.4412	0.0009969752	
0.5312	29.4412	0.0009969497	
0.5316	29.4412	0.0009971971	
0.532	29.4412	0.001000251	
0.5324	29.4412	0.001001534	
0.5328	29.4412	0.000996402	
0.5332	29.4412	0.001000061	
0.5336	29.4412	0.0009992399	
0.534	29.4412	0.0009981368	
0.5344	29.4412	0.001010284	
0.5348	29.4412	0.001002153	
0.5352	29.4412	0.001000913	
0.5356	29.4412	0.0009915329	
0.536	29.4412	0.001007321	
0.5364	29.4412	0.0009992472	
0.5368	29.4412	0.00100555	
0.5372	29.4412	0.001003096	
0.5376	29.4412	0.001004166	
0.538	29.4412	0.0009958309	
0.5384	29.4412	0.001003174	
0.5388	29.4412	0.001001909	
0.5392	29.4412	0.001006876	
0.5396	29.4412	0.001002818	
0.54	29.4412	0.0009999281	
0.5404	29.4412	0.001002882	
0.5408	29.4412	0.0009982837	
0.5412	29.4412	0.0009945161	
0.5416	29.4412	0.0009899848	
0.542	29.4412	0.0009916251	
0.5424	29.4412	0.0009808004	
0.5428	29.4412	0.0009705342	
0.5432	29.4412	0.0009766001	
0.5436	29.4412	0.0010018	
0.544	29.4412	0.001009288	
0.5444	29.40566	0.001004837	
0.5448	29.40566	0.001008861	
0.5452	29.40566	0.001000211	
0.5456	29.40566	0.0009799052	
0.546	29.40566	0.001008371	
0.5464	29.40566	0.001005531	
0.5468	29.40566	0.001003973	
0.5472	29.40566	0.001001655	
0.5476	29.40566	0.001006316	
0.548	29.40566	0.001005047	
0.5484	29.40566	0.001003497	
0.5488	29.40566	0.001001364	
0.5492	29.40566	0.001000728	
0.5496	29.40566	0.001000488	
0.55	29.40566	0.0009967255	
0.5504	29.40566	0.00100264	
0.5508	29.40566	0.0009998753	
0.5512	29.40566	0.001001501	
0.5516	29.40566	0.0009997671	
0.552	29.40566	0.001000076	
0.5524	29.40566	0.001000323	
0.5528	29.40566	0.001000788	
0.5532	29.40566	0.000995984	
0.5536	29.40566	0.0009993695	
0.554	29.40566	0.001001632	
0.5544	29.40566	0.001007457	
0.5548	29.40566	0.0009981069	
0.5552	29.40566	0.0009988368	
0.5556	29.40566	0.001004954	
0.556	29.40566	0.000997621	
0.5564	29.40566	0.0009969309	
0.5568	29.40566	0.0009922737	
0.5572	29.40566	0.0009955089	
0.5576	29.40566	0.0009964906	
0.558	29.40836	0.0009971868	
0.5584	29.40836	0.0009984577	
0.5588	29.40836	0.0009990281	
0.5592	29.40836	0.0009978781	
0.5596	29.40836	0.0009976721	
0.56	29.40836	0.0009992921	
0.5604	29.40836	0.0009971969	
0.5608	29.40836	0.0009979303	
0.5612	29.40836	0.0009957504	
0.5616	29.40836	0.0009984687	
0.562	29.40836	0.0009966274	
0.5624	29.40836	0.000999795	
0.5628	29.40836	0.0009986701	
0.5632	29.40836	0.0009983949	
0.5636	29.40836	0.0009985317	
0.564	29.40836	0.0009982842	
0.5644	29.40836	0.001003619	
0.5648	29.40836	0.0009981599	
0.5652	29.40836	0.0009978083	
0.5656	29.40836	0.0009994011	
0.566	29.40836	0.001000229	
0.5664	29.40836	0.001002766	
0.5668	29.40836	0.0009706147	
0.5672	29.40836	0.0009766645	
0.5676	29.40836	0.001008634	
0.568	29.40836	0.001009311	
0.5684	29.40836	0.001005123	
0.5688	29.40836	0.0009978457	
0.5692	29.40836	0.0009838134	
0.5696	29.40836	0.000980441	
0.57	29.40836	0.0009917542	
0.5704	29.40836	0.001004732	
0.5708	29.40836	0.001002262	
0.5712	29.40836	0.0009992162	
0.5716	29.43733	0.001004722	
0.572	29.43733	0.001010108	
0.5724	29.43733	0.0009947835	
0.5728	29.43733	0.001010011	
0.5732	29.43733	0.001008092	
0.5736	29.43733	0.001005754	
0.574	29.43733	0.001000225	
0.5744	29.43733	0.001005975	
0.5748	29.43733	0.00100647	
0.5752	29.43733	0.001006866	
0.5756	29.43733	0.0009959379	
0.576	29.43733	0.001006651	
0.5764	29.43733	0.001002102	
0.5768	29.43733	0.001000159	
0.5772	29.43733	0.0009989612	
0.5776	29.43733	0.0009951473	
0.578	29.43733	0.0009957551	
0.5784	29.43733	0.001005344	
0.5788	29.43733	0.0009969517	
0.5792	29.43733	0.0009631077	
0.5796	29.43733	0.0009657506	
0.58	29.43733	0.0009718809	
0.5804	29.43733	0.0009781236	
0.5808	29.43733	0.0009820469	
0.5812	29.43733	0.0009958056	
0.5816	29.43733	0.0009940508	
0.582	29.43733	0.0009947887	
0.5824	29.43733	0.0009971639	
0.5828	29.43733	0.0009954943	
0.5832	29.43733	0.0009983531	
0.5836	29.43733	0.0010242	
0.584	29.43733	0.001036222	
0.5844	29.43733	0.001024688	
0.5848	29.43733	0.001015818	
0.5852	29.40836	0.0009991728	
0.5856	29.40836	0.001002724	
0.586	29.40836	0.001006189	
0.5864	29.40836	0.00100566	
0.5868	29.40836	0.001008359	
0.5872	29.40836	0.00100454	
0.5876	29.40836	0.0009981825	
0.588	29.40836	0.001006037	
0.5884	29.40836	0.0009989336	
0.5888	29.40836	0.0009959284	
0.5892	29.40836	0.0009995035	
0.5896	29.40836	0.0009948672	
0.59	29.40836	0.001005348	
0.5904	29.40836	0.0009960622	
0.5908	29.40836	0.0009941667	
0.5912	29.40836	0.0009955062	
0.5916	29.40836	0.0009962207	
0.592	29.40836	0.0009976848	
0.5924	29.40836	0.0009983206	
0.5928	29.40836	0.001009271	
0.5932	29.40836	0.001008839	
0.5936	29.40836	0.001007155	
0.594	29.40836	0.001003398	
0.5944	29.40836	0.001003962	
0.5948	29.40836	0.001002093	
0.5952	29.40836	0.00100033	
0.5956	29.40836	0.0009961531	
0.596	29.40836	0.001001825	
0.5964	29.40836	0.0009989557	
0.5968	29.40836	0.001000051	
0.5972	29.40836	0.000997358	
0.5976	29.40836	0.0009711077	
0.598	29.40836	0.0009973171	
0.5984	29.40836	0.0009968664	
0.5988	29.39524	0.0009971304	
0.5992	29.39524	0.0009967169	
0.5996	29.39524	0.0009974571	
0.6	29.39524	0.0009969783	
0.6004	29.39524	0.0009978446	
0.6008	29.39524	0.0009980022	
0.6012	29.39524	0.00100143	
0.6016	29.39524	0.0009966764	
0.602	29.39524	0.001002601	
0.6024	29.39524	0.001006448	
0.6028	29.39524	0.000995425	
0.6032	29.39524	0.001001332	
0.6036	29.39524	0.0009961515	
0.604	29.39524	0.001008963	
0.6044	29.39524	0.001007968	
0.6048	29.39524	0.001001103	
0.6052	29.39524	0.0009963256	
0.6056	29.39524	0.001001695	
0.606	29.39524	0.001005991	
0.6064	29.39524	0.0009977371	
0.6068	29.39524	0.001006216	
0.6072	29.39524	0.0009966673	
0.6076	29.39524	0.001003754	
0.608	29.39524	0.000998892	
0.6084	29.39524	0.001002053	
0.6088	29.39524	0.001003689	
0.6092	29.39524	0.0009902732	
0.6096	29.39524	0.0009924805	
0.61	29.39524	0.001001386	
0.6104	29.39524	0.0009862887	
0.6108	29.39524	0.001000181	
0.6112	29.39524	0.0009958551	
0.6116	29.39524	0.001000427	
0.612	29.39524	0.0009970336	
0.6124	29.38831	0.001001726	
0.6128	29.38831	0.001001643	
0.6132	29.38831	0.0009933661	
0.6136	29.38831	0.0009973645	
0.614	29.38831	0.000995744	
0.6144	29.38831	0.0009981958	
0.6148	29.38831	0.0009980155	
0.6152	29.38831	0.001012507	
0.6156	29.38831	0.0009982198	
0.616	29.38831	0.0009951789	
0.6164	29.38831	0.00100176	
0.6168	29.38831	0.00096981	
0.6172	29.38831	0.0009944942	
0.6176	29.38831	0.0009996056	
0.618	29.38831	0.001007889	
0.6184	29.38831	0.001006127	
0.6188	29.38831	0.001000523	
0.6192	29.38831	0.001000056	
0.6196	29.38831	0.001002627	
0.62	29.38831	0.001004416	
0.6204	29.38831	0.001004509	
0.6208	29.38831	0.0009995855	
0.6212	29.38831	0.001003679	
0.6216	29.38831	0.001005079	
0.622	29.38831	0.0009843347	
0.6224	29.38831	0.0009736294	
0.6228	29.38831	0.000988893	
0.6232	29.38831	0.000979864	
0.6236	29.38831	0.0009942377	
0.624	29.38831	0.001003952	
0.6244	29.38831	0.001005655	
0.6248	29.38831	0.001012996	
0.6252	29.38831	0.001004858	
0.6256	29.38831	0.001008878	
0.626	29.43849	0.001000225	
0.6264	29.43849	0.001005886	
0.6268	29.43849	0.001005328	
0.6272	29.43849	0.001004971	
0.6276	29.43849	0.001012984	
0.628	29.43849	0.00100708	
0.6284	29.43849	0.001000303	
0.6288	29.43849	0.001000416	
0.6292	29.43849	0.0009995236	
0.6296	29.43849	0.001003272	
0.63	29.43849	0.0009952048	
0.6304	29.43849	0.0009928561	
0.6308	29.43849	0.0009954394	
0.6312	29.43849	0.0009959888	
0.6316	29.43849	0.0009987487	
0.632	29.43849	0.001000332	
0.6324	29.43849	0.0009985642	
0.6328	29.43849	0.001000541	
0.6332	29.43849	0.001006228	
0.6336	29.43849	0.0009998007	
0.634	29.43849	0.001008402	
0.6344	29.43849	0.0009857438	
0.6348	29.43849	0.0009652968	
0.6352	29.43849	0.001000076	
0.6356	29.43849	0.0009717646	
0.636	29.43849	0.000990971	
0.6364	29.43849	0.0009784029	
0.6368	29.43849	0.001002082	
0.6372	29.43849	0.001007461	
0.6376	29.43849	0.001010158	
0.638	29.43849	0.001009013	
0.6384	29.43849	0.001008454	
0.6388	29.43849	0.001013629	
0.6392	29.43849	0.0009991175	
0.6396	29.38869	0.00100259	
0.64	29.38869	0.0009947486	
0.6404	29.38869	0.001001951	
0.6408	29.38869	0.001001644	
0.6412	29.38869	0.001013982	
0.6416	29.38869	0.0009929744	
0.642	29.38869	0.0009962479	
0.6424	29.38869	0.0009968141	
0.6428	29.38869	0.001000034	
0.6432	29.38869	0.001001092	
0.6436	29.38869	0.0009987261	
