Time	OdorSensor	Mouth	Eat	Food_Near	
0	8888.889	0	0	0	
0.0004	8888.889	0	0	0	
0.0008	8888.889	0	0	0	
0.0012	8888.889	0	0	0	
0.0016	8888.889	0	0	0	
0.002	8888.889	0	0	0	
0.0024	8888.889	0	0	0	
0.0028	8888.889	0	0	0	
0.0032	8888.889	0	0	0	
0.0036	8888.889	0	0	0.02	
0.004	8888.889	0	0	0.02	
0.0044	8888.889	0	0	0.02	
0.0048	8888.889	0	0	0.02	
0.0052	8888.889	0	0	0.02	
0.0056	8888.889	0	0.0004	0.03959999	
0.006	8888.889	2E-06	0.0004	0.03959999	
0.0064	8888.889	2E-06	0.0004	0.03959999	
0.0068	8888.889	2E-06	0.0004	0.03959999	
0.0072	8888.889	2E-06	0.0004	0.03959999	
0.0076	8888.889	2E-06	0.001184	0.05880799	
0.007999999	8888.887	5.919998E-06	0.001184	0.05880799	
0.0084	8888.887	5.919998E-06	0.001184	0.05880799	
0.0088	8888.887	5.919998E-06	0.001184	0.05880799	
0.0092	8888.887	5.919998E-06	0.001184	0.05880799	
0.0096	8888.887	5.919998E-06	0.002336479	0.07763183	
0.01	8888.887	1.16824E-05	0.002336479	0.07763183	
0.0104	8888.887	1.16824E-05	0.002336479	0.07763183	
0.0108	8888.886	1.16824E-05	0.002336479	0.07763183	
0.0112	8888.884	1.16824E-05	0.002336479	0.07763183	
0.0116	8888.882	1.16824E-05	0.003842386	0.09607919	
0.012	8888.879	1.921193E-05	0.003842386	0.09607919	
0.0124	8888.875	1.921193E-05	0.003842386	0.09607919	
0.0128	8888.873	1.921193E-05	0.003842386	0.09607919	
0.0132	8888.869	1.921193E-05	0.003842386	0.09607919	
0.0136	8888.867	1.921193E-05	0.005687122	0.1141576	
0.014	8888.866	2.843561E-05	0.005687122	0.1141576	
0.0144	8888.864	2.843561E-05	0.005687122	0.1141576	
0.0148	8888.858	2.843561E-05	0.005687122	0.1141576	
0.0152	8888.855	2.843561E-05	0.005687122	0.1141576	
0.0156	8888.85	2.843561E-05	0.007856532	0.1318744	
0.016	8888.847	3.928266E-05	0.007856532	0.1318744	
0.0164	8888.841	3.928266E-05	0.007856532	0.1318744	
0.0168	8888.835	3.928266E-05	0.007856532	0.1318744	
0.0172	8888.828	3.928266E-05	0.007856532	0.1318744	
0.0176	8888.822	3.928266E-05	0.01033689	0.1492369	
0.018	8888.813	5.168445E-05	0.01033689	0.1492369	
