Time	Eat	Energy	Food_Near	Mouth	OdorSensor	
0.0336	0.03986016	10003.08	0.2762022	0.0001766915	8888.615	
0.034	0.03986016	10003.24	0.2762022	0.0001993008	8888.601	
0.0344	0.03986016	10003.42	0.2762022	0.0001993008	8888.588	
0.0348	0.03986016	10003.6	0.2762022	0.0001993008	8888.574	
0.0352	0.03986016	10003.78	0.2762022	0.0001993008	8888.557	
0.0356	0.044587	10003.96	0.2906782	0.0001993008	8888.541	
0.036	0.044587	10004.14	0.2906782	0.000222935	8888.525	
0.0364	0.044587	10004.34	0.2906782	0.000222935	8888.509	
0.0368	0.044587	10004.55	0.2906782	0.000222935	8888.492	
0.0372	0.044587	10004.75	0.2906782	0.000222935	8888.475	
0.0376	0.04950882	10004.95	0.3048646	0.000222935	8888.455	
0.038	0.04950882	10005.16	0.3048646	0.0002475441	8888.436	
0.0384	0.04950882	10005.38	0.3048646	0.0002475441	8888.416	
0.0388	0.04950882	10005.61	0.3048646	0.0002475441	8888.396	
0.0392	0.04950882	10005.84	0.3048646	0.0002475441	8888.376	
0.0396	0.05461594	10006.07	0.3187673	0.0002475441	8888.354	
0.04	0.05461594	10006.29	0.3187673	0.0002730797	8888.331	
0.0404	0.05461594	10006.55	0.3187673	0.0002730797	8888.307	
0.0408	0.05461594	10006.8	0.3187673	0.0002730797	8888.284	
0.0412	0.05461594	10007.06	0.3187673	0.0002730797	8888.259	
0.0416	0.05989897	10007.31	0.332392	0.0002730797	8888.232	
0.042	0.05989897	10007.56	0.332392	0.0002994948	8888.206	
0.0424	0.05989897	10007.84	0.332392	0.0002994948	8888.18	
0.0428	0.05989897	10008.12	0.332392	0.0002994948	8888.153	
0.0432	0.05989897	10008.4	0.332392	0.0002994948	8888.123	
0.0436	0.06534883	10008.68	0.3457441	0.0002994948	8888.094	
0.044	0.06534883	10008.96	0.3457441	0.0003267441	8888.063	
0.0444	0.06534883	10009.27	0.3457441	0.0003267441	8888.034	
0.0448	0.06534883	10009.58	0.3457441	0.0003267441	8888.002	
0.0452	0.06534883	10009.89	0.3457441	0.0003267441	8887.969	
0.0456	0.07095674	10010.2	0.3588292	0.0003267441	8887.936	
0.046	0.07095674	10010.5	0.3588292	0.0003547837	8887.901	
0.0464	0.07095674	10010.84	0.3588292	0.0003547837	8887.864	
0.0468	0.07095674	10011.17	0.3588292	0.0003547837	8887.828	
0.0472	0.07095674	10011.51	0.3588292	0.0003547837	8887.791	
0.0476	0.07671419	10011.84	0.3716527	0.0003547837	8887.752	
0.048	0.07671419	10012.18	0.3716527	0.0003835709	8887.712	
0.0484	0.07671419	10012.54	0.3716527	0.0003835709	8887.673	
0.0488	0.07671419	10012.91	0.3716527	0.0003835709	8887.63	
0.0492	0.07671419	10013.27	0.3716527	0.0003835709	8887.588	
0.0496	0.08261296	10013.63	0.3842196	0.0003835709	8887.546	
0.05	0.08261296	10014	0.3842196	0.0004130648	8887.5	
0.0504	0.08261296	10014.39	0.3842196	0.0004130648	8887.453	
0.0508	0.08261296	10014.79	0.3842196	0.0004130648	8887.407	
0.0512	0.08261296	10015.18	0.3842196	0.0004130648	8887.357	
0.0516	0.08864509	10015.57	0.3965352	0.0004130648	8887.309	
0.052	0.08864509	10015.97	0.3965352	0.0004432254	8887.257	
0.0524	0.08864509	10016.39	0.3965352	0.0004432254	8887.206	
0.0528	0.08864509	10016.81	0.3965352	0.0004432254	8887.152	
0.0532	0.08864509	10017.24	0.3965352	0.0004432254	8887.098	
0.0536	0.09480289	10017.66	0.4086045	0.0004432254	8887.043	
0.054	0.09480289	10018.09	0.4086045	0.0004740145	8886.986	
0.0544	0.09480289	10018.54	0.4086045	0.0004740145	8886.927	
0.0548	0.09480289	10018.99	0.4086045	0.0004740145	8886.867	
0.0552	0.09480289	10019.45	0.4086045	0.0004740145	8886.809	
0.0556	0.1010789	10019.9	0.4204324	0.0004740145	8886.744	
0.056	0.1010789	10020.36	0.4204324	0.0005053947	8886.681	
0.0564	0.1010789	10020.84	0.4204324	0.0005053947	8886.616	
0.0568	0.1010789	10021.33	0.4204324	0.0005053947	8886.551	
0.0572	0.1010789	10021.82	0.4204324	0.0005053947	8886.48	
0.0576	0.107466	10022.3	0.4320238	0.0005053947	8886.413	
