Time	A	B	
0	0	0	
0.0024	0.02382789	0.01191394	
0.0048	0.04691522	0.02303178	
0.0072	0.06929325	0.03338547	
0.0096	0.09099192	0.04300565	
0.012	0.1120399	0.05192174	
0.0144	0.1324648	0.06016198	
0.0168	0.1522929	0.06775344	
0.0192	0.1715495	0.07472214	
0.0216	0.1902588	0.08109301	
0.024	0.208444	0.08689	
0.0264	0.2261273	0.0921361	
0.0288	0.2433301	0.09685335	
0.0312	0.2600726	0.1010629	
0.0336	0.2763746	0.1047852	
0.036	0.2922547	0.1080395	
0.0384	0.3077308	0.1108448	
0.0408	0.3228202	0.1132189	
0.0432	0.3375393	0.1151792	
0.0456	0.3519038	0.1167421	
0.048	0.3659289	0.1179237	
0.0504	0.379629	0.1306531	
0.0528	0.3927342	0.1428027	
0.0552	0.4052685	0.1543968	
0.0576	0.417255	0.1654587	
0.06	0.4287161	0.1760107	
0.0624	0.439673	0.1860743	
0.0648	0.450146	0.1956699	
0.0672	0.4601548	0.2048172	
0.0696	0.4697181	0.2135352	
0.072	0.4788539	0.2218421	
0.0744	0.4875795	0.229755	
0.0768	0.4959114	0.2372908	
0.0792	0.5038655	0.2444655	
0.0816	0.5114569	0.2512943	
0.084	0.5187004	0.2577919	
0.08639999	0.5256098	0.2639726	
0.0888	0.5321985	0.2698497	
0.09119999	0.5384794	0.2754363	
0.0936	0.5444649	0.2807449	
0.096	0.5501669	0.2857873	
0.0984	0.5555964	0.290575	
0.1008	0.5607645	0.295119	
0.1032	0.5656816	0.2994299	
0.1056	0.5703576	0.3035177	
0.108	0.5748022	0.3073921	
0.1104	0.5790244	0.3110625	
0.1128	0.5830332	0.3145376	
0.1152	0.586837	0.3178262	
0.1176	0.5904438	0.3209364	
0.12	0.5938613	0.3238761	
0.1224	0.5970972	0.3266528	
0.1248	0.6001585	0.3292737	
0.1272	0.6030518	0.3317458	
0.1296	0.6057841	0.3340758	
0.132	0.6083612	0.33627	
0.1344	0.6107896	0.3383346	
0.1368	0.6130747	0.3402754	
0.1392	0.6152222	0.3420981	
0.1416	0.6172373	0.3438081	
0.144	0.6191253	0.3454106	
0.1464	0.6208909	0.3469106	
0.1488	0.6225388	0.3483127	
0.1512	0.6240735	0.3496218	
0.1536	0.6254994	0.350842	
0.156	0.6268203	0.3519776	
0.1584	0.6280406	0.3530327	
0.1608	0.6291637	0.3540111	
0.1632	0.6301935	0.3549167	
0.1656	0.6311333	0.3557528	
0.168	0.6319865	0.3565229	
0.1704	0.6327564	0.3572304	
0.1728	0.6334458	0.3578784	
0.1752	0.6340578	0.3584698	
0.1776	0.6345952	0.3590077	
0.18	0.6350608	0.3594947	
0.1824	0.6354569	0.3599337	
0.1848	0.6357862	0.3603269	
0.1872	0.6360511	0.3606771	
0.1896	0.6362538	0.3609864	
0.192	0.6363965	0.3612572	
0.1944	0.6364812	0.3614917	
0.1968	0.63651	0.3616918	
0.1992	0.6364849	0.3618597	
0.2016	0.6364076	0.3619972	
0.204	0.6362799	0.3621061	
0.2064	0.6361035	0.3621882	
0.2088	0.63588	0.3622452	
0.2112	0.6356111	0.3622788	
0.2136	0.635298	0.3622905	
0.216	0.6349424	0.3622816	
0.2184	0.6345456	0.3622538	
0.2208	0.6341087	0.3622082	
0.2232	0.6336333	0.3621464	
0.2256	0.6331203	0.3620695	
0.228	0.6325711	0.3619787	
0.2304	0.6319866	0.3618752	
0.2328	0.631368	0.3617602	
0.2352	0.6307163	0.3616346	
0.2376	0.6300325	0.3614995	
0.24	0.6293173	0.3613559	
0.2424	0.6285719	0.3612047	
0.2448	0.6277969	0.3610467	
0.2472	0.6269934	0.3608831	
0.2496	0.6261619	0.3607144	
0.252	0.6253034	0.3605416	
0.2544	0.6244184	0.3603652	
0.2568	0.6235079	0.3601862	
0.2592	0.6225722	0.3600051	
0.2616	0.6216121	0.3598228	
0.264	0.6206285	0.3596398	
0.2664	0.6196214	0.3594567	
0.2688	0.6185918	0.3592741	
0.2712	0.6175401	0.3590926	
0.2736	0.6164669	0.3589127	
0.276	0.6153724	0.358735	
0.2784	0.6142576	0.3585599	
0.2808	0.6131225	0.3583879	
0.2832	0.6119677	0.3582195	
0.2856	0.6107937	0.3580551	
0.288	0.6096008	0.3578952	
0.2904	0.6083893	0.35774	
0.2928	0.6071597	0.3575901	
0.2952	0.6059124	0.3574458	
0.2976	0.6046477	0.3573074	
0.3	0.6033657	0.3571752	
0.3024	0.6020671	0.3570496	
0.3048	0.600752	0.3569309	
0.3072	0.5994208	0.3568194	
0.3096	0.5980735	0.3567153	
0.312	0.5967107	0.3566189	
0.3144	0.5953325	0.3565305	
0.3168	0.5939392	0.3564503	
0.3192	0.592531	0.3563787	
0.3216	0.5911081	0.3563156	
0.324	0.5896708	0.3562613	
0.3264	0.5882193	0.3562163	
0.3288	0.5867538	0.3561805	
0.3312	0.5852744	0.3561541	
0.3336	0.5837814	0.3561374	
0.336	0.582275	0.3561304	
0.3384	0.5807552	0.3561334	
0.3408	0.5792226	0.3561465	
0.3432	0.5776768	0.3561698	
0.3456	0.5761183	0.3562034	
0.348	0.5745474	0.3562476	
0.3504	0.5729638	0.3563023	
0.3528	0.571368	0.3563678	
0.3552	0.56976	0.356444	
0.3576	0.5681399	0.3565312	
0.36	0.566508	0.3566294	
0.3624	0.5648644	0.3567387	
0.3648	0.5632091	0.3568591	
