Time	A	B	BVth	AVth	
0.2544	0.942427	0.9293108	0.04328987	0.04994888	
0.2568	0.9426705	0.9303809	0.04382065	0.0504826	
0.2592	0.9428608	0.9313847	0.04435169	0.05101608	
0.2616	0.9429984	0.9323233	0.04488293	0.05154929	
0.264	0.9431199	0.9340088	0.04594588	0.05261476	
0.2664	0.9431052	0.9347578	0.04647752	0.05314696	
0.2688	0.9430414	0.9354455	0.04700922	0.05367877	
0.2712	0.9429292	0.9360729	0.04754094	0.05421016	
0.2736	0.9427696	0.9366411	0.04807265	0.05474109	
0.276	0.9423108	0.9376031	0.04913589	0.0558015	
0.2784	0.9420134	0.9379991	0.04966734	0.05633092	
0.2808	0.9416717	0.9383392	0.05019865	0.05685977	
0.2832	0.9412862	0.9386247	0.05072977	0.05738804	
0.2856	0.9408579	0.9388564	0.05126068	0.05791571	
0.288	0.9398757	0.939162	0.05232172	0.0589691	
0.2904	0.9393232	0.9392375	0.05285179	0.05949478	
0.2928	0.9387307	0.9392625	0.05338152	0.06001975	
0.2952	0.9380991	0.9392382	0.05391089	0.060544	
0.2976	0.9374288	0.9391651	0.05443986	0.06106748	
0.3	0.9359753	0.9388759	0.05549648	0.06211211	
0.3024	0.9351934	0.9386615	0.05602409	0.06263321	
0.3048	0.9343758	0.9384015	0.05655118	0.06315346	
0.3072	0.9335226	0.9380968	0.05707774	0.06367286	
0.3096	0.9326349	0.937748	0.05760374	0.06419137	
0.312	0.9307585	0.9369217	0.05865394	0.06522568	
0.3144	0.9297706	0.9364454	0.0591781	0.06574143	
0.3168	0.9287509	0.9359282	0.0597016	0.06625622	
0.3192	0.9276998	0.9353707	0.06022441	0.06677003	
0.3216	0.9266175	0.9347734	0.06074652	0.06728286	
0.324	0.9243627	0.933463	0.06178851	0.06830545	
0.3264	0.9231912	0.9327512	0.06230836	0.06881519	
0.3288	0.921991	0.9320022	0.0628274	0.06932386	
0.3312	0.9207628	0.9312172	0.06334563	0.06983145	
0.3336	0.919507	0.9303966	0.06386301	0.07033795	
0.336	0.9169151	0.9286513	0.06489518	0.0713476	
0.3384	0.9155801	0.9277279	0.06540992	0.07185072	
0.3408	0.9142194	0.9267713	0.06592374	0.07235269	
0.3432	0.9128339	0.9257823	0.06643663	0.07285349	
0.3456	0.911424	0.9247616	0.06694856	0.07335311	
0.348	0.908533	0.922627	0.06796948	0.07434875	
0.3504	0.9070531	0.9215143	0.06847843	0.07484473	
0.3528	0.9055505	0.9203721	0.06898635	0.07533948	
0.3552	0.904026	0.919201	0.06949323	0.07583299	
0.3576	0.9024801	0.9180015	0.06999904	0.07632523	
0.36	0.8993254	0.9155196	0.07100743	0.07730589	
0.3624	0.8977177	0.9142383	0.07150997	0.07779428	
0.3648	0.8960901	0.9129306	0.0720114	0.07828137	
0.3672	0.8944434	0.9115974	0.07251168	0.07876714	
0.3696	0.8927779	0.910239	0.07301082	0.07925158	
0.372	0.8893917	0.9074488	0.07400556	0.08021645	
0.3744	0.8876721	0.9060178	0.07450115	0.08069685	
0.3768	0.8859352	0.9045637	0.07499553	0.08117589	
0.3792	0.8841816	0.9030868	0.07548869	0.08165356	
0.3816	0.8824117	0.9015878	0.07598063	0.08212984	
0.384	0.8788244	0.8985246	0.07696076	0.08307821	
0.3864	0.8770075	0.8969615	0.07744893	0.08355028	
0.3888	0.8751758	0.8953783	0.07793582	0.08402093	
0.3912	0.8733296	0.8937748	0.07842142	0.08449017	
0.3936	0.8714693	0.8921521	0.07890572	0.08495796	
0.396	0.8677076	0.8888494	0.07987037	0.08588924	
0.3984	0.8658071	0.8871706	0.0803507	0.0863527	
0.4008	0.8638938	0.8854738	0.0808297	0.08681469	
0.4032	0.8619682	0.8837599	0.08130734	0.08727522	
0.4056	0.8600304	0.8820287	0.08178362	0.08773427	
0.408	0.85612	0.8785169	0.08273206	0.08864795	
0.4104	0.854148	0.8767372	0.0832042	0.08910254	
0.4128	0.8521652	0.8749418	0.08367495	0.08955565	
