Time	Top_MN	Bottom_FF	Top_A	Bottom_A	Top_Tension	Bottom_Tension	Top_Length	
0	0	0	0	0	1.501182E-05	0	0.05	
0.0004	0	0	0	0	8.19028E-05	0	0.05	
0.0008	0	0	0	0	0.0001486265	0	0.05	
0.0012	0	0	0	0	0.0002151835	0	0.05	
0.0016	0.008479998	0	0	0	0.000281574	0	0.05	
0.002	0.008479998	0	0.008479998	0	0.0003477986	0	0.05	
0.0024	0.008479998	0	0.008479998	0	0.0004197376	0	0.05	
0.0028	0.008479998	0	0.008479998	0	0.0004914968	0	0.05	
0.0032	0.008479998	0	0.008479998	0	0.0005630765	0	0.05	
0.0036	0.0167904	0	0.008479998	0	0.0006344774	0	0.05	
0.004	0.0167904	0	0.0167904	0	0.0007056997	0	0.05	
0.0044	0.0167904	0	0.0167904	0	0.0007830032	0	0.05	
0.0048	0.0167904	0	0.0167904	0	0.0008601135	0	0.05	
0.0052	0.0167904	0	0.0167904	0	0.0009370311	0	0.05	
0.0056	0.02493459	0	0.0167904	0	0.001017484	0	0.05000001	
0.006	0.02493459	0	0.02493459	0	0.001094009	0	0.05000001	
0.0064	0.02493459	0	0.02493459	0	0.001176996	0	0.05000001	
0.0068	0.02493459	0	0.02493459	0	0.001259774	0	0.05000001	
0.0072	0.02493459	0	0.02493459	0	0.001342346	0	0.05000001	
0.0076	0.0329159	0	0.02493459	0	0.001424711	0	0.05000001	
0.007999999	0.0329159	0	0.0329159	0	0.00150687	0	0.05000001	
0.0084	0.0329159	0	0.0329159	0	0.001597744	0	0.05000001	
0.0088	0.0329159	0	0.0329159	0	0.001686527	0	0.05000001	
0.0092	0.0329159	0	0.0329159	0	0.001773225	0	0.05000001	
0.0096	0.04073758	0	0.0329159	0	0.001857842	0	0.05	
0.01	0.04073758	0	0.04073758	0	0.001944109	0	0.05	
0.0104	0.04073758	0	0.04073758	0	0.002037632	0	0.04999999	
0.0108	0.04073758	0	0.04073758	0	0.002129056	0	0.04999999	
0.0112	0.04073758	0	0.04073758	0	0.002222113	0	0.04999998	
0.0116	0.04840282	0	0.04073758	0	0.002314937	0	0.04999998	
0.012	0.04840282	0	0.04840282	0	0.002405664	0	0.04999997	
0.0124	0.04840282	0	0.04840282	0	0.002505927	0	0.04999997	
0.0128	0.04840282	0	0.04840282	0	0.002605937	0	0.04999996	
0.0132	0.04840282	0	0.04840282	0	0.002703833	0	0.04999996	
0.0136	0.05591476	0	0.04840282	0	0.002803346	0	0.04999995	
0.014	0.05591476	0	0.05591476	0	0.00290261	0	0.04999995	
0.0144	0.05591476	0	0.05591476	0	0.003008099	0	0.04999994	
0.0148	0.05591476	0	0.05591476	0	0.003115186	0	0.04999994	
0.0152	0.05591476	0	0.05591476	0	0.003222005	0	0.04999993	
0.0156	0.06327647	0	0.05591476	0	0.003326692	0	0.04999993	
0.016	0.06327647	0	0.06327647	0	0.003432979	0	0.04999992	
0.0164	0.06327647	0	0.06327647	0	0.003547787	0	0.04999992	
0.0168	0.06327647	0	0.06327647	0	0.003660443	0	0.04999991	
0.0172	0.06327647	0	0.06327647	0	0.003774679	0	0.04999991	
0.0176	0.07049094	0	0.06327647	0	0.003888629	0	0.0499999	
0.018	0.07049094	0	0.07049094	0	0.00400043	0	0.0499999	
0.0184	0.07049094	0	0.07049094	0	0.004123058	0	0.04999989	
0.0188	0.07049094	0	0.07049094	0	0.004245379	0	0.04999989	
