Time	Vm	
0.05	-0.06387988	
0.0502	-0.06436713	
0.0504	-0.06501123	
0.0506	-0.06388118	
0.0508	-0.0652989	
0.051	-0.06508367	
0.0512	-0.06728952	
0.0514	-0.06800517	
0.0516	-0.0681541	
0.0518	-0.06761452	
0.052	-0.06788468	
0.0522	-0.06677168	
0.0524	-0.06924948	
0.0526	-0.06721197	
0.0528	-0.0663498	
0.053	-0.06633248	
0.0532	-0.06539159	
0.0534	-0.06548324	
0.0536	-0.06451125	
0.0538	-0.0667136	
0.054	-0.06727071	
0.0542	-0.0692695	
0.0544	-0.07172276	
0.0546	-0.07093673	
0.0548	-0.06885503	
0.055	-0.06917009	
0.0552	-0.06775567	
0.0554	-0.06996204	
0.0556	-0.07163754	
0.0558	-0.07331052	
0.056	-0.0741168	
0.0562	-0.07605787	
0.0564	-0.07526559	
0.0566	-0.07316216	
0.0568	-0.07371576	
0.057	-0.0752627	
0.0572	-0.07677614	
0.0574	-0.07439559	
0.0576	-0.07583682	
0.0578	-0.0780901	
0.058	-0.07593331	
0.0582	-0.07418763	
0.0584	-0.07507303	
0.0586	-0.07585644	
0.0588	-0.07520083	
0.059	-0.07627311	
0.0592	-0.07625718	
0.0594	-0.07467078	
0.0596	-0.07493176	
0.0598	-0.07372097	
0.06	-0.07166178	
0.0602	-0.06966563	
0.0604	-0.06871519	
0.0606	-0.06669986	
0.0608	-0.06793287	
0.061	-0.0693875	
0.0612	-0.0715894	
0.0614	-0.07191962	
0.0616	-0.07335127	
0.0618	-0.07489068	
0.062	-0.07254041	
0.0622	-0.07388669	
0.0624	-0.07196216	
0.0626	-0.07018573	
0.0628	-0.06790474	
0.063	-0.06590958	
0.0632	-0.06830873	
0.0634	-0.06746703	
0.0636	-0.06716892	
0.0638	-0.06773367	
0.064	-0.06792011	
0.0642	-0.0693911	
0.06439999	-0.07180648	
0.0646	-0.07005904	
0.0648	-0.07068869	
0.065	-0.0692779	
0.0652	-0.06973584	
0.0654	-0.06855941	
0.0656	-0.0680964	
0.0658	-0.06637754	
0.066	-0.06566086	
0.0662	-0.06346834	
0.0664	-0.06203014	
0.06659999	-0.06279287	
0.0668	-0.0616778	
0.067	-0.0615191	
0.0672	-0.0623481	
0.0674	-0.06145585	
0.0676	-0.06031812	
0.0678	-0.06186425	
0.068	-0.06021763	
0.0682	-0.05928547	
0.0684	-0.06089315	
0.0686	-0.05909769	
0.06879999	-0.05707904	
0.069	-0.05571222	
0.0692	-0.05450581	
0.0694	-0.05703258	
0.0696	-0.05638355	
0.0698	-0.05458089	
0.07	-0.05590762	
0.0702	-0.05744525	
0.0704	-0.05602105	
0.0706	-0.05602404	
0.0708	-0.05473216	
0.07099999	-0.05699201	
0.0712	-0.05522317	
0.0714	-0.05401045	
0.0716	-0.05713696	
0.0718	-0.05650932	
0.072	-0.05945558	
0.0722	-0.06204356	
0.0724	-0.0632852	
0.0726	-0.06345793	
0.0728	-0.06123779	
0.073	-0.06110398	
0.07319999	-0.0632086	
0.0734	-0.06368525	
0.0736	-0.06559604	
0.0738	-0.06530751	
0.074	-0.06419867	
0.0742	-0.06532896	
0.0744	-0.0676645	
0.0746	-0.06615683	
0.0748	-0.06528021	
0.075	-0.06750169	
0.0752	-0.06775385	
0.07539999	-0.06945765	
0.0756	-0.0719281	
0.0758	-0.07324895	
0.076	-0.07174739	
0.0762	-0.07180835	
0.0764	-0.07026637	
0.0766	-0.06816854	
0.0768	-0.0699925	
0.077	-0.06753507	
0.0772	-0.07001331	
0.0774	-0.06949176	
0.07759999	-0.0682013	
0.0778	-0.06616903	
0.078	-0.0677009	
0.0782	-0.06845795	
0.0784	-0.06970765	
0.0786	-0.0721802	
0.0788	-0.07231041	
0.079	-0.07144473	
0.0792	-0.0726385	
0.0794	-0.07419487	
0.0796	-0.07368896	
0.07979999	-0.07356209	
0.08	-0.07168768	
0.0802	-0.07016736	
0.0804	-0.07077033	
0.0806	-0.06915034	
0.0808	-0.06952127	
0.081	-0.07020619	
0.0812	-0.06853491	
0.0814	-0.07044873	
0.0816	-0.07107545	
0.0818	-0.07254769	
0.08199999	-0.07474515	
0.0822	-0.07695472	
0.0824	-0.07640865	
0.0826	-0.07548969	
0.0828	-0.07551821	
0.083	-0.07540872	
0.0832	-0.07407013	
0.0834	-0.07534834	
0.0836	-0.07574633	
0.0838	-0.07669361	
0.084	-0.07472783	
0.08419999	-0.07609821	
0.0844	-0.07601254	
0.0846	-0.07382764	
0.0848	-0.07336435	
0.085	-0.07215171	
0.0852	-0.07126127	
0.0854	-0.07336894	
0.0856	-0.07342568	
0.0858	-0.07456314	
0.086	-0.07376599	
0.0862	-0.07151644	
0.08639999	-0.07284763	
0.0866	-0.07421147	
