Time	FF	Vm	Ii	
0.46	0.4952031	-0.02047969	5E-09	
0.462	0.495299	-0.0204701	5E-09	
0.464	0.495393	-0.0204607	5E-09	
0.466	0.4954851	-0.02045149	5E-09	
0.468	0.4955754	-0.02044246	5E-09	
0.47	0.4956639	-0.02043361	5E-09	
0.472	0.4957506	-0.02042494	5E-09	
0.474	0.4958356	-0.02041644	5E-09	
0.476	0.4959189	-0.02040811	5E-09	
0.478	0.4960005	-0.02039995	5E-09	
0.48	0.4960805	-0.02039195	5E-09	
0.482	0.4961589	-0.02038411	5E-09	
0.484	0.4962357	-0.02037643	5E-09	
0.486	0.496311	-0.0203689	5E-09	
0.488	0.4963848	-0.02036152	5E-09	
0.49	0.4964571	-0.02035429	5E-09	
0.492	0.496528	-0.0203472	5E-09	
0.494	0.4965974	-0.02034026	5E-09	
0.496	0.4966655	-0.02033345	5E-09	
0.498	0.4967321	-0.02032679	5E-09	
0.5	0.4967975	-0.02032025	5E-09	
0.502	0.4968615	-0.02031385	5E-09	
0.504	0.4969243	-0.02030757	5E-09	
0.506	0.4969858	-0.02030142	5E-09	
0.508	0.4970461	-0.02029539	5E-09	
0.5100001	0.4971052	-0.02028948	5E-09	
0.512	0.4971631	-0.0202837	5E-09	
0.514	0.4972198	-0.02027802	5E-09	
0.516	0.4972754	-0.02027246	5E-09	
0.518	0.4973299	-0.02026701	5E-09	
0.52	0.4973833	-0.02026167	5E-09	
0.522	0.4974356	-0.02025644	5E-09	
0.524	0.4974869	-0.02025131	5E-09	
0.526	0.4975372	-0.02024628	5E-09	
0.528	0.4975864	-0.02024136	5E-09	
0.53	0.4976347	-0.02023653	5E-09	
0.532	0.497682	-0.0202318	5E-09	
0.534	0.4977283	-0.02022716	5E-09	
0.536	0.4977738	-0.02022262	5E-09	
0.538	0.4978183	-0.02021817	5E-09	
0.54	0.497862	-0.02021381	5E-09	
0.5420001	0.4979047	-0.02020953	5E-09	
0.544	0.4979466	-0.02020534	5E-09	
0.546	0.4979877	-0.02020123	5E-09	
0.548	0.4980279	-0.02019721	5E-09	
0.55	0.4980674	-0.02019326	5E-09	
0.552	0.498106	-0.0201894	5E-09	
0.554	0.4981439	-0.02018561	5E-09	
0.5560001	0.498181	-0.0201819	5E-09	
0.558	0.4982174	-0.02017826	5E-09	
0.56	0.4982531	-0.02017469	5E-09	
0.562	0.498288	-0.0201712	5E-09	
0.564	0.4983222	-0.02016778	5E-09	
0.566	0.4983558	-0.02016442	5E-09	
0.568	0.4983887	-0.02016113	5E-09	
0.5700001	0.4984209	-0.02015791	5E-09	
0.572	0.4984525	-0.02015475	5E-09	
0.574	0.4984835	-0.02015165	5E-09	
0.576	0.4985138	-0.02014862	5E-09	
0.578	0.4985435	-0.02014565	5E-09	
0.58	0.4985726	-0.02014273	5E-09	
0.582	0.4986012	-0.02013988	5E-09	
0.5840001	0.4986292	-0.02013708	5E-09	
0.586	0.4986566	-0.02013434	5E-09	
0.588	0.4986835	-0.02013166	5E-09	
0.59	0.4987098	-0.02012902	5E-09	
0.592	0.4987356	-0.02012644	5E-09	
0.594	0.4987609	-0.02012391	5E-09	
0.596	0.4987857	-0.02012143	5E-09	
0.598	0.49881	-0.020119	5E-09	
0.6	0.4988338	-0.02011662	5E-09	
0.6020001	0.4988571	-0.02011429	5E-09	
0.604	0.49888	-0.020112	5E-09	
0.606	0.4989024	-0.02010977	5E-09	
0.608	0.4989243	-0.02010757	5E-09	
0.61	0.4989458	-0.02010542	5E-09	
0.612	0.4989669	-0.02010331	5E-09	
0.614	0.4989876	-0.02010124	5E-09	
0.6160001	0.4990079	-0.02009922	5E-09	
0.618	0.4990277	-0.02009723	5E-09	
0.62	0.4990472	-0.02009529	5E-09	
0.622	0.4990662	-0.02009338	5E-09	
0.624	0.4990849	-0.02009151	5E-09	
0.626	0.4991032	-0.02008968	5E-09	
0.628	0.4991211	-0.02008789	5E-09	
0.6300001	0.4991387	-0.02008613	5E-09	
0.632	0.4991559	-0.02008441	5E-09	
0.634	0.4991728	-0.02008272	5E-09	
0.636	0.4991893	-0.02008107	5E-09	
0.638	0.4992055	-0.02007945	5E-09	
0.64	0.4992214	-0.02007786	5E-09	
0.642	0.499237	-0.0200763	5E-09	
0.6440001	0.4992523	-0.02007477	5E-09	
0.646	0.4992672	-0.02007328	5E-09	
0.648	0.4992819	-0.02007182	5E-09	
0.65	0.4992962	-0.02007038	5E-09	
0.652	0.4993103	-0.02006897	5E-09	
0.654	0.4993241	-0.02006759	5E-09	
0.656	0.4993376	-0.02006624	5E-09	
0.6580001	0.4993509	-0.02006491	5E-09	
0.66	0.4993638	-0.02006362	5E-09	
0.6620001	0.4993766	-0.02006234	5E-09	
0.664	0.4993891	-0.02006109	5E-09	
0.666	0.4994013	-0.02005987	5E-09	
0.668	0.4994133	-0.02005868	5E-09	
0.67	0.499425	-0.0200575	5E-09	
0.6720001	0.4994365	-0.02005635	5E-09	
0.674	0.4994478	-0.02005522	5E-09	
0.6760001	0.4994588	-0.02005412	5E-09	
0.678	0.4994696	-0.02005304	5E-09	
0.68	0.4994802	-0.02005197	5E-09	
0.682	0.4994906	-0.02005094	5E-09	
0.684	0.4995008	-0.02004992	5E-09	
0.686	0.4995108	-0.02004892	5E-09	
0.688	0.4995206	-0.02004794	5E-09	
0.6900001	0.4995302	-0.02004698	5E-09	
0.692	0.4995396	-0.02004604	5E-09	
0.694	0.4995488	-0.02004512	5E-09	
0.696	0.4995578	-0.02004422	5E-09	
0.698	0.4995666	-0.02004334	5E-09	
0.7	0.4995753	-0.02004247	5E-09	
0.702	0.4995838	-0.02004162	5E-09	
0.7040001	0.4995921	-0.02004079	5E-09	
0.706	0.4996002	-0.02003998	5E-09	
0.708	0.4996082	-0.02003917	5E-09	
0.71	0.4996161	-0.02003839	5E-09	
0.712	0.4996237	-0.02003762	5E-09	
0.714	0.4996313	-0.02003687	5E-09	
0.716	0.4996386	-0.02003613	5E-09	
0.7180001	0.4996459	-0.02003541	5E-09	
0.72	0.499653	-0.0200347	5E-09	
0.7220001	0.4996599	-0.02003401	5E-09	
0.724	0.4996667	-0.02003333	5E-09	
0.726	0.4996734	-0.02003266	5E-09	
0.728	0.4996799	-0.02003201	5E-09	
0.73	0.4996863	-0.02003137	5E-09	
0.7320001	0.4996926	-0.02003074	5E-09	
0.734	0.4996987	-0.02003013	5E-09	
0.7360001	0.4997047	-0.02002953	5E-09	
0.738	0.4997107	-0.02002893	5E-09	
0.74	0.4997164	-0.02002836	5E-09	
0.742	0.4997221	-0.02002779	5E-09	
0.744	0.4997277	-0.02002724	5E-09	
0.7460001	0.4997331	-0.02002669	5E-09	
0.748	0.4997384	-0.02002616	5E-09	
0.7500001	0.4997436	-0.02002564	5E-09	
0.752	0.4997488	-0.02002512	5E-09	
0.754	0.4997538	-0.02002462	5E-09	
0.756	0.4997587	-0.02002413	5E-09	
0.758	0.4997635	-0.02002364	5E-09	
0.7600001	0.4997683	-0.02002317	5E-09	
0.762	0.4997729	-0.02002271	5E-09	
0.7640001	0.4997775	-0.02002225	5E-09	
0.766	0.4997819	-0.02002181	5E-09	
0.768	0.4997863	-0.02002138	5E-09	
0.77	0.4997905	-0.02002095	5E-09	
0.772	0.4997947	-0.02002053	5E-09	
0.774	0.4997988	-0.02002012	5E-09	
0.776	0.4998028	-0.02001972	5E-09	
0.7780001	0.4998068	-0.02001932	5E-09	
0.78	0.4998106	-0.02001894	5E-09	
0.7820001	0.4998145	-0.02001856	5E-09	
0.784	0.4998182	-0.02001818	5E-09	
0.786	0.4998218	-0.02001782	5E-09	
0.788	0.4998254	-0.02001746	5E-09	
0.79	0.4998289	-0.02001711	5E-09	
0.7920001	0.4998323	-0.02001677	5E-09	
0.794	0.4998357	-0.02001643	5E-09	
0.7960001	0.4998389	-0.0200161	5E-09	
0.798	0.4998422	-0.02001578	5E-09	
0.8	0.4998453	-0.02001547	5E-09	
0.802	0.4998484	-0.02001516	5E-09	
0.804	0.4998514	-0.02001486	5E-09	
0.8060001	0.4998544	-0.02001456	5E-09	
0.808	0.4998573	-0.02001427	5E-09	
0.8100001	0.4998602	-0.02001398	5E-09	
0.812	0.499863	-0.0200137	5E-09	
0.814	0.4998657	-0.02001343	5E-09	
0.816	0.4998684	-0.02001316	5E-09	
0.818	0.4998711	-0.02001289	5E-09	
0.8200001	0.4998736	-0.02001264	5E-09	
0.822	0.4998762	-0.02001238	5E-09	
0.8240001	0.4998786	-0.02001214	5E-09	
0.826	0.4998811	-0.02001189	5E-09	
0.8280001	0.4998834	-0.02001166	5E-09	
0.83	0.4998858	-0.02001142	5E-09	
0.832	0.4998881	-0.02001119	5E-09	
0.8340001	0.4998903	-0.02001097	5E-09	
0.836	0.4998925	-0.02001075	5E-09	
0.8380001	0.4998946	-0.02001053	5E-09	
0.84	0.4998968	-0.02001032	5E-09	
0.8420001	0.4998988	-0.02001012	5E-09	
0.844	0.4999008	-0.02000992	5E-09	
0.846	0.4999028	-0.02000972	5E-09	
0.848	0.4999048	-0.02000953	5E-09	
0.85	0.4999067	-0.02000934	5E-09	
0.8520001	0.4999085	-0.02000915	5E-09	
0.854	0.4999104	-0.02000897	5E-09	
0.8560001	0.4999121	-0.02000879	5E-09	
0.858	0.4999139	-0.02000861	5E-09	
0.86	0.4999156	-0.02000844	5E-09	
0.862	0.4999173	-0.02000827	5E-09	
0.864	0.4999189	-0.02000811	5E-09	
0.8660001	0.4999205	-0.02000795	5E-09	
0.868	0.4999222	-0.02000779	5E-09	
0.8700001	0.4999237	-0.02000763	5E-09	
0.872	0.4999253	-0.02000748	5E-09	
0.874	0.4999267	-0.02000733	5E-09	
0.876	0.4999282	-0.02000718	5E-09	
0.878	0.4999296	-0.02000704	5E-09	
0.8800001	0.499931	-0.0200069	5E-09	
0.882	0.4999324	-0.02000676	5E-09	
0.8840001	0.4999338	-0.02000662	5E-09	
0.886	0.4999351	-0.02000649	5E-09	
0.8880001	0.4999364	-0.02000636	5E-09	
0.89	0.4999377	-0.02000623	5E-09	
0.892	0.4999389	-0.02000611	5E-09	
0.8940001	0.4999402	-0.02000599	5E-09	
0.896	0.4999413	-0.02000587	5E-09	
0.8980001	0.4999425	-0.02000575	5E-09	
0.9	0.4999436	-0.02000564	5E-09	
0.9020001	0.4999447	-0.02000552	5E-09	
0.904	0.4999459	-0.02000541	5E-09	
0.906	0.499947	-0.0200053	5E-09	
0.9080001	0.499948	-0.0200052	5E-09	
0.91	0.499949	-0.0200051	5E-09	
0.9120001	0.4999501	-0.020005	5E-09	
0.914	0.4999511	-0.02000489	5E-09	
0.9160001	0.499952	-0.0200048	5E-09	
0.918	0.499953	-0.0200047	5E-09	
0.92	0.4999539	-0.02000461	5E-09	
0.9220001	0.4999548	-0.02000451	5E-09	
0.924	0.4999557	-0.02000443	5E-09	
0.9260001	0.4999566	-0.02000434	5E-09	
0.928	0.4999575	-0.02000425	5E-09	
0.9300001	0.4999584	-0.02000416	5E-09	
0.932	0.4999592	-0.02000408	5E-09	
0.934	0.49996	-0.020004	5E-09	
0.936	0.4999608	-0.02000392	5E-09	
0.938	0.4999616	-0.02000384	5E-09	
0.9400001	0.4999623	-0.02000377	5E-09	
0.942	0.4999631	-0.02000369	5E-09	
0.9440001	0.4999638	-0.02000362	5E-09	
0.946	0.4999645	-0.02000355	5E-09	
0.9480001	0.4999653	-0.02000348	5E-09	
0.95	0.499966	-0.0200034	5E-09	
0.952	0.4999666	-0.02000334	5E-09	
0.9540001	0.4999673	-0.02000327	5E-09	
0.956	0.499968	-0.0200032	5E-09	
0.9580001	0.4999686	-0.02000314	5E-09	
0.96	0.4999692	-0.02000308	5E-09	
0.9620001	0.4999699	-0.02000301	5E-09	
0.964	0.4999705	-0.02000295	5E-09	
0.966	0.4999711	-0.02000289	5E-09	
0.9680001	0.4999717	-0.02000283	5E-09	
0.97	0.4999722	-0.02000278	5E-09	
0.9720001	0.4999728	-0.02000272	5E-09	
0.974	0.4999733	-0.02000267	5E-09	
0.9760001	0.4999739	-0.02000261	5E-09	
0.978	0.4999744	-0.02000256	5E-09	
0.98	0.4999749	-0.02000251	5E-09	
0.9820001	0.4999754	-0.02000246	5E-09	
0.984	0.4999759	-0.02000241	5E-09	
0.9860001	0.4999763	-0.02000237	5E-09	
0.988	0.4999768	-0.02000232	5E-09	
0.9900001	0.4999773	-0.02000227	5E-09	
0.992	0.4999777	-0.02000223	5E-09	
0.994	0.4999782	-0.02000218	5E-09	
0.9960001	0.4999786	-0.02000214	5E-09	
0.998	0.499979	-0.0200021	5E-09	
1	0.4999794	-0.02000206	5E-09	
1.002	0.4999799	-0.02000201	5E-09	
1.004	0.4999803	-0.02000197	5E-09	
1.006	0.4999807	-0.02000193	5E-09	
1.008	0.499981	-0.0200019	5E-09	
1.01	0.4999814	-0.02000186	5E-09	
1.012	0.4999818	-0.02000182	5E-09	
1.014	0.4999822	-0.02000178	5E-09	
1.016	0.4999825	-0.02000175	5E-09	
1.018	0.4999829	-0.02000171	5E-09	
1.02	0.4999832	-0.02000168	5E-09	
1.022	0.4999835	-0.02000165	5E-09	
1.024	0.4999839	-0.02000161	5E-09	
1.026	0.4999842	-0.02000158	5E-09	
1.028	0.4999845	-0.02000155	5E-09	
1.03	0.4999848	-0.02000152	5E-09	
1.032	0.4999851	-0.02000149	5E-09	
1.034	0.4999854	-0.02000146	5E-09	
1.036	0.4999857	-0.02000143	5E-09	
1.038	0.499986	-0.0200014	5E-09	
1.04	0.4999863	-0.02000137	5E-09	
1.042	0.4999866	-0.02000134	5E-09	
1.044	0.4999868	-0.02000132	5E-09	
1.046	0.4999871	-0.02000129	5E-09	
1.048	0.4999873	-0.02000127	5E-09	
1.05	0.4999876	-0.02000124	5E-09	
1.052	0.4999879	-0.02000121	5E-09	
1.054	0.4999881	-0.02000119	5E-09	
1.056	0.4999883	-0.02000117	5E-09	
1.058	0.4999886	-0.02000114	5E-09	
1.06	0.4999888	-0.02000112	5E-09	
1.062	0.499989	-0.0200011	5E-09	
1.064	0.4999892	-0.02000108	5E-09	
1.066	0.4999894	-0.02000105	5E-09	
1.068	0.4999897	-0.02000103	5E-09	
1.07	0.4999899	-0.02000101	5E-09	
1.072	0.4999901	-0.02000099	5E-09	
1.074	0.4999903	-0.02000097	5E-09	
1.076	0.4999905	-0.02000095	5E-09	
1.078	0.4999906	-0.02000093	5E-09	
1.08	0.4999909	-0.02000092	5E-09	
1.082	0.499991	-0.0200009	5E-09	
1.084	0.4999912	-0.02000088	5E-09	
1.086	0.4999914	-0.02000086	5E-09	
1.088	0.4999916	-0.02000084	5E-09	
1.09	0.4999918	-0.02000082	5E-09	
1.092	0.4999919	-0.02000081	5E-09	
1.094	0.4999921	-0.02000079	5E-09	
1.096	0.4999922	-0.02000078	5E-09	
1.098	0.4999924	-0.02000076	5E-09	
1.1	0.4999925	-0.02000075	5E-09	
1.102	0.4999927	-0.02000073	5E-09	
1.104	0.4999928	-0.02000072	5E-09	
1.106	0.499993	-0.0200007	5E-09	
1.108	0.4999931	-0.02000069	5E-09	
1.11	0.4999933	-0.02000067	5E-09	
1.112	0.4999934	-0.02000066	5E-09	
1.114	0.4999936	-0.02000064	5E-09	
1.116	0.4999937	-0.02000063	5E-09	
1.118	0.4999938	-0.02000062	5E-09	
1.12	0.4999939	-0.02000061	5E-09	
1.122	0.499994	-0.0200006	5E-09	
1.124	0.4999941	-0.02000059	5E-09	
1.126	0.4999942	-0.02000058	5E-09	
1.128	0.4999943	-0.02000057	5E-09	
1.13	0.4999945	-0.02000055	5E-09	
1.132	0.4999946	-0.02000054	5E-09	
1.134	0.4999947	-0.02000053	5E-09	
1.136	0.4999948	-0.02000052	5E-09	
1.138	0.4999949	-0.02000051	5E-09	
1.14	0.499995	-0.0200005	5E-09	
