Time	Root_Y	
0	1	
0.001	0.9999902	
0.002	0.9999706	
0.003	0.9999412	
0.004	0.9999019	
0.005	0.9998528	
0.006000001	0.999794	
0.007000001	0.9997253	
0.008	0.9996468	
0.009000001	0.9995586	
0.01	0.9994604	
0.011	0.9993526	
0.012	0.9992349	
0.013	0.9991073	
0.014	0.99897	
0.015	0.9988228	
0.016	0.9986658	
0.017	0.9984991	
0.018	0.9983225	
0.019	0.9981362	
0.02	0.9979399	
0.021	0.9977339	
0.022	0.9975181	
0.023	0.9972925	
0.024	0.997057	
0.025	0.9968118	
0.026	0.9965567	
0.027	0.9962918	
0.028	0.9960172	
0.029	0.9957327	
0.03	0.9954384	
0.031	0.9951343	
0.032	0.9948203	
0.033	0.9944966	
0.034	0.994163	
0.035	0.9938197	
0.03599999	0.9934666	
0.03699999	0.9931036	
0.03799999	0.9927308	
0.03899999	0.9923482	
0.03999999	0.9919558	
0.04099999	0.9915536	
0.04199998	0.9911416	
0.04299998	0.9907197	
0.04399998	0.9902881	
0.04499998	0.9898466	
0.04599998	0.9893954	
0.04699998	0.9889343	
0.04799997	0.9884634	
0.04899997	0.9879827	
0.04999997	0.9874923	
0.05099997	0.986992	
0.05199997	0.9864818	
0.05299997	0.9859619	
0.05399996	0.9854321	
0.05499996	0.9848925	
0.05599996	0.9843432	
0.05699996	0.9837841	
0.05799996	0.983215	
0.05899996	0.9826363	
0.05999995	0.9820477	
0.06099995	0.9814493	
0.06199995	0.9808411	
0.06299995	0.9802231	
0.06399995	0.9795952	
0.06499995	0.9789576	
0.06599995	0.9783101	
0.06699996	0.9776528	
0.06799996	0.9769858	
0.06899996	0.9763088	
0.06999996	0.9756222	
0.07099997	0.9749256	
0.07199997	0.9742193	
0.07299997	0.9735032	
0.07399997	0.9727773	
0.07499997	0.9720415	
0.07599998	0.971296	
0.07699998	0.9705405	
0.07799998	0.9697754	
0.07899998	0.9690005	
0.07999998	0.9682156	
0.08099999	0.967421	
0.08199999	0.9666166	
0.08299999	0.9658023	
0.08399999	0.9649783	
0.08499999	0.9641444	
0.086	0.9633008	
0.087	0.9624473	
0.088	0.961584	
0.089	0.9607109	
0.09	0.9598281	
0.09100001	0.9589354	
0.09200001	0.9580328	
0.09300001	0.9571205	
0.09400001	0.9561983	
0.09500001	0.9552664	
0.09600002	0.9543247	
0.09700002	0.9533731	
0.09800002	0.9524117	
0.09900002	0.9514405	
0.1	0.9504595	
0.101	0.9494687	
0.102	0.948468	
0.103	0.9474576	
0.104	0.9464374	
0.105	0.9454073	
0.106	0.9443675	
