Time	ConeX	ConeY	ConeZ	
0.103	-0.04091112	-0.1960267	8.275509E-05	
0.104	-0.04130274	-0.1959445	8.262545E-05	
0.105	-0.0416942	-0.1958616	8.248091E-05	
0.106	-0.04208548	-0.1957779	8.231997E-05	
0.107	-0.0424766	-0.1956934	8.21501E-05	
0.108	-0.04286753	-0.1956082	8.19698E-05	
0.109	-0.04325829	-0.1955221	8.178353E-05	
0.11	-0.04364888	-0.1954352	8.158833E-05	
0.111	-0.04403928	-0.1953476	8.139462E-05	
0.112	-0.04442951	-0.1952592	8.119643E-05	
0.113	-0.04481955	-0.19517	8.100122E-05	
0.114	-0.04520941	-0.19508	8.0809E-05	
0.115	-0.04559908	-0.1949893	8.061827E-05	
0.116	-0.04598857	-0.1948977	8.0432E-05	
0.117	-0.04637787	-0.1948054	8.025319E-05	
0.118	-0.04676699	-0.1947123	8.007884E-05	
0.119	-0.04715591	-0.1946184	7.991493E-05	
0.12	-0.04754464	-0.1945238	7.975697E-05	
0.121	-0.04793319	-0.1944283	7.961095E-05	
0.122	-0.04832153	-0.1943321	7.947088E-05	
0.123	-0.04870968	-0.1942351	7.934272E-05	
0.124	-0.04909763	-0.1941373	7.92265E-05	
0.125	-0.04948538	-0.1940388	7.911772E-05	
0.126	-0.04987293	-0.1939395	7.902384E-05	
0.127	-0.05026029	-0.1938394	7.893593E-05	
0.128	-0.05064744	-0.1937385	7.885695E-05	
0.129	-0.05103439	-0.1936368	7.878989E-05	
0.13	-0.05142112	-0.1935344	7.873476E-05	
0.131	-0.05180766	-0.1934312	7.868111E-05	
0.132	-0.05219398	-0.1933273	7.864088E-05	
0.133	-0.0525801	-0.1932225	7.860661E-05	
0.134	-0.052966	-0.193117	7.858127E-05	
0.135	-0.05335169	-0.1930107	7.855595E-05	
0.136	-0.05373716	-0.1929036	7.854253E-05	
0.137	-0.05412243	-0.1927958	7.853359E-05	
0.138	-0.05450746	-0.1926872	7.852912E-05	
0.139	-0.05489228	-0.1925779	7.852763E-05	
0.14	-0.05527689	-0.1924677	7.852763E-05	
0.141	-0.05566127	-0.1923568	7.853061E-05	
0.142	-0.05604543	-0.1922451	7.853508E-05	
0.143	-0.05642936	-0.1921327	7.853955E-05	
0.144	-0.05681307	-0.1920194	7.854551E-05	
0.145	-0.05719654	-0.1919055	7.85485E-05	
0.146	-0.05757979	-0.1917907	7.855147E-05	
0.147	-0.05796281	-0.1916752	7.855743E-05	
0.148	-0.05834559	-0.1915589	7.855892E-05	
0.149	-0.05872814	-0.1914418	7.855892E-05	
0.15	-0.05911047	-0.191324	7.855445E-05	
0.151	-0.05949255	-0.1912055	7.85485E-05	
0.152	-0.05987439	-0.1910861	7.854104E-05	
0.153	-0.06025599	-0.190966	7.852763E-05	
0.154	-0.06063735	-0.1908452	7.851422E-05	
0.155	-0.06101846	-0.1907235	7.849634E-05	
0.156	-0.06139934	-0.1906011	7.847399E-05	
0.157	-0.06177996	-0.190478	7.844865E-05	
0.158	-0.06216034	-0.190354	7.842332E-05	
0.159	-0.06254046	-0.1902294	7.839054E-05	
0.16	-0.06292035	-0.1901039	7.835626E-05	
0.161	-0.06329996	-0.1899778	7.831604E-05	
0.162	-0.06367934	-0.1898508	7.82758E-05	
0.163	-0.06405845	-0.1897231	7.82311E-05	
0.164	-0.06443731	-0.1895946	7.818193E-05	
0.165	-0.06481592	-0.1894654	7.813275E-05	
0.166	-0.06519426	-0.1893354	7.808059E-05	
0.167	-0.06557234	-0.1892046	7.802248E-05	
0.168	-0.06595016	-0.1890731	7.796437E-05	
0.169	-0.06632772	-0.1889409	7.790775E-05	
0.17	-0.06670501	-0.1888078	7.784814E-05	
0.171	-0.06708204	-0.1886741	7.778406E-05	
0.172	-0.06745879	-0.1885396	7.771999E-05	
0.173	-0.06783528	-0.1884043	7.765293E-05	
0.174	-0.06821149	-0.1882683	7.758588E-05	
0.175	-0.06858744	-0.1881315	7.752032E-05	
0.176	-0.0689631	-0.1879939	7.745326E-05	
0.177	-0.06933849	-0.1878557	7.73862E-05	
0.178	-0.06971359	-0.1877166	7.731617E-05	
0.179	-0.07008844	-0.1875769	7.724315E-05	
0.18	-0.07046299	-0.1874363	7.71761E-05	
0.181	-0.07083726	-0.187295	7.711053E-05	
0.182	-0.07121124	-0.187153	7.704049E-05	
0.183	-0.07158494	-0.1870102	7.697195E-05	
0.184	-0.07195836	-0.1868667	7.690638E-05	
0.185	-0.07233149	-0.1867224	7.683933E-05	
0.186	-0.07270434	-0.1865774	7.677227E-05	
0.187	-0.07307689	-0.1864316	7.670671E-05	
0.188	-0.07344914	-0.1862851	7.664115E-05	
0.189	-0.07382111	-0.1861379	7.657856E-05	
0.19	-0.07419278	-0.1859899	7.651449E-05	
0.191	-0.07456414	-0.1858412	7.644892E-05	
0.192	-0.07493522	-0.1856917	7.638783E-05	
