Time	Rotation	PendulumY	PendulumX	PendulumZ	
0	0	-0.05	0	0	
0.001	0	-0.05000005	-9.952574E-05	0	
0.002	0.001999968	-0.04999989	-0.0001995457	0	
0.003	0.003999967	-0.04999952	-0.0002995664	0	
0.004	0.005999966	-0.04999895	-0.0003995851	0	
0.005	0.007999965	-0.04999817	-0.0004996014	0	
0.006	0.009999963	-0.04999719	-0.000599615	0	
0.007	0.01199996	-0.049996	-0.0006996254	0	
0.008	0.01399996	-0.04999461	-0.0007996323	0	
0.009000001	0.01599996	-0.04999301	-0.0008996353	0	
0.01	0.01799996	-0.04999121	-0.000999634	0	
0.011	0.01999996	-0.0499892	-0.001099628	0	
0.012	0.02199995	-0.04998699	-0.001199618	0	
0.013	0.02399995	-0.04998457	-0.001299601	0	
0.014	0.02599995	-0.04998195	-0.001399579	0	
0.015	0.02799995	-0.04997913	-0.001499551	0	
0.016	0.02999995	-0.0499761	-0.001599517	0	
0.017	0.03199995	-0.04997287	-0.001699476	0	
0.018	0.03399995	-0.04996943	-0.001799427	0	
0.019	0.03599994	-0.0499658	-0.001899371	0	
0.02	0.03799994	-0.04996196	-0.001999307	0	
0.021	0.03999994	-0.04995791	-0.002099235	0	
0.022	0.04199994	-0.04995367	-0.002199154	0	
0.023	0.04399994	-0.04994922	-0.002299063	0	
0.024	0.04599993	-0.04994457	-0.002398964	0	
0.025	0.04799992	-0.04993972	-0.002498854	0	
0.026	0.04999992	-0.04993467	-0.002598734	0	
0.027	0.05199992	-0.04992941	-0.002698603	0	
0.028	0.05399992	-0.04992396	-0.002798462	0	
0.029	0.05599992	-0.0499183	-0.002898308	0	
0.03	0.05799992	-0.04991244	-0.002998143	0	
0.031	0.05999992	-0.04990638	-0.003097966	0	
0.032	0.06199991	-0.04990011	-0.003197777	0	
0.033	0.06399991	-0.04989365	-0.003297574	0	
0.034	0.0659999	-0.04988699	-0.003397358	0	
0.035	0.06799991	-0.04988013	-0.003497128	0	
0.036	0.0699999	-0.04987306	-0.003596884	0	
0.037	0.07199991	-0.04986579	-0.003696625	0	
0.038	0.0739999	-0.04985832	-0.003796351	0	
0.039	0.07599989	-0.04985066	-0.003896062	0	
0.04	0.07799987	-0.04984279	-0.003995758	0	
0.041	0.07999987	-0.04983472	-0.004095437	0	
0.042	0.08199987	-0.04982645	-0.004195099	0	
0.043	0.08399988	-0.04981799	-0.004294745	0	
0.044	0.08599987	-0.04980932	-0.004394374	0	
0.045	0.08799986	-0.04980045	-0.004493984	0	
0.046	0.08999985	-0.04979138	-0.004593577	0	
0.047	0.09199984	-0.04978211	-0.004693151	0	
0.048	0.09399983	-0.04977264	-0.004792707	0	
0.049	0.09599983	-0.04976297	-0.004892243	0	
0.05	0.09799983	-0.0497531	-0.00499176	0	
0.051	0.09999983	-0.04974303	-0.005091256	0	
0.052	0.1019998	-0.04973276	-0.005190732	0	
0.053	0.1039998	-0.0497223	-0.005290187	0	
0.054	0.1059998	-0.04971163	-0.005389621	0	
0.055	0.1079998	-0.04970076	-0.005489033	0	
0.056	0.1099998	-0.0496897	-0.005588423	0	
0.057	0.1119998	-0.04967843	-0.005687791	0	
0.058	0.1139998	-0.04966697	-0.005787136	0	
0.059	0.1159998	-0.04965531	-0.005886457	0	
0.06	0.1179998	-0.04964345	-0.005985756	0	
0.061	0.1199998	-0.04963138	-0.00608503	0	
0.062	0.1219998	-0.04961913	-0.00618428	0	
0.063	0.1239998	-0.04960667	-0.006283505	0	
0.064	0.1259998	-0.04959401	-0.006382706	0	
0.06500001	0.1279998	-0.04958116	-0.00648188	0	
0.066	0.1299998	-0.0495681	-0.006581028	0	
0.067	0.1319997	-0.04955485	-0.00668015	0	
