Time	External_1b	External_3	Synaptic_2	External_6b	FF_3	FF_2	FF_1b	FF_6b	External_1a	Synaptic_4	External_5	FF_4	FF_5	FF_1a	
0.618	0	5E-09	3.332481E-10	0	0.9992265	0.08889133	0.06003625	0	0	2.866728E-13	5E-09	0.001154201	0.9992265	0.06003625	
0.619	0	5E-09	2.999491E-10	0	0.9993038	0.08300169	0.05403262	0	0	2.32187E-13	5E-09	0.001041103	0.9993038	0.05403262	
0.62	0	5E-09	2.69975E-10	0	0.9993734	0.07740127	0.04862936	0	0	1.880828E-13	5E-09	0.0009388736	0.9993734	0.04862936	
0.6210001	0	5E-09	2.429945E-10	0	0.9994361	0.07209108	0.04376642	0	0	1.52347E-13	5E-09	0.0008465097	0.9994361	0.04376642	
0.622	0	5E-09	2.187087E-10	0	0.9994925	0.06706906	0.03938978	0	0	1.234037E-13	5E-09	0.0007630928	0.9994925	0.03938978	
0.623	0	5E-09	1.968489E-10	0	0.9995432	0.06233064	0.0354508	0	0	9.995818E-14	5E-09	0.000687783	0.9995432	0.0354508	
0.624	0	5E-09	1.77173E-10	0	0.9995889	0.05786931	0.03190573	0	0	8.09714E-14	5E-09	0.0006198144	0.9995889	0.03190573	
0.625	0	5E-09	1.59463E-10	0	0.99963	0.05367701	0.02871515	0	0	6.558114E-14	5E-09	0.0005584888	0.99963	0.02871515	
0.626	0	5E-09	1.435226E-10	0	0.999667	0.04974454	0.02584364	0	0	5.311815E-14	5E-09	0.0005031711	0.999667	0.02584364	
0.627	0	5E-09	1.291752E-10	0	0.9997004	0.04606184	0.02325927	0	0	4.30234E-14	5E-09	0.0004532842	0.9997004	0.02325927	
0.628	0	5E-09	1.162615E-10	0	0.9997303	0.04261827	0.02093335	0	0	3.484618E-14	5E-09	0.0004083043	0.9997303	0.02093335	
0.629	0	5E-09	1.046385E-10	0	0.9997573	0.03940282	0.01884001	0	0	2.822977E-14	5E-09	0.0003677561	0.9997573	0.01884001	
0.6300001	0	5E-09	9.417719E-11	0	0.9997815	0.03640431	0.01695601	0	0	2.286331E-14	5E-09	0.0003312092	0.9997815	0.01695601	
0.631	0	5E-09	8.476153E-11	0	0.9998034	0.0336115	0.01526041	0	0	1.852029E-14	5E-09	0.0002982735	0.9998034	0.01526041	
0.632	0	5E-09	7.628705E-11	0	0.9998231	0.03101322	0.01373437	0	0	1.499916E-14	5E-09	0.0002685961	0.9998231	0.01373437	
0.633	0	5E-09	6.86597E-11	0	0.9998407	0.02859849	0.01236093	0	0	1.21485E-14	5E-09	0.000241858	0.9998407	0.01236093	
0.634	0	5E-09	6.179481E-11	0	0.9998567	0.02635659	0.01112484	0	0	9.843234E-15	5E-09	0.0002177706	0.9998567	0.01112484	
0.6350001	0	5E-09	5.561622E-11	0	0.999871	0.02427709	0.01001236	0	0	7.973683E-15	5E-09	0.0001960733	0.999871	0.01001236	
0.636	0	5E-09	5.005532E-11	0	0.9998839	0.02234994	0.00901112	0	0	6.460175E-15	5E-09	0.0001765305	0.9998839	0.00901112	
0.637	0	5E-09	4.505037E-11	0	0.9998955	0.02056545	0.008110007	0	0	5.231399E-15	5E-09	0.0001589298	0.9998955	0.008110007	
0.638	0	5E-09	4.05458E-11	0	0.9999059	0.01891436	0.007299007	0	0	4.239366E-15	5E-09	0.0001430792	0.9999059	0.007299007	
0.6390001	0	5E-09	3.64916E-11	0	0.9999153	0.01738784	0.006569106	0	0	3.432582E-15	5E-09	0.0001288056	0.9999153	0.006569106	
0.64	0	5E-09	3.284275E-11	0	0.9999238	0.01597749	0.005912195	0	0	2.781958E-15	5E-09	0.0001159529	0.9999238	0.005912195	
0.641	0	5E-09	2.955872E-11	0	0.9999314	0.01467532	0.005320976	0	0	2.251799E-15	5E-09	0.0001043801	0.9999314	0.005320976	
0.642	0	5E-09	2.660305E-11	0	0.9999382	0.01347382	0.004788878	0	0	1.825226E-15	5E-09	9.396033E-05	0.9999382	0.004788878	
0.643	0	5E-09	2.394291E-11	0	0.9999444	0.01236587	0.00430999	0	0	1.478576E-15	5E-09	8.457909E-05	0.9999444	0.00430999	
0.6440001	0	5E-09	2.154876E-11	0	0.9999501	0.01134477	0.003878991	0	0	1.197133E-15	5E-09	7.613315E-05	0.9999501	0.003878991	
0.645	0	5E-09	1.939399E-11	0	0.999955	0.01040423	0.003491092	0	0	9.687527E-16	5E-09	6.852952E-05	0.999955	0.003491092	
0.646	0	5E-09	1.745467E-11	0	0.9999595	0.009538355	0.003141983	0	0	7.85522E-16	5E-09	6.168442E-05	0.9999595	0.003141983	
0.647	0	5E-09	1.570928E-11	0	0.9999635	0.008741613	0.002827785	0	0	6.36741E-16	5E-09	5.552234E-05	0.9999635	0.002827785	
0.648	0	5E-09	1.413841E-11	0	0.9999672	0.008008835	0.002545006	0	0	5.157602E-16	5E-09	4.997526E-05	0.9999672	0.002545006	
0.649	0	5E-09	1.272461E-11	0	0.9999704	0.007335198	0.002290505	0	0	4.179175E-16	5E-09	4.498192E-05	0.9999704	0.002290505	
0.65	0	5E-09	1.145219E-11	0	0.9999734	0.0067162	0.002061455	0	0	3.385814E-16	5E-09	4.048711E-05	0.9999734	0.002061455	
0.651	0	5E-09	1.0307E-11	0	0.9999761	0.00614765	0.001855309	0	0	2.740052E-16	5E-09	3.644114E-05	0.9999761	0.001855309	
0.652	0	5E-09	9.276325E-12	0	0.9999785	0.005625648	0.001669778	0	0	2.21723E-16	5E-09	3.279925E-05	0.9999785	0.001669778	
