Time	External_1b	External_3	Synaptic_2	External_6b	FF_3	FF_2	FF_1b	FF_6b	External_1a	Synaptic_4	External_5	FF_4	FF_5	FF_1a	
0.572	4E-09	5E-09	1.789543E-09	0	0.9005599	0.1328414	0.3997645	0	4E-09	2.092179E-10	5E-09	0.06614226	0.9005599	0.3997645	
0.5725001	4E-09	5E-09	1.800059E-09	0	0.9055319	0.1351997	0.3997763	0	4E-09	1.987631E-10	5E-09	0.06382896	0.9055319	0.3997763	
0.573	4E-09	5E-09	1.810051E-09	0	0.9102553	0.1374899	0.3997875	0	4E-09	1.888305E-10	5E-09	0.06158166	0.9102553	0.3997875	
0.5735	4E-09	5E-09	1.819543E-09	0	0.9147425	0.1397132	0.3997981	0	4E-09	1.793941E-10	5E-09	0.05939955	0.9147425	0.3997981	
0.574	4E-09	5E-09	1.828562E-09	0	0.9190053	0.1418703	0.3998082	0	4E-09	1.70429E-10	5E-09	0.05728172	0.9190053	0.3998082	
0.5745	4E-09	5E-09	1.837129E-09	0	0.9230551	0.1439624	0.3998178	0	4E-09	1.619117E-10	5E-09	0.05522719	0.9230551	0.3998178	
0.575	4E-09	5E-09	1.845269E-09	0	0.9269024	0.1459907	0.3998269	0	4E-09	1.538197E-10	5E-09	0.05323493	0.9269024	0.3998269	
0.5755	4E-09	5E-09	1.853002E-09	0	0.9305573	0.1479561	0.3998355	0	4E-09	1.46132E-10	5E-09	0.05130384	0.9305573	0.3998355	
0.576	4E-09	5E-09	1.860349E-09	0	0.9340293	0.1498601	0.3998438	0	4E-09	1.388284E-10	5E-09	0.04943279	0.9340293	0.3998438	
0.5765	4E-09	5E-09	1.867329E-09	0	0.9373279	0.1517037	0.3998516	0	4E-09	1.318898E-10	5E-09	0.0476206	0.9373279	0.3998516	
0.577	4E-09	5E-09	1.87396E-09	0	0.9404615	0.1534883	0.399859	0	4E-09	1.252978E-10	5E-09	0.04586606	0.9404615	0.399859	
0.5775	4E-09	5E-09	1.88026E-09	0	0.9434385	0.1552152	0.399866	0	4E-09	1.19035E-10	5E-09	0.04416793	0.9434385	0.399866	
0.578	4E-09	5E-09	1.886245E-09	0	0.9462666	0.1568857	0.3998727	0	4E-09	1.130852E-10	5E-09	0.04252496	0.9462666	0.3998727	
0.5785	4E-09	5E-09	1.891931E-09	0	0.9489533	0.1585011	0.3998791	0	4E-09	1.074326E-10	5E-09	0.04093588	0.9489533	0.3998791	
0.5790001	4E-09	5E-09	1.897333E-09	0	0.9515056	0.1600627	0.3998851	0	4E-09	1.020626E-10	5E-09	0.0393994	0.9515056	0.3998851	
0.5795	4E-09	5E-09	1.902465E-09	0	0.9539303	0.1615719	0.3998909	0	4E-09	9.696095E-11	5E-09	0.03791423	0.9539303	0.3998909	
0.58	4E-09	5E-09	1.90734E-09	0	0.9562338	0.16303	0.3998963	0	4E-09	9.211423E-11	5E-09	0.03647909	0.9562338	0.3998963	
0.5805	4E-09	5E-09	1.911972E-09	0	0.9584221	0.1644383	0.3999015	0	4E-09	8.750971E-11	5E-09	0.03509269	0.9584221	0.3999015	
0.581	4E-09	5E-09	1.916372E-09	0	0.960501	0.1657983	0.3999064	0	4E-09	8.313527E-11	5E-09	0.03375373	0.960501	0.3999064	
0.5815001	4E-09	5E-09	1.920552E-09	0	0.9624759	0.1671111	0.3999111	0	4E-09	7.89796E-11	5E-09	0.03246094	0.9624759	0.3999111	
0.582	4E-09	5E-09	1.924524E-09	0	0.9643521	0.1683782	0.3999155	0	4E-09	7.503152E-11	5E-09	0.03121305	0.9643521	0.3999155	
0.5825	4E-09	5E-09	1.928297E-09	0	0.9661345	0.1696008	0.3999197	0	4E-09	7.128068E-11	5E-09	0.0300088	0.9661345	0.3999197	
0.583	4E-09	5E-09	1.931881E-09	0	0.9678278	0.1707801	0.3999238	0	4E-09	6.771731E-11	5E-09	0.02884695	0.9678278	0.3999238	
0.5835	4E-09	5E-09	1.935287E-09	0	0.9694364	0.1719175	0.3999276	0	4E-09	6.433214E-11	5E-09	0.02772626	0.9694364	0.3999276	
0.5840001	4E-09	5E-09	1.938522E-09	0	0.9709646	0.1730143	0.3999312	0	4E-09	6.111611E-11	5E-09	0.02664553	0.9709646	0.3999312	
0.5845	4E-09	5E-09	1.941595E-09	0	0.9724163	0.1740715	0.3999346	0	4E-09	5.806091E-11	5E-09	0.02560356	0.9724163	0.3999346	
0.585	4E-09	5E-09	1.944515E-09	0	0.9737955	0.1750905	0.3999379	0	4E-09	5.51583E-11	5E-09	0.02459917	0.9737955	0.3999379	
0.5855	4E-09	5E-09	1.947289E-09	0	0.9751058	0.1760724	0.399941	0	4E-09	5.24008E-11	5E-09	0.02363122	0.9751058	0.399941	
