Time	Length	Velocity	
5.001	0.3346433	0	
5.002	0.3346433	0	
5.003	0.3346433	0	
5.004	0.3346433	2.980232E-05	
5.005	0.3346433	0	
5.006	0.3346433	0	
5.007	0.3346433	0	
5.008	0.3346433	0	
5.009	0.3346433	0	
5.01	0.3346433	0	
5.011	0.3346434	2.980232E-05	
5.012	0.3346434	0	
5.013	0.3346434	0	
5.014	0.3346434	0	
5.015	0.3346434	5.960465E-05	
5.016	0.3346435	2.980232E-05	
5.017	0.3346435	0	
5.018	0.3346435	0	
5.019	0.3346435	2.980232E-05	
5.02	0.3346435	0	
5.021	0.3346435	0	
5.022	0.3346435	2.980232E-05	
5.023	0.3346435	0	
5.024	0.3346436	5.960465E-05	
5.025	0.3346436	0	
5.026	0.3346436	0	
5.027	0.3346436	5.960465E-05	
5.028	0.3346436	0	
5.029	0.3346437	2.980232E-05	
5.03	0.3346437	2.980232E-05	
5.031	0.3346437	2.980232E-05	
5.032	0.3346437	0	
5.033	0.3346438	5.960465E-05	
5.034	0.3346438	2.980232E-05	
5.035	0.3346438	0	
5.036	0.3346438	2.980232E-05	
5.037	0.3346439	2.980232E-05	
5.038	0.3346439	0	
5.039	0.3346439	5.960465E-05	
5.04	0.3346439	0	
5.041	0.3346439	0	
5.042	0.3346439	0	
5.043	0.3346439	0	
5.044	0.334644	5.960465E-05	
5.045	0.334644	0	
5.046	0.334644	0	
5.047	0.334644	2.980232E-05	
5.048	0.334644	0	
5.049	0.334644	0	
5.05	0.334644	0	
5.051	0.334644	0	
5.052	0.334644	-2.980232E-05	
5.053	0.3346439	-5.960465E-05	
5.054	0.3346439	0	
5.055	0.3346439	0	
5.056	0.3346439	0	
5.057	0.3346439	-5.960465E-05	
5.058	0.3346438	-2.980232E-05	
5.059	0.3346438	-2.980232E-05	
5.06	0.3346438	-2.980232E-05	
5.061	0.3346437	-5.960465E-05	
5.062	0.3346437	-5.960465E-05	
5.063	0.3346436	-2.980232E-05	
5.064	0.3346436	-5.960465E-05	
5.065	0.3346435	-5.960465E-05	
5.066	0.3346435	-5.960465E-05	
5.067	0.3346434	-8.940697E-05	
5.068	0.3346433	-2.980232E-05	
5.069	0.3346432	-8.940697E-05	
5.07	0.3346432	-5.960465E-05	
5.071	0.3346431	-8.940697E-05	
5.072	0.334643	-8.940697E-05	
5.073	0.3346429	-8.940697E-05	
5.074	0.3346428	-0.0001192093	
5.075	0.3346427	-0.0001192093	
5.076	0.3346426	-8.940697E-05	
5.077	0.3346425	-0.0001192093	
5.078	0.3346424	-0.0001192093	
