Time	Length	Velocity	
5.15	0.336025	0.0002980233	
5.151	0.3360253	0.0003576279	
5.152	0.3360257	0.0003576279	
5.153	0.336026	0.0003278256	
5.154	0.3360263	0.0003278256	
5.155	0.3360267	0.0003576279	
5.156	0.336027	0.0002980233	
5.157	0.3360274	0.0003576279	
5.158	0.3360277	0.0003278256	
5.159	0.336028	0.0002980233	
5.16	0.3360283	0.0003278256	
5.161	0.3360287	0.0003576279	
5.162	0.336029	0.0003278256	
5.163	0.3360293	0.0003278256	
5.164	0.3360297	0.0003576279	
5.165	0.33603	0.0003576279	
5.166	0.3360303	0.0002980233	
5.167	0.3360307	0.0003278256	
5.168	0.336031	0.0002980233	
5.169	0.3360313	0.0003576279	
5.17	0.3360316	0.0003278256	
5.171	0.336032	0.0003576279	
5.172	0.3360323	0.0002980233	
5.173	0.3360327	0.0003576279	
5.174	0.336033	0.0002980233	
5.175	0.3360333	0.0003576279	
5.176	0.3360336	0.0002980233	
5.177	0.3360339	0.0002980233	
5.178	0.3360342	0.0003278256	
5.179	0.3360345	0.0002980233	
5.18	0.3360349	0.0003278256	
5.181	0.3360351	0.0002682209	
5.182	0.3360355	0.0003278256	
5.183	0.3360358	0.0003278256	
5.184	0.3360361	0.0002682209	
5.185	0.3360364	0.0003278256	
5.186	0.3360367	0.0002980233	
5.187	0.336037	0.0002980233	
5.188	0.3360372	0.0002682209	
5.189	0.3360375	0.0002682209	
5.19	0.3360378	0.0002980233	
5.191	0.3360381	0.0002682209	
5.192	0.3360383	0.0002384186	
5.193	0.3360386	0.0003278256	
5.194	0.3360389	0.0002682209	
5.195	0.3360392	0.0002384186	
5.196	0.3360395	0.0002980233	
5.197	0.3360397	0.0002086163	
5.198	0.33604	0.0002980233	
5.199	0.3360402	0.0002384186	
5.2	0.3360405	0.0002682209	
5.201	0.3360407	0.0002384186	
5.202	0.3360409	0.0002384186	
5.203	0.3360412	0.0002682209	
5.204	0.3360414	0.0002086163	
5.205	0.3360416	0.0002086163	
5.206	0.3360419	0.0002682209	
5.207	0.3360421	0.0002384186	
5.208	0.3360423	0.0002086163	
5.209	0.3360425	0.0001788139	
5.21	0.3360428	0.0002682209	
5.211	0.336043	0.0002086163	
5.212	0.3360432	0.0002086163	
5.213	0.3360434	0.0002384186	
5.214	0.3360436	0.0001788139	
5.215	0.3360439	0.0002384186	
5.216	0.336044	0.0001788139	
5.217	0.3360443	0.0002384186	
5.218	0.3360445	0.0002086163	
5.219	0.3360447	0.0002384186	
5.22	0.3360449	0.0001788139	
5.221	0.3360451	0.0002384186	
5.222	0.3360454	0.0002086163	
5.223	0.3360455	0.0001788139	
5.224	0.3360458	0.0002384186	
5.225	0.336046	0.0001788139	
5.226	0.3360462	0.0002384186	
5.227	0.3360464	0.0002086163	
5.228	0.3360466	0.0002384186	
5.229	0.3360469	0.0002384186	
5.23	0.3360471	0.0002086163	
5.231	0.3360473	0.0002086163	
5.232	0.3360475	0.0002086163	
5.233	0.3360477	0.0002384186	
5.234	0.3360479	0.0002086163	
5.235	0.3360482	0.0002086163	
5.236	0.3360484	0.0002086163	
5.237	0.3360486	0.0002086163	
5.238	0.3360488	0.0002384186	
5.239	0.336049	0.0002086163	
5.24	0.3360493	0.0002682209	
5.241	0.3360495	0.0002086163	
5.242	0.3360497	0.0001788139	
5.243	0.3360499	0.0002682209	
5.244	0.3360501	0.0001788139	
5.245	0.3360504	0.0002384186	
5.246	0.3360506	0.0002384186	
5.247	0.3360508	0.0002384186	
5.248	0.3360511	0.0002384186	
5.249	0.3360513	0.0002384186	
5.25	0.3360516	0.0002384186	
5.251	0.3360518	0.0002384186	
5.252	0.336052	0.0002384186	
5.253	0.3360523	0.0002384186	
5.254	0.3360525	0.0002384186	
5.255	0.3360527	0.0002384186	
5.256	0.336053	0.0002384186	
5.257	0.3360532	0.0002384186	
5.258	0.3360535	0.0002384186	
5.259	0.3360537	0.0002384186	
5.26	0.336054	0.0002682209	
5.261	0.3360542	0.0002384186	
5.262	0.3360544	0.0002384186	
5.263	0.3360547	0.0002682209	
5.264	0.336055	0.0002682209	
5.265	0.3360552	0.0002682209	
5.266	0.3360555	0.0002384186	
5.267	0.3360558	0.0002682209	
5.268	0.336056	0.0002384186	
5.269	0.3360563	0.0002980233	
5.27	0.3360565	0.0002086163	
5.271	0.3360568	0.0002682209	
5.272	0.336057	0.0002682209	
5.273	0.3360573	0.0002384186	
5.274	0.3360576	0.0002980233	
5.275	0.3360579	0.0002980233	
5.276	0.3360581	0.0002384186	
5.277	0.3360584	0.0002980233	
5.278	0.3360587	0.0002682209	
5.279	0.3360589	0.0002682209	
5.28	0.3360592	0.0002384186	
5.281	0.3360595	0.0002682209	
5.282	0.3360597	0.0002980233	
5.283	0.33606	0.0002682209	
5.284	0.3360603	0.0002980233	
5.285	0.3360606	0.0002980233	
5.286	0.3360609	0.0002384186	
5.287	0.3360611	0.0002682209	
5.288	0.3360614	0.0002682209	
5.289	0.3360616	0.0002384186	
5.29	0.3360619	0.0002980233	
5.291	0.3360622	0.0002682209	
5.292	0.3360625	0.0002980233	
5.293	0.3360628	0.0002682209	
5.294	0.3360631	0.0002980233	
5.295	0.3360633	0.0002682209	
5.296	0.3360636	0.0002682209	
5.297	0.3360639	0.0002682209	
5.298	0.3360642	0.0002980233	
5.299	0.3360644	0.0002682209	
5.3	0.3360647	0.0002384186	
5.301	0.336065	0.0002980233	
5.302	0.3360653	0.0002980233	
5.303	0.3360655	0.0002682209	
5.304	0.3360658	0.0002682209	
5.305	0.3360661	0.0002682209	
5.306	0.3360663	0.0002682209	
5.307	0.3360666	0.0002980233	
5.308	0.3360669	0.0002980233	
5.309	0.3360672	0.0002384186	
5.31	0.3360674	0.0002682209	
5.311	0.3360677	0.0002980233	
5.312	0.336068	0.0002384186	
5.313	0.3360682	0.0002682209	
5.314	0.3360685	0.0002384186	
5.315	0.3360687	0.0002682209	
5.316	0.336069	0.0002980233	
5.317	0.3360693	0.0002384186	
5.318	0.3360696	0.0002682209	
5.319	0.3360698	0.0002682209	
5.32	0.3360701	0.0002682209	
5.321	0.3360704	0.0002682209	
5.322	0.3360706	0.0002682209	
5.323	0.3360709	0.0002384186	
5.324	0.3360711	0.0002384186	
5.325	0.3360714	0.0002682209	
5.326	0.3360716	0.0002384186	
