Time	Body_X	Body_Y	Body_Z	Joint_1	
0	0	0	-0.015	0	
0.0002	0	0	-0.015	0	
0.0004	0	-3.924E-07	-0.015	-3.924E-07	
0.0006	-1.758851E-10	-1.1772E-06	-0.015	-1.1772E-06	
0.0008	-4.285201E-10	-2.354399E-06	-0.015	-2.3544E-06	
0.0009999999	-7.585446E-10	-3.923999E-06	-0.015	-3.923999E-06	
0.0012	-1.16647E-09	-5.885997E-06	-0.015	-5.885999E-06	
0.0014	-1.652706E-09	-8.240397E-06	-0.015	-8.240399E-06	
0.0016	-2.21758E-09	-1.09872E-05	-0.01500001	-1.09872E-05	
0.0018	-2.861354E-09	-1.412639E-05	-0.01500001	-1.41264E-05	
0.002	-3.584237E-09	-1.765799E-05	-0.01500001	-1.7658E-05	
0.0022	-4.386397E-09	-2.158199E-05	-0.01500001	-2.158199E-05	
0.0024	-5.26797E-09	-2.589839E-05	-0.01500002	-2.589839E-05	
0.0026	-6.22906E-09	-3.060719E-05	-0.01500002	-3.060719E-05	
0.0028	-7.269755E-09	-3.570838E-05	-0.01500002	-3.570839E-05	
0.003	-8.390122E-09	-4.120198E-05	-0.01500002	-4.120199E-05	
0.0032	-9.590217E-09	-4.708797E-05	-0.01500003	-4.708799E-05	
0.0034	-1.087009E-08	-5.336637E-05	-0.01500003	-5.336639E-05	
0.0036	-1.222976E-08	-6.003717E-05	-0.01500004	-6.003719E-05	
0.0038	-1.366927E-08	-6.710037E-05	-0.01500004	-6.710039E-05	
0.004	-1.518864E-08	-7.455597E-05	-0.01500005	-7.455598E-05	
0.0042	-1.678788E-08	-8.240396E-05	-0.01500005	-8.240398E-05	
0.0044	-1.846702E-08	-9.064436E-05	-0.01500005	-9.064437E-05	
0.0046	-2.022605E-08	-9.927715E-05	-0.01500006	-9.927717E-05	
0.0048	-2.2065E-08	-0.0001083023	-0.01500007	-0.0001083024	
0.005	-2.398386E-08	-0.0001177199	-0.01500007	-0.00011772	
0.0052	-2.598265E-08	-0.0001275299	-0.01500008	-0.00012753	
0.0054	-2.806137E-08	-0.0001377323	-0.01500008	-0.0001377324	
0.0056	-3.022002E-08	-0.0001483271	-0.01500009	-0.0001483272	
0.0058	-3.24586E-08	-0.0001593143	-0.0150001	-0.0001593143	
0.006	-3.477713E-08	-0.0001706939	-0.0150001	-0.0001706939	
0.0062	-3.71756E-08	-0.0001824659	-0.01500011	-0.0001824659	
0.0064	-3.9654E-08	-0.0001946303	-0.01500012	-0.0001946303	
0.0066	-4.221235E-08	-0.0002071871	-0.01500013	-0.0002071871	
0.0068	-4.485065E-08	-0.0002201363	-0.01500013	-0.0002201363	
0.007	-4.756888E-08	-0.0002334779	-0.01500014	-0.0002334779	
