Time	OdorSensor	Mouth	Eat	Food_Near	Energy	
0.0336	12396.2	0.0001766915	0.03986016	0.2762023	10003.08	
0.034	12396.17	0.0001993008	0.03986016	0.2762023	10003.24	
0.0344	12396.15	0.0001993008	0.03986016	0.2762023	10003.42	
0.0348	12396.12	0.0001993008	0.03986016	0.2762023	10003.6	
0.0352	12396.08	0.0001993008	0.03986016	0.2762023	10003.78	
0.0356	12396.05	0.0001993008	0.044587	0.2906782	10003.96	
0.036	12396.02	0.000222935	0.044587	0.2906782	10004.14	
0.0364	12395.98	0.000222935	0.044587	0.2906782	10004.34	
0.0368	12395.95	0.000222935	0.044587	0.2906782	10004.55	
0.0372	12395.92	0.000222935	0.044587	0.2906782	10004.75	
0.0376	12395.88	0.000222935	0.04950883	0.3048646	10004.95	
0.038	12395.84	0.0002475441	0.04950883	0.3048646	10005.16	
0.0384	12395.79	0.0002475441	0.04950883	0.3048646	10005.38	
0.0388	12395.75	0.0002475441	0.04950883	0.3048646	10005.61	
0.0392	12395.7	0.0002475441	0.04950883	0.3048646	10005.84	
0.0396	12395.65	0.0002475441	0.05461594	0.3187674	10006.07	
0.04	12395.61	0.0002730797	0.05461594	0.3187674	10006.29	
0.0404	12395.56	0.0002730797	0.05461594	0.3187674	10006.55	
0.0408	12395.51	0.0002730797	0.05461594	0.3187674	10006.8	
0.0412	12395.46	0.0002730797	0.05461594	0.3187674	10007.06	
0.0416	12395.4	0.0002730797	0.05989898	0.332392	10007.31	
0.042	12395.35	0.0002994949	0.05989898	0.332392	10007.56	
0.0424	12395.29	0.0002994949	0.05989898	0.332392	10007.84	
0.0428	12395.23	0.0002994949	0.05989898	0.332392	10008.12	
0.0432	12395.17	0.0002994949	0.05989898	0.332392	10008.4	
0.0436	12395.1	0.0002994949	0.06534883	0.3457442	10008.68	
0.044	12395.04	0.0003267442	0.06534883	0.3457442	10008.96	
0.0444	12394.97	0.0003267442	0.06534883	0.3457442	10009.27	
0.0448	12394.9	0.0003267442	0.06534883	0.3457442	10009.58	
0.0452	12394.83	0.0003267442	0.06534883	0.3457442	10009.89	
0.0456	12394.76	0.0003267442	0.07095674	0.3588293	10010.2	
0.046	12394.68	0.0003547837	0.07095674	0.3588293	10010.5	
0.0464	12394.6	0.0003547837	0.07095674	0.3588293	10010.84	
0.0468	12394.53	0.0003547837	0.07095674	0.3588293	10011.17	
0.0472	12394.44	0.0003547837	0.07095674	0.3588293	10011.51	
0.0476	12394.36	0.0003547837	0.0767142	0.3716527	10011.84	
0.048	12394.27	0.000383571	0.0767142	0.3716527	10012.18	
0.0484	12394.18	0.000383571	0.0767142	0.3716527	10012.54	
0.0488	12394.09	0.000383571	0.0767142	0.3716527	10012.91	
0.0492	12394	0.000383571	0.0767142	0.3716527	10013.27	
0.0496	12393.91	0.000383571	0.08261297	0.3842196	10013.63	
0.05	12393.81	0.0004130648	0.08261297	0.3842196	10014	
0.0504	12393.71	0.0004130648	0.08261297	0.3842196	10014.39	
0.0508	12393.61	0.0004130648	0.08261297	0.3842196	10014.79	
0.0512	12393.5	0.0004130648	0.08261297	0.3842196	10015.18	
0.0516	12393.39	0.0004130648	0.0886451	0.3965352	10015.57	
0.052	12393.29	0.0004432255	0.0886451	0.3965352	10015.97	
0.0524	12393.16	0.0004432255	0.0886451	0.3965352	10016.39	
0.0528	12393.05	0.0004432255	0.0886451	0.3965352	10016.81	
0.0532	12392.92	0.0004432255	0.0886451	0.3965352	10017.24	
0.0536	12392.8	0.0004432255	0.0948029	0.4086046	10017.66	
0.054	12392.67	0.0004740145	0.0948029	0.4086046	10018.09	
0.0544	12392.55	0.0004740145	0.0948029	0.4086046	10018.54	
0.0548	12392.42	0.0004740145	0.0948029	0.4086046	10018.99	
0.0552	12392.28	0.0004740145	0.0948029	0.4086046	10019.45	
0.0556	12392.13	0.0004740145	0.1010789	0.4204324	10019.9	
0.056	12391.99	0.0005053947	0.1010789	0.4204324	10020.36	
0.0564	12391.85	0.0005053947	0.1010789	0.4204324	10020.84	
0.0568	12391.7	0.0005053947	0.1010789	0.4204324	10021.33	
0.0572	12391.56	0.0005053947	0.1010789	0.4204324	10021.82	
0.0576	12391.4	0.0005053947	0.107466	0.4320238	10022.3	
0.058	12391.24	0.00053733	0.107466	0.4320238	10022.79	
0.0584	12391.08	0.00053733	0.107466	0.4320238	10023.31	
0.0588	12390.91	0.00053733	0.107466	0.4320238	10023.82	
0.0592	12390.74	0.00053733	0.107466	0.4320238	10024.34	
0.0596	12390.57	0.00053733	0.1139572	0.4433833	10024.86	
0.06	12390.39	0.0005697858	0.1139572	0.4433833	10025.38	
0.0604	12390.21	0.0005697858	0.1139572	0.4433833	10025.93	
0.0608	12390.03	0.0005697858	0.1139572	0.4433833	10026.48	
0.0612	12389.83	0.0005697858	0.1139572	0.4433833	10027.03	
0.0616	12389.64	0.0005697858	0.1205457	0.4545157	10027.58	
0.062	12389.45	0.0006027284	0.1205457	0.4545157	10028.13	
0.0624	12389.25	0.0006027284	0.1205457	0.4545157	10028.71	
0.0628	12389.04	0.0006027284	0.1205457	0.4545157	10029.29	
0.0632	12388.84	0.0006027284	0.1205457	0.4545157	10029.87	
0.0636	12388.62	0.0006027284	0.1272251	0.4654254	10030.46	
0.064	12388.4	0.0006361254	0.1272251	0.4654254	10031.04	
0.06439999	12388.18	0.0006361254	0.1272251	0.4654254	10031.66	
0.0648	12387.96	0.0006361254	0.1272251	0.4654254	10032.27	
0.0652	12387.73	0.0006361254	0.1272251	0.4654254	10032.89	
0.0656	12387.5	0.0006361254	0.1339891	0.4761169	10033.5	
0.066	12387.26	0.0006699454	0.1339891	0.4761169	10034.12	
0.0664	12387.02	0.0006699454	0.1339891	0.4761169	10034.77	
0.0668	12386.77	0.0006699454	0.1339891	0.4761169	10035.42	
0.0672	12386.51	0.0006699454	0.1339891	0.4761169	10036.07	
0.0676	12386.26	0.0006699454	0.1408316	0.4865946	10036.72	
0.068	12386	0.0007041582	0.1408316	0.4865946	10037.37	
0.0684	12385.73	0.0007041582	0.1408316	0.4865946	10038.06	
0.06879999	12385.46	0.0007041582	0.1408316	0.4865946	10038.74	
0.0692	12385.18	0.0007041582	0.1408316	0.4865946	10039.43	
0.0696	12384.9	0.0007041582	0.1477469	0.4968626	10040.11	
0.07	12384.61	0.0007387345	0.1477469	0.4968626	10040.8	
0.0704	12384.32	0.0007387345	0.1477469	0.4968626	10041.51	
0.0708	12384.02	0.0007387345	0.1477469	0.4968626	10042.23	
0.0712	12383.73	0.0007387345	0.1477469	0.4968626	10042.95	
0.0716	12383.42	0.0007387345	0.1547292	0.5069254	10043.67	
0.072	12383.1	0.0007736461	0.1547292	0.5069254	10044.39	
0.0724	12382.79	0.0007736461	0.1547292	0.5069254	10045.14	
0.0728	12382.46	0.0007736461	0.1547292	0.5069254	10045.9	
0.07319999	12382.13	0.0007736461	0.1547292	0.5069254	10046.65	
0.0736	12381.79	0.0007736461	0.1617731	0.5167869	10047.41	
0.074	12381.46	0.0008088656	0.1617731	0.5167869	10048.16	
0.0744	12381.11	0.0008088656	0.1617731	0.5167869	10048.95	
0.0748	12380.75	0.0008088656	0.1617731	0.5167869	10049.74	
0.0752	12380.4	0.0008088656	0.1617731	0.5167869	10050.53	
0.0756	12380.04	0.0008088656	0.1688734	0.5264511	10051.32	
0.076	12379.67	0.000844367	0.1688734	0.5264511	10052.1	
0.0764	12379.29	0.000844367	0.1688734	0.5264511	10052.93	
0.0768	12378.91	0.000844367	0.1688734	0.5264511	10053.75	
0.0772	12378.52	0.000844367	0.1688734	0.5264511	10054.58	
0.07759999	12378.13	0.000844367	0.176025	0.5359221	10055.41	
0.078	12377.73	0.0008801247	0.176025	0.5359221	10056.23	
0.0784	12377.32	0.0008801247	0.176025	0.5359221	10057.09	
