Time	OdorSensor	Mouth	Eat	Food_Near	Energy	
0	8888.888	0	0	0	9999.98	
0.0004	8888.888	0	0	0	9999.961	
0.0008	8888.888	0	0	0	9999.941	
0.0012	8888.888	0	0	0	9999.922	
0.0016	8888.888	0	0	0	9999.902	
0.002	8888.888	0	0	0	9999.883	
0.0024	8888.888	0	0	0	9999.863	
0.0028	8888.888	0	0	0	9999.844	
0.0032	8888.888	0	0	0	9999.824	
0.0036	8888.888	0	0	0	9999.805	
0.004	8888.888	0	0	0	9999.785	
0.0044	8888.888	0	0	0	9999.766	
0.0048	8888.888	0	0	0	9999.746	
0.0052	8888.888	0	0	0	9999.727	
0.0056	8888.888	0	0	0	9999.707	
0.006	8888.888	0	0	0	9999.688	
0.0064	8888.888	0	0	0	9999.668	
0.0068	8888.888	0	0	0	9999.648	
0.0072	8888.888	0	0	0	9999.629	
0.0076	8888.888	0	0	0	9999.609	
0.007999999	8888.888	0	0	0	9999.59	
0.0084	8888.888	0	0	0	9999.57	
0.0088	8888.888	0	0	0	9999.551	
0.0092	8888.888	0	0	0	9999.531	
0.0096	8888.888	0	0	0	9999.512	
0.01	8888.888	0	0	0	9999.492	
0.0104	8888.888	0	0	0	9999.473	
0.0108	8888.888	0	0	0	9999.453	
0.0112	8888.886	0	0	0	9999.434	
0.0116	8888.886	0	0	0	9999.414	
0.012	8888.884	0	0	0	9999.395	
0.0124	8888.884	0	0	0	9999.375	
0.0128	8888.884	0	0	0	9999.355	
0.0132	8888.884	0	0	0	9999.336	
0.0136	8888.884	0	0	0	9999.316	
0.014	8888.884	0	0	0	9999.297	
0.0144	8888.884	0	0	0	9999.277	
0.0148	8888.883	0	0	0	9999.258	
0.0152	8888.883	0	0	0	9999.238	
0.0156	8888.883	0	0	0	9999.219	
0.016	8888.881	0	0	0	9999.199	
0.0164	8888.881	0	0	0	9999.18	
0.0168	8888.881	0	0	0	9999.16	
0.0172	8888.881	0	0	0	9999.141	
0.0176	8888.88	0	0	0	9999.121	
0.018	8888.878	0	0	0	9999.102	
0.0184	8888.878	0	0	0	9999.082	
0.0188	8888.878	0	0	0	9999.063	
0.0192	8888.877	0	0	0	9999.043	
0.0196	8888.875	0	0	0	9999.023	
0.02	8888.874	0	0	0	9999.004	
0.0204	8888.872	0	0	0	9998.984	
0.0208	8888.872	0	0	0	9998.965	
0.0212	8888.868	0	0	0	9998.945	
0.0216	8888.866	0	0	0	9998.926	
0.022	8888.862	0	0	0	9998.906	
0.0224	8888.86	0	0	0	9998.887	
0.0228	8888.855	0	0	0	9998.867	
0.0232	8888.854	0	0	0	9998.848	
0.0236	8888.853	0	0	0	9998.828	
0.024	8888.85	0	0	0	9998.809	
0.0244	8888.846	0	0	0	9998.789	
0.0248	8888.84	0	0	0	9998.77	
0.0252	8888.835	0	0	0	9998.75	
0.0256	8888.832	0	0	0	9998.73	
0.026	8888.83	0	0	0	9998.711	
0.0264	8888.824	0	0	0	9998.691	
0.0268	8888.821	0	0	0	9998.672	
0.0272	8888.814	0	0	0	9998.652	
0.0276	8888.809	0	0	0	9998.633	
0.028	8888.802	0	0	0	9998.613	
0.0284	8888.796	0	0	0	9998.594	
0.0288	8888.787	0	0	0	9998.574	
0.0292	8888.781	0	0	0	9998.555	
0.0296	8888.773	0	0	0	9998.535	
0.03	8888.768	0	0	0	9998.516	
0.0304	8888.759	0	0	0	9998.496	
0.0308	8888.751	0	0	0	9998.477	
0.0312	8888.741	0	0	0	9998.457	
0.0316	8888.729	0	0	0	9998.438	
0.032	8888.719	0	0	0	9998.418	
0.0324	8888.705	0	0	0	9998.398	
0.0328	8888.697	0	0	0	9998.379	
0.0332	8888.686	0	0	0	9998.359	
0.0336	8888.676	0	0	0	9998.34	
0.034	8888.663	0	0	0	9998.32	
0.0344	8888.648	0	0	0	9998.301	
0.0348	8888.637	0	0	0	9998.281	
0.0352	8888.623	0	0	0	9998.262	
0.0356	8888.609	0	0	0	9998.242	
0.036	8888.595	0	0	0	9998.223	
0.0364	8888.58	0	0	0	9998.203	
0.0368	8888.564	0	0	0	9998.184	
0.0372	8888.55	0	0	0	9998.164	
0.0376	8888.535	0	0	0	9998.145	
0.038	8888.516	0	0	0	9998.125	
0.0384	8888.496	0	0	0	9998.105	
0.0388	8888.477	0	0	0	9998.086	
0.0392	8888.457	0	0	0	9998.066	
0.0396	8888.437	0	0	0	9998.047	
0.04	8888.416	0	0	0	9998.027	
0.0404	8888.395	0	0	0	9998.008	
0.0408	8888.374	0	0	0	9997.988	
0.0412	8888.352	0	0	0	9997.969	
0.0416	8888.329	0	0	0	9997.949	
0.042	8888.306	0	0	0	9997.93	
0.0424	8888.28	0	0	0	9997.91	
0.0428	8888.253	0	0	0	9997.891	
0.0432	8888.227	0	0	0	9997.871	
0.0436	8888.198	0	0	0	9997.852	
0.044	8888.171	0	0	0	9997.832	
0.0444	8888.143	0	0	0	9997.813	
0.0448	8888.111	0	0	0	9997.793	
0.0452	8888.081	0	0	0	9997.773	
0.0456	8888.05	0	0	0	9997.754	
0.046	8888.018	0	0	0	9997.734	
