Time	MV	Tension	Length	A	
0.0198	-0.06917978	1.086664	0.4999995	13.21974	
0.02	-0.06926268	1.086664	0.4999995	13.21974	
0.0202	-0.06934565	1.086664	0.4999995	13.21974	
0.0204	-0.06942869	1.086664	0.4999995	13.21974	
0.0206	-0.06951176	1.086664	0.4999995	13.21974	
0.0208	-0.06959487	1.141995	0.4999994	12.43063	
0.021	-0.06967799	1.141995	0.4999994	12.43063	
0.0212	-0.06976109	1.141995	0.4999994	12.43063	
0.0214	-0.06984418	1.141995	0.4999994	12.43063	
0.0216	-0.06992722	1.141995	0.4999994	12.43063	
0.0218	-0.07001022	1.193237	0.4999994	11.68191	
0.022	-0.07009316	1.193237	0.4999994	11.68191	
0.0222	-0.07017604	1.193237	0.4999994	11.68191	
0.0224	-0.07025882	1.193237	0.4999994	11.68191	
0.0226	-0.07034151	1.193237	0.4999994	11.68191	
0.0228	-0.07042411	1.24063	0.4999993	10.9762	
0.023	-0.0705066	1.24063	0.4999993	10.9762	
0.0232	-0.07058898	1.24063	0.4999993	10.9762	
0.0234	-0.07067122	1.24063	0.4999993	10.9762	
0.0236	-0.07075335	1.24063	0.4999993	10.9762	
0.0238	-0.07083534	1.284416	0.4999993	10.31402	
0.024	-0.07091717	1.284416	0.4999993	10.31402	
0.0242	-0.07099887	1.284416	0.4999993	10.31402	
0.0244	-0.07108042	1.284416	0.4999993	10.31402	
0.0246	-0.07116181	1.284416	0.4999993	10.31402	
0.0248	-0.07124303	1.324831	0.4999992	9.694502	
0.025	-0.07132409	1.324831	0.4999992	9.694502	
0.0252	-0.07140499	1.324831	0.4999992	9.694502	
0.0254	-0.07148571	1.324831	0.4999992	9.694502	
0.0256	-0.07156625	1.324831	0.4999992	9.694502	
0.0258	-0.07164661	1.3621	0.4999991	9.116036	
0.026	-0.07172679	1.3621	0.4999991	9.116036	
0.0262	-0.0718068	1.3621	0.4999991	9.116036	
0.0264	-0.07188661	1.3621	0.4999991	9.116036	
0.0266	-0.07196623	1.3621	0.4999991	9.116036	
0.0268	-0.07204567	1.396439	0.4999991	8.57653	
0.027	-0.07212491	1.396439	0.4999991	8.57653	
0.0272	-0.07220396	1.396439	0.4999991	8.57653	
0.0274	-0.07228282	1.396439	0.4999991	8.57653	
0.0276	-0.07236148	1.396439	0.4999991	8.57653	
0.0278	-0.07243994	1.42805	0.499999	8.07368	
0.028	-0.07251821	1.42805	0.499999	8.07368	
0.0282	-0.07259627	1.42805	0.499999	8.07368	
0.0284	-0.07267413	1.42805	0.499999	8.07368	
0.0286	-0.07275178	1.42805	0.499999	8.07368	
0.0288	-0.07282924	1.457119	0.499999	7.60509	
0.029	-0.07290649	1.457119	0.499999	7.60509	
0.0292	-0.07298354	1.457119	0.499999	7.60509	
0.0294	-0.07306039	1.457119	0.499999	7.60509	
0.0296	-0.07313704	1.457119	0.499999	7.60509	
0.0298	-0.07321348	1.483824	0.4999989	7.168456	
0.03	-0.07328971	1.483824	0.4999989	7.168456	
0.0302	-0.07336574	1.483824	0.4999989	7.168456	
0.0304	-0.07344156	1.483824	0.4999989	7.168456	
0.0306	-0.07351717	1.483824	0.4999989	7.168456	
0.0308	-0.07359258	1.508327	0.4999988	6.761468	
0.031	-0.07366779	1.508327	0.4999988	6.761468	
0.0312	-0.07374278	1.508327	0.4999988	6.761468	
0.0314	-0.07381757	1.508327	0.4999988	6.761468	
0.0316	-0.07389216	1.508327	0.4999988	6.761468	
0.0318	-0.07396654	1.530779	0.4999988	6.381997	
0.032	-0.07404071	1.530779	0.4999988	6.381997	
0.0322	-0.07411469	1.530779	0.4999988	6.381997	
0.0324	-0.07418845	1.530779	0.4999988	6.381997	
0.0326	-0.07426201	1.530779	0.4999988	6.381997	
0.0328	-0.07433537	1.551321	0.4999987	6.028013	
0.033	-0.07440852	1.551321	0.4999987	6.028013	
0.0332	-0.07448146	1.551321	0.4999987	6.028013	
0.0334	-0.0745542	1.551321	0.4999987	6.028013	
0.0336	-0.07462674	1.551321	0.4999987	6.028013	
0.0338	-0.07469908	1.570098	0.4999987	5.697624	
0.034	-0.07477121	1.570098	0.4999987	5.697624	
0.0342	-0.07484314	1.570098	0.4999987	5.697624	
0.0344	-0.07491487	1.570098	0.4999987	5.697624	
0.0346	-0.0749864	1.570098	0.4999987	5.697624	
0.0348	-0.07505772	1.5872	0.4999986	5.38907	
0.035	-0.07512885	1.5872	0.4999986	5.38907	
0.0352	-0.07519977	1.5872	0.4999986	5.38907	
0.0354	-0.07527049	1.5872	0.4999986	5.38907	
0.0356	-0.07534102	1.5872	0.4999986	5.38907	
0.0358	-0.07541135	1.602767	0.4999986	5.100729	
0.036	-0.07548147	1.602767	0.4999986	5.100729	
0.0362	-0.07555141	1.602767	0.4999986	5.100729	
0.0364	-0.07562114	1.602767	0.4999986	5.100729	
0.0366	-0.07569067	1.602767	0.4999986	5.100729	
0.0368	-0.07576001	1.61689	0.4999986	4.831108	
0.037	-0.07582915	1.61689	0.4999986	4.831108	
0.0372	-0.07589809	1.61689	0.4999986	4.831108	
0.0374	-0.07596684	1.61689	0.4999986	4.831108	
0.0376	-0.07603539	1.61689	0.4999986	4.831108	
0.0378	-0.07610375	1.629663	0.4999985	4.578805	
0.038	-0.0761719	1.629663	0.4999985	4.578805	
0.0382	-0.07623988	1.629663	0.4999985	4.578805	
0.0384	-0.07630765	1.629663	0.4999985	4.578805	
0.0386	-0.07637525	1.629663	0.4999985	4.578805	
0.0388	-0.07644264	1.641174	0.4999985	4.342575	
0.039	-0.07650983	1.641174	0.4999985	4.342575	
0.0392	-0.07657684	1.641174	0.4999985	4.342575	
0.0394	-0.07664366	1.641174	0.4999985	4.342575	
0.0396	-0.07671029	1.641174	0.4999985	4.342575	
0.0398	-0.07677673	1.651507	0.4999985	4.121229	
0.04	-0.07684297	1.651507	0.4999985	4.121229	
0.0402	-0.07690904	1.651507	0.4999985	4.121229	
0.0404	-0.07697491	1.651507	0.4999985	4.121229	
0.0406	-0.07545715	1.651507	0.4999985	4.121229	
0.0408	-0.07407823	1.660738	0.4999985	3.913699	
0.041	-0.07282424	1.660738	0.4999985	3.913699	
0.0412	-0.07168292	1.660738	0.4999985	3.913699	
0.0414	-0.07064342	1.660738	0.4999985	3.913699	
0.0416	-0.06969615	1.660738	0.4999985	3.913699	
0.0418	-0.0688326	1.674072	0.4999984	4.745853	
0.042	-0.06804515	1.674072	0.4999984	4.745853	
0.0422	-0.06732703	1.674072	0.4999984	4.745853	
0.0424	-0.06667215	1.674072	0.4999984	4.745853	
0.0426	-0.06607509	1.674072	0.4999984	4.745853	
0.0428	-0.06553091	1.72041	0.4999984	11.36339	
0.043	-0.06503522	1.72041	0.4999984	11.36339	
0.0432	-0.064584	1.72041	0.4999984	11.36339	
0.0434	-0.06417366	1.72041	0.4999984	11.36339	
0.0436	-0.06380091	1.72041	0.4999984	11.36339	
0.0438	-0.06346279	1.807104	0.4999984	19.49245	
0.044	-0.06315657	1.807104	0.4999984	19.49245	
0.0442	-0.0628798	1.807104	0.4999984	19.49245	
0.0444	-0.06263022	1.807104	0.4999984	19.49245	
0.0446	-0.06240577	1.807104	0.4999984	19.49245	
0.0448	-0.06220457	1.932049	0.4999983	27.25118	
0.045	-0.06202489	1.932049	0.4999983	27.25118	
0.0452	-0.06186514	1.932049	0.4999983	27.25118	
0.0454	-0.06172387	1.932049	0.4999983	27.25118	
0.0456	-0.06159972	1.932049	0.4999983	27.25118	
0.0458	-0.06149147	2.086999	0.4999983	33.41114	
0.046	-0.06139797	2.086999	0.4999983	33.41114	
0.0462	-0.06131818	2.086999	0.4999983	33.41114	
0.0464	-0.06125111	2.086999	0.4999983	33.41114	
0.0466	-0.06119588	2.086999	0.4999983	33.41114	
0.0468	-0.06115165	2.261721	0.4999982	37.55941	
0.047	-0.06111765	2.261721	0.4999982	37.55941	
0.0472	-0.06109316	2.261721	0.4999982	37.55941	
0.0474	-0.06107752	2.261721	0.4999982	37.55941	
0.0476	-0.06107013	2.261721	0.4999982	37.55941	
0.0478	-0.0610704	2.44662	0.4999981	39.81903	
0.048	-0.06107781	2.44662	0.4999981	39.81903	
0.0482	-0.06109187	2.44662	0.4999981	39.81903	
0.0484	-0.0611121	2.44662	0.4999981	39.81903	
0.0486	-0.0611381	2.44662	0.4999981	39.81903	
0.0488	-0.06116946	2.634027	0.499998	40.54881	
0.049	-0.0612058	2.634027	0.499998	40.54881	
0.0492	-0.06124679	2.634027	0.499998	40.54881	
0.0494	-0.06129211	2.634027	0.499998	40.54881	
0.0496	-0.06134144	2.634027	0.499998	40.54881	
0.0498	-0.06139452	2.818282	0.4999979	40.15276	
0.05	-0.06145108	2.818282	0.4999979	40.15276	
0.0502	-0.06151088	2.818282	0.4999979	40.15276	
0.0504	-0.06157368	2.818282	0.4999979	40.15276	
0.0506	-0.06163929	2.818282	0.4999979	40.15276	
0.0508	-0.0617075	2.995541	0.4999978	38.98997	
0.051	-0.06177811	2.995541	0.4999978	38.98997	
