Time	MV	Tension	Length	A	
2.4876	-0.07132684	6.175995	0.4999916	4.717341	
2.4878	-0.0714086	6.15951	0.4999916	4.42401	
2.488	-0.07149014	6.15951	0.4999916	4.42401	
2.4882	-0.07157144	6.15951	0.4999916	4.42401	
2.4884	-0.07165251	6.15951	0.4999916	4.42401	
2.4886	-0.07173336	6.15951	0.4999916	4.42401	
2.4888	-0.07181396	6.141768	0.4999916	4.152078	
2.489	-0.07189435	6.141768	0.4999916	4.152078	
2.4892	-0.07197451	6.141768	0.4999916	4.152078	
2.4894	-0.07205445	6.141768	0.4999916	4.152078	
2.4896	-0.07213414	6.141768	0.4999916	4.152078	
2.4898	-0.07221363	6.122876	0.4999916	3.89979	
2.49	-0.07229289	6.122876	0.4999916	3.89979	
2.4902	-0.07237191	6.122876	0.4999916	3.89979	
2.4904	-0.07245072	6.122876	0.4999916	3.89979	
2.4906	-0.0725293	6.122876	0.4999916	3.89979	
2.4908	-0.07260767	6.102931	0.4999916	3.665555	
2.491	-0.07268581	6.102931	0.4999916	3.665555	
2.4912	-0.07276372	6.102931	0.4999916	3.665555	
2.4914	-0.07284141	6.102931	0.4999916	3.665555	
2.4916	-0.07291889	6.102931	0.4999916	3.665555	
2.4918	-0.07299615	6.082021	0.4999916	3.4479	
2.492	-0.07307318	6.082021	0.4999916	3.4479	
2.4922	-0.07314999	6.082021	0.4999916	3.4479	
2.4924	-0.07322659	6.082021	0.4999916	3.4479	
2.4926	-0.07330297	6.082021	0.4999916	3.4479	
2.4928	-0.07337914	6.060231	0.4999916	3.245489	
2.493	-0.07345508	6.060231	0.4999916	3.245489	
2.4932	-0.07353081	6.060231	0.4999916	3.245489	
2.4934	-0.07360632	6.060231	0.4999916	3.245489	
2.4936	-0.07368162	6.060231	0.4999916	3.245489	
2.4938	-0.0737567	6.037635	0.4999916	3.057121	
2.494	-0.07383157	6.037635	0.4999916	3.057121	
2.4942	-0.07390622	6.037635	0.4999916	3.057121	
2.4944	-0.07398066	6.037635	0.4999916	3.057121	
2.4946	-0.0740549	6.037635	0.4999916	3.057121	
2.4948	-0.07412891	6.014303	0.4999916	2.881677	
2.495	-0.07420272	6.014303	0.4999916	2.881677	
2.4952	-0.07427632	6.014303	0.4999916	2.881677	
2.4954	-0.07434971	6.014303	0.4999916	2.881677	
2.4956	-0.07442289	6.014303	0.4999916	2.881677	
2.4958	-0.07449586	5.990299	0.4999916	2.718147	
2.496	-0.07456862	5.990299	0.4999916	2.718147	
2.4962	-0.07464118	5.990299	0.4999916	2.718147	
2.4964	-0.07471352	5.990299	0.4999916	2.718147	
2.4966	-0.07478566	5.990299	0.4999916	2.718147	
2.4968	-0.07485761	5.965682	0.4999916	2.565606	
2.497	-0.07492933	5.965682	0.4999916	2.565606	
2.4972	-0.07500086	5.965682	0.4999916	2.565606	
2.4974	-0.07507219	5.965682	0.4999916	2.565606	
2.4976	-0.07514331	5.965682	0.4999916	2.565606	
2.4978	-0.07521422	5.940507	0.4999916	2.423204	
2.498	-0.07528494	5.940507	0.4999916	2.423204	
2.4982	-0.07535546	5.940507	0.4999916	2.423204	
2.4984	-0.07542577	5.940507	0.4999916	2.423204	
2.4986	-0.07549588	5.940507	0.4999916	2.423204	
2.4988	-0.07556579	5.914855	0.4999916	2.290166	
2.499	-0.0756355	5.914855	0.4999916	2.290166	
2.4992	-0.07570501	5.914855	0.4999916	2.290166	
2.4994	-0.07577432	5.914855	0.4999916	2.290166	
2.4996	-0.07584344	5.914855	0.4999916	2.290166	
2.4998	-0.07591236	5.888725	0.4999917	2.165783	
2.5	-0.07598108	5.888725	0.4999917	2.165783	
2.5002	-0.0760496	5.888725	0.4999917	2.165783	
2.5004	-0.07611793	5.888725	0.4999917	2.165783	
2.5006	-0.07618608	5.888725	0.4999917	2.165783	
2.5008	-0.07625401	5.862177	0.4999917	2.049418	
2.501	-0.07632177	5.862177	0.4999917	2.049418	
2.5012	-0.07638932	5.862177	0.4999917	2.049418	
2.5014	-0.07645668	5.862177	0.4999917	2.049418	
2.5016	-0.07652385	5.862177	0.4999917	2.049418	
2.5018	-0.07659083	5.835251	0.4999917	1.940462	
2.502	-0.07665762	5.835251	0.4999917	1.940462	
2.5022	-0.07672422	5.835251	0.4999917	1.940462	
2.5024	-0.07679062	5.835251	0.4999917	1.940462	
2.5026	-0.07685684	5.835251	0.4999917	1.940462	
2.5028	-0.07692287	5.807982	0.4999917	1.838374	
2.503	-0.07698872	5.807982	0.4999917	1.838374	
2.5032	-0.07705437	5.807982	0.4999917	1.838374	
2.5034	-0.07711983	5.807982	0.4999917	1.838374	
2.5036	-0.07718511	5.807982	0.4999917	1.838374	
2.5038	-0.0772502	5.780405	0.4999918	1.742649	
2.504	-0.07731511	5.780405	0.4999918	1.742649	
2.5042	-0.07737983	5.780405	0.4999918	1.742649	
2.5044	-0.07744437	5.780405	0.4999918	1.742649	
2.5046	-0.07750872	5.780405	0.4999918	1.742649	
2.5048	-0.07757289	5.752552	0.4999918	1.652835	
2.505	-0.07763688	5.752552	0.4999918	1.652835	
2.5052	-0.07770068	5.752552	0.4999918	1.652835	
2.5054	-0.0777643	5.752552	0.4999918	1.652835	
2.5056	-0.07782774	5.752552	0.4999918	1.652835	
2.5058	-0.07789101	5.724451	0.4999918	1.568504	
2.506	-0.07795408	5.724451	0.4999918	1.568504	
2.5062	-0.07801698	5.724451	0.4999918	1.568504	
2.5064	-0.07807971	5.724451	0.4999918	1.568504	
2.5066	-0.07814224	5.724451	0.4999918	1.568504	
2.5068	-0.0782046	5.696129	0.4999919	1.489267	
