Time	OdorSensor	Mouth	Eat	Food_Near	Energy	FoodQty	
0	12396.69	0	0	0	9999.8	0.4	
0.0004	12396.69	0	0	0	9999.6	0.8	
0.0008	12396.69	0	0	0	9999.399	1.2	
0.0012	12396.69	0	0	0	9999.199	1.6	
0.0016	12396.69	0	0	0	9998.999	2	
0.002	12396.69	0	0	0	9998.799	2.4	
0.0024	12396.69	0	0	0	9998.599	2.8	
0.0028	12396.69	0	0	0	9998.398	3.2	
0.0032	12396.69	0	0	0	9998.198	3.6	
0.0036	12396.69	0	0	0.02	9997.998	4	
0.004	12396.69	0	0	0.02	9997.798	4.4	
0.0044	12396.69	0	0	0.02	9997.598	4.8	
0.0048	12396.69	0	0	0.02	9997.397	5.2	
0.0052	12396.69	0	0	0.02	9997.197	5.6	
0.0056	12396.69	0	0.0004	0.03959999	9996.997	6	
0.006	12396.69	2E-06	0.0004	0.03959999	9996.797	6.400001	
0.0064	12396.69	2E-06	0.0004	0.03959999	9996.599	6.799999	
0.0068	12396.69	2E-06	0.0004	0.03959999	9996.4	7.199997	
0.0072	12396.69	2E-06	0.0004	0.03959999	9996.202	7.599995	
0.0076	12396.69	2E-06	0.001184	0.05880799	9996.004	7.999993	
0.007999999	12396.69	5.919998E-06	0.001184	0.05880799	9995.806	8.399991	
0.0084	12396.69	5.919998E-06	0.001184	0.05880799	9995.611	8.799985	
0.0088	12396.69	5.919998E-06	0.001184	0.05880799	9995.417	9.199979	
0.0092	12396.69	5.919998E-06	0.001184	0.05880799	9995.223	9.599973	
0.0096	12396.69	5.919998E-06	0.002336479	0.07763183	9995.028	9.999967	
0.01	12396.69	1.16824E-05	0.002336479	0.07763183	9994.834	10.39996	
0.0104	12396.69	1.16824E-05	0.002336479	0.07763183	9994.646	10.79995	
0.0108	12396.69	1.16824E-05	0.002336479	0.07763183	9994.457	11.19994	
0.0112	12396.69	1.16824E-05	0.002336479	0.07763183	9994.269	11.59993	
0.0116	12396.69	1.16824E-05	0.003842386	0.09607919	9994.08	11.99991	
0.012	12396.69	1.921193E-05	0.003842386	0.09607919	9993.892	12.3999	
0.0124	12396.69	1.921193E-05	0.003842386	0.09607919	9993.711	12.79988	
0.0128	12396.69	1.921193E-05	0.003842386	0.09607919	9993.53	13.19986	
0.0132	12396.69	1.921193E-05	0.003842386	0.09607919	9993.35	13.59984	
0.0136	12396.69	1.921193E-05	0.005687122	0.1141576	9993.169	13.99982	
0.014	12396.68	2.843561E-05	0.005687122	0.1141576	9992.988	14.3998	
0.0144	12396.68	2.843561E-05	0.005687122	0.1141576	9992.816	14.79978	
0.0148	12396.68	2.843561E-05	0.005687122	0.1141576	9992.645	15.19975	
0.0152	12396.68	2.843561E-05	0.005687122	0.1141576	9992.473	15.59972	
0.0156	12396.68	2.843561E-05	0.007856532	0.1318744	9992.301	15.99969	
0.016	12396.68	3.928266E-05	0.007856532	0.1318744	9992.129	16.39966	
0.0164	12396.68	3.928266E-05	0.007856532	0.1318744	9991.968	16.79962	
0.0168	12396.68	3.928266E-05	0.007856532	0.1318744	9991.807	17.19958	
0.0172	12396.68	3.928266E-05	0.007856532	0.1318744	9991.646	17.59954	
0.0176	12396.68	3.928266E-05	0.01033689	0.1492369	9991.484	17.9995	
0.018	12396.67	5.168445E-05	0.01033689	0.1492369	9991.323	18.39946	
0.0184	12396.67	5.168445E-05	0.01033689	0.1492369	9991.175	18.79941	
0.0188	12396.67	5.168445E-05	0.01033689	0.1492369	9991.026	19.19935	
0.0192	12396.67	5.168445E-05	0.01033689	0.1492369	9990.878	19.5993	
0.0196	12396.67	5.168445E-05	0.01311489	0.1662522	9990.729	19.99925	
0.02	12396.66	6.557446E-05	0.01311489	0.1662522	9990.581	20.3992	
0.0204	12396.66	6.557446E-05	0.01311489	0.1662522	9990.446	20.79913	
0.0208	12396.65	6.557446E-05	0.01311489	0.1662522	9990.312	21.19907	
0.0212	12396.65	6.557446E-05	0.01311489	0.1662522	9990.177	21.599	
0.0216	12396.64	6.557446E-05	0.01617764	0.1829272	9990.042	21.99894	
0.022	12396.63	8.088819E-05	0.01617764	0.1829272	9989.907	22.39887	
0.0224	12396.63	8.088819E-05	0.01617764	0.1829272	9989.788	22.79879	
0.0228	12396.62	8.088819E-05	0.01617764	0.1829272	9989.669	23.19871	
0.0232	12396.61	8.088819E-05	0.01617764	0.1829272	9989.55	23.59863	
0.0236	12396.61	8.088819E-05	0.01951263	0.1992686	9989.431	23.99855	
0.024	12396.6	9.756313E-05	0.01951263	0.1992686	9989.312	24.39847	
0.0244	12396.59	9.756313E-05	0.01951263	0.1992686	9989.209	24.79837	
0.0248	12396.58	9.756313E-05	0.01951263	0.1992686	9989.106	25.19827	
0.0252	12396.57	9.756313E-05	0.01951263	0.1992686	9989.004	25.59818	
0.0256	12396.56	9.756313E-05	0.02310775	0.2152833	9988.901	25.99808	
0.026	12396.56	0.0001155387	0.02310775	0.2152833	9988.799	26.39798	
0.0264	12396.54	0.0001155387	0.02310775	0.2152833	9988.714	26.79786	
0.0268	12396.54	0.0001155387	0.02310775	0.2152833	9988.629	27.19775	
0.0272	12396.52	0.0001155387	0.02310775	0.2152833	9988.544	27.59763	
0.0276	12396.51	0.0001155387	0.02695126	0.2309776	9988.459	27.99751	
0.028	12396.49	0.0001347563	0.02695126	0.2309776	9988.374	28.3974	
0.0284	12396.48	0.0001347563	0.02695126	0.2309776	9988.309	28.79726	
0.0288	12396.46	0.0001347563	0.02695126	0.2309776	9988.243	29.19713	
0.0292	12396.44	0.0001347563	0.02695126	0.2309776	9988.178	29.59699	
0.0296	12396.43	0.0001347563	0.03103178	0.246358	9988.112	29.99685	
0.03	12396.41	0.0001551589	0.03103178	0.246358	9988.047	30.39672	
0.0304	12396.39	0.0001551589	0.03103178	0.246358	9988.002	30.79656	
0.0308	12396.38	0.0001551589	0.03103178	0.246358	9987.957	31.19641	
0.0312	12396.35	0.0001551589	0.03103178	0.246358	9987.912	31.59625	
0.0316	12396.33	0.0001551589	0.03533831	0.2614309	9987.867	31.9961	
0.032	12396.3	0.0001766915	0.03533831	0.2614309	9987.822	32.39595	
0.0324	12396.28	0.0001766915	0.03533831	0.2614309	9987.799	32.79577	
0.0328	12396.25	0.0001766915	0.03533831	0.2614309	9987.775	33.1956	
0.0332	12396.22	0.0001766915	0.03533831	0.2614309	9987.752	33.59542	
0.0336	12396.2	0.0001766915	0.03986016	0.2762023	9987.729	33.99525	
0.034	12396.17	0.0001993008	0.03986016	0.2762023	9987.705	34.39508	
0.0344	12396.14	0.0001993008	0.03986016	0.2762023	9987.704	34.79488	
0.0348	12396.11	0.0001993008	0.03986016	0.2762023	9987.703	35.19468	
0.0352	12396.08	0.0001993008	0.03986016	0.2762023	9987.702	35.59449	
0.0356	12396.05	0.0001993008	0.044587	0.2906782	9987.701	35.99429	
0.036	12396.01	0.000222935	0.044587	0.2906782	9987.7	36.39409	
0.0364	12395.98	0.000222935	0.044587	0.2906782	9987.723	36.79387	
0.0368	12395.95	0.000222935	0.044587	0.2906782	9987.745	37.19365	
0.0372	12395.91	0.000222935	0.044587	0.2906782	9987.768	37.59343	
0.0376	12395.88	0.000222935	0.04950883	0.3048646	9987.79	37.99321	
0.038	12395.83	0.0002475441	0.04950883	0.3048646	9987.813	38.39299	
0.0384	12395.79	0.0002475441	0.04950883	0.3048646	9987.859	38.79275	
0.0388	12395.74	0.0002475441	0.04950883	0.3048646	9987.906	39.1925	
0.0392	12395.7	0.0002475441	0.04950883	0.3048646	9987.953	39.59225	
0.0396	12395.65	0.0002475441	0.05461594	0.3187674	9988	39.99201	
0.04	12395.6	0.0002730797	0.05461594	0.3187674	9988.047	40.39176	
0.0404	12395.56	0.0002730797	0.05461594	0.3187674	9988.12	40.79149	
0.0408	12395.5	0.0002730797	0.05461594	0.3187674	9988.193	41.19122	
0.0412	12395.45	0.0002730797	0.05461594	0.3187674	9988.267	41.59094	
0.0416	12395.4	0.0002730797	0.05989898	0.332392	9988.34	41.99067	
0.042	12395.35	0.0002994949	0.05989898	0.332392	9988.413	42.3904	
0.0424	12395.29	0.0002994949	0.05989898	0.332392	9988.513	42.7901	
0.0428	12395.23	0.0002994949	0.05989898	0.332392	9988.612	43.1898	
0.0432	12395.16	0.0002994949	0.05989898	0.332392	9988.712	43.5895	
0.0436	12395.1	0.0002994949	0.06534883	0.3457442	9988.812	43.9892	
0.044	12395.04	0.0003267442	0.06534883	0.3457442	9988.911	44.3889	
0.0444	12394.97	0.0003267442	0.06534883	0.3457442	9989.038	44.78857	
0.0448	12394.9	0.0003267442	0.06534883	0.3457442	9989.165	45.18824	
0.0452	12394.83	0.0003267442	0.06534883	0.3457442	9989.292	45.58792	
0.0456	12394.76	0.0003267442	0.07095674	0.3588293	9989.419	45.98759	
0.046	12394.68	0.0003547837	0.07095674	0.3588293	9989.546	46.38726	
0.0464	12394.6	0.0003547837	0.07095674	0.3588293	9989.7	46.78691	
0.0468	12394.52	0.0003547837	0.07095674	0.3588293	9989.854	47.18656	
0.0472	12394.44	0.0003547837	0.07095674	0.3588293	9990.009	47.5862	
0.0476	12394.36	0.0003547837	0.0767142	0.3716527	9990.163	47.98585	
0.048	12394.27	0.000383571	0.0767142	0.3716527	9990.317	48.3855	
0.0484	12394.18	0.000383571	0.0767142	0.3716527	9990.501	48.78511	
0.0488	12394.09	0.000383571	0.0767142	0.3716527	9990.685	49.18473	
0.0492	12394	0.000383571	0.0767142	0.3716527	9990.868	49.58435	
0.0496	12393.91	0.000383571	0.08261297	0.3842196	9991.052	49.98396	
0.05	12393.81	0.0004130648	0.08261297	0.3842196	9991.235	50.38358	
0.0504	12393.71	0.0004130648	0.08261297	0.3842196	9991.448	50.78317	
0.0508	12393.61	0.0004130648	0.08261297	0.3842196	9991.661	51.18276	
0.0512	12393.5	0.0004130648	0.08261297	0.3842196	9991.874	51.58235	
0.0516	12393.39	0.0004130648	0.0886451	0.3965352	9992.087	51.98194	
0.052	12393.28	0.0004432255	0.0886451	0.3965352	9992.3	52.38153	
0.0524	12393.16	0.0004432255	0.0886451	0.3965352	9992.543	52.78109	
0.0528	12393.05	0.0004432255	0.0886451	0.3965352	9992.786	53.18064	
0.0532	12392.92	0.0004432255	0.0886451	0.3965352	9993.029	53.5802	
0.0536	12392.8	0.0004432255	0.0948029	0.4086046	9993.272	53.97976	
0.054	12392.67	0.0004740145	0.0948029	0.4086046	9993.516	54.37932	
0.0544	12392.54	0.0004740145	0.0948029	0.4086046	9993.789	54.77885	
0.0548	12392.41	0.0004740145	0.0948029	0.4086046	9994.063	55.17838	
0.0552	12392.28	0.0004740145	0.0948029	0.4086046	9994.336	55.57791	
0.0556	12392.13	0.0004740145	0.1010789	0.4204324	9994.609	55.97744	
0.056	12391.99	0.0005053947	0.1010789	0.4204324	9994.883	56.37696	
0.0564	12391.85	0.0005053947	0.1010789	0.4204324	9995.188	56.77646	
0.0568	12391.7	0.0005053947	0.1010789	0.4204324	9995.494	57.17596	
0.0572	12391.55	0.0005053947	0.1010789	0.4204324	9995.8	57.57546	
0.0576	12391.4	0.0005053947	0.107466	0.4320238	9996.105	57.97496	
0.058	12391.24	0.00053733	0.107466	0.4320238	9996.411	58.37445	
0.0584	12391.08	0.00053733	0.107466	0.4320238	9996.748	58.77392	
0.0588	12390.91	0.00053733	0.107466	0.4320238	9997.085	59.17338	
0.0592	12390.74	0.00053733	0.107466	0.4320238	9997.422	59.57285	
0.0596	12390.57	0.00053733	0.1139572	0.4433833	9997.759	59.97231	
0.06	12390.39	0.0005697858	0.1139572	0.4433833	9998.096	60.37177	
0.0604	12390.21	0.0005697858	0.1139572	0.4433833	9998.465	60.77121	
0.0608	12390.02	0.0005697858	0.1139572	0.4433833	9998.834	61.17064	
0.0612	12389.83	0.0005697858	0.1139572	0.4433833	9999.203	61.57007	
0.0616	12389.64	0.0005697858	0.1205457	0.4545157	9999.572	61.96951	
0.062	12389.45	0.0006027284	0.1205457	0.4545157	9999.941	62.36894	
0.0624	12389.25	0.0006027284	0.1205457	0.4545157	10000.34	62.76834	
0.0628	12389.04	0.0006027284	0.1205457	0.4545157	10000.75	63.16774	
0.0632	12388.84	0.0006027284	0.1205457	0.4545157	10001.15	63.56713	
0.0636	12388.62	0.0006027284	0.1272251	0.4654254	10001.55	63.96653	
0.064	12388.4	0.0006361254	0.1272251	0.4654254	10001.95	64.36593	
0.06439999	12388.18	0.0006361254	0.1272251	0.4654254	10002.39	64.7653	
0.0648	12387.96	0.0006361254	0.1272251	0.4654254	10002.82	65.16467	
0.0652	12387.73	0.0006361254	0.1272251	0.4654254	10003.26	65.56403	
0.0656	12387.5	0.0006361254	0.1339891	0.4761169	10003.7	65.9634	
0.066	12387.26	0.0006699454	0.1339891	0.4761169	10004.13	66.36277	
0.0664	12387.01	0.0006699454	0.1339891	0.4761169	10004.6	66.7621	
0.0668	12386.76	0.0006699454	0.1339891	0.4761169	10005.07	67.16143	
0.0672	12386.51	0.0006699454	0.1339891	0.4761169	10005.54	67.56076	
0.0676	12386.26	0.0006699454	0.1408316	0.4865946	10006.01	67.96009	
0.068	12385.99	0.0007041582	0.1408316	0.4865946	10006.48	68.35942	
0.0684	12385.73	0.0007041582	0.1408316	0.4865946	10006.98	68.75872	
0.06879999	12385.46	0.0007041582	0.1408316	0.4865946	10007.49	69.15802	
0.0692	12385.18	0.0007041582	0.1408316	0.4865946	10007.99	69.55732	
0.0696	12384.9	0.0007041582	0.1477469	0.4968626	10008.5	69.95662	
0.07	12384.61	0.0007387345	0.1477469	0.4968626	10009	70.35592	
