Time	OdorSensor	Mouth	Eat	Food_Near	Energy	
0.0336	8888.676	0.0001766915	0.03986016	0.2762023	10003.08	
0.034	8888.663	0.0001993008	0.03986016	0.2762023	10003.24	
0.0344	8888.648	0.0001993008	0.03986016	0.2762023	10003.42	
0.0348	8888.637	0.0001993008	0.03986016	0.2762023	10003.6	
0.0352	8888.623	0.0001993008	0.03986016	0.2762023	10003.78	
0.0356	8888.609	0.0001993008	0.044587	0.2906782	10003.96	
0.036	8888.595	0.000222935	0.044587	0.2906782	10004.14	
0.0364	8888.58	0.000222935	0.044587	0.2906782	10004.34	
0.0368	8888.564	0.000222935	0.044587	0.2906782	10004.55	
0.0372	8888.55	0.000222935	0.044587	0.2906782	10004.75	
0.0376	8888.535	0.000222935	0.04950883	0.3048646	10004.95	
0.038	8888.516	0.0002475441	0.04950883	0.3048646	10005.16	
0.0384	8888.496	0.0002475441	0.04950883	0.3048646	10005.38	
0.0388	8888.477	0.0002475441	0.04950883	0.3048646	10005.61	
0.0392	8888.457	0.0002475441	0.04950883	0.3048646	10005.84	
0.0396	8888.437	0.0002475441	0.05461594	0.3187674	10006.07	
0.04	8888.416	0.0002730797	0.05461594	0.3187674	10006.29	
0.0404	8888.395	0.0002730797	0.05461594	0.3187674	10006.55	
0.0408	8888.374	0.0002730797	0.05461594	0.3187674	10006.8	
0.0412	8888.352	0.0002730797	0.05461594	0.3187674	10007.06	
0.0416	8888.329	0.0002730797	0.05989898	0.332392	10007.31	
0.042	8888.306	0.0002994949	0.05989898	0.332392	10007.56	
0.0424	8888.28	0.0002994949	0.05989898	0.332392	10007.84	
0.0428	8888.253	0.0002994949	0.05989898	0.332392	10008.12	
0.0432	8888.227	0.0002994949	0.05989898	0.332392	10008.4	
0.0436	8888.198	0.0002994949	0.06534883	0.3457442	10008.68	
0.044	8888.171	0.0003267442	0.06534883	0.3457442	10008.96	
0.0444	8888.143	0.0003267442	0.06534883	0.3457442	10009.27	
0.0448	8888.111	0.0003267442	0.06534883	0.3457442	10009.58	
0.0452	8888.081	0.0003267442	0.06534883	0.3457442	10009.89	
0.0456	8888.05	0.0003267442	0.07095674	0.3588293	10010.2	
0.046	8888.018	0.0003547837	0.07095674	0.3588293	10010.5	
0.0464	8887.984	0.0003547837	0.07095674	0.3588293	10010.84	
0.0468	8887.948	0.0003547837	0.07095674	0.3588293	10011.17	
0.0472	8887.914	0.0003547837	0.07095674	0.3588293	10011.51	
0.0476	8887.878	0.0003547837	0.0767142	0.3716527	10011.84	
0.048	8887.838	0.000383571	0.0767142	0.3716527	10012.18	
0.0484	8887.799	0.000383571	0.0767142	0.3716527	10012.54	
0.0488	8887.762	0.000383571	0.0767142	0.3716527	10012.91	
0.0492	8887.721	0.000383571	0.0767142	0.3716527	10013.27	
0.0496	8887.679	0.000383571	0.08261297	0.3842196	10013.63	
0.05	8887.637	0.0004130648	0.08261297	0.3842196	10014	
0.0504	8887.594	0.0004130648	0.08261297	0.3842196	10014.39	
0.0508	8887.55	0.0004130648	0.08261297	0.3842196	10014.79	
0.0512	8887.507	0.0004130648	0.08261297	0.3842196	10015.18	
0.0516	8887.458	0.0004130648	0.0886451	0.3965352	10015.57	
0.052	8887.41	0.0004432255	0.0886451	0.3965352	10015.97	
0.0524	8887.357	0.0004432255	0.0886451	0.3965352	10016.39	
0.0528	8887.307	0.0004432255	0.0886451	0.3965352	10016.81	
0.0532	8887.255	0.0004432255	0.0886451	0.3965352	10017.24	
0.0536	8887.199	0.0004432255	0.0948029	0.4086046	10017.66	
0.054	8887.146	0.0004740145	0.0948029	0.4086046	10018.09	
0.0544	8887.089	0.0004740145	0.0948029	0.4086046	10018.54	
0.0548	8887.033	0.0004740145	0.0948029	0.4086046	10018.99	
0.0552	8886.974	0.0004740145	0.0948029	0.4086046	10019.45	
0.0556	8886.911	0.0004740145	0.1010789	0.4204324	10019.9	
0.056	8886.854	0.0005053947	0.1010789	0.4204324	10020.36	
0.0564	8886.79	0.0005053947	0.1010789	0.4204324	10020.84	
0.0568	8886.728	0.0005053947	0.1010789	0.4204324	10021.33	
0.0572	8886.663	0.0005053947	0.1010789	0.4204324	10021.82	
0.0576	8886.595	0.0005053947	0.107466	0.4320238	10022.3	
0.058	8886.527	0.00053733	0.107466	0.4320238	10022.79	
0.0584	8886.457	0.00053733	0.107466	0.4320238	10023.31	
0.0588	8886.386	0.00053733	0.107466	0.4320238	10023.82	
0.0592	8886.313	0.00053733	0.107466	0.4320238	10024.34	
0.0596	8886.236	0.00053733	0.1139572	0.4433833	10024.86	
0.06	8886.16	0.0005697858	0.1139572	0.4433833	10025.38	
0.0604	8886.081	0.0005697858	0.1139572	0.4433833	10025.93	
0.0608	8886.001	0.0005697858	0.1139572	0.4433833	10026.48	
0.0612	8885.919	0.0005697858	0.1139572	0.4433833	10027.03	
0.0616	8885.837	0.0005697858	0.1205457	0.4545157	10027.58	
0.062	8885.753	0.0006027284	0.1205457	0.4545157	10028.13	
0.0624	8885.665	0.0006027284	0.1205457	0.4545157	10028.71	
0.0628	8885.575	0.0006027284	0.1205457	0.4545157	10029.29	
0.0632	8885.487	0.0006027284	0.1205457	0.4545157	10029.87	
0.0636	8885.394	0.0006027284	0.1272251	0.4654254	10030.46	
0.064	8885.298	0.0006361254	0.1272251	0.4654254	10031.04	
0.06439999	8885.203	0.0006361254	0.1272251	0.4654254	10031.66	
0.0648	8885.106	0.0006361254	0.1272251	0.4654254	10032.27	
0.0652	8885.008	0.0006361254	0.1272251	0.4654254	10032.89	
0.0656	8884.906	0.0006361254	0.1339891	0.4761169	10033.5	
0.066	8884.804	0.0006699454	0.1339891	0.4761169	10034.12	
0.0664	8884.695	0.0006699454	0.1339891	0.4761169	10034.77	
0.0668	8884.589	0.0006699454	0.1339891	0.4761169	10035.42	
0.0672	8884.479	0.0006699454	0.1339891	0.4761169	10036.07	
0.0676	8884.368	0.0006699454	0.1408316	0.4865946	10036.72	
0.068	8884.255	0.0007041582	0.1408316	0.4865946	10037.37	
0.0684	8884.139	0.0007041582	0.1408316	0.4865946	10038.06	
0.06879999	8884.019	0.0007041582	0.1408316	0.4865946	10038.74	
0.0692	8883.899	0.0007041582	0.1408316	0.4865946	10039.43	
0.0696	8883.778	0.0007041582	0.1477469	0.4968626	10040.11	
0.07	8883.653	0.0007387345	0.1477469	0.4968626	10040.8	
0.0704	8883.527	0.0007387345	0.1477469	0.4968626	10041.51	
0.0708	8883.399	0.0007387345	0.1477469	0.4968626	10042.23	
0.0712	8883.27	0.0007387345	0.1477469	0.4968626	10042.95	
0.0716	8883.134	0.0007387345	0.1547292	0.5069254	10043.67	
0.072	8882.997	0.0007736461	0.1547292	0.5069254	10044.39	
0.0724	8882.861	0.0007736461	0.1547292	0.5069254	10045.14	
0.0728	8882.72	0.0007736461	0.1547292	0.5069254	10045.9	
0.07319999	8882.577	0.0007736461	0.1547292	0.5069254	10046.65	
0.0736	8882.431	0.0007736461	0.1617731	0.5167869	10047.41	
0.074	8882.282	0.0008088656	0.1617731	0.5167869	10048.16	
0.0744	8882.133	0.0008088656	0.1617731	0.5167869	10048.95	
0.0748	8881.978	0.0008088656	0.1617731	0.5167869	10049.74	
0.0752	8881.825	0.0008088656	0.1617731	0.5167869	10050.53	
0.0756	8881.669	0.0008088656	0.1688734	0.5264511	10051.32	
0.076	8881.506	0.000844367	0.1688734	0.5264511	10052.1	
0.0764	8881.344	0.000844367	0.1688734	0.5264511	10052.93	
0.0768	8881.178	0.000844367	0.1688734	0.5264511	10053.75	
0.0772	8881.009	0.000844367	0.1688734	0.5264511	10054.58	
0.07759999	8880.839	0.000844367	0.176025	0.5359221	10055.41	
0.078	8880.663	0.0008801247	0.176025	0.5359221	10056.23	
0.0784	8880.487	0.0008801247	0.176025	0.5359221	10057.09	
0.0788	8880.307	0.0008801247	0.176025	0.5359221	10057.95	
0.0792	8880.125	0.0008801247	0.176025	0.5359221	10058.81	
0.0796	8879.94	0.0008801247	0.1832229	0.5452037	10059.67	
0.08	8879.753	0.0009161145	0.1832229	0.5452037	10060.53	
0.0804	8879.562	0.0009161145	0.1832229	0.5452037	10061.43	
0.0808	8879.367	0.0009161145	0.1832229	0.5452037	10062.33	
0.0812	8879.172	0.0009161145	0.1832229	0.5452037	10063.22	
0.0816	8878.973	0.0009161145	0.1904625	0.5542996	10064.12	
0.08199999	8878.771	0.0009523126	0.1904625	0.5542996	10065.01	
0.0824	8878.564	0.0009523126	0.1904625	0.5542996	10065.95	
0.0828	8878.357	0.0009523126	0.1904625	0.5542996	10066.88	
0.0832	8878.144	0.0009523126	0.1904625	0.5542996	10067.81	
0.0836	8877.929	0.0009523126	0.1977393	0.5632136	10068.75	
0.084	8877.709	0.0009886964	0.1977393	0.5632136	10069.68	
0.0844	8877.49	0.0009886964	0.1977393	0.5632136	10070.65	
0.0848	8877.266	0.0009886964	0.1977393	0.5632136	10071.62	
0.0852	8877.038	0.0009886964	0.1977393	0.5632136	10072.58	
0.0856	8876.808	0.0009886964	0.2050488	0.5719494	10073.55	
0.086	8876.572	0.001025244	0.2050488	0.5719494	10074.52	
0.08639999	8876.332	0.001025244	0.2050488	0.5719494	10075.53	
0.08679999	8876.092	0.001025244	0.2050488	0.5719494	10076.53	
0.0872	8875.845	0.001025244	0.2050488	0.5719494	10077.54	
0.0876	8875.597	0.001025244	0.2123868	0.5805104	10078.54	
0.088	8875.347	0.001061934	0.2123868	0.5805104	10079.55	
0.0884	8875.091	0.001061934	0.2123868	0.5805104	10080.59	
0.0888	8874.835	0.001061934	0.2123868	0.5805104	10081.63	
0.0892	8874.571	0.001061934	0.2123868	0.5805104	10082.68	
0.0896	8874.309	0.001061934	0.2197492	0.5889002	10083.72	
0.09	8874.039	0.001098746	0.2197492	0.5889002	10084.76	
0.0904	8873.767	0.001098746	0.2197492	0.5889002	10085.84	
0.09079999	8873.489	0.001098746	0.2197492	0.5889002	10086.92	
0.09119999	8873.208	0.001098746	0.2197492	0.5889002	10088	
0.0916	8872.922	0.001098746	0.2271323	0.5971222	10089.08	
0.092	8872.634	0.001135661	0.2271323	0.5971222	10090.16	
0.0924	8872.34	0.001135661	0.2271323	0.5971222	10091.27	
0.0928	8872.046	0.001135661	0.2271323	0.5971222	10092.39	
0.0932	8871.745	0.001135661	0.2271323	0.5971222	10093.5	
0.0936	8871.438	0.001135661	0.2345321	0.6051797	10094.62	
0.094	8871.134	0.00117266	0.2345321	0.6051797	10095.74	
0.0944	8870.824	0.00117266	0.2345321	0.6051797	10096.89	
0.0948	8870.508	0.00117266	0.2345321	0.6051797	10098.04	
0.09519999	8870.192	0.00117266	0.2345321	0.6051797	10099.2	
0.09559999	8869.869	0.00117266	0.241945	0.6130762	10100.35	
0.096	8869.541	0.001209725	0.241945	0.6130762	10101.5	
0.0964	8869.211	0.001209725	0.241945	0.6130762	10102.69	
0.0968	8868.876	0.001209725	0.241945	0.6130762	10103.88	
0.0972	8868.536	0.001209725	0.241945	0.6130762	10105.08	
0.0976	8868.193	0.001209725	0.2493677	0.6208146	10106.27	
0.098	8867.846	0.001246838	0.2493677	0.6208146	10107.46	
0.0984	8867.49	0.001246838	0.2493677	0.6208146	10108.68	
0.0988	8867.132	0.001246838	0.2493677	0.6208146	10109.91	
0.0992	8866.77	0.001246838	0.2493677	0.6208146	10111.14	
0.09959999	8866.404	0.001246838	0.2567966	0.6283984	10112.37	
0.09999999	8866.032	0.001283983	0.2567966	0.6283984	10113.59	
0.1004	8865.656	0.001283983	0.2567966	0.6283984	10114.86	
0.1008	8865.278	0.001283983	0.2567966	0.6283984	10116.12	
0.1012	8864.893	0.001283983	0.2567966	0.6283984	10117.39	
0.1016	8864.504	0.001283983	0.2642286	0.6358304	10118.65	
0.102	8864.112	0.001321143	0.2642286	0.6358304	10119.92	
0.1024	8863.712	0.001321143	0.2642286	0.6358304	10121.22	
0.1028	8863.309	0.001321143	0.2642286	0.6358304	10122.52	
0.1032	8862.901	0.001321143	0.2642286	0.6358304	10123.82	
0.1036	8862.489	0.001321143	0.2716607	0.6431138	10125.12	
0.104	8862.07	0.001358303	0.2716607	0.6431138	10126.43	
0.1044	8861.646	0.001358303	0.2716607	0.6431138	10127.76	
0.1048	8861.221	0.001358303	0.2716607	0.6431138	10129.1	
0.1052	8860.788	0.001358303	0.2716607	0.6431138	10130.44	
0.1056	8860.351	0.001358303	0.2790897	0.6502515	10131.78	
0.106	8859.909	0.001395449	0.2790897	0.6502515	10133.12	
0.1064	8859.463	0.001395449	0.2790897	0.6502515	10134.5	
0.1068	8859.016	0.001395449	0.2790897	0.6502515	10135.87	
0.1072	8858.56	0.001395449	0.2790897	0.6502515	10137.25	
0.1076	8858.101	0.001395449	0.2865129	0.6572465	10138.62	
0.108	8857.634	0.001432565	0.2865129	0.6572465	10140	
0.1084	8857.162	0.001432565	0.2865129	0.6572465	10141.41	
0.1088	8856.687	0.001432565	0.2865129	0.6572465	10142.83	
0.1092	8856.204	0.001432565	0.2865129	0.6572465	10144.24	
0.1096	8855.718	0.001432565	0.2939276	0.6641015	10145.65	
0.11	8855.227	0.001469638	0.2939276	0.6641015	10147.07	
