Time	MV	Muscle2	
5.5606	-0.06647295	13.76432	
5.5608	-0.06656703	13.7802	
5.561	-0.06666095	13.7802	
5.5612	-0.06675469	13.7802	
5.5614	-0.06684825	13.7802	
5.5616	-0.06694163	13.7802	
5.5618	-0.06703482	13.78938	
5.562	-0.06712782	13.78938	
5.5622	-0.06722061	13.78938	
5.5624	-0.0673132	13.78938	
5.5626	-0.06740559	13.78938	
5.5628	-0.06749776	13.79229	
5.563	-0.06758972	13.79229	
5.5632	-0.06768148	13.79229	
5.5634	-0.06777301	13.79229	
5.5636	-0.06786433	13.79229	
5.5638	-0.06795541	13.78952	
5.564	-0.06804629	13.78952	
5.5642	-0.06813693	13.78952	
5.5644	-0.06822736	13.78952	
5.5646	-0.06831755	13.78952	
5.5648	-0.06840751	13.7815	
5.565	-0.06849726	13.7815	
5.5652	-0.06858676	13.7815	
5.5654	-0.06867603	13.7815	
5.5656	-0.06876507	13.7815	
5.5658	-0.06885388	13.7687	
5.566	-0.06894246	13.7687	
5.5662	-0.0690308	13.7687	
5.5664	-0.0691189	13.7687	
5.5666	-0.06920677	13.7687	
5.5668	-0.0692944	13.75148	
5.567	-0.0693818	13.75148	
5.5672	-0.06946895	13.75148	
5.5674	-0.06955588	13.75148	
5.5676	-0.06964257	13.75148	
5.5678	-0.06972902	13.7302	
5.568	-0.06981523	13.7302	
5.5682	-0.06990121	13.7302	
5.5684	-0.06998695	13.7302	
5.5686	-0.07007245	13.7302	
5.5688	-0.07015771	13.70521	
5.569	-0.07024276	13.70521	
5.5692	-0.07032754	13.70521	
5.5694	-0.07041211	13.70521	
5.5696	-0.07049644	13.70521	
5.5698	-0.07058053	13.67681	
5.57	-0.07066438	13.67681	
5.5702	-0.07074801	13.67681	
5.5704	-0.0708314	13.67681	
5.5706	-0.07091455	13.67681	
5.5708	-0.07099748	13.64528	
5.571	-0.07108016	13.64528	
5.5712	-0.07116262	13.64528	
5.5714	-0.07124484	13.64528	
5.5716	-0.07132684	13.64528	
5.5718	-0.0714086	13.61089	
5.572	-0.07149014	13.61089	
5.5722	-0.07157144	13.61089	
5.5724	-0.07165251	13.61089	
5.5726	-0.07173336	13.61089	
5.5728	-0.07181396	13.57387	
5.573	-0.07189435	13.57387	
5.5732	-0.07197451	13.57387	
5.5734	-0.07205445	13.57387	
5.5736	-0.07213414	13.57387	
5.5738	-0.07221363	13.53445	
5.574	-0.07229289	13.53445	
5.5742	-0.07237191	13.53445	
5.5744	-0.07245072	13.53445	
5.5746	-0.0725293	13.53445	
5.5748	-0.07260767	13.49282	
5.575	-0.07268581	13.49282	
5.5752	-0.07276372	13.49282	
5.5754	-0.07284141	13.49282	
5.5756	-0.07291889	13.49282	
5.5758	-0.07299615	13.44918	
5.576	-0.07307318	13.44918	
5.5762	-0.07314999	13.44918	
5.5764	-0.07322659	13.44918	
5.5766	-0.07330297	13.44918	
5.5768	-0.07337914	13.40369	
5.577	-0.07345508	13.40369	
5.5772	-0.07353081	13.40369	
5.5774	-0.07360632	13.40369	
5.5776	-0.07368162	13.40369	
5.5778	-0.0737567	13.35652	
5.578	-0.07383157	13.35652	
5.5782	-0.07390622	13.35652	
5.5784	-0.07398066	13.35652	
5.5786	-0.0740549	13.35652	
5.5788	-0.07412891	13.3078	
5.579	-0.07420272	13.3078	
5.5792	-0.07427632	13.3078	
5.5794	-0.07434971	13.3078	
5.5796	-0.07442289	13.3078	
5.5798	-0.07449586	13.25767	
5.58	-0.07456862	13.25767	
5.5802	-0.07464118	13.25767	
5.5804	-0.07471352	13.25767	
5.5806	-0.07478566	13.25767	
5.5808	-0.07485761	13.20626	
5.581	-0.07492933	13.20626	
5.5812	-0.07500086	13.20626	
5.5814	-0.07507219	13.20626	
5.5816	-0.07514331	13.20626	
5.5818	-0.07521422	13.15371	
5.582	-0.07528494	13.15371	
5.5822	-0.07535546	13.15371	
5.5824	-0.07542577	13.15371	
