Time	Root_Y	
0	0	
0.001	-9.810002E-06	
0.002	-2.943001E-05	
0.003	-5.886001E-05	
0.004	-9.810001E-05	
0.005	-0.00014715	
0.006000001	-0.0002060101	
0.007000001	-0.0002746801	
0.008	-0.0003531601	
0.009000001	-0.0004414501	
0.01	-0.0005395501	
0.011	-0.0006474601	
0.012	-0.0007651802	
0.013	-0.0008927101	
0.014	-0.00103005	
0.015	-0.0011772	
0.016	-0.00133416	
0.017	-0.00150093	
0.018	-0.00167751	
0.019	-0.0018639	
0.02	-0.0020601	
0.021	-0.00226611	
0.022	-0.00248193	
0.023	-0.00270756	
0.024	-0.002943001	
0.025	-0.003188251	
0.026	-0.003443311	
0.027	-0.003708181	
0.028	-0.003982861	
0.029	-0.004267351	
0.03	-0.004561651	
0.031	-0.004865761	
0.032	-0.005179681	
0.033	-0.005503411	
0.034	-0.005836951	
0.035	-0.006180301	
0.03599999	-0.006533461	
0.03699999	-0.006896431	
0.03799999	-0.007269211	
0.03899999	-0.007651802	
0.03999999	-0.008044201	
0.04099999	-0.008446411	
0.04199998	-0.008858431	
0.04299998	-0.009280262	
0.04399998	-0.009711902	
0.04499998	-0.01015335	
0.04599998	-0.01060461	
0.04699998	-0.01106568	
0.04799997	-0.01153656	
0.04899997	-0.01201725	
0.04999997	-0.01250775	
0.05099997	-0.01300806	
0.05199997	-0.01351818	
0.05299997	-0.01403811	
0.05399996	-0.01456785	
0.05499996	-0.0151074	
0.05599996	-0.01565676	
0.05699996	-0.01621593	
0.05799996	-0.01678491	
0.05899996	-0.0173637	
0.05999995	-0.0179523	
0.06099995	-0.01855071	
0.06199995	-0.01915893	
0.06299995	-0.01977696	
0.06399995	-0.0204048	
0.06499995	-0.02104245	
0.06599995	-0.02168991	
0.06699996	-0.02234718	
0.06799996	-0.02301426	
0.06899996	-0.02369115	
0.06999996	-0.02437785	
0.07099997	-0.02507436	
0.07199997	-0.02578068	
0.07299997	-0.02649681	
0.07399997	-0.02722276	
0.07499997	-0.0279585	
0.07599998	-0.02870407	
0.07699998	-0.02945944	
0.07799998	-0.03022462	
0.07899998	-0.0309996	
0.07999998	-0.03178441	
0.08099999	-0.03257902	
0.08199999	-0.03338344	
0.08299999	-0.03419767	
0.08399999	-0.0350217	
0.08499999	-0.03585556	
0.086	-0.03669922	
0.087	-0.03755268	
0.088	-0.03841596	
0.089	-0.03928906	
0.09	-0.04017196	
0.09100001	-0.04106467	
0.09200001	-0.04196719	
0.09300001	-0.04287952	
0.09400001	-0.04380166	
0.09500001	-0.04473361	
0.09600002	-0.04567537	
0.09700002	-0.04662694	
0.09800002	-0.04758832	
0.09900002	-0.04855951	
0.1	-0.04954051	
0.101	-0.05053132	
0.102	-0.05153194	
0.103	-0.05254237	
0.104	-0.05356261	
0.105	-0.05459266	
0.106	-0.05563252	
0.107	-0.05668219	
0.108	-0.05774167	
0.109	-0.05881096	
0.11	-0.05989006	
0.111	-0.06097897	
0.112	-0.06207769	
0.1130001	-0.06318622	
0.1140001	-0.06430456	
0.1150001	-0.06543271	
0.1160001	-0.06657067	
0.1170001	-0.06771844	
0.1180001	-0.06887602	
0.1190001	-0.07004341	
0.1200001	-0.07122061	
0.1210001	-0.07240763	
