Time	1Vm	Delayed_Rect_K	Fast_Na	1It	
0	-0.07037418	-4.501241E-11	7.594344E-12	-3.741806E-11	
1E-06	-0.07035806	-4.33208E-11	7.514648E-12	-3.580615E-11	
2E-06	-0.07035974	-4.338606E-11	7.411913E-12	-3.597415E-11	
3E-06	-0.07036059	-4.337124E-11	7.312556E-12	-3.605869E-11	
4E-06	-0.07036145	-4.336015E-11	7.215328E-12	-3.614482E-11	
5E-06	-0.07036229	-4.334903E-11	7.120227E-12	-3.62288E-11	
6E-06	-0.0703631	-4.333798E-11	7.027197E-12	-3.631078E-11	
7E-06	-0.07036391	-4.332703E-11	6.936188E-12	-3.639084E-11	
8E-06	-0.07036469	-4.331618E-11	6.84715E-12	-3.646904E-11	
9E-06	-0.07036546	-4.330538E-11	6.760031E-12	-3.654535E-11	
1E-05	-0.0703662	-4.32947E-11	6.674785E-12	-3.661992E-11	
1.1E-05	-0.07036693	-4.328414E-11	6.591366E-12	-3.669278E-11	
1.2E-05	-0.07036763	-4.327359E-11	6.509729E-12	-3.676386E-11	
1.3E-05	-0.07036833	-4.326317E-11	6.42983E-12	-3.683334E-11	
1.4E-05	-0.07036901	-4.325282E-11	6.351626E-12	-3.69012E-11	
1.5E-05	-0.07036968	-4.324254E-11	6.275074E-12	-3.696746E-11	
1.6E-05	-0.07037032	-4.323232E-11	6.200137E-12	-3.703219E-11	
1.7E-05	-0.07037096	-4.322218E-11	6.126773E-12	-3.709541E-11	
1.8E-05	-0.07037158	-4.321211E-11	6.054946E-12	-3.715716E-11	
1.9E-05	-0.07037218	-4.32021E-11	5.984619E-12	-3.721748E-11	
2E-05	-0.07037277	-4.319218E-11	5.915753E-12	-3.727643E-11	
2.1E-05	-0.07037333	-4.318232E-11	5.848314E-12	-3.733401E-11	
2.2E-05	-0.0703739	-4.317253E-11	5.782268E-12	-3.739027E-11	
2.3E-05	-0.07037445	-4.316279E-11	5.717582E-12	-3.74452E-11	
2.4E-05	-0.070375	-4.315313E-11	5.654223E-12	-3.749891E-11	
2.5E-05	-0.07037551	-4.314349E-11	5.592162E-12	-3.755133E-11	
2.6E-05	-0.07037602	-4.313394E-11	5.531363E-12	-3.760258E-11	
2.7E-05	-0.07037652	-4.312448E-11	5.471802E-12	-3.765268E-11	
2.8E-05	-0.07037701	-4.311503E-11	5.413446E-12	-3.770158E-11	
2.9E-05	-0.07037749	-4.310566E-11	5.356269E-12	-3.774939E-11	
3E-05	-0.07037796	-4.30963E-11	5.300243E-12	-3.779606E-11	
3.1E-05	-0.07037842	-4.308705E-11	5.24534E-12	-3.784171E-11	
3.2E-05	-0.07037886	-4.30778E-11	5.191536E-12	-3.788626E-11	
3.3E-05	-0.07037929	-4.306865E-11	5.138803E-12	-3.792985E-11	
3.4E-05	-0.07037972	-4.305951E-11	5.087118E-12	-3.79724E-11	
3.5E-05	-0.07038014	-4.305044E-11	5.036456E-12	-3.801399E-11	
3.6E-05	-0.07038055	-4.304141E-11	4.986794E-12	-3.805462E-11	
3.7E-05	-0.07038094	-4.303241E-11	4.93811E-12	-3.80943E-11	
3.8E-05	-0.07038134	-4.302348E-11	4.890381E-12	-3.81331E-11	
3.9E-05	-0.07038171	-4.301458E-11	4.843584E-12	-3.8171E-11	
