Time	1Vm	Delayed_Rect_K	Fast_Na	1It	
0	-0.07037326	-4.501368E-11	7.687975E-12	-3.73257E-11	
1E-06	-0.07035629	-4.332761E-11	7.698689E-12	-3.562892E-11	
2E-06	-0.07035714	-4.339819E-11	7.684003E-12	-3.571419E-11	
3E-06	-0.07035718	-4.338856E-11	7.670677E-12	-3.571788E-11	
4E-06	-0.07035726	-4.338258E-11	7.65749E-12	-3.572509E-11	
5E-06	-0.07035732	-4.337644E-11	7.644493E-12	-3.573195E-11	
6E-06	-0.07035738	-4.337033E-11	7.631681E-12	-3.573865E-11	
7E-06	-0.07035745	-4.336422E-11	7.619051E-12	-3.574517E-11	
8E-06	-0.07035752	-4.335811E-11	7.606602E-12	-3.575151E-11	
9E-06	-0.07035758	-4.335205E-11	7.594329E-12	-3.575773E-11	
1E-05	-0.07035764	-4.3346E-11	7.582231E-12	-3.576377E-11	
1.1E-05	-0.0703577	-4.333994E-11	7.570302E-12	-3.576964E-11	
1.2E-05	-0.07035775	-4.333385E-11	7.558543E-12	-3.577531E-11	
1.3E-05	-0.07035781	-4.332783E-11	7.546951E-12	-3.578088E-11	
1.4E-05	-0.07035787	-4.332177E-11	7.535523E-12	-3.578625E-11	
1.5E-05	-0.07035792	-4.331577E-11	7.524257E-12	-3.579151E-11	
1.6E-05	-0.07035796	-4.330977E-11	7.51315E-12	-3.579662E-11	
1.7E-05	-0.07035802	-4.330379E-11	7.502198E-12	-3.580159E-11	
1.8E-05	-0.07035806	-4.329775E-11	7.491403E-12	-3.580635E-11	
1.9E-05	-0.07035811	-4.329178E-11	7.48076E-12	-3.581102E-11	
2E-05	-0.07035816	-4.328582E-11	7.470267E-12	-3.581555E-11	
2.1E-05	-0.0703582	-4.327984E-11	7.459921E-12	-3.581992E-11	
2.2E-05	-0.07035824	-4.327389E-11	7.44972E-12	-3.582417E-11	
2.3E-05	-0.07035828	-4.326797E-11	7.439661E-12	-3.582831E-11	
2.4E-05	-0.07035832	-4.326202E-11	7.429744E-12	-3.583227E-11	
2.5E-05	-0.07035836	-4.325607E-11	7.419967E-12	-3.58361E-11	
2.6E-05	-0.0703584	-4.325015E-11	7.410326E-12	-3.583982E-11	
2.7E-05	-0.07035844	-4.324423E-11	7.400821E-12	-3.584342E-11	
2.8E-05	-0.07035847	-4.323833E-11	7.391449E-12	-3.584688E-11	
2.9E-05	-0.07035851	-4.323247E-11	7.382209E-12	-3.585026E-11	
3E-05	-0.07035854	-4.322656E-11	7.373098E-12	-3.585347E-11	
3.1E-05	-0.07035857	-4.32207E-11	7.364114E-12	-3.585659E-11	
3.2E-05	-0.0703586	-4.321483E-11	7.355254E-12	-3.585958E-11	
3.3E-05	-0.07035863	-4.320896E-11	7.346519E-12	-3.586244E-11	
3.4E-05	-0.07035865	-4.320308E-11	7.337905E-12	-3.586518E-11	
3.5E-05	-0.07035868	-4.319727E-11	7.329411E-12	-3.586785E-11	
3.6E-05	-0.0703587	-4.319142E-11	7.321036E-12	-3.587038E-11	
3.7E-05	-0.07035872	-4.31856E-11	7.312776E-12	-3.587283E-11	
3.8E-05	-0.07035875	-4.317979E-11	7.304633E-12	-3.587516E-11	
3.9E-05	-0.07035878	-4.317397E-11	7.296602E-12	-3.587737E-11	
4E-05	-0.0703588	-4.316818E-11	7.288684E-12	-3.587949E-11	
4.1E-05	-0.07035882	-4.316238E-11	7.280875E-12	-3.588151E-11	
4.2E-05	-0.07035884	-4.315659E-11	7.273173E-12	-3.588341E-11	
4.3E-05	-0.07035886	-4.315082E-11	7.265579E-12	-3.588524E-11	
4.4E-05	-0.07035887	-4.314503E-11	7.258093E-12	-3.588693E-11	
4.5E-05	-0.07035889	-4.313926E-11	7.250707E-12	-3.588855E-11	
4.6E-05	-0.0703589	-4.313351E-11	7.243424E-12	-3.589009E-11	
4.7E-05	-0.07035892	-4.312777E-11	7.236242E-12	-3.589152E-11	
4.8E-05	-0.07035892	-4.312202E-11	7.22916E-12	-3.589287E-11	
4.9E-05	-0.07035894	-4.311631E-11	7.222176E-12	-3.589413E-11	
5E-05	-0.07035895	-4.311054E-11	7.215289E-12	-3.589524E-11	
5.1E-05	-0.07035896	-4.310479E-11	7.208496E-12	-3.589629E-11	
5.2E-05	-0.07035897	-4.309908E-11	7.201799E-12	-3.589728E-11	
5.3E-05	-0.07035898	-4.309339E-11	7.195192E-12	-3.589819E-11	
5.4E-05	-0.07035899	-4.308769E-11	7.188677E-12	-3.589902E-11	
5.5E-05	-0.07035899	-4.308197E-11	7.182253E-12	-3.589972E-11	
5.6E-05	-0.070359	-4.307631E-11	7.175916E-12	-3.590039E-11	
5.7E-05	-0.07035901	-4.307061E-11	7.169668E-12	-3.590095E-11	
5.8E-05	-0.07035901	-4.306492E-11	7.163506E-12	-3.590142E-11	
5.9E-05	-0.07035901	-4.305925E-11	7.157427E-12	-3.590182E-11	
6E-05	-0.07035902	-4.305361E-11	7.151433E-12	-3.590217E-11	
6.1E-05	-0.07035902	-4.304793E-11	7.145519E-12	-3.590241E-11	
6.2E-05	-0.07035902	-4.304229E-11	7.139689E-12	-3.59026E-11	
6.3E-05	-0.07035902	-4.303665E-11	7.133939E-12	-3.590271E-11	
6.4E-05	-0.07035902	-4.303101E-11	7.128266E-12	-3.590274E-11	
