Time	ConeX	ConeY	ConeZ	
0.102	-0.04051916	-0.1958627	9.477139E-07	
0.103	-0.0409108	-0.1957813	9.477139E-07	
0.104	-0.04130228	-0.1956991	9.447336E-07	
0.105	-0.04169359	-0.1956162	9.447336E-07	
0.106	-0.04208473	-0.1955324	9.447336E-07	
0.107	-0.04247572	-0.1954478	9.506941E-07	
0.108	-0.04286653	-0.1953625	9.477139E-07	
0.109	-0.04325716	-0.1952764	9.506941E-07	
0.11	-0.04364763	-0.1951895	9.477139E-07	
0.111	-0.04403792	-0.1951018	9.447336E-07	
0.112	-0.04442803	-0.1950134	9.477139E-07	
0.113	-0.04481797	-0.1949241	9.506941E-07	
0.114	-0.04520772	-0.1948341	9.417534E-07	
0.115	-0.0455973	-0.1947433	9.447336E-07	
0.116	-0.04598669	-0.1946517	9.477139E-07	
0.117	-0.0463759	-0.1945594	9.447336E-07	
0.118	-0.04676492	-0.1944663	9.477139E-07	
0.119	-0.04715376	-0.1943724	9.447336E-07	
0.12	-0.04754241	-0.1942777	9.417534E-07	
0.121	-0.04793087	-0.1941822	9.447336E-07	
0.122	-0.04831913	-0.194086	9.417534E-07	
0.123	-0.04870721	-0.193989	9.417534E-07	
0.124	-0.04909509	-0.1938912	9.387732E-07	
0.125	-0.04948277	-0.1937926	9.417534E-07	
0.126	-0.04987026	-0.1936933	9.387732E-07	
0.127	-0.05025754	-0.1935932	9.357929E-07	
0.128	-0.05064462	-0.1934923	9.387732E-07	
0.129	-0.05103151	-0.1933906	9.298325E-07	
0.13	-0.05141819	-0.1932882	9.357929E-07	
0.131	-0.05180466	-0.193185	9.328127E-07	
0.132	-0.05219092	-0.193081	9.298325E-07	
0.133	-0.05257697	-0.1929762	9.357929E-07	
0.134	-0.05296282	-0.1928707	9.328127E-07	
0.135	-0.05334845	-0.1927644	9.357929E-07	
0.136	-0.05373387	-0.1926573	9.328127E-07	
0.137	-0.05411908	-0.1925495	9.298325E-07	
0.138	-0.05450407	-0.1924409	9.268522E-07	
0.139	-0.05488884	-0.1923315	9.328127E-07	
0.14	-0.05527339	-0.1922213	9.298325E-07	
0.141	-0.05565772	-0.1921104	9.268522E-07	
0.142	-0.05604183	-0.1919987	9.268522E-07	
0.143	-0.05642572	-0.1918862	9.298325E-07	
0.144	-0.05680937	-0.191773	9.268522E-07	
0.145	-0.0571928	-0.191659	9.23872E-07	
0.146	-0.057576	-0.1915442	9.298325E-07	
0.147	-0.05795897	-0.1914287	9.208918E-07	
0.148	-0.05834171	-0.1913124	9.268522E-07	
0.149	-0.05872421	-0.1911954	9.23872E-07	
0.15	-0.05910649	-0.1910775	9.208918E-07	
0.151	-0.05948852	-0.190959	9.23872E-07	
0.152	-0.05987031	-0.1908396	9.208918E-07	
0.153	-0.06025187	-0.1907195	9.208918E-07	
0.154	-0.06063319	-0.1905986	9.208918E-07	
0.155	-0.06101426	-0.190477	9.208918E-07	
0.156	-0.0613951	-0.1903546	9.23872E-07	
0.157	-0.06177568	-0.1902314	9.208918E-07	
0.158	-0.06215602	-0.1901075	9.179116E-07	
0.159	-0.06253611	-0.1899828	9.149313E-07	
0.16	-0.06291594	-0.1898573	9.179116E-07	
0.161	-0.06329554	-0.1897311	9.149313E-07	
0.162	-0.06367487	-0.1896042	9.179116E-07	
0.163	-0.06405395	-0.1894765	9.149313E-07	
0.164	-0.06443276	-0.189348	9.119511E-07	
0.165	-0.06481133	-0.1892187	9.119511E-07	
0.166	-0.06518964	-0.1890887	9.089708E-07	
