Time	ConeX	ConeY	ConeZ	
0.114	-0.04521002	-0.1950845	-8.536578E-05	
0.115	-0.04559971	-0.1949937	-8.526295E-05	
0.116	-0.04598922	-0.1949022	-8.513481E-05	
0.117	-0.04637854	-0.1948099	-8.497536E-05	
0.118	-0.04676768	-0.1947168	-8.478761E-05	
0.119	-0.04715662	-0.1946229	-8.458347E-05	
0.12	-0.04754537	-0.1945283	-8.43525E-05	
0.121	-0.04793393	-0.1944328	-8.410663E-05	
0.122	-0.0483223	-0.1943366	-8.384437E-05	
0.123	-0.04871046	-0.1942396	-8.35687E-05	
0.124	-0.04909843	-0.1941418	-8.328259E-05	
0.125	-0.0494862	-0.1940433	-8.298755E-05	
0.126	-0.04987377	-0.193944	-8.268804E-05	
0.127	-0.05026115	-0.1938439	-8.238256E-05	
0.128	-0.05064831	-0.193743	-8.207709E-05	
0.129	-0.05103528	-0.1936413	-8.177311E-05	
0.13	-0.05142203	-0.1935389	-8.14721E-05	
0.131	-0.05180857	-0.1934357	-8.117557E-05	
0.132	-0.05219491	-0.1933317	-8.088499E-05	
0.133	-0.05258104	-0.193227	-8.060187E-05	
0.134	-0.05296695	-0.1931215	-8.033067E-05	
0.135	-0.05335266	-0.1930152	-8.006692E-05	
0.136	-0.05373815	-0.1929081	-7.981658E-05	
0.137	-0.05412341	-0.1928003	-7.957965E-05	
0.138	-0.05450847	-0.1926917	-7.935613E-05	
0.139	-0.05489331	-0.1925823	-7.914603E-05	
0.14	-0.05527791	-0.1924722	-7.895231E-05	
0.141	-0.05566231	-0.1923613	-7.877052E-05	
0.142	-0.05604647	-0.1922496	-7.860512E-05	
0.143	-0.05643042	-0.1921371	-7.845461E-05	
0.144	-0.05681413	-0.1920239	-7.832199E-05	
0.145	-0.05719763	-0.1919099	-7.820129E-05	
0.146	-0.05758089	-0.1917952	-7.809997E-05	
0.147	-0.05796391	-0.1916796	-7.801354E-05	
0.148	-0.05834671	-0.1915633	-7.793755E-05	
0.149	-0.05872927	-0.1914463	-7.787794E-05	
0.15	-0.05911158	-0.1913285	-7.783026E-05	
0.151	-0.05949368	-0.1912099	-7.779599E-05	
0.152	-0.05987553	-0.1910905	-7.777214E-05	
0.153	-0.06025714	-0.1909704	-7.776171E-05	
0.154	-0.06063851	-0.1908495	-7.775873E-05	
0.155	-0.06101964	-0.1907279	-7.776767E-05	
0.156	-0.06140052	-0.1906056	-7.778406E-05	
0.157	-0.06178115	-0.1904824	-7.78079E-05	
0.158	-0.06216154	-0.1903584	-7.783622E-05	
0.159	-0.06254169	-0.1902338	-7.787049E-05	
0.16	-0.06292157	-0.1901083	-7.790923E-05	
0.161	-0.0633012	-0.1899821	-7.795245E-05	
